"","abf2","araR","ccpA","abfA","abnA","araA","araB","araD","araE","araL","araM","araN","araP","araQ","pval","z","inv_cof_var"
"GSM672566",8.994675465,10.54287175,12.72717732,8.903206691,8.296347212,9.09787026,9.130303346,9.239005576,8.833244238,9.269001115,9.237713383,9.147713011,8.91457658,8.668460967,0.475111837495912,0.0624258936833201,31.7781532910734
"GSM672573",9.2174171,9.725816729,12.08217398,8.505152788,9.313763941,8.763365242,8.734165056,8.833879926,8.631134387,8.686794052,8.685659851,8.668460967,8.755100372,8.690523792,0.333487466082259,0.43030343026543,37.1294500434661
"GSM672575",8.503986617,10.51776357,11.4657,7.958960223,8.168757621,7.914788104,7.88012342,7.907455762,8.431318959,7.884095539,7.947247026,7.934310781,7.791298513,7.774867658,0.417905142674627,0.207255551293366,33.8849045855923
"GSM672576",8.536673606,10.29722862,11.67638104,7.704572862,8.018659851,8.150184387,8.040285502,8.131836431,8.379198513,8.023792937,8.050930112,7.879058736,7.88012342,7.795259851,0.40697093699842,0.235343836254903,34.2934882395209
"GSM672578",8.517363569,10.23297993,12.01652491,8.390028625,9.199481413,8.647807807,8.425394052,8.624420074,8.128590706,8.541937546,8.551803346,8.494200372,8.357856506,8.311623048,0.446119480360796,0.135471671378286,32.8407069783324
"GSM672606",7.362719331,9.908577323,13.2139171,7.261334201,7.340056877,7.305377323,7.252905576,7.300564684,7.543415985,7.240568401,7.091472119,7.112858736,7.165705948,7.150183271,0.0311193340953374,1.86459162131945,57.9931913039206
"GSM672607",7.353526766,9.981542379,13.18522751,7.258240892,7.226811896,7.313760595,7.256120446,7.206927881,7.360777323,7.575073978,7.304376952,7.264314126,7.103652416,7.186222677,0.0150886960739847,2.16775421420758,62.4031180796674
"GSM672608",7.637442007,9.977751673,12.83102602,7.127989963,7.349563197,7.407572119,7.22019777,7.177962454,7.341880669,7.112858736,7.10982342,7.143272862,7.256120446,7.302495911,0.135219940065804,1.10205012601034,46.9009515729375
"GSM672610",9.405123048,10.31892639,13.18693197,8.725552788,8.871134944,8.765206691,8.7329829,8.84304052,8.323040892,8.770366914,8.705665428,8.583566914,8.714569888,8.594514498,0.390499711257395,0.278016851981121,34.914227338168
"GSM672611",9.418096283,10.32377435,12.94970781,8.697910409,8.947592565,8.546823048,8.649103346,8.77573197,8.290675465,8.685659851,8.663332342,8.587512268,8.659134201,8.62690223,0.458286460837555,0.104751593191486,32.3938401862972
"GSM672618",7.854380669,9.226846097,10.82065651,7.618860967,8.062080297,7.746419517,7.609332714,7.611296654,7.665011524,7.641281413,7.570474721,7.530228253,7.558524535,7.55290223,0.095317122251861,1.30870515606123,49.907039961621
"GSM672619",7.825569888,9.213101673,11.08324498,7.507884387,8.117831227,7.718559851,7.624310781,7.660233829,7.547315613,7.536104833,7.606418959,7.612225279,7.594366171,7.516815242,0.170856089535798,0.950787657982962,44.700625993305
"GSM672620",7.926234201,8.924918587,10.40149368,7.424458364,7.626144981,7.554816729,7.419142751,7.435354647,7.544768401,7.372210409,7.40575539,7.385176952,7.380094981,7.365495911,0.144571893965432,1.06000178352977,46.2892992262073
"GSM672621",7.698256877,8.97135948,10.96915539,7.265292565,7.428180669,7.356145725,7.269249814,7.292366914,7.430656506,7.293344238,7.261334201,7.268254275,7.285741264,7.221266543,0.0411869959722983,1.73707466860249,56.138277678889
"GSM672624",7.730965428,10.29722862,13.05512156,7.490282156,7.039841264,7.685833086,7.440665428,7.482289963,7.189788476,7.499842751,7.442039963,7.593509294,7.521742193,7.378700743,0.292205648616321,0.546952599899008,38.8262764613796
"GSM672625",7.609332714,10.34093643,12.96858699,7.530228253,7.047502974,7.649154647,7.376822677,7.494581413,7.330529368,7.417009294,7.415719331,7.615062082,7.452099257,7.34618513,0.157446234819489,1.00500909666405,45.4893531643629
"GSM672626",7.86312974,10.41267844,12.93810186,7.678274349,7.195415613,7.906473978,7.654683271,7.781533457,7.433971004,7.713698885,7.653642379,7.825569888,7.656668401,7.55290223,0.289816506542922,0.553920853087194,38.9276395155151
"GSM672628",8.23403829,10.25133606,12.44648699,7.936460595,7.540397398,8.083214498,7.837495167,7.909552788,7.630925279,7.781533457,7.799313755,8.004321933,7.766921933,7.706005204,0.256145743695198,0.655273798256448,40.4019608110438
"GSM672629",8.215446097,10.33593941,12.47178253,7.925253903,7.357145725,8.000223048,7.86469684,7.969496654,7.523875465,7.88725316,7.917928996,8.004321933,7.89222119,7.74493197,0.398692423159987,0.256733062849301,34.6046246570206
"GSM672633",7.411239405,9.598244981,13.06752156,7.182083086,7.661118587,7.398698141,7.343718587,7.448477695,7.595456877,7.168089591,7.111310409,7.237405204,7.256120446,7.274337546,0.197961924246139,0.848923523366059,43.2188687274898
"GSM672634",7.695330483,10.29722862,12.87794796,7.477401673,7.077814498,7.772822305,7.61314684,7.525672491,7.319405948,7.418300743,7.444192193,7.70978513,7.694331227,7.575073978,0.305900631366728,0.507503954039253,38.2524403624514
"GSM672635",7.622844981,10.32005799,13.06929071,7.492813011,7.093293309,7.706005204,7.522116729,7.551989219,7.332467658,7.444192193,7.456380669,7.762834201,7.733788104,7.560428996,0.254675388525628,0.659848934540302,40.4685126102241
"GSM672636",7.633748327,10.09834833,12.75389331,7.343718587,7.194324907,7.587933086,7.413121933,7.374932714,7.511424907,7.338213011,7.352536803,7.61607658,7.491978439,7.398257435,0.040671809395761,1.74294273164062,56.2236369181905
"GSM672637",7.905511896,10.19194089,12.66205019,7.617057249,7.236835874,7.777772862,7.586930855,7.6654671,7.373147584,7.608422677,7.60192119,7.942710037,7.813247212,7.672643866,0.317503050494422,0.474692589019456,37.7751528588345
"GSM672638",7.86312974,10.35578234,12.55718141,7.589801115,7.225149071,7.797280669,7.633748327,7.540397398,7.310266543,7.507884387,7.536104833,7.803133086,7.688649814,7.58743197,0.26743122943535,0.620600578619636,39.8975900104743
"GSM672639",7.88627026,10.4894658,12.81725688,7.479533457,7.112858736,7.737766543,7.693285502,7.654683271,7.285741264,7.622386245,7.592651673,7.753662454,7.606418959,7.58419145,0.358768801240586,0.361751681653179,36.1322683369454
"GSM672640",8.132902602,10.25863271,12.60212045,7.820356506,7.466259108,8.016636059,7.970501487,7.893216357,7.495428625,7.856371375,7.861794238,8.019628996,7.986987732,7.919,0.285905713271211,0.565385732919663,39.0944123355793
"GSM672641",8.117831227,10.49189926,12.71058885,7.934310781,7.495428625,8.128590706,7.979769517,8.01150855,7.480480297,7.864212268,7.853407063,8.168757621,8.142416357,7.957765056,0.406926881194901,0.235457370254487,34.2951397514042
"GSM672642",8.42054461,9.997590706,13.22356468,7.902549071,7.735995539,8.217745725,8.135997026,8.281063941,7.683043494,8.054964684,8.03152342,7.953687361,7.896279926,7.884095539,0.347537956822231,0.391976045064328,36.5719242595873
"GSM672643",8.12374777,10.246271,13.4302974,7.708865056,7.40222974,7.802120446,7.901559108,7.884095539,7.599091078,7.862695167,7.746923792,7.813247212,7.730965428,7.665922677,0.189219421081274,0.880776424951791,43.6822140309125
"GSM672644",8.225892565,10.28889442,13.19163736,7.852455762,7.580478067,8.055976952,8.098244981,8.108623048,7.625234944,8.048987361,7.907455762,8.001172491,7.908544238,7.902549071,0.233179911532751,0.728414609017811,41.465896888063
"GSM672645",8.027893309,10.495429,12.82640149,7.573260223,7.151679554,7.859383271,7.747397026,7.774867658,7.37402119,7.65925316,7.706968401,7.803133086,7.66315539,7.637442007,0.420891000461244,0.199614609611024,33.7737563301434
"GSM672646",7.937469888,9.337545725,12.19816729,7.577777323,7.780598141,7.660233829,7.642252045,7.678274349,7.462750558,7.696285502,7.65925316,7.607456506,7.648112639,7.71755316,0.00630157500592995,2.49479054489864,67.1603219867097
"GSM672647",7.954822677,9.525447955,12.37289182,7.554816729,7.749934201,7.690520446,7.658371375,7.74787026,7.399576208,7.665922677,7.635680297,7.680215613,7.621493309,7.529364684,0.0390399327719847,1.76193745447051,56.499941906901
"GSM672648",7.66315539,9.457593309,12.21777212,7.305377323,7.352536803,7.376822677,7.330971933,7.411239405,7.361776952,7.418300743,7.332940706,7.385176952,7.347610037,7.251828625,0.00175708302744231,2.91876893171723,73.3276845975023
"GSM672649",7.625234944,9.317263941,12.16173569,7.360777323,7.352536803,7.393342379,7.420795167,7.437034201,7.309753903,7.442474721,7.398698141,7.419965056,7.381439405,7.400432342,3.60505401963377e-06,4.48738981346732,96.145483988662
"GSM672650",7.560428996,9.200495539,12.00036022,7.273359108,7.35901487,7.280539219,7.265292565,7.304376952,7.328675093,7.313760595,7.27630855,7.257305576,7.255019703,7.277204089,5.64259291772923e-05,3.86115591173143,87.0360301314558
"GSM672651",7.838514126,9.772573978,11.99971729,7.536569888,7.461495539,7.515874349,7.630018959,7.726288476,7.365495911,7.515012639,7.499842751,7.708865056,7.544768401,7.442474721,0.042797525487611,1.71910611814851,55.876899812268
"GSM672652",7.830516357,9.658863569,11.98320223,7.556651301,7.548252045,7.701094424,7.683043494,7.683959851,7.401328996,7.605464312,7.595456877,7.977637546,7.68679368,7.674563941,0.0650496244635265,1.51371062518199,52.8891331639435
"GSM672653",7.697311524,9.349727138,11.90440112,7.583214498,7.47696803,7.506534758,7.564976208,7.674563941,7.407572119,7.543907063,7.620645725,8.068934758,7.641281413,7.527038662,0.156310054406287,1.00973950786773,45.5581636558839
"GSM672654",7.478656877,9.981542379,12.34420836,7.248830483,7.234760967,7.348572862,7.284734201,7.374932714,7.252905576,7.239541264,7.266283271,7.335327509,7.306538662,7.297434572,3.08346539061469e-07,4.98591483157043,103.397232315421
"GSM672655",7.732870632,10.22303327,12.64033755,7.37402119,7.111310409,7.397816729,7.371171004,7.337226766,7.189788476,7.338213011,7.323299257,7.381439405,7.343718587,7.348572862,0.0899173418262508,1.34126421575651,50.3806573290392
"GSM672657",7.757776208,10.55808699,13.05331524,7.431124164,7.081839777,7.854380669,7.49154684,7.55006171,7.385176952,7.530228253,7.477835316,7.496405204,7.417417844,7.347610037,0.300417516151339,0.523200070614838,38.4807624786548
"GSM672658",7.753190706,10.80522639,12.71058885,7.483625651,7.116044981,7.895319331,7.489437175,7.488408178,7.377762825,7.46099777,7.437914498,7.536104833,7.522989591,7.296479182,0.315320961372183,0.480823533758557,37.8643360826222
"GSM672659",7.796198141,10.71350892,12.6482026,7.486243494,7.123569888,7.943737175,7.573260223,7.605464312,7.389022677,7.560428996,7.524751673,7.648112639,7.511424907,7.383236059,0.349778390523832,0.385918834748946,36.4838136068129
"GSM672660",7.572286989,9.911007435,11.74086617,7.285741264,7.218219331,7.293344238,7.237405204,7.19202974,7.202439033,7.183873606,7.21709368,7.306538662,7.280100743,7.278232342,0.00346383263549467,2.70030155130748,70.1497689406992
"GSM672661",7.722443123,10.24892193,11.77574349,7.367472119,7.244748699,7.397816729,7.262768773,7.252905576,7.193237918,7.246704089,7.279125651,7.362719331,7.436165428,7.335327509,0.0702496713348602,1.47393407280828,52.3105272030674
