"","abf2","abfA","abnA","araA","araB","araD","araE","araL","araM","araN","araP","araQ","araR","ccpA"
"abf2",1,0.979228357685759,0.959558080358815,0.971447556050234,0.981331613864881,0.978693006267989,0.967993335905089,0.978644992851294,0.98336541509143,0.956629720339801,0.974228629378118,0.982188294093021,-0.106690019713115,0.0547655824871064
"abfA",0.979228357685759,1,0.952657028503354,0.978976790970525,0.983577196765671,0.980494084401379,0.966096501415363,0.985201814800255,0.98576601858756,0.986433139292565,0.990191579625812,0.989250629271837,-0.0705396611785998,0.105129461639661
"abnA",0.959558080358815,0.952657028503354,1,0.943237263316787,0.959248093011903,0.9639133327518,0.967658840135238,0.962029301362079,0.966483995603504,0.924685170357703,0.94644505422048,0.9642273368028,-0.191903756442988,-0.0428444473640702
"araA",0.971447556050234,0.978976790970525,0.943237263316787,1,0.991112589289121,0.984504199125746,0.954130456300245,0.986368272251807,0.985402720305269,0.974139889215992,0.972208877910969,0.971414648814226,-0.0342474690763176,0.143355239487641
"araB",0.981331613864881,0.983577196765671,0.959248093011903,0.991112589289121,1,0.994317689974456,0.96729198127589,0.993904396394847,0.99398354295411,0.974634482155723,0.978210116998686,0.982370157616318,-0.0762690193805606,0.10379046473541
"araD",0.978693006267989,0.980494084401379,0.9639133327518,0.984504199125746,0.994317689974456,1,0.968933735753188,0.991157309705479,0.993546431636272,0.967284562430088,0.9775213126433,0.983477513412247,-0.0871573795560561,0.0705241688769178
"araE",0.967993335905089,0.966096501415363,0.967658840135238,0.954130456300245,0.96729198127589,0.968933735753188,1,0.968845056788531,0.973389670098449,0.943377320227909,0.960586180275957,0.968893546192294,-0.123997121484453,0.0237042514165881
"araL",0.978644992851294,0.985201814800255,0.962029301362079,0.986368272251807,0.993904396394847,0.991157309705479,0.968845056788531,1,0.995672943277771,0.973504737759125,0.976125377787938,0.981159954284829,-0.0810921858069037,0.0958655857920293
"araM",0.98336541509143,0.98576601858756,0.966483995603504,0.985402720305269,0.99398354295411,0.993546431636272,0.973389670098449,0.995672943277771,1,0.972735652746085,0.980774440884816,0.9865976766286,-0.0991410651110596,0.053769580586458
"araN",0.956629720339801,0.986433139292565,0.924685170357703,0.974139889215992,0.974634482155723,0.967284562430088,0.943377320227909,0.973504737759125,0.972735652746085,1,0.986628867386926,0.976047240313051,-0.0332268717339831,0.139733222873455
"araP",0.974228629378118,0.990191579625812,0.94644505422048,0.972208877910969,0.978210116998686,0.9775213126433,0.960586180275957,0.976125377787938,0.980774440884816,0.986628867386926,1,0.993288482032446,-0.0814750874721826,0.0841809980289182
"araQ",0.982188294093021,0.989250629271837,0.9642273368028,0.971414648814226,0.982370157616318,0.983477513412247,0.968893546192294,0.981159954284829,0.9865976766286,0.976047240313051,0.993288482032446,1,-0.111230429715796,0.0588310617896796
"araR",-0.106690019713115,-0.0705396611785998,-0.191903756442988,-0.0342474690763176,-0.0762690193805606,-0.0871573795560561,-0.123997121484453,-0.0810921858069037,-0.0991410651110596,-0.0332268717339831,-0.0814750874721826,-0.111230429715796,1,0.419333287462108
"ccpA",0.0547655824871064,0.105129461639661,-0.0428444473640702,0.143355239487641,0.10379046473541,0.0705241688769178,0.0237042514165881,0.0958655857920293,0.053769580586458,0.139733222873455,0.0841809980289182,0.0588310617896796,0.419333287462108,1
