"","addA","comK","addB","bdbC","bdbD","comC","comEA","comEB","comEC","comGA","comGB","comGC","comGD","comGE","comGF","comGG","hlpB","maf","minC","minD","mreB","mreC","mreD","nin","nucA","radC","rpsF","rpsR","sbcC","sbcD","spoIIIL","ssbA","ssbB","ybdK","yyaF","pval","z","inv_cof_var"
"GSM672566",11.70928476,11.6064513,10.79915911,13.06929071,13.37237472,9.902143123,11.03188587,11.56918327,10.25257509,13.57092379,13.59499257,13.55765056,13.66754238,13.55457398,13.62670483,13.48236691,11.51608104,12.94463234,13.86400483,13.53679182,13.20690632,12.94970781,13.52354052,12.82640149,13.28452677,12.64499628,16.34839145,16.41206468,11.7975223,11.48265204,13.64726729,16.4320948,14.79444089,11.22497212,13.30389257,0.0903069129221381,1.33886745613851,8.29990415303652
"GSM672567",11.77697584,11.9506539,11.2654855,13.08300781,13.37237472,10.27803457,11.08918216,11.50287249,10.66082342,13.73590855,13.86400483,13.72863755,14.09866691,13.92068736,13.7871961,13.64726729,11.24960967,13.11192862,13.81818216,13.29824572,13.40928959,13.53224944,14.02859517,12.79829665,13.28644796,12.50036468,16.26861673,16.4191316,11.73466357,11.4235684,13.61981078,16.33439926,14.64447732,11.37023011,13.52764833,0.0658296653974251,1.50759063608476,8.58343514149702
"GSM672568",12.04992751,12.01371413,11.37569814,13.0743855,13.48706506,9.80762342,11.45005353,11.66334796,10.697229,13.74295651,13.86138401,14.00014721,14.13440409,14.08764126,13.68668848,13.72863755,11.43100372,13.17256729,13.6744539,13.32938104,13.50188959,13.55136803,13.54124015,13.22356468,13.63843383,12.66046617,16.16694238,16.40455576,12.08684164,11.80120297,14.06335446,16.43796617,14.86360112,11.4682684,13.34303457,0.0530140777464025,1.61630606821072,8.76612606719794
"GSM672569",10.76552491,12.6418026,10.53918104,12.58472156,13.07797286,10.35867472,10.66314126,11.40038773,9.952317658,12.35195651,12.46005688,12.18289145,12.64667732,12.23710446,12.30886543,12.29315279,9.860341264,12.25859294,13.83099145,13.40495093,13.62670483,13.06224758,13.68882788,12.74445799,12.81230186,11.84500446,14.39460335,15.34516989,10.54045279,10.42834387,12.05809554,15.07704164,14.87743532,10.90396134,13.0185829,0.077765128716151,1.42026599356749,8.43669038349893
"GSM672570",10.75950632,13.03222825,10.46871059,12.59637175,13.14508736,10.51293717,11.02147063,11.41760669,9.895909665,12.47978532,12.55561822,12.42567472,12.71058885,12.42150967,12.59127361,12.67092974,10.23660632,12.39590892,13.79092788,13.36020558,13.45721859,13.04813494,13.33340483,12.87794796,13.1395539,11.91107807,14.45026283,15.21045093,10.62261115,10.54287175,12.44072714,15.190129,15.42020595,10.88470892,13.04626283,0.0650893708510425,1.51339741315327,8.59319314417649
"GSM672571",10.86981041,12.94463234,10.63955428,12.23849145,13.15065688,10.38901375,11.24112156,11.53162528,10.28946022,13.06578587,12.97873309,12.73977435,13.05860929,12.92314349,12.84514201,12.9632026,10.08403457,12.35069814,13.6744539,13.16865353,13.66987732,13.27297993,13.54124015,12.92150372,13.44724164,11.71712751,14.69494015,15.01592007,10.70775019,10.46988104,12.75551227,15.30189331,15.24909405,11.07624796,13.4367223,0.0577868157098182,1.57362732855444,8.69440654860631
"GSM672572",10.66670855,12.92314349,10.45853197,13.80583271,14.43247509,11.11236022,12.17309703,12.49129033,11.51009108,13.83360706,13.77875762,13.72863755,13.90805539,13.69168178,13.60618996,13.63642639,10.07542639,12.44648699,13.48460855,13.26346171,13.08627212,12.72872639,13.07616431,13.62670483,14.00300297,11.63001524,14.86847249,15.53897138,10.41638848,10.29585874,13.57750632,15.4277855,15.93357807,11.68483494,13.66987732,0.0799373925837571,1.40549281233052,8.41186478051919
"GSM672573",10.70532379,13.11002677,10.46088141,13.59952639,14.21958662,11.44062416,12.17875688,12.38852714,11.4562539,14.10748848,14.03726022,13.71644461,14.07896877,13.77875762,13.78598662,13.74743383,10.12423866,12.2163461,13.46775725,13.1136368,12.94463234,12.66355688,12.94794461,13.76194498,14.07618625,11.66081524,14.9356,15.41281338,10.56183123,10.45007435,13.53224944,15.4277855,16.0140948,11.64111115,13.90805539,0.0747171933741723,1.44153220155805,8.47242719793244
"GSM672574",10.92844275,13.50188959,10.58518067,13.93848699,14.3392342,11.4102803,12.96858699,12.96154498,11.51739071,14.31325613,14.17215799,14.03156208,14.20445688,14.13691599,14.00590855,13.75453086,10.42730372,12.62842751,13.28852007,13.18357249,12.9632026,12.86639294,12.07722007,14.15506134,14.42737379,11.66956506,14.70303309,15.58944684,10.83579108,10.42009851,14.02572788,15.39060186,16.02135874,11.85680372,14.04813494,0.0634398975229782,1.52652248514779,8.61524918080054
"GSM672575",9.498252045,12.52835316,9.329881041,12.72872639,13.27671636,10.83237323,11.81046245,12.04739517,10.52528401,13.39496283,13.59032751,13.35817584,13.47812268,13.29444201,13.24788216,13.04813494,9.376255762,11.41637175,12.70310595,12.32512918,12.40656468,11.82952268,12.36528178,13.56877881,13.51702342,10.86517584,14.76762156,15.85358848,9.381207807,9.005653532,13.05679517,15.66552974,15.94142974,10.92735539,13.4302974,0.342610805137999,0.405348160553272,6.73117098484619
"GSM672576",9.541005576,12.64979145,9.324801487,12.35562974,12.98028141,10.52649517,11.55183606,11.67069814,9.796913383,13.57540669,13.35442714,13.05247546,13.26739145,12.98202045,12.85683234,12.58894312,9.396989219,11.03072193,12.47541729,12.03291822,12.46749591,11.9097197,12.11942565,12.89221561,13.39879777,10.43927658,15.20407138,15.49940186,9.556754275,9.159348327,13.09848885,15.45858439,15.62225242,10.72404349,13.33429888,0.343545098889765,0.402807018196631,6.72690072035481
"GSM672579",8.9057171,12.26860632,8.475504275,11.77574349,12.31169033,9.663977323,11.50065985,11.55682342,9.612678067,13.30210743,13.14143123,12.99247212,13.24969777,12.99076729,12.5494855,12.65138587,11.82570149,11.07137844,11.66706952,11.30249071,11.8387684,11.58256431,11.49352602,13.25970781,13.56426171,10.2729855,14.69077807,15.62225242,9.054672491,8.385220818,13.03394164,15.31526691,15.48368625,10.12423866,12.93890353,0.449361280690931,0.127275233874733,6.26388313625073
"GSM672583",8.284689219,12.27727844,8.058956134,11.02368327,11.82952268,9.941332342,11.30724907,11.4682684,9.737092193,13.34708364,13.11192862,12.73507807,13.07957993,12.82026617,12.40349591,12.28023792,11.64474981,10.79103494,11.34937286,10.81730223,11.79238513,10.91926171,10.64919294,12.79503234,13.13574721,10.02884981,14.2410829,14.55602639,8.477389963,8.014537175,13.52997026,14.72338401,15.22313234,9.465282156,12.87464238,0.494366063369494,0.0141226543005314,6.07373580294567
"GSM672586",8.352986617,12.31945409,7.898386617,11.41517398,11.45513903,9.136124535,11.39223755,11.13976989,9.434271561,12.92828178,12.89301283,12.76600149,12.92673643,12.60816022,12.17460074,11.78835316,10.75363569,10.57109665,11.2329223,10.74814201,10.9612197,10.36410967,10.0633171,12.99076729,13.13193197,9.427001859,13.78374796,14.50030743,8.573867658,8.061049071,12.69864721,14.17215799,14.65334089,9.259670632,12.70310595,0.496799838423898,0.0080217015188811,6.06348345247857
"GSM672606",12.1883777,13.36438513,11.79619814,13.25168253,12.95834721,12.23151078,12.81402342,13.27297993,12.12371933,13.90805539,14.09866691,13.92068736,14.43977026,14.04813494,13.88869126,13.80343717,11.47064201,13.6246145,14.34210483,14.3392342,14.5973803,14.23797286,14.9261052,13.86138401,14.03156208,13.18166543,16.07966952,16.39776617,11.78084387,11.76055242,13.63389182,16.10869665,15.04395688,13.04265836,14.76273346,0.00173733826452311,2.92229017484154,10.9607679936048
"GSM672607",12.48971413,13.38058216,12.02192007,13.39496283,13.05163569,12.26289851,12.66937435,13.17423792,12.14741227,13.83360706,13.94393941,13.99217212,14.46059071,13.9254487,13.88212491,13.7935658,11.42728327,13.6722223,14.45737881,14.46736729,14.55602639,14.25115204,15.02706357,14.07896877,14.01120595,13.42601599,16.22155539,16.38425465,11.89547138,11.86062565,13.63389182,16.23596914,15.04395688,13.03570706,14.82635502,0.00141434962913749,2.98576500424454,11.0674343160907
"GSM672608",12.39153123,13.10047026,11.91107807,12.9736632,13.1376223,11.35176059,11.63132268,12.47473234,11.21293494,13.28644796,13.42815502,13.10592714,13.63843383,13.12800297,13.31340074,13.30389257,11.79238513,12.34349182,13.71904721,13.64276654,13.30585762,13.22549963,13.75962305,13.86665948,14.21958662,11.9506539,15.12307993,16.13048996,12.05679591,11.92544981,13.05860929,15.65681413,15.63961115,11.70353494,14.01540558,0.00267602947466343,2.785043215146,10.7301312419856
"GSM672609",12.5327658,13.31550074,12.08006543,12.91305019,13.26739145,11.24960967,12.10308439,12.67875353,11.29894126,13.58615465,13.56203011,13.35442714,13.53887881,13.41578699,13.36020558,13.35250967,11.89547138,12.69099182,13.87415316,13.68882788,13.51368346,13.38685874,13.51044907,13.9067303,14.39777584,12.11049405,15.44358327,16.04441561,12.42432045,12.25706059,13.38265911,16.0140948,15.80265167,11.73350112,14.26317249,0.00201720101446188,2.87545926217408,10.8820709529057
"GSM672610",11.54112342,10.3660829,11.13121933,13.1136368,13.36649851,8.959613011,10.45615651,11.42663996,9.515833829,10.77360446,10.74508104,10.51230799,10.78052045,10.61030335,10.4894658,10.50502379,10.87436729,11.39696357,13.78840558,13.41777658,13.06224758,12.84075093,13.65388439,11.09734126,11.64474981,10.68377751,15.74199963,16.33439926,11.16270446,10.90156766,10.40149368,16.19371115,13.1468632,10.2696368,13.40705576,0.393800586775456,0.269426918825028,6.50276203693362
"GSM672611",11.51118996,10.46812714,11.11013494,13.01324461,13.48023494,8.9057171,10.51293717,11.21533234,9.338898513,10.79103494,10.9483658,10.77135019,11.16154387,10.68896989,10.75245725,10.3865855,11.00246134,11.39931487,13.66180929,13.2291658,13.00715743,12.99944721,13.56651933,11.34454126,11.78586766,10.73702082,15.75899182,16.18697584,11.19761078,10.83472677,10.45069294,16.20058401,13.28950149,10.24892193,13.42601599,0.366866856648698,0.340163088864289,6.62163068448715
"GSM672626",11.45005353,11.40524758,11.02024349,12.01236766,12.9331223,9.595648699,10.39695242,11.08555204,9.167288104,11.90566059,11.56165688,11.47064201,11.61139071,11.44888067,11.37684758,11.35399554,10.83943569,12.8811052,13.80343717,13.00110632,14.16922491,13.66754238,13.92820372,11.82445613,12.49420967,12.1503,16.15247212,16.4320948,11.40038773,11.19509517,11.41400037,16.37624089,14.09313569,10.24892193,13.47612974,0.295057201927127,0.538670251606651,6.95521218814752
"GSM672627",11.34097472,13.1971145,10.76431338,12.62092416,13.48706506,10.96242974,11.75559182,11.95485762,10.51542156,14.11871338,13.90805539,13.78122565,14.10748848,13.8692948,13.76919963,13.98711561,10.68093011,12.8679223,13.43237621,12.9331223,14.03726022,13.4367223,13.73114758,13.53224944,13.86400483,12.11406171,15.85358848,16.340529,11.22723903,11.00363941,14.07067323,16.24241784,15.44358327,11.92807175,13.81818216,0.0833476839475635,1.38290052966986,8.37389956295752
"GSM672628",11.45127844,12.90368476,10.98619703,13.04023067,13.83229926,10.91817807,12.01236766,12.14299442,10.59812825,14.00869331,13.92068736,13.94393941,14.01120595,13.95989033,13.91563829,13.97082379,10.77540409,13.10225725,13.48706506,13.02354647,13.96283048,13.41578699,13.59032751,13.64276654,14.17215799,12.20520706,16.02135874,16.35571933,11.27260967,10.93698327,14.13440409,16.15247212,15.23706097,12.02449777,13.77875762,0.0640732138411792,1.52145208130744,8.6067286170392
"GSM672629",11.20930781,12.7318948,10.77818476,12.10086896,13.12063532,10.18469814,10.88292825,11.27734684,9.856439033,13.18693197,12.96779907,12.91816022,13.10802045,13.07284758,13.00807138,13.15417807,10.54498996,12.47327881,13.65388439,12.99596394,13.80224126,13.38472454,13.56203011,12.63451004,13.24170669,11.85276729,16.04441561,16.29536729,11.09566766,10.81242528,13.42815502,16.340529,14.98346506,11.39810297,13.48706506,0.148250572589029,1.04396594645917,7.80433670009668
"GSM672633",11.3281881,12.86961896,11.06673011,12.60599777,13.30781115,10.43080074,11.49942454,11.87752714,10.50936506,13.60378104,13.80104535,13.50188959,13.8509658,13.76919963,13.55765056,13.42601599,10.76898067,12.91488662,13.83099145,13.15779442,14.04552862,13.82567398,14.37000297,13.30210743,13.49977695,12.26726022,16.21444944,16.41559814,11.26048625,11.1549132,13.34864684,16.15247212,14.8357223,11.65957844,13.87665688,0.0829567203066412,1.38545481247935,8.3781919093323
"GSM672634",11.34212082,11.93482268,10.98734907,12.45414126,13.26165428,9.727094424,10.21896468,10.92505576,9.604932714,11.8469671,12.01236766,11.90440112,12.27143792,11.94133643,11.97239591,12.16733941,10.67443755,12.30054126,13.59952639,13.11192862,14.01692193,13.6081974,13.94393941,11.78707844,12.24164052,12.03883494,16.26861673,16.20750632,11.10549071,10.99021691,12.24467361,16.29536729,13.44308773,10.85192937,13.19793569,0.204308870345041,0.826328552841637,7.43860778627462
"GSM672635",11.23750149,11.98584164,10.98036283,12.72872639,13.37626729,9.639908922,9.648879926,10.75825539,9.665223792,11.65957844,11.74211264,11.66844684,12.01517881,11.58623978,11.66571561,11.87881301,10.77135019,12.12819442,13.77875762,13.22356468,13.80583271,13.43859219,14.25402268,11.6522461,12.11264312,11.87752714,16.03633346,16.40455576,10.95294498,10.73825836,11.4622,16.23596914,13.40495093,10.54625725,13.30210743,0.277517527831871,0.590232097808795,7.04185932948992
"GSM672636",11.21893048,12.48356283,11.02368327,12.30598216,12.87464238,10.2294197,10.8015829,11.49708959,10.17127509,12.78753978,12.83902974,12.78364684,13.02354647,12.7318948,12.80542751,12.9397052,10.82892454,12.43780892,13.68413234,13.06929071,14.03726022,13.49777063,13.96283048,12.42432045,12.91488662,11.85426952,16.35571933,16.43796617,11.09843086,10.85929926,12.93473197,16.34839145,14.15158996,11.3084513,13.50294164,0.126919224042816,1.14107563852345,7.96752475160715
"GSM672637",11.62863903,12.02055242,11.19886617,12.19816729,12.9632026,9.887065428,10.35158587,10.9651961,9.930198141,12.20380818,12.2903119,12.18422007,12.43925799,12.1644855,12.13786729,12.14374758,10.88235985,12.22743866,13.82567398,13.34303457,14.02274981,13.64514461,14.14266803,12.13522082,12.52835316,11.87367249,16.32825874,16.24893309,11.18252342,10.95179145,12.20027416,16.37624089,13.74295651,10.90156766,13.53887881,0.176424197210834,0.92907852190388,7.61127404530188
"GSM672638",11.45388848,11.36371152,11.08792416,12.08145093,12.89381004,9.046287732,9.364909294,10.55114572,9.205351301,10.96915539,10.97694387,11.00246134,11.25331078,10.99430186,10.97028662,10.98396803,10.7172513,12.3046145,13.71375353,13.2692461,14.02572788,13.69645948,14.04023532,11.33162788,11.97239591,11.90566059,15.98063123,16.32825874,11.21184758,11.15301375,11.11236022,16.42565242,12.67265651,10.29977138,13.32130186,0.40032601298951,0.25250334880782,6.47432281158955
"GSM672640",11.36968216,11.70866914,10.83579108,12.49265874,12.81874535,9.516484387,9.759736431,10.67743309,9.63347026,11.44300781,11.69730632,11.49040595,11.84897658,11.5471777,11.58508885,11.63132268,10.57917807,11.76571784,13.83597807,13.3970368,13.65857993,13.32318773,13.9789632,11.59268067,11.68911078,11.73237063,15.85358848,16.19371115,10.90218086,10.98619703,11.52222045,16.39776617,13.26165428,10.8462368,13.0185829,0.26251804714022,0.635601649225359,7.11810062462937
"GSM672642",11.79360967,12.29315279,11.33658364,12.82026617,13.49977695,10.28171859,11.04454907,11.34212082,10.32731338,12.9007197,13.11793327,13.15779442,13.2904829,12.92828178,12.82942007,12.64499628,11.33991747,12.38281004,13.74743383,13.51480558,13.54539665,13.7522145,13.83859442,12.69711524,13.05512156,11.98850669,16.02851524,16.13797361,11.67967361,11.33414907,12.74445799,16.24893309,14.64878104,11.03990446,13.36832156,0.0601383262401189,1.5536134358225,8.66077418824517
"GSM672643",11.58623978,11.10672639,11.24112156,12.75695279,13.27297993,8.805447212,9.125550186,10.25257509,9.173247955,10.53447063,10.8438829,10.70654424,10.92844275,10.72819517,10.50936506,10.62853197,10.77595948,12.11816134,13.84591078,13.66987732,13.91831896,13.48460855,13.98711561,11.56687732,11.65346208,11.96693457,15.91022379,16.16694238,11.18912454,11.17905353,10.53229405,16.26861673,12.84824535,10.12191822,12.95315316,0.462390511260355,0.0944130842295744,6.20865991336697
"GSM672646",10.58096041,13.44724164,10.18579145,12.25424572,12.98548327,11.99124944,12.59049108,12.86008625,11.6834855,14.66781357,14.60165465,14.55602639,14.97281599,14.58155874,14.64447732,14.65737807,10.43080074,13.05512156,13.68176245,13.48460855,13.59271896,13.38685874,13.88999294,14.07067323,14.2572026,12.60816022,15.95731301,16.1452197,10.41393086,10.19320037,14.61295725,16.13797361,15.90234647,12.35413755,14.26004424,0.153237186758174,1.02264785697459,7.76851270136942
"GSM672647",10.49665279,13.32421004,10.1083052,12.56166506,12.99432751,11.41637175,12.62544387,12.25010112,11.15065874,14.12469963,14.29400892,14.00590855,14.35125911,14.11328476,14.04813494,14.29121375,10.40910855,12.62092416,13.48706506,13.17256729,13.57645651,13.13193197,13.55765056,13.63843383,13.72616989,12.32663717,15.59743048,16.10096283,10.31406059,9.986601859,14.07896877,16.06489257,15.51421413,11.83344498,13.95159331,0.140013054234523,1.08026069217658,7.86532823150604
"GSM672648",10.10585762,12.98636375,9.888286245,12.03546171,12.71352639,10.54625725,11.99575,11.85276729,10.33848885,13.44939033,13.1468632,13.02431227,13.44308773,13.15322658,13.0743855,13.25773792,10.56183123,12.12371933,13.38265911,12.85683234,13.32734535,12.91142379,13.20505651,12.86877063,13.46775725,11.56802119,15.70693346,15.66552974,10.09603011,9.307943123,13.32938104,16.07966952,15.53070669,11.48741822,13.27770093,0.199072042118787,0.844940457584718,7.46988417491677
