"","addA","addB","bdbC","bdbD","comC","comEA","comEB","comEC","comGA","comGB","comGC","comGD","comGE","comGF","comGG","hlpB","maf","minC","minD","mreB","mreC","mreD","nin","nucA","radC","rpsF","rpsR","sbcC","sbcD","spoIIIL","ssbA","ssbB","ybdK","yyaF","comK"
"addA",1,0.979775586920058,0.162926506054345,0.192359177228574,-0.164168311081268,-0.0619058162870596,0.102388700714517,-0.064723303486271,-0.115153710353993,-0.106853584569621,-0.0916152267253857,-0.118731668140855,-0.139019479357319,-0.209092845677447,-0.248387100614909,0.489142023864269,0.361261882316247,0.529823389804893,0.573070053822949,0.249327706878886,0.365564504188999,0.440956397686193,-0.087303579036217,-0.201313456686337,0.296293317860037,0.167300572444305,0.199109822552868,0.948837771898483,0.880937655556258,-0.310623428689907,0.168199788116469,-0.234884144967948,0.0948266695117879,-0.0250166270610782,-0.250347243973582
"addB",0.979775586920058,1,0.154528596920185,0.176113562568637,-0.131410801547824,-0.0607678609587532,0.11232688911497,-0.0510066834989019,-0.122257900154365,-0.114138123718924,-0.105159089420536,-0.130499347943419,-0.151942867645553,-0.210121744552319,-0.244564837430262,0.427200332450101,0.374214699989258,0.550359438253781,0.590686392910266,0.273876306854643,0.377210252472615,0.469181655326905,-0.0812864269865199,-0.201283691318273,0.321710023793539,0.162340360590303,0.194383718013509,0.913823382668187,0.860798877815811,-0.318040862258796,0.158042254630464,-0.225603328440151,0.0922966636570165,-0.0036452274458364,-0.23387427552924
"bdbC",0.162926506054345,0.154528596920185,1,0.891480379630904,0.164659857334953,-0.137788816089165,-0.149787864437746,0.171383727114805,-0.100569406454474,-0.0713894483488278,-0.0444763859131622,-0.0268135855507116,0.0148904494749451,0.139958839367628,0.168293048913919,0.0569275930688655,-0.321549307727458,0.183070942932188,0.329855810394149,-0.0613510719402003,0.00192322929756527,0.0915313698631625,-0.00547708619077135,0.16926197259551,-0.1009419382147,-0.124018497472245,-0.000530015003443603,0.262552901649015,0.301813582980516,0.130325736589695,-0.0838054853725604,-0.0336377121137225,0.073404303937317,0.0458150466781266,0.134747621701856
"bdbD",0.192359177228574,0.176113562568637,0.891480379630904,1,0.114070372341216,-0.00256299856642933,-0.0295066157340852,0.0979837209428809,0.0312849287956662,0.0387357493460388,0.0613675453779786,0.0597114226827754,0.0870902392919061,0.133261561991936,0.13548912314689,-0.0671133487424238,-0.168220197495864,0.107359017526288,0.187275345941237,-0.0980458194232777,-0.0400244904017284,-0.0157141433014171,0.0349661252784803,0.143724975945338,-0.0980720818595595,-0.176818428751564,-0.108404600943551,0.258352269061281,0.235063211689494,0.106682625835566,-0.120663760784793,0.0530405511038844,0.0998197703655115,-0.0100386055000613,0.109639207878182
"comC",-0.164168311081268,-0.131410801547824,0.164659857334953,0.114070372341216,1,0.69292695478663,0.646011323514365,0.91913521687675,0.763564919380827,0.787167697654281,0.787406504140398,0.823238394931831,0.847721946672032,0.91660745764472,0.89929419877988,-0.281143439763754,0.364748949299355,0.266057951793943,0.280675062223456,0.39613448128046,0.367812057230326,0.288460351337501,0.841255163868158,0.903218505949401,0.571602327889962,0.278266247687596,0.29617984027292,-0.159966229937184,-0.0768282570962769,0.877723175632639,0.284774940007278,0.80482315037027,0.854630991451163,0.838251005628584,0.842128644280103
"comEA",-0.0619058162870596,-0.0607678609587532,-0.137788816089165,-0.00256299856642933,0.69292695478663,1,0.948576047554046,0.705574964089867,0.944939778608281,0.935769720298109,0.924729213270116,0.90836835812518,0.877660083246513,0.707378397891284,0.583992137644999,-0.174260511823077,0.64175979620267,-0.081506295718688,-0.137603116496164,0.0223466879327553,0.0203280917004524,-0.118891384523919,0.894163719935388,0.698860107983332,0.422797961474182,-0.0401640688945647,-0.0938901386064229,-0.186257755555292,-0.283072084400878,0.601845607347512,-0.0278675857332146,0.863218312436498,0.701305532509142,0.551290916903428,0.520167644585282
"comEB",0.102388700714517,0.11232688911497,-0.149787864437746,-0.0295066157340852,0.646011323514365,0.948576047554046,1,0.674448126732702,0.861039615283478,0.856172701745967,0.843538492582736,0.820373514553009,0.778670383836227,0.589230007425866,0.456760176218446,-0.0826981496164177,0.694704202174827,0.00700446239751016,-0.0285113963930548,0.0474385856530266,0.0521838108066745,-0.056831871770564,0.839171408195059,0.60795949583738,0.441363860336957,-0.0396981870413234,-0.0890626559111255,-0.0490839849312441,-0.143422419648541,0.464850302104624,-0.0484952796589964,0.76226494853975,0.686242893812352,0.536006839977403,0.439252836108213
"comEC",-0.064723303486271,-0.0510066834989019,0.171383727114805,0.0979837209428809,0.91913521687675,0.705574964089867,0.674448126732702,1,0.746104569298365,0.783371576163379,0.795350766933693,0.823221182878464,0.849857537362706,0.901884696894144,0.868564144624374,-0.189989304007343,0.374509065064256,0.274140435883585,0.296783168458416,0.371192968161935,0.359888692369865,0.28077321095273,0.840558727008909,0.868095740832509,0.56213209487898,0.271684957899569,0.295547474078116,-0.0700654277209034,0.00440973821155252,0.854785931623985,0.263692823741673,0.722588102982839,0.8910520765918,0.846428900395786,0.764653573343764
"comGA",-0.115153710353993,-0.122257900154365,-0.100569406454474,0.0312849287956662,0.763564919380827,0.944939778608281,0.861039615283478,0.746104569298365,1,0.992458472329288,0.986790015391957,0.979293442251689,0.963579634921678,0.836736230241103,0.726883658841838,-0.194948293000661,0.621155241217371,-0.0421715973191944,-0.109967511506511,0.110963561903269,0.111544755540291,-0.0328035718300978,0.933240043548054,0.788094989763881,0.488382496732699,0.0821257023345184,0.0323427052889839,-0.198105128924665,-0.265809698089775,0.751404367923341,0.0905390790507654,0.924033397190943,0.742760978943196,0.609002032309524,0.641774864253793
"comGB",-0.106853584569621,-0.114138123718924,-0.0713894483488278,0.0387357493460388,0.787167697654281,0.935769720298109,0.856172701745967,0.783371576163379,0.992458472329288,1,0.995676111600456,0.99105556510296,0.97612787503864,0.859687800868125,0.749284628477114,-0.197624681282505,0.617295770307251,-0.00708432883166418,-0.0659276982156476,0.140486975947069,0.145306608469173,0.0102847043779481,0.946024384733442,0.801484844775882,0.514600105403909,0.114244083938754,0.0741739401041486,-0.189744869931443,-0.244916972504946,0.771595199301782,0.119996600803836,0.918191144658861,0.764131094017259,0.638802225213198,0.652399053262586
