"","gabD","gabR","gabT","pval","z","inv_cof_var"
"GSM672567",9.270202602,7.868198885,7.522989591,0.491121982158009,0.0222557276838328,6.7962978770648
"GSM672569",9.894642379,9.271420074,8.196510409,0.454731574464861,0.113715722108305,7.53320533496387
"GSM672571",10.01761338,9.284888476,8.253332714,0.465095663863958,0.0876041196951453,7.32282007661091
"GSM672576",8.605266543,7.59643829,7.502536431,0.322509568665422,0.460692638412035,10.3288525351634
"GSM672577",9.377654647,7.356145725,7.661118587,0.480106500994861,0.0498862908857846,7.01892163970109
"GSM672578",8.454589219,7.501630112,7.374932714,0.320797812172957,0.4654690102891,10.3673365092775
"GSM672579",8.990778439,7.380567286,7.427298885,0.46004293836821,0.10032554636896,7.42531859795941
"GSM672580",8.851008178,7.339055019,7.381439405,0.441119199535148,0.148132249129155,7.81050466781692
"GSM672581",8.685659851,7.446739777,7.514108178,0.347427474086261,0.3922751154786,9.7776018684879
"GSM672582",9.137415985,7.526127138,7.875115242,0.358848078774678,0.361539533027568,9.52996048086743
"GSM672583",8.727996283,7.522989591,7.59084052,0.330631375391606,0.438170418322935,10.1473874907302
"GSM672584",8.900716729,7.457263941,8.009399628,0.199402386917494,0.843757777713541,13.415268183762
"GSM672585",11.99639963,8.140407807,11.83742714,2.88765044036528e-35,12.3362947799565,106.01243353924
"GSM672586",8.628068773,7.560428996,8.00638513,0.0633824773527087,1.52698414206035,18.9201296971333
"GSM672587",8.587512268,7.553907435,7.89425539,0.102896555561747,1.26521822478354,16.8110408230424
"GSM672588",12.21495725,7.832026766,11.87177305,4.6894751846471e-08,5.33836306301156,49.6290048660209
"GSM672589",8.813281784,7.454666543,7.911683643,0.209905589078265,0.806748877052919,13.1170816916561
"GSM672590",9.080512639,7.438365428,7.877147584,0.338900390020488,0.415466027174301,9.96445466562155
"GSM672591",9.215022305,7.37402119,8.156835688,0.267796697235555,0.619490323702579,11.6083102841396
"GSM672592",9.082944981,7.47696803,7.871095539,0.34217096292759,0.406545372819471,9.89257956039352
"GSM672593",8.62324461,7.421697026,7.574069517,0.296803296476642,0.533616929478187,10.9164149364823
"GSM672594",8.757617844,7.419965056,7.836457993,0.223715033073477,0.759706460520355,12.7380535952891
"GSM672595",8.576719703,7.288603717,7.468778439,0.326453356022642,0.449727815846524,10.240507247435
"GSM672596",8.913926766,7.3937829,7.770391636,0.323047551331679,0.459193660447078,10.3167750356123
"GSM672597",11.35176059,8.019628996,11.11879647,1.05479636107349e-14,7.64376561831774,68.2039932765837
"GSM672606",8.410509294,7.528486617,7.410212639,0.285431530357695,0.566780882458332,11.1836220846815
"GSM672607",9.401242751,7.868198885,7.835530855,0.442394448444527,0.144901177308906,7.78447141758186
"GSM672610",11.10190223,8.255571375,9.500806691,0.37902309413912,0.308047500645498,9.09896682239876
"GSM672611",11.2654855,8.083214498,9.302730483,0.460799939202017,0.0984186343965409,7.40995431040532
"GSM672612",12.30746208,8.075726022,10.6408119,0.349326422876336,0.387139622478398,9.73622439940263
"GSM672613",12.63887881,8.373463569,10.90156766,0.356472028575342,0.367905019735138,9.58124820133453
"GSM672614",12.29611413,8.270647955,10.33848885,0.423297127591743,0.193465713814576,8.17576347227353
"GSM672615",12.31870483,8.381562454,10.91080595,0.265409647419781,0.626755839432678,11.666849678994
"GSM672616",12.91488662,8.35060855,10.78935632,0.437436055918416,0.157472966292289,7.88576428469043
"GSM672617",12.70008885,8.466633086,10.9382052,0.360847631187885,0.356194030191297,9.48689092973683
"GSM672620",9.537186989,7.446739777,7.866197398,0.463038877414378,0.0927807367596458,7.36452888870436
"GSM672621",9.789263569,7.479533457,7.989135316,0.481857529522629,0.0454921158365595,6.98351708511452
"GSM672630",9.912310037,7.399576208,8.047924535,0.490355081295296,0.0241785815402897,6.81179061086813
"GSM672647",8.753202416,7.40575539,7.372210409,0.41936950396287,0.203506701900456,8.25666528132919
"GSM672648",8.80037881,7.428180669,7.228956877,0.470522278780136,0.0739570540184883,7.21286353726439
"GSM672649",8.950156134,7.403566357,7.303552045,0.482037181803397,0.0450413327382003,6.97988505529464
"GSM672650",8.721894796,7.342844981,7.227946097,0.453940753584393,0.115711102084723,7.54928242304175
"GSM672666",9.612678067,8.297544238,7.833525279,0.484315919385092,0.0393242927614577,6.93382197140229
"GSM672684",9.455064684,8.165575836,7.779686989,0.467500997600846,0.0815532289864269,7.27406710523533
"GSM672687",9.621913755,8.166616729,7.852019888,0.481973427960393,0.0452013026850764,6.98117395813828
