"","gapB","ccpN","pckA","speD","sr1","pval","z","inv_cof_var"
"GSM672552",16.26861673,12.44507026,16.24893309,16.3698197,16.41206468,3.09104429883055e-05,4.00575046855707,207.581460862126
"GSM672554",10.12797993,13.15597175,10.7701803,11.35768476,10.74380595,0.499229570375521,0.00193118188071074,21.4053464934107
"GSM672555",16.13797361,12.71816097,16.17336691,16.26861673,16.34839145,0.00066384126667516,3.20992793679503,170.576007797953
"GSM672556",16.20058401,12.56626989,16.28248513,16.37624089,16.40455576,0.000455180870636674,3.31685707510649,175.548173137651
"GSM672557",16.12363346,12.56473271,16.18697584,16.32106729,16.23596914,9.60706935535596e-05,3.72913081940103,194.718749598087
"GSM672576",15.11127918,11.29705353,15.30855836,15.45057695,15.68968439,0.183762092378735,0.901120630884363,63.2173229364869
"GSM672581",15.68112788,11.05744312,14.82197844,16.16694238,16.39080818,0.488292837105757,0.0293497186525755,22.6802983012629
"GSM672582",15.53483903,11.09389405,15.10605167,16.27558253,16.31574647,0.453056176415213,0.117943592028887,26.7998806103255
"GSM672583",15.64881152,11.02258996,14.84014647,16.30243048,16.45100446,0.498282853215753,0.00430426197165711,21.5156938389786
"GSM672610",15.58944684,11.75559182,16.35571933,16.34839145,15.55620743,0.380460702904943,0.304271040976307,35.4640379964253
"GSM672611",15.63036543,11.71235911,16.32106729,16.13797361,15.37522491,0.374738580694035,0.31932884530521,36.1642203223881
"GSM672612",15.25573643,11.06557435,15.33721524,15.63961115,16.33439926,0.41001073636966,0.227517358833734,31.8950201957599
"GSM672613",15.31526691,10.8252368,15.47494981,16.00569294,16.41206468,0.413766230286819,0.217867358242825,31.4462987413101
"GSM672614",15.1410658,10.9960132,15.18381933,15.63961115,16.4191316,0.457462001765477,0.106829802823344,26.2830935272805
"GSM672615",15.16584238,10.93927732,15.26837881,16.05834275,16.4191316,0.461505335474429,0.096642038348024,25.8093662513191
"GSM672616",15.47494981,10.4357777,15.86955019,16.16017398,15.79347546,0.226564554588015,0.750208551624434,56.1999671278934
"GSM672617",15.82913494,10.55808699,15.85358848,16.09371152,15.53070669,0.154554253084801,1.017094437589,68.6100620075707
"GSM672622",15.12831859,10.94953011,14.47120892,15.58944684,15.90234647,0.472177395136238,0.0697975587545893,24.5611078897124
"GSM672630",16.22890372,11.35058922,16.18018922,16.29536729,16.4320948,0.00303387601505454,2.74409746155645,148.915063178636
"GSM672631",16.30918699,11.36371152,15.94142974,16.35571933,16.4320948,0.126112120749253,1.14496358700478,74.55593011033
"GSM672632",16.32106729,11.51240149,16.02493699,16.3698197,16.44384015,0.0737513600847246,1.4484089251482,88.6660259797517
"GSM672642",14.66175056,12.39153123,15.4277855,15.09480297,14.10461152,0.460639742709552,0.0988221449613221,25.9107404016271
"GSM672643",14.28505874,12.5327658,15.41281338,15.1410658,14.54790446,0.438267806171824,0.155362415606694,28.5398420519289
"GSM672644",14.50400372,12.48520074,15.41281338,15.36026208,14.65737807,0.410102224500789,0.227282025466044,31.8840772812973
"GSM672646",13.82848513,12.00570595,14.73161599,14.8169052,15.12307993,0.457682599446471,0.106273698572481,26.2572348855196
"GSM672647",14.25258736,11.89681338,14.79444089,15.00514164,15.16584238,0.366448813512325,0.341273591144328,37.1846428786038
"GSM672648",14.6281855,11.56918327,15.16584238,15.35256022,15.29518476,0.300215718601742,0.523780184515857,45.6711318951419
"GSM672649",14.42564907,11.46694833,15.19678141,15.22313234,15.1469052,0.350544467459814,0.383850933514907,39.1644735340681
"GSM672650",14.40846283,11.58383606,15.21045093,15.26837881,14.94641301,0.358986986591174,0.361167851527058,38.1097186203141
"GSM672674",15.11720743,11.24960967,14.34949888,15.10605167,15.58130781,0.430221406122659,0.175810510280443,29.4906708831078
"GSM672675",15.18381933,11.85025242,14.84014647,15.03851413,15.10605167,0.0409520310171256,1.73974353050798,102.212977258877
"GSM672676",16.00569294,11.33991747,15.85358848,15.86955019,16.35571933,0.154182954059965,1.0186568427359,68.6827132684023
"GSM672677",16.10869665,11.51739071,16.21444944,16.0724342,16.30243048,0.00203411342287456,2.87282244768435,154.900727371626
"GSM672678",16.07966952,11.53991375,16.13797361,16.04441561,16.22155539,2.90111106138345e-05,4.02071315566479,208.277220272522
"GSM672679",16.09371152,11.46510855,16.23596914,16.06489257,16.39776617,0.034149942054187,1.82302315420129,106.085448925344
"GSM672680",16.09371152,11.284429,16.32825874,16.05140074,16.3698197,0.0444836613098391,1.70087041784428,100.405391913248
