"","glnH","tnrA","glnM","glnP","glnQ","nasA","nrgA","nrgB","yrbD","ywrD","yxkC","pval","z","inv_cof_var"
"GSM672557",7.337226766,10.73932156,7.151679554,7.114518587,7.285741264,8.449340892,7.878071747,11.74338513,8.927639405,7.071169888,13.31340074,0.435358497704284,0.162747818177152,3.96055558263877
"GSM672563",7.332940706,8.848271747,6.988712639,7.238964312,7.295992007,9.761062825,7.571387732,11.59898848,9.363718587,7.064322677,12.95834721,0.370531819445567,0.330445139411382,4.08663029031464
"GSM672564",7.302495911,9.035304089,7.015959108,7.421697026,7.419965056,10.0087881,7.586030483,11.54819108,9.342381784,7.050248699,12.66787807,0.290982347292818,0.550517182985497,4.2520802710122
"GSM672572",8.529390335,11.37209145,7.47143829,7.499016357,8.522198513,7.569546468,7.675475093,11.01078959,8.094953903,7.163301115,12.48208364,0.0768616204900835,1.42650286336519,4.91064558242737
"GSM672573",9.443779926,10.85080967,8.066166171,8.082105948,9.45124052,7.705065799,7.808284015,11.08324498,8.120082156,7.140640149,12.23151078,0.0164985633670483,2.1321182495122,5.44112664727289
"GSM672574",9.539726022,10.89479591,7.943737175,7.901559108,9.670372119,7.741947584,7.780598141,11.34337435,8.147725651,7.120526022,12.86008625,0.0851489400155293,1.3712472928827,4.8691044901501
"GSM672576",14.51143346,11.08918216,12.6836,12.57254721,14.18383309,7.384224535,7.492813011,10.1611948,11.49468773,7.091472119,12.09768922,0.45842259544988,0.104408483147738,3.91669611872066
"GSM672590",14.41200297,9.94911487,12.59489368,12.18563792,14.34210483,7.154222305,7.511424907,11.75807658,12.04929591,7.141876952,10.35158587,0.463276081792805,0.092183605383535,3.90750546570872
"GSM672591",14.54011041,9.775313755,12.58602528,12.08955204,14.31325613,7.152958364,7.575073978,11.70353494,12.17742788,7.087793309,10.3563777,0.471171243384028,0.0723259837902032,3.8925765221866
"GSM672592",14.56695242,9.80762342,12.71058885,12.27727844,14.45737881,7.206927881,7.583214498,11.77196952,12.26289851,7.124948327,10.21271413,0.485606447239414,0.0360871173810636,3.86533217233407
"GSM672593",14.35301933,10.28171859,12.33017993,11.99907435,14.2410829,7.182719331,7.499842751,11.63132268,12.09093494,7.106628996,10.5828145,0.434928497470111,0.163840135602168,3.96137678597723
"GSM672596",14.25115204,10.35981673,12.55874387,12.2163461,14.34210483,7.005772862,7.337226766,11.44888067,12.04352379,7.180258364,10.25985874,0.487934496662221,0.0302483438635462,3.8609425872233
"GSM672598",7.20119777,10.20237528,6.948236803,6.914249814,7.11902119,8.887666543,9.895909665,10.71840037,8.676308922,7.578592565,10.70532379,0.0132483710718006,2.21885277632503,5.50633359293458
"GSM672599",7.275465799,10.4224948,6.965320818,6.997829368,7.296479182,9.068281041,10.33478216,11.22608885,8.937118216,7.573260223,10.8462368,0.0359946191190701,1.79918615834217,5.19082857595458
"GSM672600",7.143272862,9.723099628,6.948236803,7.007748885,7.285741264,8.985678439,8.351857993,9.45124052,8.64275539,7.480480297,10.57562602,7.66610391231689e-05,3.78562607222763,6.68423246347985
"GSM672601",7.053049071,10.10015874,6.948236803,7.009724907,7.044994424,9.107285874,9.866851301,10.63088401,8.840472491,8.073085688,10.29234758,0.00416682400359981,2.63824446948905,5.82163192166272
"GSM672602",7.093293309,9.809530483,7.061997398,7.098571004,7.637442007,8.657939777,8.586830855,9.742029368,8.453936617,7.716571004,10.66433346,3.01758346267867e-05,4.01143157618716,6.8539928549624
"GSM672603",7.310779182,10.41699888,6.928560223,6.978382528,7.644668959,9.147713011,9.409023792,10.53672193,8.782315242,7.970501487,10.81962416,0.00169117450889071,2.9306672170673,6.04147510190772
"GSM672604",7.05796171,10.45131152,6.842628253,6.956875093,7.042702602,9.405123048,9.624618587,10.66433346,9.070645725,8.127392193,10.50936506,0.0082947009349454,2.39568363793736,5.63927488872729
"GSM672605",7.122816543,10.38173197,7.039841264,7.024008922,7.188427509,8.940002974,9.560557621,10.57109665,8.814584758,7.792295911,11.03527658,0.00859661557548116,2.3825492679487,5.62940048021176
"GSM672610",7.05993829,10.49409517,6.8905,7.064322677,7.009724907,8.104169517,8.205537918,10.29977138,8.562611152,7.141876952,10.95179145,0.00929348154798567,2.35371285095437,5.60772128571884
"GSM672611",7.025510037,10.17371152,6.842628253,6.997829368,6.972086245,8.151339033,8.125321561,10.28401264,8.413599257,7.239541264,11.64474981,0.0503981450092127,1.64100542043705,5.07190842776994
"GSM672612",9.396359108,11.7049197,7.689591822,7.706968401,9.15257658,7.644156134,7.691536431,11.66456952,8.60996171,7.020879926,7.704079926,0.000888617553851199,3.12513494256014,6.18767577740721
"GSM672613",9.02275948,11.56165688,7.421697026,7.429003346,8.668460967,7.572286989,7.597465056,11.72602565,8.634802974,7.083947212,8.525611524,0.000953428927821561,3.10436832272058,6.17206344975391
"GSM672614",8.487209294,11.88011524,7.330529368,7.491978439,8.524420446,7.187255019,7.381883829,11.48142862,8.050930112,7.117533829,9.300388104,0.00120538646376576,3.03432159626923,6.11940237862881
"GSM672615",9.29452974,11.48629777,7.658371375,7.675475093,8.930201115,7.719055204,7.724405948,11.68734461,8.818431227,7.055417844,7.969496654,0.000447433521406826,3.32165051015599,6.33541601890932
"GSM672616",7.850618216,10.72404349,7.085886989,7.257305576,7.621493309,8.291892937,8.434796283,12.26155651,9.314887361,7.087793309,10.31773494,0.041098003442124,1.73808403884017,5.14489205295055
"GSM672617",7.951738662,10.53548253,7.224612639,7.330054833,7.726288476,8.232792937,8.663332342,12.18563792,9.249828996,7.159424535,10.629771,0.0296089816655902,1.88657164673571,5.2565249139953
"GSM672618",13.27671636,12.27877435,10.98734907,10.83013309,13.00624349,14.3805052,14.70664796,16.02135874,14.15794052,10.09368364,7.74787026,0.0717127433003475,1.46315311527121,4.93819921155687
"GSM672619",13.18166543,12.13645688,10.65138476,10.79800781,12.92503755,14.36693011,14.78045019,16.10869665,14.22852825,10.07917026,7.682583643,0.0992622845046428,1.28576648830371,4.8048400918289
"GSM672620",12.57725279,8.346910409,10.76552491,10.70275725,12.59922416,8.032024535,8.188528253,11.50287249,11.19638364,7.042702602,10.95058736,0.0220827710538276,2.01251628183138,5.35120998669751
"GSM672621",12.52395651,8.538096654,10.88470892,10.98335762,12.44507026,8.099323048,8.197505948,11.43697807,11.44300781,7.064322677,10.56404164,0.0167858901712461,2.12517779250065,5.4359088174207
"GSM672622",12.13645688,9.235304461,10.01256431,9.982824907,12.13914164,7.788498141,7.677404833,11.8217948,10.34696877,6.965320818,10.34576506,0.0301182871952965,1.87905799808526,5.25087615914214
"GSM672623",11.752071,10.73825836,9.869347584,9.746404647,11.73293587,7.569546468,7.565977695,11.29045911,10.12191822,6.965320818,10.58402416,0.0150509170756508,2.16874782738573,5.46866473368183
"GSM672630",13.95421375,11.20569219,11.88637695,11.81046245,13.89516245,7.265292565,7.152958364,11.82298996,10.33722862,7.061997398,10.98274721,0.399196555331985,0.255427270101186,4.03023191809175
"GSM672631",12.18015093,11.29526506,9.920510595,9.864845911,12.05292342,7.392457621,7.066749814,12.61945911,8.666607063,7.03734461,10.60397212,0.176707354498765,0.927986236740576,4.53586119403831
"GSM672632",12.25706059,11.4235684,10.04656803,10.07542639,12.22466394,7.586030483,7.05796171,12.26996654,8.767733086,7.061997398,10.6673,0.138419019067406,1.08744987807755,4.65574582796401
"GSM672639",7.242649442,10.36110929,6.988712639,7.034201115,7.251828625,8.356741636,9.052309665,10.48335762,8.30718513,7.235277695,13.8692948,0.434618351266755,0.164628112515918,3.96196918637054
"GSM672645",7.267130483,10.61326914,6.965320818,7.120526022,7.158062082,8.410509294,9.060899257,10.47617472,8.416739033,7.302495911,13.63843383,0.367875023501221,0.337486686118526,4.09192411931653
"GSM672646",11.11582156,9.004359108,8.767733086,8.646530112,10.9382052,7.341880669,7.357145725,9.665223792,9.184917472,7.034201115,14.93051896,0.41773690225433,0.207686442086342,3.99434040299851
"GSM672647",11.58882602,9.661409665,9.079943123,9.139572491,11.27260967,7.324245353,7.407115242,9.70606803,9.356207435,7.055417844,14.99943048,0.414558773593559,0.215833483689212,4.00046534215046
"GSM672648",12.45414126,10.70593401,10.02762937,10.30645781,12.33753643,7.127989963,7.374932714,10.2208684,9.557981784,7.190951301,14.86847249,0.422478112919467,0.195557885997891,3.98522216454289
"GSM672649",11.36494387,9.80762342,9.139572491,9.158375465,11.02599331,7.232099628,7.395085502,9.666511896,9.324178625,7.083947212,14.98346506,0.397965187240982,0.258617506447079,4.03263033514317
"GSM672650",11.26665725,10.11953383,9.053477323,9.086720446,10.97694387,7.103652416,7.411239405,9.565701487,9.130303346,7.263282528,14.74947249,0.353401087150836,0.376154318355862,4.12099441331383
"GSM672663",8.088671747,9.636028996,7.413121933,7.368476952,8.115733457,7.599091078,7.646154275,11.11460186,8.93649368,6.972086245,14.26634535,0.489024412347809,0.027515189838095,3.85888780428308
"GSM672665",8.03609145,9.681794424,7.248830483,7.371171004,7.953687361,7.707991078,7.582311152,10.80641041,8.771788476,7.120526022,14.36693011,0.49887924394931,0.00280932250095155,3.84031395361281
"GSM672666",9.210145725,10.45909944,8.043572119,8.112798513,9.140726766,7.818343866,8.205537918,10.1576368,8.346910409,7.303552045,14.86847249,0.321901447621591,0.462388290019187,4.18582504202732
"GSM672667",8.625594052,10.62915149,7.604586617,7.698256877,8.465450186,8.127392193,8.302290706,10.20362026,8.247687361,7.272425279,14.95582342,0.430821857265344,0.174282165608525,3.9692270955165
"GSM672668",8.248820818,11.53286245,7.37402119,7.46099777,8.226478996,8.171969145,8.494200372,10.29234758,8.261359108,7.311718959,14.98879926,0.49372064360834,0.0157406622602397,3.85003572416949
"GSM672670",7.883198141,12.99944721,7.093293309,7.249794424,7.791298513,9.126830483,9.803089219,10.93189145,8.262543494,7.493245725,14.64045799,0.471477263813672,0.0715569167015515,3.89199833818419
