"","glnH","glnM","glnP","glnQ","nasA","nrgA","nrgB","yrbD","ywrD","yxkC","tnrA"
"glnH",1,0.977390220281878,0.976440566270746,0.997834893179773,-0.213800472202272,-0.151341804017068,0.225926992454426,0.740780196960859,-0.0784631051917237,-0.262585979097636,0.0357305313615104
"glnM",0.977390220281878,1,0.997629752242587,0.981427080314942,-0.208271818685824,-0.138247737548542,0.174440365953408,0.787291111921444,-0.0612075723886405,-0.265037423150164,-0.00662574027708382
"glnP",0.976440566270746,0.997629752242587,1,0.979891680353004,-0.197944879315379,-0.135659051908011,0.175371939626047,0.795756126350039,-0.0525648477966135,-0.260621544814355,-0.0155870523099658
"glnQ",0.997834893179773,0.981427080314942,0.979891680353004,1,-0.214949798190107,-0.153419813154446,0.214930378495757,0.739463315847749,-0.0787183075960497,-0.260905202419139,0.0287618594255559
"nasA",-0.213800472202272,-0.208271818685824,-0.197944879315379,-0.214949798190107,1,0.888015724181622,0.58696464449234,0.243184228714246,0.828505663581394,-0.250942856000839,0.324770535627491
"nrgA",-0.151341804017068,-0.138247737548542,-0.135659051908011,-0.153419813154446,0.888015724181622,1,0.475236248607252,0.310528338626918,0.85255656899259,-0.28229715572645,0.411180648964914
"nrgB",0.225926992454426,0.174440365953408,0.175371939626047,0.214930378495757,0.58696464449234,0.475236248607252,1,0.403774436466615,0.459356424114532,-0.496716807508129,0.241405481189843
"yrbD",0.740780196960859,0.787291111921444,0.795756126350039,0.739463315847749,0.243184228714246,0.310528338626918,0.403774436466615,1,0.361285120803699,-0.478484225621172,-0.0491497762894363
"ywrD",-0.0784631051917237,-0.0612075723886405,-0.0525648477966135,-0.0787183075960497,0.828505663581394,0.85255656899259,0.459356424114532,0.361285120803699,1,-0.28406795951952,0.196257577344885
"yxkC",-0.262585979097636,-0.265037423150164,-0.260621544814355,-0.260905202419139,-0.250942856000839,-0.28229715572645,-0.496716807508129,-0.478484225621172,-0.28406795951952,1,-0.201435365786697
"tnrA",0.0357305313615104,-0.00662574027708382,-0.0155870523099658,0.0287618594255559,0.324770535627491,0.411180648964914,0.241405481189843,-0.0491497762894363,0.196257577344885,-0.201435365786697,1
