"","adhA","adhR","yraA","pval","z","inv_cof_var"
"GSM672550",9.292084387,9.254076394,11.82445613,0.385934957145952,0.28992983777908,5.89631006428868
"GSM672551",9.231700743,9.418096283,11.8123119,0.416211795173277,0.211594256734611,5.76621704625171
"GSM672557",10.08906357,9.620627138,12.70310595,0.325657899254301,0.451935015086483,6.16535437560325
"GSM672558",9.207777695,9.493057993,11.59652825,0.327169161845641,0.44774350005788,6.15839346674233
"GSM672560",9.237713383,9.738382528,11.94133643,0.470154032438535,0.0748826703753832,5.53917816260573
"GSM672561",10.49409517,10.15888587,12.8108052,0.15323977281306,1.02263692195149,7.11312718169734
"GSM672562",10.03850483,9.879227881,12.65458104,0.332535627340049,0.432922250543329,6.13377960603282
"GSM672563",11.6362881,11.08451636,12.65911338,3.610167389597e-12,6.85322507106334,16.7960681790713
"GSM672564",11.45388848,10.85750743,12.77412974,2.64272365656475e-06,4.55312648329139,12.9762616099979
"GSM672565",10.85440372,10.65969257,13.2749487,0.162576200466283,0.983924978887343,7.04883770506179
"GSM672566",8.599350558,8.889076208,11.09151115,0.458727479922929,0.103640104984213,5.58693604490369
"GSM672567",8.594514498,8.962276952,11.08153048,0.456973045823913,0.108062528903703,5.59428042745699
"GSM672568",8.573867658,9.078164312,10.90279405,0.381984129024001,0.300273876288345,5.91348855674918
"GSM672575",7.87255948,7.763843123,9.980197026,0.364642925545237,0.346075665225936,5.98955224166653
"GSM672576",7.982855019,7.798363941,9.775313755,0.169087004523253,0.957779399804287,7.0054173685316
"GSM672577",8.447001487,8.39470223,9.749528253,0.00359674346715143,2.68775168067979,9.878407038598
"GSM672578",7.958960223,7.977637546,9.503286989,0.0600967874657273,1.55396160679885,7.99550567289791
"GSM672579",8.111744238,8.113799628,9.773924535,0.093240147860221,1.32106318914664,7.60872794501954
"GSM672580",8.028971747,8.155705948,10.22252528,0.388890416885134,0.282212161341682,5.88349320882419
"GSM672581",8.151897026,8.161189963,9.996260595,0.176419256486552,0.929097590690268,6.95778507857277
"GSM672582",8.167665428,8.561458364,10.36471933,0.370320993399288,0.331003308068205,5.96452136290829
"GSM672583",8.097211524,8.327762825,9.982824907,0.205520631368283,0.822062612444843,6.78003056178984
"GSM672584",8.556642751,9.774619145,10.18109182,0.0493881175225861,1.65081559358556,8.15635247178544
"GSM672585",9.02275948,10.0484855,11.22497212,0.256477902591807,0.654242157251685,6.50132873545088
"GSM672586",8.371118216,9.752649814,9.964272119,0.0505273557614121,1.63976176233626,8.13799521638606
"GSM672587",8.341881784,9.977751673,10.08466636,0.107246233105796,1.24130671173417,7.47627522409447
"GSM672588",9.159348327,10.19692082,11.24592528,0.183172065767788,0.903342529013269,6.91501327987522
"GSM672589",8.374791822,9.798108922,10.30923346,0.197119826606625,0.85195394677934,6.82967152755378
"GSM672590",8.180901859,9.576361338,10.37092045,0.364551124743397,0.346319986983472,5.98995799029807
"GSM672591",8.239889591,9.441220446,10.43017082,0.356111323990207,0.368872652880982,6.02741152459587
"GSM672592",8.179828996,9.232905204,10.51293717,0.440053651558063,0.150833191049301,5.66531027682776
"GSM672594",7.733329368,9.945725651,9.931396283,0.435938423608982,0.161274956051755,5.68265106507099
"GSM672595",7.690520446,9.377654647,9.643798885,0.302201506496276,0.518079198465022,6.27520096544881
"GSM672598",9.069464312,9.259065613,11.53926022,0.385013263044097,0.29234019911225,5.90031298577354
"GSM672600",9.334962454,9.400000372,11.60389777,0.2518063727875,0.668816177801975,6.52553201948912
