"","glvR","ccpA","malA","malP","manR","pval","z","inv_cof_var"
"GSM672552",11.89411264,12.8811052,11.79868662,11.34337435,11.38636171,6.33882659324294e-11,6.43098876570726,41.2605627388762
"GSM672553",10.77595948,12.68798067,11.00720223,10.33111822,10.9483658,1.08217238673344e-07,5.18463831052305,35.1976477643104
"GSM672554",10.55114572,12.6418026,11.08451636,10.09834833,10.81730223,0.000815231463810411,3.15040137940055,25.3020317277322
"GSM672555",11.40274498,12.39001859,11.88133755,10.80522639,10.49665279,0.0485576812077756,1.65900213336529,18.0470684192726
"GSM672556",11.22259814,12.18563792,11.87491115,10.91817807,10.3660829,0.057631715806326,1.57496973052037,17.6382898839593
"GSM672557",11.64474981,12.26155651,12.38281004,11.173071,10.60397212,0.141025673604982,1.0757225769115,15.209684806604
"GSM672558",9.613957249,13.25572045,8.917146097,7.599091078,9.10509368,0.476754828637781,0.0583000128572889,10.260397490659
"GSM672560",9.524164684,13.30210743,8.910074535,7.718559851,9.312601859,0.417183744465602,0.209103440516851,10.9939859897605
"GSM672566",9.888286245,12.72717732,9.748265056,9.06446803,10.3697052,0.047091554599836,1.67373287773061,18.1187266356494
"GSM672567",9.767536431,12.59922416,9.645053532,9.332309294,10.36912677,0.00497492254399109,2.57756748448393,22.5154613975472
"GSM672568",9.679448327,12.41861375,10.07806877,9.092923048,10.31164684,0.0424463426752261,1.72297699465799,18.3582763487229
"GSM672569",10.0742026,12.87464238,8.917146097,9.085415985,9.784247584,0.0710610219136564,1.46793439655084,17.1176127931521
"GSM672570",10.19692082,12.74603086,9.10020223,9.254644238,9.877958736,0.0385423476559216,1.76785770358085,18.5766001123687
"GSM672571",10.00255502,12.4547881,9.316182528,9.219752416,10.04591561,0.00678393111740681,2.46850535408454,21.9849248852796
"GSM672572",10.30587918,11.99907435,9.880541264,8.993447584,9.520383643,0.0637809087955008,1.52378744201518,17.3893118680892
"GSM672573",10.51230799,12.08217398,10.18579145,9.293330483,9.530714498,0.0617091133235076,1.54058333404325,17.4710160668276
"GSM672574",10.65360335,12.11117286,10.41887398,9.116951673,9.496931227,0.231960883910344,0.732404410112033,13.5396016884321
"GSM672575",10.30466134,11.4657,9.222212268,8.678208922,9.321043123,0.212772376964931,0.796838634656217,13.8530442063359
"GSM672576",10.3660829,11.67638104,9.590351301,8.740119703,9.326156134,0.19900752560726,0.845171573539255,14.0881614622408
"GSM672578",11.08095762,12.01652491,10.15945743,9.529989033,9.546230855,0.214734723569439,0.790099867695645,13.8202632409618
"GSM672579",11.15065874,11.7195487,10.92735539,10.0326223,9.601017844,0.191160891562923,0.873626328701574,14.2265806046687
"GSM672580",10.75245725,11.83474164,10.76186208,9.762339033,9.317263941,0.205306699618976,0.822814659000595,13.9794054768133
"GSM672581",11.88011524,11.84635353,11.59268067,11.05514201,9.500806691,0.467322679711967,0.0820017027441392,10.3756951823634
"GSM672583",11.66956506,11.61880967,11.55933717,10.85192937,9.423149442,0.455754445159776,0.111135509897738,10.5174175967317
"GSM672604",9.557981784,13.44724164,8.833879926,7.598236431,9.348395911,0.493567328158511,0.0161250158861032,10.0552357565534
"GSM672605",9.56301487,13.53887881,8.688081413,7.665011524,9.474102974,0.49456659670326,0.0136199434091048,10.0430497446898
"GSM672618",9.258460595,10.82065651,9.480399628,8.917844981,8.168757621,0.123458011800334,1.15787261718113,15.6093065239469
"GSM672619",9.358621933,11.08324498,9.813261338,9.153155204,7.962027881,0.377908753073254,0.310977789939782,11.4895572924156
"GSM672627",9.761062825,12.38714758,9.107860223,8.127392193,9.132736059,0.241663975827647,0.700960042825641,13.3866394742383
"GSM672628",9.70606803,12.44648699,9.089297398,7.86312974,8.923778439,0.368530469000802,0.335747957559251,11.6100526310725
"GSM672629",9.75460855,12.47178253,8.990778439,7.981871747,8.901939033,0.318779525234362,0.471114388695399,12.2685473257028
"GSM672630",12.06771041,11.55433086,12.41567323,10.94953011,10.00068439,0.471577173063398,0.0713058416190184,10.3236647953149
"GSM672633",9.069464312,13.06752156,7.931394796,7.249794424,7.801209294,0.45790074242143,0.105723814702679,10.4910922179432
"GSM672634",9.460184387,12.87794796,8.523889219,7.523875465,8.196510409,0.460185630676424,0.0999660716861639,10.4630834775369
"GSM672637",9.646335316,12.66205019,8.752569145,7.805177323,8.444594424,0.3917084431926,0.274868997566609,11.3139048207675
