"","gmuA","abrB","ccpA","gmuR","gmuB","gmuC","gmuD","gmuE","gmuF","gmuG","gntK","gntR","gntP","gntZ","pval","z","inv_cof_var"
"GSM672549",11.31913494,14.13440409,13.46152045,11.56165688,12.07722007,11.26294796,11.52583048,11.31026896,11.42728327,11.35176059,11.29526506,10.75600112,11.88757881,13.83859442,0.0658089685920395,1.50775228948052,15.1496388913482
"GSM672550",10.91210632,13.84343978,12.87714387,11.27025613,11.86915669,10.84047993,11.11351933,10.99077807,11.06789331,10.95881636,10.5411119,9.679448327,11.21415576,13.59271896,0.222798913919534,0.762774606399505,12.1798197480318
"GSM672551",10.94725613,13.94112825,12.64667732,11.24415669,11.45005353,10.92964758,11.17542156,11.04578699,11.21668625,11.13599963,10.38901375,9.486692565,11.04117175,13.46775725,0.210183177184662,0.805785822123989,12.3512819739976
"GSM672552",10.09014535,13.19966617,12.8811052,10.55341784,11.02599331,9.937569888,9.977751673,9.571112639,9.367478067,9.513952416,11.27734684,11.15552937,11.6182171,11.69867212,0.207301759068103,0.815819256197265,12.3912797957589
"GSM672553",8.871863197,13.81311004,12.68798067,9.763730112,9.620627138,8.979176952,9.242672119,9.062107435,9.010486245,9.254644238,11.3224881,11.12637026,11.33772937,11.60144089,0.493826133657654,0.0154762057072508,9.20074917108914
"GSM672554",9.213757621,13.44091413,12.6418026,9.918536803,9.406495911,9.151963755,9.347269517,9.309149814,9.187816729,9.247679926,11.24532862,11.03646654,11.05398736,11.58256431,0.372877941569923,0.324240604583411,10.4316241937672
"GSM672555",9.41349145,11.8281881,12.39001859,9.964272119,9.593611524,9.430920818,9.627257249,9.45124052,9.374982156,9.310286617,9.724398885,9.424471375,9.913620818,10.50661152,9.91478943925768e-07,4.75515340153805,28.0952535153054
"GSM672556",9.296919703,12.22879703,12.18563792,10.02011078,9.734589219,9.389882528,9.793090335,9.509933457,9.406495911,9.425710781,9.912310037,9.151350929,10.11526543,10.69994572,0.000488877799314354,3.29685041726409,22.2817959879056
"GSM672557",9.662597398,12.30054126,12.26155651,10.26107435,9.84866803,9.839937175,10.2305684,9.801787361,9.680681413,9.59425316,10.15135502,9.138475093,10.39021747,10.98499331,0.00139227292129076,2.99057297774402,21.0608351138955
"GSM672569",8.60996171,14.961471,12.87464238,9.82355539,9.202943866,8.478445725,8.680669517,9.471579554,9.493057993,9.477271004,10.17371152,10.1266829,10.28280446,10.7487777,0.14997946359818,1.03652147255755,13.2710989930379
"GSM672570",8.696739033,14.99403494,12.74603086,9.897079554,9.374982156,8.565359108,8.830134572,9.650143866,9.601017844,9.745832714,10.33848885,10.1033316,10.27670223,10.97369777,0.14223221465751,1.0703441481438,13.4059315279117
"GSM672571",8.755100372,14.8030119,12.4547881,9.837497398,9.35735539,8.628068773,8.889076208,9.52794684,9.624618587,9.59425316,10.40149368,10.24892193,10.39292119,10.86752045,0.127866136937097,1.13653608120297,13.6698026134444
"GSM672572",7.899507435,13.15065688,11.99907435,9.364909294,8.49786803,7.779197026,8.076719703,9.169653903,9.288671004,9.376255762,9.070645725,9.131537546,9.276272862,10.25749294,0.215206841588021,0.788483949806634,12.282308858708
"GSM672573",8.134901115,13.03748513,12.08217398,9.683063941,8.501655019,7.99810855,8.360233086,9.353508178,9.340096654,9.580311896,9.377654647,9.39121487,9.517847955,10.11590446,0.144252153309395,1.06140847594989,13.3703098832067
"GSM672574",7.947747212,12.95488401,12.11117286,9.702426022,8.53189368,7.683043494,8.248820818,9.223396654,9.213757621,9.531951673,9.467850558,9.195828996,9.139572491,10.33722862,0.261894531711209,0.637515582233136,11.680480430505
"GSM672575",7.690520446,13.12605204,11.4657,9.604932714,8.1188829,7.898386617,8.34082119,9.283654275,9.281081041,9.434879926,8.83260855,8.726693309,8.299976952,10.24398885,0.285335183239639,0.567064491502635,11.3996304095303
"GSM672576",7.777772862,12.11264312,11.67638104,9.637282528,8.349314126,8.025824907,8.444594424,9.175440149,9.205351301,9.64251487,9.187238662,9.131537546,8.796410037,10.25133606,0.203588002000445,0.828873478858192,12.4433198517766
"GSM672577",8.339630112,11.07273717,12.22607175,10.07806877,9.177324907,8.295108922,9.163631227,9.75594052,9.905337361,10.63503383,9.893404089,8.702976208,8.403292565,11.2329223,0.414213222106973,0.216720149411245,10.002998862673
"GSM672578",7.631891822,11.74086617,12.01652491,9.520383643,8.025824907,7.922072862,8.375895167,8.966280669,9.113410037,9.656692193,8.968894424,8.783435688,8.147725651,10.41518587,0.342709827806482,0.405078709622634,10.7538815677895
"GSM672579",7.78546171,11.76055242,11.7195487,9.545039405,8.34082119,7.851584015,8.491805204,9.162560223,9.265559851,9.838756506,9.179131599,8.59803829,8.138221933,10.4428803,0.338510504132327,0.416531655831292,10.7995382091498
"GSM672580",7.778707063,11.98993309,11.83474164,9.471579554,8.282275836,7.843720446,8.327762825,8.923133643,9.121938662,9.99890223,8.864891078,8.620707063,8.111744238,10.30759257,0.333560416099875,0.430102842793546,10.8536391194903
"GSM672581",7.832513011,11.61880967,11.84635353,9.824746468,8.276495167,8.041408922,8.620707063,9.343478439,9.395199628,9.765004461,8.629306691,8.471215242,7.909552788,9.709953532,0.256795807605973,0.65325543860235,11.7432266413243
"GSM672582",8.195326022,11.37801599,11.97030483,10.02884981,8.856034201,8.052826022,9.024053532,9.386327138,9.59425316,10.10964312,8.868964684,8.696739033,7.913249814,10.00012416,0.26087192239081,0.640659635386658,11.693014053263
"GSM672583",7.850618216,11.55308104,11.61880967,9.579008178,8.575507993,8.008369145,8.656604089,9.194586989,9.288671004,9.812004461,8.651625279,8.459275093,7.769860967,9.457593309,0.185619321531842,0.894155602416794,12.7035640237347
"GSM672584",8.334871375,11.53634684,11.53395353,10.17872528,8.999601115,8.599350558,9.500806691,9.734589219,9.890813011,10.31645688,8.540665428,7.967410409,7.867135316,9.580311896,0.348615732574058,0.389060401701197,10.6900253227113
"GSM672586",8.477389963,11.70220223,11.31089517,10.228229,9.032209665,8.424176208,9.409023792,9.661409665,9.92234461,10.20419591,8.539452788,8.196510409,7.842649442,9.629740892,0.309135231101764,0.498303044666151,11.1255160759404
"GSM672587",8.188528253,11.54940074,11.57506468,10.15378364,9.060899257,8.079886245,9.470976394,9.646335316,9.821001487,10.38775948,8.303515613,7.930322305,7.583214498,9.396359108,0.463757323561734,0.0909722421619545,9.50171063530432
"GSM672589",8.159125279,11.68483494,11.51852045,9.839937175,9.035304089,8.186486989,9.296919703,9.516484387,9.508453903,10.17246059,8.276495167,7.908544238,7.580478067,9.673109665,0.380602203334058,0.303899568332482,10.3505355917529
"GSM672590",7.772822305,11.00480892,11.95618216,9.735805576,8.777056877,7.677839591,8.918543866,9.055988104,9.429528625,10.12132584,8.654175465,8.409305576,7.600991078,10.12797993,0.421251195384113,0.198693651007175,9.93113705893956
