"","gmuA","gmuR","gmuB","gmuC","gmuD","gmuE","gmuF","gmuG","gntK","gntR","gntP","gntZ","abrB","ccpA"
"gmuA",1,0.935333361349447,0.982327305152228,0.98716443478802,0.961192788083144,0.908947315757482,0.877750079474941,0.782609955685077,0.777678982158951,0.711338966066148,0.823403104287265,0.730633312274985,0.408287172657574,0.624913126189333
"gmuR",0.935333361349447,1,0.915549667391719,0.940459129165649,0.959294520072275,0.957828763594372,0.935534342273584,0.895210873422566,0.716080229090729,0.650677490982155,0.723044539390908,0.675779705586556,0.314184208532822,0.61758567377356
"gmuB",0.982327305152228,0.915549667391719,1,0.956815647841422,0.935978649231309,0.881540533351191,0.853846482944215,0.767336492368976,0.724912478805682,0.659928574237159,0.769647681743869,0.669375161679897,0.376159824627302,0.548213533469654
"gmuC",0.98716443478802,0.940459129165649,0.956815647841422,1,0.976399949709033,0.933657275016145,0.903213611233758,0.806152659593223,0.775962864906637,0.699870135604542,0.821766344173409,0.738539275676639,0.384187794212685,0.663514205365609
"gmuD",0.961192788083144,0.959294520072275,0.935978649231309,0.976399949709033,1,0.950496447428452,0.93717600667336,0.878126863165176,0.700944606829692,0.614755426948778,0.723172661626017,0.6796582137281,0.287492000475307,0.638899120228192
"gmuE",0.908947315757482,0.957828763594372,0.881540533351191,0.933657275016145,0.950496447428452,1,0.987090478634872,0.917322638630951,0.65373936911946,0.56650047154836,0.689151493648187,0.62853109256049,0.253569047139919,0.617745108670589
"gmuF",0.877750079474941,0.935534342273584,0.853846482944215,0.903213611233758,0.93717600667336,0.987090478634872,1,0.950878689157619,0.586944222891617,0.494873490698006,0.622392962691996,0.580570195434355,0.176862983397279,0.604305597965851
"gmuG",0.782609955685077,0.895210873422566,0.767336492368976,0.806152659593223,0.878126863165176,0.917322638630951,0.950878689157619,1,0.47573857663587,0.399073185753361,0.470400715749505,0.47799755778404,0.053590912878807,0.53101312262531
"gntK",0.777678982158951,0.716080229090729,0.724912478805682,0.775962864906637,0.700944606829692,0.65373936911946,0.586944222891617,0.47573857663587,1,0.972051252196874,0.967417626293037,0.881054648282851,0.619797680503469,0.722873613817825
"gntR",0.711338966066148,0.650677490982155,0.659928574237159,0.699870135604542,0.614755426948778,0.56650047154836,0.494873490698006,0.399073185753361,0.972051252196874,1,0.931277237595712,0.826004172408353,0.619665264709639,0.633853932332311
"gntP",0.823403104287265,0.723044539390908,0.769647681743869,0.821766344173409,0.723172661626017,0.689151493648187,0.622392962691996,0.470400715749505,0.967417626293037,0.931277237595712,1,0.870973570531155,0.624528097866799,0.740740248611537
"gntZ",0.730633312274985,0.675779705586556,0.669375161679897,0.738539275676639,0.6796582137281,0.62853109256049,0.580570195434355,0.47799755778404,0.881054648282851,0.826004172408353,0.870973570531155,1,0.648448963771166,0.782326652139486
"abrB",0.408287172657574,0.314184208532822,0.376159824627302,0.384187794212685,0.287492000475307,0.253569047139919,0.176862983397279,0.053590912878807,0.619797680503469,0.619665264709639,0.624528097866799,0.648448963771166,1,0.468526846204725
"ccpA",0.624913126189333,0.61758567377356,0.548213533469654,0.663514205365609,0.638899120228192,0.617745108670589,0.604305597965851,0.53101312262531,0.722873613817825,0.633853932332311,0.740740248611537,0.782326652139486,0.468526846204725,1
