"","guaB","codY","metN","metP","metQ","pval","z","inv_cof_var"
"GSM672558",15.1410658,14.2572026,13.61280632,13.63154052,14.47804424,0.414150117229322,0.216882091365515,19.2867993860059
"GSM672560",15.09480297,14.28826431,13.26739145,13.52354052,14.27576691,0.488945040505699,0.0277142214155491,17.0605732183956
"GSM672563",12.97545799,14.66993086,13.7405171,13.81090595,14.28199294,0.232473276270892,0.730725965092154,25.3339821240632
"GSM672564",12.59489368,14.13102342,13.8509658,13.94646394,14.31325613,0.447648768914553,0.131603979363611,18.2832020810658
"GSM672576",13.74509665,13.95159331,13.12992751,13.4593829,14.37716803,0.219911331598838,0.772492709553787,25.8255149593221
"GSM672598",14.83115242,14.46059071,13.23707546,13.33340483,13.82056989,0.426506124250648,0.185276398888004,18.91484711072
"GSM672599",14.84014647,14.58155874,13.2291658,13.26165428,13.86400483,0.446358613762415,0.134866751831881,18.3216000894049
"GSM672600",14.89745725,13.8509658,13.57092379,13.52997026,14.19849442,0.331866098309397,0.434766123605441,21.8509723304138
"GSM672601",14.71080558,14.16922491,13.33519294,13.17780409,13.81818216,0.392237051107422,0.273493221556629,19.9530286956809
"GSM672602",14.9356,14.16637026,13.75453086,13.55765056,14.19849442,0.294688259479303,0.539739755585579,23.0863567880656
"GSM672603",14.91633309,14.24448885,13.59734461,13.35631375,13.85341561,0.382271560645588,0.299520252963944,20.2593283775429
"GSM672604",14.93051896,14.26317249,13.47196803,13.33519294,13.92297026,0.414593010639729,0.215745642599753,19.2734250641343
"GSM672605",14.91633309,14.42737379,13.47612974,13.42601599,13.93848699,0.385118541565833,0.29206479511185,20.1715886606119
"GSM672607",14.22564647,14.6741539,12.57254721,12.6418026,13.19966617,0.483326696733452,0.0418059478431556,17.226412005544
"GSM672620",12.60967212,13.55136803,12.06628662,12.39001859,13.45520892,0.349629622633033,0.386320600844987,21.2808401483397
"GSM672621",12.99944721,13.49777063,12.58170112,12.65290223,13.66987732,0.213227134240887,0.795273769204292,26.093614352381
"GSM672622",12.54327509,13.04626283,11.58755948,11.7631513,12.92503755,0.416273939788756,0.211434959489088,19.2226946967427
