"","guaD","pucR","pucA","pucB","pucC","pucD","pucE","pucF","pucG","pucH","pucI","pval","z","inv_cof_var"
"GSM672549",7.97460632,8.91187026,7.176684387,7.228956877,7.296479182,7.859884387,7.79415316,8.374791822,8.924348513,8.39470223,7.691536431,0.211363786882673,0.801698171535926,13.8410125316738
"GSM672550",7.884095539,8.894226394,7.257773234,7.203504833,7.300564684,7.734865799,7.729094424,8.186977138,8.868964684,8.30290316,7.623303717,0.135055797573112,1.1028056012697,14.8427230493227
"GSM672551",7.742886245,8.97135948,7.262255019,7.25343197,7.337226766,7.665011524,7.572286989,8.125321561,8.772980297,8.144518587,7.497717286,0.0724940161309258,1.45746512198425,16.0225882303253
"GSM672558",7.927261338,9.052309665,7.180258364,7.280977695,7.283749814,7.763843123,7.860385502,8.602923048,9.008102974,8.56752974,7.791298513,0.31697205410814,0.476182861620428,12.7581029871089
"GSM672559",7.866666357,8.974035688,7.095920446,7.246704089,7.399576208,7.97460632,7.910605948,8.529390335,8.938842007,8.660651673,7.78546171,0.29609264440821,0.535671955837375,12.9560086031052
"GSM672560",7.912741264,8.921110409,7.116044981,7.225685502,7.384224535,7.962027881,7.943223606,8.508939033,8.883541264,8.683216729,7.80720632,0.276211458747455,0.594133363612093,13.1504953585342
"GSM672561",8.112798513,8.817110037,7.108245353,7.113688662,7.282736059,7.796739405,7.571837361,8.068419703,9.361120818,8.207724907,7.317922491,0.483736820425805,0.0407770433936393,11.3096146919216
"GSM672562",8.138221933,9.153733829,7.095104089,7.262255019,7.452099257,7.993102602,8.14140223,8.551803346,9.288671004,8.665937918,7.608422677,0.442401801241822,0.1448825520962,11.6559481686636
"GSM672563",7.987515799,7.645181784,6.997829368,7.16059777,7.511424907,8.444594424,8.460543123,8.142416357,8.426008736,8.169930112,7.1453,0.25021423127415,0.673815746456418,13.4155790897363
"GSM672564",7.670251115,8.416739033,7.034201115,7.289979368,7.764346283,8.644084015,8.619519331,8.195326022,8.385220818,8.177153717,7.200011152,0.257275579976142,0.651767516352028,13.3422300394965
"GSM672565",8.20664052,8.323040892,7.087793309,7.19202974,7.243178253,7.89222119,7.898386617,7.714724907,8.819794796,7.829024349,7.201818401,0.190144069831113,0.877365511317413,14.0927392000215
"GSM672566",7.984951301,9.768651673,7.567879926,7.502536431,7.412204089,7.767396097,7.876136059,7.675475093,8.647807807,8.028971747,7.515874349,0.00111686401577556,3.05725682222143,21.3447025786557
"GSM672567",7.810275465,9.254644238,7.55290223,7.406658364,7.384224535,7.714724907,7.788498141,7.809278067,8.550620446,7.818343866,7.489437175,0.000174090381196839,3.57653346428322,23.0722085202481
"GSM672568",7.979769517,9.281081041,7.554816729,7.316581784,7.293344238,7.821365799,7.729094424,7.640334201,8.561458364,7.910605948,7.35522119,0.00382888652480228,2.66679779213604,20.045741216283
"GSM672569",9.067066543,9.192094796,7.491978439,7.413969517,7.507008178,7.547315613,7.591762082,8.267149814,9.140726766,8.039165056,7.509637546,0.400838782558474,0.251176613097977,12.0095624217667
"GSM672571",9.193304461,9.011796654,7.541188476,7.498580855,7.564085874,7.680215613,7.702029368,8.309239405,9.259670632,7.935463197,7.528486617,0.427474372490801,0.182807906099504,11.7821165133779
"GSM672598",7.332940706,8.526891822,7.044994424,7.144603717,7.222447955,7.485827881,7.411239405,8.105662082,8.458105948,8.489474349,7.35522119,0.190118046523493,0.877461368393263,14.0930580929866
"GSM672599",7.202971933,8.71819145,7.124948327,7.252905576,7.265292565,7.417417844,7.462371933,7.88676171,8.544991822,8.511257993,7.131196654,0.209186129364596,0.809248437242438,13.8661304126106
"GSM672600",7.467951301,8.823742007,6.993476952,6.988712639,7.098571004,7.489437175,7.538505576,8.115733457,8.561458364,8.303515613,7.443320074,0.216403036528061,0.784398918065009,13.7834621611478
"GSM672601",7.773863569,9.070645725,7.253958364,7.349563197,7.492813011,7.842649442,7.730020074,8.56752974,8.731679926,8.593413755,7.754774349,0.138330103763577,1.08785254727966,14.7929779086397
"GSM672602",7.340501673,8.697324721,7.03734461,7.117533829,7.251828625,7.577777323,7.416600743,8.14613829,8.507581413,8.53545948,7.48316171,0.216293255343296,0.784773277114758,13.7847075618271
"GSM672603",7.473720818,8.688081413,6.948236803,7.258240892,7.297434572,7.600063197,7.60192119,8.399660595,8.741252416,8.621366914,7.205772862,0.390229017354256,0.278722186384032,12.1011997835538
"GSM672604",7.567378439,9.034102602,7.231006691,7.454666543,7.603724535,7.977637546,7.925253903,8.750019703,9.042649442,8.901939033,7.513679182,0.391708805858645,0.274868053499445,12.0883780293702
"GSM672605",7.57366487,8.835132714,7.05796171,7.166906691,7.395085502,7.403137175,7.334518587,8.132902602,8.445179554,8.352986617,7.331414498,0.114167040528387,1.2046613016453,15.1815719659334
"GSM672623",8.999601115,7.474165056,7.075526766,7.073488104,7.136520074,7.182719331,7.188427509,7.629038662,7.942710037,8.01095223,6.8905,0.450694577194777,0.123906691929709,11.5861666300145
"GSM672631",8.379198513,8.111744238,7.053049071,7.280100743,7.11902119,7.209154275,7.369321561,7.411239405,8.383326394,7.577777323,6.842628253,0.18028598966747,0.91427573136383,14.2155304432064
"GSM672632",8.414241264,8.122149442,7.079829368,7.359909665,7.245731599,7.312733086,7.325028996,7.4853671,8.470127138,7.638374721,6.991094796,0.146399944831961,1.0519992588622,14.6737028175806
"GSM672633",8.938842007,7.730965428,7.215920818,7.386197398,7.243707063,7.435760037,7.269249814,7.851584015,8.219970632,7.643193309,7.282736059,0.21729431932376,0.781363659159956,13.7733645997171
"GSM672643",8.839818216,8.246547955,7.120526022,7.434428625,7.10982342,7.452099257,7.369321561,8.128590706,8.660651673,8.016636059,7.190951301,0.39129128279037,0.2759550831246,12.0919943101424
"GSM672644",8.938842007,8.462952416,7.237896283,7.299471375,7.183873606,7.519544981,7.533066543,8.252212268,8.867563197,8.00638513,7.278678996,0.44371753376498,0.141550501079135,11.6448632527182
"GSM672646",8.771788476,7.644156134,7.133884387,7.224612639,7.137790335,7.233129368,7.256120446,7.545562825,8.217745725,8.445764684,7.064322677,0.396439684931423,0.262573445000389,12.047476884371
"GSM672648",8.299976952,7.54200855,7.061997398,7.047502974,7.073488104,7.126487361,6.993476952,7.72343197,8.25673829,8.502789963,7.050248699,0.384879458809117,0.292690257133582,12.1476681267411
"GSM672649",8.345705204,7.618860967,7.198866171,7.152958364,7.127989963,7.205772862,7.209154275,7.761926022,8.223567658,8.488292565,7.028367658,0.273200778338777,0.603161049394424,13.1805282534588
"GSM672650",8.524420446,7.541188476,7.10982342,7.100415613,7.101850929,7.116044981,7.148817472,7.653642379,8.060499628,8.187467286,7.044994424,0.2482440671922,0.680025784952029,13.4362383636757
"GSM672654",8.506366543,7.608422677,7.005772862,7.085886989,7.087793309,7.159424535,7.170605948,7.475075093,8.128590706,7.514108178,7.013033457,0.165419694817254,0.972424537672615,14.4089772502804
"GSM672655",8.379198513,7.963007807,7.013033457,7.073488104,7.068984758,7.140640149,7.166906691,7.763843123,8.288367658,7.640334201,7.039841264,0.190644482440575,0.875523802432679,14.0866122865743
"GSM672657",7.824440149,8.363724164,7.151679554,7.10982342,7.206927881,7.444192193,7.441605204,8.036652788,8.551803346,7.9902,7.401328996,0.0642149602170752,1.5203225850991,16.2316995829431
"GSM672658",7.855413383,8.518662454,7.166906691,7.015959108,7.285741264,7.553907435,7.593509294,8.277677695,8.813281784,8.020141264,7.407572119,0.202076472346624,0.834227238522195,13.9492287538981
"GSM672659",7.692402602,8.301184758,6.997829368,7.093293309,7.182719331,7.495428625,7.475986245,8.219970632,8.761433086,8.051954647,7.448477695,0.217441824308598,0.780862025975459,13.7716957892286
"GSM672660",8.044633086,7.577777323,7.144603717,7.124948327,7.147453903,7.291402602,7.299471375,7.506061338,8.072568773,7.878071747,7.215920818,0.00593094383299492,2.51622664229628,19.5448279555829
"GSM672661",7.88725316,7.757776208,7.145996283,7.158062082,7.133884387,7.333413755,7.351365799,7.605464312,8.495408178,7.595456877,7.20119777,0.0314681954097254,1.85964060236741,17.3605273472595
"GSM672662",8.035083271,7.573260223,7.114518587,7.089604089,7.10982342,7.245731599,7.285741264,7.485827881,8.188528253,7.834514126,7.174337918,0.0196644386336126,2.06072925227213,18.0294999321189
"GSM672663",8.085531599,7.594366171,7.126487361,7.129661338,7.095104089,7.34618513,7.377292751,7.511424907,8.222346097,7.76787026,7.196527138,0.0160905899919567,2.14215290286523,18.3003764337601
