"","guaD","pucA","pucB","pucC","pucD","pucE","pucF","pucG","pucH","pucI","pucR"
"guaD",1,0.464521756792903,0.426993434589595,0.215913431609042,-0.0518803915386756,-0.036087537729637,0.0689492421120012,0.0223391630701521,-0.242744774482804,-0.0217693487946371,0.0355464299407587
"pucA",0.464521756792903,1,0.790735200127569,0.66368651431657,0.434343313020892,0.420609891994678,0.345719286546982,0.382546755234542,-0.0572147875923589,0.17213965023939,0.459290155200768
"pucB",0.426993434589595,0.790735200127569,1,0.744117597597946,0.536944266128503,0.539579688614911,0.410550228238229,0.416835493178336,0.00988588868470362,0.0795193180047211,0.459781504906845
"pucC",0.215913431609042,0.66368651431657,0.744117597597946,1,0.783671059656618,0.747299202489913,0.583067221389326,0.525329067743199,0.204977358693183,0.27352505891065,0.557269848110109
"pucD",-0.0518803915386756,0.434343313020892,0.536944266128503,0.783671059656618,1,0.959151157003847,0.464537178041091,0.435747509502972,0.149677578246112,0.165650635600107,0.448610290078773
"pucE",-0.036087537729637,0.420609891994678,0.539579688614911,0.747299202489913,0.959151157003847,1,0.41026099128379,0.408373140306622,0.118750152272022,0.102498640818724,0.444989137844946
"pucF",0.0689492421120012,0.345719286546982,0.410550228238229,0.583067221389326,0.464537178041091,0.41026099128379,1,0.715835492330223,0.645216223040661,0.417362701880683,0.58024593383992
"pucG",0.0223391630701521,0.382546755234542,0.416835493178336,0.525329067743199,0.435747509502972,0.408373140306622,0.715835492330223,1,0.368172874800104,0.201990164298345,0.531133080133929
"pucH",-0.242744774482804,-0.0572147875923589,0.00988588868470362,0.204977358693183,0.149677578246112,0.118750152272022,0.645216223040661,0.368172874800104,1,0.472593856064006,0.318615547330876
"pucI",-0.0217693487946371,0.17213965023939,0.0795193180047211,0.27352505891065,0.165650635600107,0.102498640818724,0.417362701880683,0.201990164298345,0.472593856064006,1,0.366597104962357
"pucR",0.0355464299407587,0.459290155200768,0.459781504906845,0.557269848110109,0.448610290078773,0.444989137844946,0.58024593383992,0.531133080133929,0.318615547330876,0.366597104962357,1
