"","hom","codY","thrR","tnrA","thrB","thrC","pval","z","inv_cof_var"
"GSM672562",12.0542368,13.59499257,11.59268067,9.723099628,11.94935167,12.03148699,0.331299388308465,0.436327990240153,217.707839523807
"GSM672564",10.10077323,14.13102342,10.51542156,9.035304089,10.08529814,10.14274461,0.145275031978308,1.05691569682035,340.113504351729
"GSM672571",14.11029777,12.88900186,11.53634684,11.19995948,13.9254487,13.93337732,0.495519350978186,0.0112315576618541,133.861171447728
"GSM672572",15.86194312,13.30973011,11.84897658,11.37209145,15.6989948,15.71599665,0.411174510765159,0.224524736144622,175.931442963927
"GSM672599",10.5060777,14.58155874,13.38884164,10.4224948,10.45853197,10.37802602,0.440037529241651,0.150874066161195,161.404472595753
"GSM672604",10.59470558,14.26317249,13.10414349,10.45131152,10.50555074,10.53120149,0.309501593631975,0.497263585271385,229.726869134603
"GSM672608",15.05480706,12.8679223,12.11264312,10.94953011,15.09480297,14.9261052,0.422017052968277,0.196736039289914,170.450358055
"GSM672609",15.07704164,12.70550669,12.12968401,11.13919257,15.11127918,15.10605167,0.000248156411198141,3.48273854675216,818.586499469459
"GSM672610",13.93621227,13.43859219,11.95417584,10.49409517,13.95989033,13.86400483,0.227979815211237,0.745516350662847,278.692622840175
"GSM672621",12.90213346,13.49777063,11.83996506,8.538096654,12.71191784,12.79829665,0.494351175688957,0.0141599759130533,134.438777125591
"GSM672633",13.7824868,13.37626729,11.9083223,9.091027881,13.60618996,13.69168178,0.452227359162572,0.120035888809976,155.321903507238
"GSM672640",13.82289926,13.2139171,11.85025242,10.26853903,13.81582714,13.76680818,0.0522732491464664,1.6232007466838,451.808430428534
"GSM672645",14.32645576,13.13379517,11.9506539,10.61326914,14.15506134,14.22263903,0.433095365228734,0.16849899981024,164.880841363591
"GSM672649",13.4302974,13.35045167,11.4108697,9.80762342,13.41777658,13.4345881,5.16404506061e-13,7.1260624104896,1537.2012496419
"GSM672656",13.94112825,12.90673086,11.78463792,10.57109665,13.94912751,13.91831896,8.76282543044488e-05,3.75224722220228,871.744801262376
"GSM672657",13.48236691,13.55989331,12.42432045,10.10964312,13.33340483,13.34708364,0.437665408953835,0.156890917613806,162.591245544071
"GSM672665",12.08684164,13.82056989,11.65592045,9.681794424,11.92018364,11.94543792,0.496408545381838,0.00900256329530387,133.421521202578
"GSM672677",13.65388439,12.03818364,11.16841784,12.61394312,13.66754238,13.78598662,0.386357867702365,0.288824430804527,188.61401271132
"GSM672678",15.0717881,12.10715093,11.50890743,12.18972751,14.86360112,15.00514164,0.481281880426648,0.0469365959749435,140.903687607941
"GSM672679",15.32246357,12.29611413,11.45513903,11.98454572,15.24369703,15.27586766,0.0987359757693808,1.2887875612948,385.848264201049
"GSM672680",15.15316729,12.37427993,11.48265204,11.67439108,15.03266691,15.06041338,0.293125982935956,0.544275409783764,238.999553032777
"GSM672682",14.25402268,12.90290911,11.39588067,11.50065985,14.12469963,14.19545279,0.3286551672856,0.443629692649338,219.148038432511
