"","hpf","phoP","phoA","phoB","phoD","pstA","pstBA","pstBB","pstC","pstS","tatAD","tatCD","tuaB","tuaC","tuaD","tuaE","tuaF","tuaG","tuaH","ydhF","yxiO","yycO","yycP","yycQ","pval","z","inv_cof_var"
"GSM672549",12.03685651,11.60009591,9.132136803,8.845825279,7.864212268,7.843720446,8.111246468,8.052826022,7.580478067,7.854380669,7.867135316,7.505216357,8.388353903,8.546823048,8.777056877,9.106701301,9.254644238,9.168436059,9.284888476,8.295108922,9.133810409,7.45873513,7.575533457,8.308172862,0.0164949831002335,2.13220538226619,8.64656483384751
"GSM672550",14.2572026,11.72728216,8.922488848,8.474837918,7.772822305,7.937469888,8.012508922,7.792295911,7.967410409,8.522198513,7.583214498,7.569546468,8.174248327,8.205537918,8.430050186,8.771788476,9.026469888,8.880969888,8.901327881,7.739739777,9.725816729,7.47696803,7.501154089,8.499108178,0.369218928164271,0.333922744476838,6.18243451619951
"GSM672551",14.27576691,11.56434796,9.112163197,8.792524907,7.784062454,7.825569888,8.053842379,7.915737175,7.716571004,8.190704833,7.591762082,7.501154089,8.122149442,8.327184015,8.484050743,8.779644238,9.082944981,8.913276952,9.000723048,7.889139777,9.511891636,7.269249814,7.459166171,8.566478067,0.389024862759312,0.281861481870803,6.11109660030868
"GSM672558",11.63930279,11.3258513,9.161527881,8.71819145,7.968440892,7.505216357,7.740278253,7.781533457,7.404819331,7.524751673,7.784542379,7.611296654,8.315149071,8.550620446,8.797762082,9.206534201,9.202943866,9.328658364,9.39121487,8.213257249,9.194586989,7.371171004,7.589801115,8.599350558,0.0186398200663929,2.08268834905084,8.57871319572242
"GSM672559",11.0330539,11.49942454,8.755100372,8.443499628,8.158015613,7.516815242,7.734865799,7.705535502,7.382328253,7.605464312,7.893216357,7.59084052,8.363136059,8.392362082,8.611122677,9.011796654,9.150171375,9.139572491,9.147713011,7.953175836,9.452549814,7.379622677,7.728157621,8.339630112,0.00173097692765264,2.92343240251552,9.73075841263634
"GSM672560",11.6998658,11.21533234,8.818431227,8.607624907,7.981368587,7.603724535,7.903645725,7.9902,7.392457621,7.773863569,7.838514126,7.544337732,8.303515613,8.518662454,8.77370316,9.09434684,9.295815242,9.246527881,9.329881041,8.162741636,9.474102974,7.440665428,7.551466171,8.380965242,0.0134552955572428,2.21281226831831,8.75701792256576
"GSM672562",14.6741539,12.36067658,9.163631227,8.483455019,8.047924535,7.999137918,8.191898141,8.172524535,7.638837361,8.142903532,7.844722677,7.362248141,8.249947584,8.490633829,8.799050186,8.900716729,9.36808829,9.173247955,9.265559851,7.945713755,9.899647212,7.282736059,7.289504089,8.692872119,0.471461127890106,0.0715974672069582,5.82297841334754
"GSM672598",10.08345186,11.23992454,8.692872119,8.788727138,7.682583643,8.719429368,9.405123048,9.368698513,8.601725651,9.552804833,7.890224164,7.302495911,7.975606691,8.170942379,8.606457249,9.036495167,9.561814498,9.338898513,9.634723792,8.470127138,7.816307063,6.993476952,7.310266543,7.911683643,0.000857205144572684,3.13570590998357,10.0216301445842
"GSM672599",10.1464539,10.96915539,8.848271747,8.938842007,7.632326208,8.696739033,9.257236803,9.357988662,8.330175836,9.539726022,7.351365799,7.259303717,7.820861152,7.649154647,8.652879182,8.901939033,9.378848327,9.215022305,9.333007993,8.495408178,8.002232714,7.272425279,7.332467658,8.037214126,0.000827601468595897,3.14599949103368,10.0357351159662
"GSM672600",10.2696368,11.47126859,8.810766914,8.882200743,7.847688476,9.235868773,9.569909294,9.290828625,9.110960595,9.441220446,7.435354647,7.341880669,8.141909294,8.464832156,8.790155019,9.076839777,9.465282156,9.35735539,9.481560223,8.285950558,8.806852788,7.148817472,7.18144684,7.809776766,0.000961534947988347,3.10186291549572,9.97525615030483
"GSM672601",10.34576506,11.284429,9.430224721,9.02908513,8.091864684,9.613957249,10.22252528,10.17928996,9.531951673,9.902143123,7.733788104,7.501630112,8.327762825,8.618287732,8.854895539,9.2174171,9.402522677,9.372447955,9.462750186,8.524420446,8.813281784,7.211249442,7.428592007,7.989135316,0.00237507058132835,2.82350684492314,9.59383355399791
"GSM672602",9.981542379,11.49827212,8.804828996,8.750019703,7.798363941,8.565359108,9.197054275,9.231700743,8.261359108,8.839163941,7.698256877,7.298926952,7.858394796,8.345705204,8.481003346,8.901939033,9.565701487,9.347269517,9.555390335,8.240462825,8.851008178,7.373147584,7.328675093,7.732360781,5.19162700772401e-05,3.88145693640687,11.0435093948258
"GSM672603",10.08164275,11.29171004,9.036495167,9.257236803,7.882130855,9.354954647,10.06085762,10.07311375,9.302164126,10.21761561,7.919,7.195415613,7.936460595,8.456971375,8.767733086,9.110353532,9.615347955,9.421905204,9.651572119,8.760095167,8.417358922,7.171866543,7.231006691,7.94674684,0.00667085224205747,2.47451546379943,9.11562160624651
"GSM672604",10.02884981,11.29765019,9.15257658,9.223396654,8.174248327,9.302730483,10.13658327,9.897079554,9.266155948,10.15378364,7.770922305,7.437914498,8.302290706,8.694099628,8.97073829,9.147713011,9.669020446,9.734589219,9.737092193,8.784041078,8.369905204,7.253958364,7.455945911,8.254450186,0.00109042375919024,3.06443061985802,9.92396384919391
"GSM672605",9.965484758,11.15365539,8.732331413,8.94377881,7.881148327,9.248775836,9.853855762,9.966738662,8.818431227,9.639908922,7.381003346,7.347610037,8.056952788,8.23403829,8.635448699,9.055988104,9.60756803,9.158375465,9.624618587,8.524420446,8.221126022,7.263798327,7.34618513,8.243223048,0.00125277648237079,3.02267001295057,9.86674059885405
"GSM672606",14.00300297,10.7106448,7.771423234,8.117831227,7.481363197,7.280100743,7.667759108,8.505152788,7.123569888,7.87012342,7.628094052,7.370159108,7.46099777,7.376822677,7.45293829,7.531669888,8.886296654,7.882130855,8.788727138,8.101442751,9.509933457,7.387064312,7.630018959,8.272876208,0.485429665036805,0.036530536842685,5.77492729811035
"GSM672607",14.0958948,10.68777323,7.681131227,8.385220818,7.669763569,7.257305576,7.824440149,8.172524535,7.164477323,7.645181784,7.607456506,7.742886245,7.553907435,8.072568773,7.545562825,7.667759108,8.9701171,8.14140223,8.625594052,7.910605948,9.727094424,7.599091078,7.893735874,7.903645725,0.460717914865881,0.0986252391999781,5.86001372191747
"GSM672626",14.17513717,11.5435829,8.959613011,8.100899257,7.582311152,7.550943123,7.711727881,7.663636989,7.357145725,7.526127138,7.46099777,7.053049071,7.968440892,8.110748699,8.352986617,8.42776171,8.795147584,8.641617844,8.595686989,7.783582528,9.623286617,7.667759108,7.617057249,8.173079926,0.459673781120781,0.101255598497424,5.86361802079404
"GSM672657",13.54539665,10.8252368,9.535849814,8.112798513,7.37402119,7.180258364,7.348572862,7.257305576,7.066749814,7.147453903,7.271315613,7.21709368,7.72549145,7.732870632,7.945713755,8.212000372,8.513688848,8.393543866,8.502789963,7.59643829,9.287444981,7.409791264,7.48316171,8.224694424,0.442910401174443,0.143594350147541,5.9216334847484
"GSM672666",14.05925799,11.52692491,9.401242751,8.528111524,7.333413755,7.436165428,7.686313383,7.59643829,7.316581784,7.475986245,7.311718959,7.077814498,7.911683643,8.037214126,8.237660223,8.378162082,8.747633457,8.651625279,8.739067286,7.933356506,9.87559145,7.909552788,7.707991078,8.30718513,0.469381634530499,0.0768243630989682,5.83014066491136
"GSM672669",14.29400892,11.25331078,9.538414498,8.044633086,7.492813011,7.470616357,7.803133086,7.605464312,7.327780297,7.653142937,7.406658364,7.186222677,8.012508922,8.143390706,8.38646803,8.484646468,8.647807807,8.678208922,8.770366914,7.683959851,9.842369888,8.021720446,7.845779182,8.657939777,0.488342369582825,0.0292255058837504,5.76491744321935
"GSM672670",14.25115204,11.35768476,9.285611896,8.015626766,7.457263941,7.647143123,7.924209665,7.854380669,7.503384387,7.722443123,7.336424164,7.236266543,8.084459108,8.164482156,8.421766914,8.530658364,8.707036803,8.656604089,8.60818829,7.635680297,9.855787175,7.936460595,7.796198141,8.551803346,0.448996120285691,0.12819805333709,5.90053642194365
"GSM672671",14.49293792,11.41760669,9.175440149,8.067376208,7.468778439,7.661118587,7.994171375,7.971537918,7.558524535,7.711727881,7.404819331,7.284734201,8.213257249,8.244885874,8.48225948,8.570050929,8.767733086,8.7329829,8.667276208,7.553907435,9.743322305,7.779686989,7.703069517,8.788727138,0.485168126634423,0.0371865618797004,5.77582622865045
"GSM672672",14.2410829,11.10075985,9.347269517,8.144518587,7.477835316,7.624310781,7.936460595,7.925253903,7.429891078,7.715651301,7.447595539,7.182719331,8.103662082,8.162204833,8.39470223,8.465450186,8.71195948,8.678208922,8.605861896,7.602832714,9.919852788,8.027893309,7.867135316,8.382762082,0.445701690228465,0.136528645847049,5.91195157167395
"GSM672673",14.16922491,11.7644632,9.207777695,7.973584015,7.541188476,7.594366171,7.8573171,7.914788104,7.390745353,7.657518959,7.524751673,7.339555948,8.111744238,8.171969145,8.414241264,8.495408178,8.650404461,8.659134201,8.684418216,7.620645725,9.857714498,8.183118216,7.916786989,8.437373606,0.413783577081231,0.217822832188635,6.02334644643017
"GSM672683",14.13993457,10.92735539,8.574934572,8.516163569,7.396921933,8.229425651,8.761433086,8.75945316,7.929290335,9.26206171,7.486659108,7.324245353,8.154679926,8.296347212,8.541301487,8.512473234,9.018973606,8.882200743,8.890312639,8.318478067,9.257236803,7.367472119,7.523432528,8.063084015,0.325832422537528,0.451450567187093,6.34347920685143
"GSM672684",14.12176357,10.87543271,8.594514498,8.399660595,7.40575539,8.196510409,8.667276208,8.747633457,7.912741264,9.088011896,7.577777323,7.124948327,7.998623234,8.133391264,8.324903532,8.400856506,8.922488848,8.704256134,8.923778439,8.249947584,9.170989591,7.332467658,7.431124164,8.076719703,0.345857737906792,0.396528108826415,6.26822068412406
"GSM672685",13.94112825,11.08095762,8.48225948,8.174826394,7.369321561,7.837495167,8.195326022,8.334871375,7.665011524,8.519863197,7.552445725,7.122063197,7.78546171,7.89425539,7.9902,8.152455019,8.675730855,8.485988104,8.654175465,8.190704833,9.011796654,7.212406691,7.370159108,8.029918216,0.354037051347522,0.374443878893716,6.23795935624627
"GSM672686",14.07618625,10.85811264,8.522198513,8.659134201,7.48711803,8.415459851,8.923133643,8.938842007,8.169930112,9.568403717,7.660233829,7.237405204,8.160166543,8.337769517,8.536673606,8.65536171,9.06446803,8.908124535,9.009944424,8.287225279,8.958167286,7.353526766,7.380094981,7.871095539,0.311441546958803,0.491768377346478,6.3987254380429
"GSM672687",13.77875762,10.98036283,8.487209294,8.361323792,7.538505576,8.131836431,8.528111524,8.491805204,7.916786989,8.770366914,7.564976208,7.260295911,8.058956134,8.18960632,8.450677695,8.576081413,9.048547212,8.828901487,8.96094052,8.096063197,9.231700743,7.365495911,7.448477695,8.005370632,0.254668010281561,0.659871927362902,6.6290724621397
"GSM672688",13.60160558,10.92844275,8.455767286,8.208771747,7.404819331,7.78546171,8.171969145,8.122149442,7.475075093,8.269560223,7.536569888,7.103652416,7.883198141,8.084459108,8.270647955,8.488292565,8.934030483,8.852436803,8.867563197,8.039165056,9.290828625,7.244748699,7.353526766,7.988043866,0.292666478285839,0.545611588822189,6.47250510260104
