"","hpf","phoA","phoB","phoD","pstA","pstBA","pstBB","pstC","pstS","tatAD","tatCD","tuaB","tuaC","tuaD","tuaE","tuaF","tuaG","tuaH","ydhF","yxiO","yycO","yycP","yycQ","phoP"
"hpf",1,0.332708674378431,0.273225682460458,0.310734190164113,0.270367981604171,0.220654981021781,0.227981719843241,0.276209348170645,0.257261979632532,0.344571423700083,0.346511653554575,0.371195178203394,0.352539482353217,0.321911234625405,0.264181276721312,0.261391599926115,0.242216636747792,0.239797025354119,0.281239976755207,0.733722832403183,0.494194479804094,0.408400905658351,0.562448840925654,0.226553411865823
"phoA",0.332708674378431,1,0.940620212989914,0.944585634257404,0.87455880457036,0.857268688943912,0.848996896985764,0.865472291591511,0.803772726818817,0.939053694004766,0.930249420127376,0.948088116046038,0.950680615042638,0.954485089828273,0.954327945644077,0.938187432005875,0.95392211565535,0.941385453870569,0.9343428846073,0.781696169643555,0.93194583861146,0.944149898439605,0.76165631822938,0.563159652278889
"phoB",0.273225682460458,0.940620212989914,1,0.9841216689458,0.952876242534459,0.944496302877405,0.94701964567719,0.946365203675757,0.910517020880692,0.983779118910878,0.976751644269059,0.979020772036216,0.985386457938785,0.986682042403895,0.985638359656922,0.994343359808529,0.988659092018721,0.992435325851906,0.995398539228792,0.749378715987481,0.925018258476406,0.927451549999439,0.741142940055719,0.575672628986949
"phoD",0.310734190164113,0.944585634257404,0.9841216689458,1,0.929219234955288,0.913334991705175,0.916259653966152,0.925368783847651,0.874945814171384,0.993245421769924,0.988318469759711,0.984299328470876,0.990362049840997,0.987187897794347,0.983779367483459,0.98647187583807,0.984311145294994,0.984882869611186,0.978334893150071,0.79717588666723,0.939453649081846,0.945647728308719,0.758405067474461,0.635427728112211
"pstA",0.270367981604171,0.87455880457036,0.952876242534459,0.929219234955288,1,0.994808831873822,0.990131851337604,0.996014972741053,0.979824423955599,0.929663150542398,0.916867510362162,0.927462929747851,0.93146557978529,0.940323117897215,0.938118694549212,0.944986374004665,0.937607665586808,0.942838057615733,0.949111123144086,0.714433914167915,0.862815904981683,0.845499127589162,0.732557026772454,0.5214003046139
"pstBA",0.220654981021781,0.857268688943912,0.944496302877405,0.913334991705175,0.994808831873822,1,0.996445280621771,0.988131591682501,0.977371820273141,0.913824558592802,0.896607633057192,0.908117725621834,0.916060659614039,0.924696096952715,0.923373755655514,0.935623457386911,0.926343752989658,0.933340441258452,0.94261260894249,0.669673618265594,0.841353496889304,0.829994963309123,0.699138860709782,0.485181544819439
"pstBB",0.227981719843241,0.848996896985764,0.94701964567719,0.916259653966152,0.990131851337604,0.996445280621771,1,0.982254043891556,0.973519595998114,0.919196192126378,0.90248439385504,0.909249838929105,0.916592920778613,0.923564586730374,0.920440622990175,0.939488152700898,0.923820766659844,0.936589404466934,0.947952276409336,0.6708945250181,0.845936555612542,0.835741827083689,0.694350585931357,0.481257835818963
"pstC",0.276209348170645,0.865472291591511,0.946365203675757,0.925368783847651,0.996014972741053,0.988131591682501,0.982254043891556,1,0.983961507676689,0.924721000817209,0.912939856216795,0.921460281929143,0.926631138639806,0.934773373886112,0.931897899226002,0.938744298853049,0.932802795616895,0.936659970071762,0.940392306623718,0.717373990706141,0.856016398300443,0.838321758181925,0.733187056121382,0.523957916587791
"pstS",0.257261979632532,0.803772726818817,0.910517020880692,0.874945814171384,0.979824423955599,0.977371820273141,0.973519595998114,0.983961507676689,1,0.884023741182861,0.865904358767925,0.869525116774476,0.87508104465895,0.887489599708984,0.88298104656647,0.900455165911245,0.88872856633921,0.89655757768819,0.90779425925865,0.65250412641604,0.797970667940946,0.784812788245813,0.684178113128379,0.460401641224325
"tatAD",0.344571423700083,0.939053694004766,0.983779118910878,0.993245421769924,0.929663150542398,0.913824558592802,0.919196192126378,0.924721000817209,0.884023741182861,1,0.987308926824702,0.98305369535814,0.989317841808831,0.984351396365007,0.978330085425023,0.985026348161427,0.979594881602745,0.98175533974264,0.982086135826887,0.807284003353311,0.943479926135764,0.947458291029048,0.757048327256153,0.610637951622931
"tatCD",0.346511653554575,0.930249420127376,0.976751644269059,0.988318469759711,0.916867510362162,0.896607633057192,0.90248439385504,0.912939856216795,0.865904358767925,0.987308926824702,1,0.980751146841757,0.980556215109246,0.975795234591834,0.974395160059917,0.977471036316105,0.970332129564309,0.974969382530748,0.971960357751349,0.811962217924805,0.936268265900436,0.94218503159254,0.772411684262286,0.604919506661741
"tuaB",0.371195178203394,0.948088116046038,0.979020772036216,0.984299328470876,0.927462929747851,0.908117725621834,0.909249838929105,0.921460281929143,0.869525116774476,0.98305369535814,0.980751146841757,1,0.993020357721396,0.992555614568905,0.987055521106963,0.978903887658385,0.979046281221472,0.978377156909682,0.978140818165136,0.819098799338024,0.951259503095094,0.939608728590244,0.774516681013818,0.624242270514585
"tuaC",0.352539482353217,0.950680615042638,0.985386457938785,0.990362049840997,0.93146557978529,0.916060659614039,0.916592920778613,0.926631138639806,0.87508104465895,0.989317841808831,0.980556215109246,0.993020357721396,1,0.994716115730697,0.987425092936622,0.986601416214362,0.987392482552208,0.983943964715813,0.981430031165751,0.808642746654001,0.953859730577467,0.946811863007372,0.759963317357775,0.618126750584512
"tuaD",0.321911234625405,0.954485089828273,0.986682042403895,0.987187897794347,0.940323117897215,0.924696096952715,0.923564586730374,0.934773373886112,0.887489599708984,0.984351396365007,0.975795234591834,0.992555614568905,0.994716115730697,1,0.994849325408219,0.988327489813174,0.992346146119176,0.988428046371654,0.982312314878803,0.786114489164887,0.941981723420706,0.931953319267358,0.767579830518832,0.621641791683396
"tuaE",0.264181276721312,0.954327945644077,0.985638359656922,0.983779367483459,0.938118694549212,0.923373755655514,0.920440622990175,0.931897899226002,0.88298104656647,0.978330085425023,0.974395160059917,0.987055521106963,0.987425092936622,0.994849325408219,1,0.988303326806582,0.994836038877317,0.991178982735652,0.97990270735928,0.752528785824657,0.919961393076819,0.917189764896905,0.750068103805363,0.621222316813745
"tuaF",0.261391599926115,0.938187432005875,0.994343359808529,0.98647187583807,0.944986374004665,0.935623457386911,0.939488152700898,0.938744298853049,0.900455165911245,0.985026348161427,0.977471036316105,0.978903887658385,0.986601416214362,0.988327489813174,0.988303326806582,1,0.992862675767676,0.997934198025599,0.991680863516782,0.739579014998603,0.919455513746484,0.925867589361605,0.723623953948577,0.583280536672627
