"","ahpA","abrB","ahpT","antE","bdhA","bmrB","bmrC","bmrD","csn","ctaO","dacF","lip","mcpA","ntdR","pbpH","phy","ppsA","ppsB","ppsC","ppsD","ppsE","pspA","rpmGB","rsiW","secE","sivA","sivC","tlpA","xynC","xynD","ybaJ","ybdN","ybdO","ybfO","ybfP","ybfQ","ydeH","ydeJ","ydjG","ydjH","ydjI","yerI","yflB","yflD","yfmG","yhaP","yhaQ","yjcM","yjdG","yknW","yknX","yknY","yknZ","ylbA","ymaE","ymzB","yncM","ynzD","yoaW","yocD","yokI","yokJ","yokK","yokL","yolA","yolB","yomJ","yoqM","yorD","yphE","yphF","yqaP","yqzG","yrpD","yrzI","yscB","yvgO","yvqJ","ywbE","ywbF","yxaA","yxaB","yxeD","yxzE","pval","z","inv_cof_var"
"GSM672561",11.54819108,13.19254647,10.95534349,7.862260595,16.08663829,11.6998658,10.6237948,10.45966691,12.83733197,8.332564684,7.647143123,9.359849442,13.76680818,10.01761338,11.99779554,9.140726766,9.541005576,9.662597398,9.266752045,9.14486803,9.172110409,10.92615725,12.84075093,12.34049442,12.00570595,12.71656803,11.19638364,10.01882751,10.72067398,10.88583123,11.9466974,10.63316877,11.17064349,9.476631227,10.61782416,13.4511197,10.11830706,10.86752045,10.96807138,10.96915539,11.11460186,13.35045167,9.06446803,8.649103346,9.952976208,10.82770632,11.17430409,13.93848699,10.05336431,11.45388848,11.73466357,12.10715093,11.30724907,11.56050372,9.613957249,10.3433171,13.6722223,10.97028662,8.639073606,11.35451468,11.58755948,12.60816022,12.67875353,12.73028625,15.03266691,15.05480706,11.32364052,10.73348922,14.47455279,10.35924572,10.51776357,14.25402268,8.796410037,13.12992751,10.47985502,10.8426684,8.067376208,7.779686989,10.09603011,9.579008178,11.31787472,11.12529665,7.100415613,9.424471375,0.374289829808248,0.32051275928334,6.1070351798455
"GSM672562",11.28675688,13.49977695,10.70047807,7.665922677,15.68112788,12.32584796,10.19028625,10.20304461,12.01111041,9.361120818,7.743396283,10.02391561,13.44939033,10.3635,12.20097844,8.870406691,9.531951673,9.74697658,9.210145725,9.096666171,9.003201487,11.1695632,13.01324461,12.84293011,12.35069814,12.55874387,10.8438829,10.11953383,10.50936506,10.69941338,12.62544387,10.1452829,10.81364758,9.567028625,10.44045019,13.06050818,10.55470335,11.00720223,11.24241227,11.173071,11.24960967,13.26346171,9.187238662,8.359057249,10.00747918,10.72760855,11.07978216,14.77594758,10.56183123,11.77574349,12.19250186,12.39912119,11.52222045,11.15429703,9.64251487,10.01882751,12.92828178,11.2329223,8.972713011,12.32020335,11.27490967,12.04601524,12.02735651,12.17309703,14.76273346,14.72338401,10.8556171,9.839937175,14.21958662,11.0330539,11.04339219,13.9054052,8.67227658,12.60668736,10.22354126,10.29357361,7.053049071,7.953175836,10.15257063,9.662597398,11.06445836,10.97369777,7.241677695,9.242672119,0.263463173604944,0.632704934024867,6.22039747819158
"GSM672569",11.51240149,14.961471,10.99430186,7.760930855,13.92297026,12.78208439,11.36612639,11.28866245,11.56434796,8.697910409,7.344720818,11.99639963,12.56927323,12.75065836,11.81046245,8.090775465,12.06978903,12.07309777,11.71712751,10.9565684,10.30092751,12.78829182,14.8030119,14.12176357,14.05355316,14.66993086,14.2077948,10.27928476,9.808316357,9.777935316,13.29628699,12.94970781,12.86639294,10.73702082,9.648879926,12.0179461,12.52835316,10.23603513,12.74146729,12.66502602,12.66787807,12.19392119,9.660145725,8.428883643,15.37522491,10.38961561,10.61201561,14.7149948,11.2785487,12.64338773,12.63451004,12.97545799,12.14592454,12.26860632,10.41029554,11.21893048,13.04265836,11.97753792,9.909817472,12.88760223,11.44123439,12.45414126,12.16733941,12.35640037,14.18383309,14.29121375,12.01371413,10.75109331,14.57414535,12.95655428,13.47410706,13.99217212,8.016636059,13.12800297,12.37973866,10.78990446,7.521742193,10.85080967,10.44165911,10.39292119,9.498850372,9.678159108,7.292366914,9.507092565,0.276314375190409,0.593825621608855,6.20627973735697
"GSM672570",11.35399554,14.99403494,10.87672565,8.013526394,14.06484089,13.35631375,11.4645171,11.38870186,11.34097472,8.528111524,7.323299257,12.17600892,12.20908513,12.69711524,11.81170372,8.122149442,11.84500446,11.77836766,11.5304,11.0330539,10.65589554,12.8108052,14.70664796,14.16922491,13.91831896,14.87297918,14.22263903,9.789263569,9.662597398,9.739531599,13.58394275,12.76600149,12.49575204,10.697229,9.585373606,12.23579331,12.48520074,10.14402862,12.73823494,12.80753569,12.55874387,12.00305651,9.801787361,8.199758736,14.61673569,9.954214126,10.42071691,14.53294684,11.13711487,12.82326543,12.70778104,13.04265836,12.26155651,12.74293383,10.33233123,11.09902212,13.38472454,12.10452751,9.737092193,12.77968346,11.40038773,12.26726022,11.94935167,12.36528178,14.09866691,14.08353271,11.8646974,10.40512788,14.31970743,12.82172268,13.62670483,13.7497,8.002232714,13.16680669,12.40194684,10.62734349,7.467078439,10.66492026,10.31892639,10.37321041,9.3131829,9.639908922,7.321295167,9.620627138,0.318035726095998,0.473198662105566,6.16247803290005
"GSM672571",11.21184758,14.8030119,10.78052045,7.467078439,13.67681933,12.64499628,11.36244796,11.19026506,11.27490967,8.512473234,7.337226766,11.82570149,12.60364461,12.60212045,11.67314796,8.040285502,11.82298996,11.85025242,11.59519071,10.99077807,10.54986357,12.78984721,14.2410829,13.89762082,13.76423197,14.03726022,14.06186803,10.13595279,9.537186989,9.798108922,13.35250967,12.4632171,12.79137658,10.86867993,9.674375465,11.96296022,12.158871,10.14026543,12.89724424,12.68047472,12.6866171,11.99392119,9.721132714,8.34812974,14.87743532,9.869347584,10.85811264,14.76762156,10.99196914,12.81230186,13.0917539,13.15779442,12.10981524,12.42890074,10.30703643,10.72635353,13.08980112,11.94402528,9.405123048,12.41094461,11.54474833,12.36528178,12.26155651,12.46461859,14.27893866,14.34949888,11.86062565,10.1489197,14.47804424,13.10414349,13.41359628,13.60160558,7.945713755,13.2904829,11.76055242,10.90279405,7.581318587,10.56290074,9.851207435,10.0633171,9.589195539,9.428277695,7.452099257,9.487980669,0.303083897763351,0.515551351256918,6.17785701601296
"GSM672572",11.61762454,13.15065688,11.10075985,8.712598513,12.99076729,13.32523234,10.86517584,10.59065781,13.93621227,12.62544387,7.975606691,12.92150372,11.61993123,12.90213346,11.29894126,8.97785948,11.6026777,11.35625651,11.27025613,11.28929814,11.26785613,11.16154387,14.54790446,13.61981078,13.89516245,12.99596394,14.20152714,9.766249071,10.44568959,10.53330372,12.75924498,12.79232416,12.47473234,11.19509517,9.477910781,11.55567323,12.69237249,10.74155985,11.32364052,10.93927732,10.90965465,13.00986097,9.921168401,8.810766914,15.64881152,9.830095911,10.5378948,13.55765056,11.06273309,12.65458104,12.34786914,12.71191784,11.66956506,13.34507323,10.8312829,11.30602491,14.26946022,12.99944721,11.48512491,12.87134275,11.79984164,12.63150967,12.48356283,12.48666022,13.64726729,13.7522145,11.78525279,14.55987026,13.84343978,13.47612974,13.60160558,13.41359628,8.59803829,14.30661041,12.50036468,10.42599777,8.825094796,11.60144089,9.824746468,10.01496245,9.530714498,9.555390335,7.395965799,8.71819145,0.0141050666905564,2.19435172770116,6.78745803915056
"GSM672573",11.93222788,13.03748513,11.21293494,8.599952974,13.20863941,12.96701115,11.2352461,10.99543978,13.49977695,11.99392119,8.448823978,13.94646394,11.30014833,12.78208439,11.39696357,9.223396654,11.77384424,11.52343123,11.39810297,11.173071,11.06445836,11.01195019,14.36337323,13.37430892,13.75453086,13.35817584,13.99217212,9.485410037,10.56761375,10.74380595,12.88900186,12.9632026,12.20240781,10.78880818,9.552122677,11.57506468,12.45543494,10.77135019,11.05850781,10.65413829,10.7218171,12.73977435,9.721840149,8.601725651,15.62225242,10.22252528,10.79800781,13.33925093,10.84732714,12.83733197,12.39912119,12.75695279,11.75320818,13.63034387,11.05172937,11.61762454,14.05076654,12.46166171,11.67439108,12.54170929,11.97618699,12.59350818,12.50329219,12.79327175,13.54736245,13.6081974,11.87177305,14.08497249,13.59032751,13.2749487,13.40495093,13.4345881,8.636723792,14.3805052,12.42150967,10.15011822,8.873860781,11.94201822,10.0294632,10.3563777,9.565701487,9.68006487,7.251828625,8.697910409,0.00317901515759068,2.72872187188832,6.98149694407422
"GSM672574",12.0407881,12.95488401,11.65346208,8.80170855,13.39298996,12.70310595,10.97143346,10.87948736,14.52209926,12.46166171,8.787394052,13.25970781,11.97618699,12.60668736,11.39341227,9.003201487,11.60389777,11.40160372,11.284429,11.15301375,11.13479888,11.72211413,14.99943048,13.83597807,13.90805539,13.38058216,14.64447732,10.19194089,10.54747175,10.73825836,12.45830409,12.93810186,12.82404963,11.48265204,9.568403717,11.7445632,11.85151487,10.91329926,11.13814721,10.91080595,11.38151115,13.41130855,10.15888587,7.848711896,15.38340149,10.36235093,10.62500372,13.48348773,10.844471,12.59489368,12.55260149,12.61667063,12.09369554,13.7497,11.19393717,11.8469671,14.45026283,12.74756208,11.16098439,12.67265651,11.76691301,12.45247361,12.4934342,12.43612565,13.77175465,13.8509658,12.12079071,15.1410658,13.81582714,12.53718401,13.28644796,13.75689926,8.612872119,14.63204387,12.58011896,10.99318253,9.089297398,11.82952268,10.76552491,10.13296468,9.788014126,9.698559851,7.335327509,9.425710781,0.00455288628064638,2.60805724265877,6.93768156109781
"GSM672575",12.36217918,13.12605204,11.66081524,8.478445725,12.26155651,13.0185829,10.63316877,10.55690632,13.21581859,11.52100074,14.31640743,12.75695279,10.20057955,13.2139171,10.70469517,8.375895167,10.24892193,9.900917844,9.75594052,9.660145725,9.508453903,9.784247584,14.40126208,13.18522751,13.73114758,12.63599665,12.98724424,8.613412268,10.32859814,10.30092751,12.52257955,12.01111041,10.95765093,9.48922119,8.424176208,11.52583048,13.70401115,9.646335316,10.137871,9.818199628,9.815632714,12.74445799,9.060899257,7.74390632,14.77223197,10.15317714,10.31526468,12.56927323,12.31318253,12.70912007,12.37289182,12.94134015,12.2058723,13.29824572,10.09834833,11.32135353,12.99432751,12.45691115,12.40805911,12.21031896,10.90279405,11.96484628,11.95349405,12.05132193,12.31870483,12.5479145,11.45388848,13.97636729,13.40495093,13.06752156,13.6722223,12.80153755,13.25970781,13.43237621,12.6418026,8.748798513,8.437373606,10.99896283,11.16841784,9.652207063,8.238844238,9.078164312,7.223523048,8.085531599,0.213279922155686,0.795092246848239,6.27936307852779
"GSM672576",12.22879703,12.11264312,11.36494387,7.823384758,12.29611413,12.49575204,11.09389405,10.80641041,11.6064513,9.534535316,14.40846283,12.93473197,10.24510112,13.01695428,11.05456468,8.602923048,10.32859814,10.11026914,10.01496245,9.656692193,9.392488104,9.70122342,13.93093309,12.61541041,13.3702461,12.60212045,13.02672268,8.56395316,10.29357361,10.45430632,12.51368253,12.00844572,11.00848364,8.858484387,8.391205576,11.45977212,13.42184944,9.828678067,9.854495539,9.358621933,9.481560223,12.1503,9.158375465,7.517730112,14.3805052,10.2065,10.88970818,12.77635781,11.95618216,12.79232416,12.50707491,12.82718439,11.54112342,13.54539665,10.04722045,11.06212491,12.7173645,11.86915669,12.26860632,12.13850446,11.29705353,12.02735651,11.92279405,12.08006543,12.51518699,12.48819219,11.66844684,11.14584424,13.1468632,13.48916357,13.55558736,12.66046617,13.22356468,13.32130186,12.53408699,8.906881413,8.033117472,11.14034721,11.02835167,9.984120446,8.465450186,8.891684015,7.309753903,7.853407063,0.137182195461643,1.09306698356267,6.3875627828637
