"","ahpA","ahpT","antE","bdhA","bmrB","bmrC","bmrD","csn","ctaO","dacF","lip","mcpA","ntdR","pbpH","phy","ppsA","ppsB","ppsC","ppsD","ppsE","pspA","rpmGB","rsiW","secE","sivA","sivC","tlpA","xynC","xynD","ybaJ","ybdN","ybdO","ybfO","ybfP","ybfQ","ydeH","ydeJ","ydjG","ydjH","ydjI","yerI","yflB","yflD","yfmG","yhaP","yhaQ","yjcM","yjdG","yknW","yknX","yknY","yknZ","ylbA","ymaE","ymzB","yncM","ynzD","yoaW","yocD","yokI","yokJ","yokK","yokL","yolA","yolB","yomJ","yoqM","yorD","yphE","yphF","yqaP","yqzG","yrpD","yrzI","yscB","yvgO","yvqJ","ywbE","ywbF","yxaA","yxaB","yxeD","yxzE","abrB"
"ahpA",1,0.98141254589191,0.500645236173014,-0.0570831359492695,0.302720795149535,0.499997553084033,0.41552561885,0.632761036397168,0.309634000275271,0.656851280275971,0.267458560146667,-0.36612408383289,0.727493952123293,0.481166543631033,0.692351831164568,0.461403241393975,0.323671310307874,0.326184965522577,0.24252998275835,0.274126126302011,-0.202061722419703,0.224351736473302,0.0630524702467324,0.0611863039984762,0.335418972058932,0.155241734284635,0.101624313491599,0.596630983773129,0.734214804088705,0.104137489488771,0.768290183178201,0.10116839883655,0.476333509434962,0.28521409836435,-0.120435532404547,0.775212202613269,0.326695879625408,-0.284514699241226,-0.322972618220538,-0.355102642913803,0.542053268173613,0.463353740400936,-0.246259345098151,0.673758549443116,-0.194918285477157,0.0421843329111042,-0.0159795864178792,0.752041257313137,0.562039298425446,0.359907599765434,0.367939122310777,0.359924950558205,0.699746557056037,0.131274523098962,0.540607946046867,0.620664594245877,-0.0683306516194962,0.82517750568948,-0.082554156532581,0.248712514478013,0.163124113358982,0.0786634584837149,0.0205422761457488,-0.149062319224223,-0.151631050805755,0.219678116018993,0.548302337558939,0.19870492200137,0.0432743896927761,0.0536302380117056,0.216103685957187,0.670596232355065,0.677050211924705,0.711534650069919,-0.174110740980101,0.177734801776722,0.753440427335219,0.326496153960444,0.0828997134701667,-0.188521915255746,-0.208040785478467,0.393489395070497,0.140888053943516,-0.772544165185709
"ahpT",0.98141254589191,1,0.507617450888209,-0.0478508172339086,0.313492013074934,0.551976160126813,0.46491595511883,0.635474746397075,0.286732687842502,0.612369725187487,0.228291302070145,-0.331769257052451,0.70935464446839,0.501551227535817,0.715884970524626,0.474605690842514,0.340890104083751,0.346160891311634,0.258277980250839,0.282000573417694,-0.186752602597612,0.250475787069042,0.098317376307776,0.0626547794754882,0.356788959190981,0.152330315390967,0.122007006948028,0.634437506336128,0.757977409467262,0.109061905838484,0.765569827394526,0.118815788813731,0.489106371621513,0.301171299763004,-0.0547713323274444,0.754511804337116,0.38372964486149,-0.278523246171218,-0.317035081384173,-0.34869776631585,0.523246065217333,0.448684871589323,-0.20438972180316,0.640248840247389,-0.245767238123543,-0.0230586201157829,-0.0216113163958959,0.712212095246392,0.547503970922463,0.355179457602345,0.356162754679438,0.360025519314724,0.684470189156608,0.160437815577175,0.516046014496813,0.622643718340944,-0.01076261182327,0.807902910717962,-0.0767501466935061,0.281851562222995,0.174110103971638,0.0864555029278938,0.014185568027301,-0.154465153989698,-0.164674862282529,0.208698526857965,0.563990208073394,0.182471740923295,0.0330856207139096,0.055656191822379,0.221371095433899,0.635511026300074,0.691241842280333,0.678268130823213,-0.136824560598903,0.149655603575172,0.752065483812995,0.348298579736148,0.125357371666926,-0.130665866567189,-0.176657950675842,0.361868658414036,0.178222866816286,-0.755726457564771
"antE",0.500645236173014,0.507617450888209,1,0.362539368726356,0.494527818823385,0.18533650059457,0.124751723397013,0.511125827863649,-0.00584151857314295,0.259822871141679,0.0955634861886258,-0.237886352639507,0.578467857874095,0.531810973165007,0.2081946995542,0.548206931444878,0.36983600465835,0.316560161446921,0.31063480740806,0.300087514925929,0.0968952446509522,0.502154767967142,0.45147936614456,0.367576541702182,0.310251439903936,0.244587904635761,0.0112559993267501,0.492435703153854,0.55331056728567,0.0757883892898885,0.628296874237541,0.0873152063919195,0.627275906358358,0.524802680019392,0.176352328648969,0.579210111628856,0.556360583657143,-0.0620546659160693,-0.1726606184766,-0.203319411929468,0.633142524007765,0.575877514258878,0.160070312771146,0.520393375889181,-0.222701996278979,-0.0315998038928675,0.0484092514499251,0.409997941296391,0.480198281277206,0.1292418586283,0.146567390173659,0.22391061882184,0.646058836292686,0.0720906346203526,0.131175980590503,0.726133369327603,0.264335039920242,0.56568500713381,0.161390238123453,0.226706524231083,-0.00682439811258782,-0.115033396798627,-0.164841289201034,-0.0832512574172804,-0.116384896112726,0.495089387155666,0.414701874482263,0.350759764481802,0.176006294490434,0.104029716512827,0.477197449919768,0.218260402080244,0.483600950461077,0.362805823135017,0.156043890473596,0.589471555561847,0.683919645408496,-0.265161375066993,0.135842016382247,0.145970412940645,0.139458384238531,-0.16052932568579,0.465298085277258,-0.467758920083724
"bdhA",-0.0570831359492695,-0.0478508172339086,0.362539368726356,1,0.299850011029455,-0.14428831883321,-0.147926270819297,0.444584100732115,-0.103091689545841,-0.426725563467072,0.074543985770536,0.356097681035266,-0.0116900027009312,0.560131836920748,-0.203498480990573,0.55281614312398,0.610930957847349,0.552532027606336,0.585599602139299,0.557079891903296,0.487644122645738,0.212905322867239,0.362744758206195,0.282011250484932,0.504470826186257,0.297465376937904,0.366756559561698,0.244396431230925,0.23966075898273,0.237722935677208,0.291326007342222,0.345528219032489,0.428047916999551,0.694850007126678,0.529924642245444,-0.00672189950612718,0.675831886626124,0.430855465419996,0.362625661386482,0.355003042380387,0.589335907292371,0.0984464642679544,0.096530523902708,0.156199772388035,0.238539231469497,0.199246208984944,0.467487619722588,-0.251300329162086,0.131644228802415,0.0718419840424591,0.098288420694437,0.1443795048067,-0.00860918572615003,0.310147886528086,-0.283041341035407,0.506264308490576,0.220163265411012,-0.164080744746985,0.229921747299927,0.40044118854647,0.251725959481755,0.323761232853701,0.338425115019635,0.509100369359416,0.491713393859679,0.411611446283372,0.244513609036808,0.639964217222407,-0.0239256114173369,-0.197119688668782,0.762793492867993,-0.398994572598133,0.387099406909097,-0.205764392378757,0.496622135931094,0.390829412441593,0.073808402664385,-0.558467433292754,0.122169821876496,0.666068417948382,0.539040869928976,-0.451049451786303,0.353831937752052,0.0546002660549063
"bmrB",0.302720795149535,0.313492013074934,0.494527818823385,0.299850011029455,1,0.462341845836104,0.440233656429879,0.46168309408597,0.24046589677738,0.17377460111561,0.108717914658547,-0.0679901313029281,0.610835104642435,0.387086296116527,0.234498938062647,0.620351403149091,0.51205937196207,0.449092916760674,0.396444069706157,0.331890553056246,0.103955841802895,0.278655349789866,0.201566707454358,0.318483303636148,0.517370952105389,0.360351330795347,0.222118588932456,0.568872373585673,0.594481190250408,0.0365065466714058,0.505684218569253,0.231699819892955,0.360989838855625,0.324121820215025,-0.0216148329139852,0.545583645058609,0.361530495868584,0.0132214465798732,-0.0946226664849037,-0.130504850389327,0.587453882722297,0.339437857687196,-0.0430760340689665,0.420867226456456,-0.253923439142361,-0.139249810646698,0.0798682231131255,0.466148453930837,0.41942491489513,0.160077704003663,0.154926297644289,0.170738272547909,0.548543538930401,0.174258877987348,0.198744143317843,0.579671254810562,0.372605092832504,0.471937606497727,0.354874331675256,0.166988994255712,0.00609487959354498,-0.0391293546216338,-0.0266152790644638,0.0282193511301169,0.017361895518419,0.521623497955845,0.428299407343634,0.324210975158731,0.237269572131213,0.255179828243403,0.249021997053629,0.193949839960958,0.332200311753309,0.353814411166383,0.196108766300823,0.313397514662201,0.586487477928462,-0.188417246237797,0.137738898191144,0.248456287425305,0.139189756014005,-0.0248629134742445,0.180960034883157,-0.215586462592214
"bmrC",0.499997553084033,0.551976160126813,0.18533650059457,-0.14428831883321,0.462341845836104,1,0.974279163951031,0.354762346388541,0.158915481891997,0.275393618714416,-0.0566991274528509,-0.0635772824293576,0.453000181222289,0.242524335090281,0.681308120793865,0.355380388923182,0.263023307207842,0.261648832032416,0.17061009439942,0.113622028367103,-0.224823885668861,-0.0206899869643348,0.0538994760932951,-0.178444108882926,0.344628523473726,0.202525417640947,0.19163789897848,0.697095701363503,0.676697364553317,-0.0522046154101715,0.377209121887429,0.10332998617421,0.254246074461572,0.0640134525617658,-0.112534540219016,0.428058586932895,0.212006978658869,-0.280193996314099,-0.323772855481891,-0.332249087158243,0.154256403933677,0.273248645034661,-0.00185303746354171,0.229343562171563,-0.433237936455737,-0.344395663904843,-0.231185656506055,0.401734719438057,0.368342720686692,0.169221989049249,0.165057725503776,0.199704025783858,0.509244355853202,0.0967260200423759,0.411647601208183,0.38147387420041,-0.0074648437584302,0.532704474101275,-0.0789764373731244,0.0102395117134631,-0.0898513438938477,-0.142186632640656,-0.159631888422434,-0.201341786915199,-0.210742738519377,0.193749484927533,0.408144011938556,-0.172628734204258,0.0115969378455313,0.097321993005098,-0.11605183784327,0.334230839895321,0.348270240575806,0.530304609863808,0.0323986803682926,-0.0491872946376795,0.529400701180881,0.208987515489725,0.219861738839172,-0.00327011305404741,0.113172761822004,0.177608840518068,0.17936461107571,-0.353480865752221
"bmrD",0.41552561885,0.46491595511883,0.124751723397013,-0.147926270819297,0.440233656429879,0.974279163951031,1,0.325942011661041,0.123812100843712,0.259581911279031,-0.148713134120398,-0.0699546113006639,0.353699307094102,0.216777258404714,0.629756044720898,0.326918784320705,0.242087840017221,0.239922494741527,0.15701720005407,0.0886660507364068,-0.270235463882145,-0.103924944635684,0.0289394530289251,-0.245323059486059,0.31108850602627,0.134407383350634,0.142855336987152,0.713784383642701,0.644639268924508,-0.157506796019791,0.283833979277531,0.0317911021674404,0.204619115084622,0.0143913806949382,-0.0885087207058375,0.355592993521818,0.170647370828937,-0.31697880428779,-0.363590001361452,-0.356458123600884,0.128088962073306,0.265709849270978,0.0657269039691061,0.138049372826731,-0.466509308143786,-0.439387374219577,-0.331044179396499,0.352415559893012,0.297962621894288,0.0768803371046182,0.0879520439427112,0.153798644613664,0.489355894434992,0.0152953672949632,0.402756262189997,0.357125430304678,-0.0940177881926877,0.49058764688181,-0.173486348702324,-0.0988944698320959,-0.205057178630351,-0.222716584715914,-0.210462718431157,-0.265284680371802,-0.26942414003735,0.121037373164421,0.406265187162102,-0.269917754755864,-0.0897335665243164,0.00941692234212308,-0.18910572572156,0.31870622315324,0.30272174292556,0.4846509247115,-0.00333169199083302,-0.0252138726369758,0.438317577325645,0.178827820390168,0.133725778364958,0.0188964744104717,0.201990314090966,0.19086952358975,0.150240090690168,-0.264767743901623
"csn",0.632761036397168,0.635474746397075,0.511125827863649,0.444584100732115,0.46168309408597,0.354762346388541,0.325942011661041,1,0.54238884210385,0.408217490130383,0.0645955632561896,-0.226871255766251,0.480632899473987,0.629552377429753,0.455993532801796,0.794637246165126,0.729344320043165,0.701796442573233,0.671278479203546,0.68153016130667,-0.000513690841676957,0.14652128546226,0.214683243632247,0.131082470624157,0.516226303388843,0.175995100525804,0.151302771488388,0.704873255229695,0.756318727086472,-0.00753739026364173,0.697676885812251,0.131602078769442,0.593551479135855,0.616830210063844,0.101318780812253,0.591496689487822,0.529988136078166,-0.0848820969575155,-0.173684676204597,-0.193932603242287,0.845836838707611,0.480616796414825,-0.152931870322048,0.625826878599462,-0.171198583057664,-0.05660719786168,0.0530728257206345,0.460851050253944,0.483343629609813,0.208199579923187,0.269216092877951,0.325877796659714,0.552224382945557,0.148451949716565,0.379054853714375,0.87510075831759,0.00868621684789694,0.636975603518413,-0.0756319143629841,0.27843442135511,0.114925072448574,0.138715521798533,0.144074309997526,0.0219975228806029,0.0222580116438065,0.310141690583972,0.921033679774442,0.34515310059683,-0.126211071592177,-0.162010663651522,0.422863414697197,0.464017849198141,0.808906985036848,0.545179347407432,-0.0259713290358731,0.338726971460196,0.611354417747155,-0.114972483786402,-0.111390451328861,0.16168300728983,0.193573507471974,0.280717848892419,0.203602775763002,-0.574006101498139
"ctaO",0.309634000275271,0.286732687842502,-0.00584151857314295,-0.103091689545841,0.24046589677738,0.158915481891997,0.123812100843712,0.54238884210385,1,0.35864196606311,0.207134884481379,-0.129499132169733,0.372873185335158,0.0183156290612359,0.349621836946484,0.333671456294551,0.336284709963525,0.363298848924549,0.344070357008905,0.390415625529723,0.0380642201703593,-0.0928374236976707,0.0108180197555267,-0.0640276521586081,0.163748581523494,0.250562277521179,0.185973136427197,0.225999786714513,0.312172659850162,-0.0560441150082772,0.283182748598115,0.177121035254288,0.24135657146824,0.169728041627257,-0.379824975139682,0.32471405319718,-0.10288758016306,0.0377321177804591,0.0136097292567807,0.00652814721116152,0.35531268615155,0.230783006996051,-0.362270902129157,0.415199325940869,-0.0363158719587503,0.0753535143097006,0.0478434953196153,0.411001043945791,0.442547517705811,0.403556302474875,0.435838598577691,0.405273226529796,0.223590392218646,0.135638179726825,0.425013448277144,0.272380271345717,0.105668065050819,0.382503982434416,0.105187567053582,0.145009997625636,0.15174551732255,0.152291793334077,0.135607404870165,0.0563500464729726,0.0803762615608336,0.213474643251369,0.587314771596654,0.125591254354236,0.148623403243571,0.196108601944651,-0.0371874299570139,0.420965525303195,0.331495374928334,0.432988928453491,-0.0819258749534949,-0.092936849970411,0.366306362911126,0.0677770493314515,-0.0931572537500246,-0.218701468741449,-0.229179163625954,0.515871705114847,-0.039454228560431,-0.434286686601013
"dacF",0.656851280275971,0.612369725187487,0.259822871141679,-0.426725563467072,0.17377460111561,0.275393618714416,0.259581911279031,0.408217490130383,0.35864196606311,1,-0.10882062185602,-0.687894015336725,0.430297591104441,0.0851974111674796,0.428379147642677,0.135985072220916,-0.0297438263764189,-0.0341865273607153,-0.112851070461851,-0.0890800056965844,-0.605488014273349,-0.129656323696188,-0.296225051090469,-0.149643139600874,-0.111267167991183,-0.213595376458821,-0.401255499468565,0.34619611819297,0.400356020064704,-0.336386297255453,0.308117316322376,-0.372874299430392,-0.00908935565011364,-0.156297276731491,-0.413795893236836,0.585441263943374,-0.211144629325471,-0.637492956842223,-0.657891982892935,-0.666652632346051,0.315632408186054,0.434107965032933,-0.113819753777773,0.384103850295434,-0.344364548409343,-0.203295972488253,-0.448373830121087,0.772824510034579,0.234761226107063,-0.0307267092141233,-0.00436966649173163,-0.00490633742610853,0.593764278935778,-0.406965297717612,0.703014163904796,0.336903820597039,-0.342074734524012,0.743925699429624,-0.397061177213763,-0.319222166439385,-0.302612056921218,-0.34576663718822,-0.319992122446129,-0.533941862293231,-0.518967638931269,-0.0917304313564491,0.468828376365421,-0.249880606545682,-0.178188962008811,-0.0688073733911521,-0.306481740769561,0.977216078552399,0.283466114000638,0.709860536329105,-0.618871163729628,0.192136256437864,0.409759384457019,0.408861089750165,-0.381062225971367,-0.55614094442048,-0.280508142060758,0.741960923413135,-0.305704181328555,-0.613443081342395
