"","hypO","hypR","pval","z","inv_cof_var"
"GSM672572",9.727094424,9.852501115,0.363783742924603,0.348363133383212,110.399729616634
"GSM672573",9.775313755,9.696065428,0.202522402984084,0.832645294143902,173.736718244586
"GSM672612",10.73234387,10.61090149,0.324757405883282,0.454436325826461,124.272544119972
"GSM672614",10.91444461,10.85993587,0.0480567333777616,1.66399480904555,282.465015583624
"GSM672615",10.67507658,10.57621078,0.252580360763596,0.666391770066681,151.993200896568
"GSM672617",10.76186208,10.55114572,0.479627258295504,0.0510891062749963,71.5206562170194
"GSM672623",10.66912045,10.52265576,0.387243572320379,0.286510510349989,102.31031563634
"GSM672626",10.26368476,10.45007435,0.458156218109688,0.105079865029546,78.5818539036739
"GSM672631",10.93447918,11.07329405,0.358899442121925,0.361402092137044,112.105033774471
"GSM672632",10.94499814,11.02891822,0.178806776072222,0.919921941083766,185.151220868497
"GSM672634",10.21518253,10.15634833,0.0843652942530825,1.3762941332786,244.837995829927
"GSM672635",10.20057955,10.34454164,0.391341734664889,0.275823713368093,100.912639666099
"GSM672636",10.20057955,10.14402862,0.0736261477696988,1.44930546513833,254.386804913556
"GSM672638",10.12423866,9.981542379,0.395111113277088,0.266022050909098,99.6307262817094
"GSM672641",10.1033316,10.0693658,0.00331086854058871,2.71529193317182,419.95922741004
"GSM672648",9.971773978,9.907265799,0.120929027512333,1.17035520352441,217.90421071712
"GSM672655",10.05097732,9.923634944,0.362305443798139,0.352303201267744,110.915032584647
"GSM672657",10.79227621,10.97694387,0.443704385925326,0.141583789733254,83.3560307187001
"GSM672658",10.77076524,10.67319126,0.244326154755549,0.692453927715471,155.401748054341
"GSM672661",10.21586989,10.1390197,0.174570637669026,0.936256235554624,187.287506503139
"GSM672664",10.26107435,10.47985502,0.493300328453175,0.0167943755751599,67.0354095068735
"GSM672665",10.96685353,10.78990446,0.432896556626233,0.169004485477412,86.9422546914978
"GSM672666",9.789263569,9.885793309,0.272180371765925,0.606231943803622,144.125179853014
"GSM672667",9.909817472,10.02264535,0.322980113942963,0.45938150422875,124.919300770551
"GSM672697",11.36371152,11.25331078,0.270318379463794,0.611850372151062,144.859987700963
"GSM672698",10.09716097,10.13964257,0.0187734724024486,2.07976661321295,336.841856537273
"GSM672699",10.00255502,9.970596283,0.00196832695036127,2.88319361898616,441.918300088523
"GSM672702",10.2214171,10.23892602,2.90331587360779e-09,5.82223358040766,826.30152890962
"GSM672703",10.11346208,10.2729855,0.422626741677287,0.195178150668337,90.3653853968401
"GSM672705",10.47734089,10.39144312,0.206744938105681,0.817767645112416,171.790940423579
"GSM672707",11.17657509,11.35176059,0.420932188710113,0.199509289539519,90.9318347019296
"GSM672708",11.13242119,11.33162788,0.454648541537859,0.113925207356826,79.7386946708691
"GSM672709",11.24358141,11.48142862,0.491699765993044,0.0208071025060019,67.5602152101986
"GSM672710",10.8617461,10.70406654,0.403732856536237,0.243696721017631,96.7109012705423
"GSM672711",10.88695465,10.98677305,0.245406871133306,0.689015136489827,154.952004705525
"GSM672712",11.07273717,11.00960112,0.0814712625631194,1.39524316275829,247.316250372239
"GSM672716",10.28401264,10.45909944,0.442444610420877,0.144774114083281,83.7732782521622
"GSM672717",10.26107435,10.41029554,0.400055157542823,0.253204337220249,97.9543577265023
"GSM672718",10.25133606,10.23182268,1.11207650857968e-07,5.17955544389826,742.248674764442
"GSM672758",10.25008439,10.13052454,0.335102632921033,0.425866309063968,120.536005850744
"GSM672759",10.31406059,10.20057955,0.31503764744526,0.481620874026467,127.827883464901
"GSM672760",10.16249219,10.2696368,0.296235376983212,0.535259027954768,134.842965622883
"GSM672765",10.40512788,10.31709591,0.21860245384957,0.776921801638585,166.448904451125
"GSM672766",10.50936506,10.68896989,0.443396016545194,0.142364586772941,83.4581474953034
"GSM672770",10.32988178,10.27987156,0.0416046162725398,1.73236142003131,291.40636344524
"GSM672773",10.45131152,10.25133606,0.474501298314427,0.0639593473289351,73.2038945795309
"GSM672775",10.63316877,10.72878178,0.238174652756966,0.712186483897426,157.982476373001
"GSM672777",10.20783569,10.38173197,0.442598037542164,0.144385488692765,83.7224517631151
"GSM672779",10.00255502,10.07917026,0.178428405039023,0.921370911827294,185.340724944718
"GSM672781",10.27803457,10.1083052,0.438951638368244,0.153627722870408,84.9312001508045
"GSM672787",10.4644316,10.49665279,0.0012578645274149,3.02144311454851,459.999302111184
"GSM672791",10.29977138,10.26731784,0.00169141062538445,2.93062384350177,448.121476323732
"GSM672792",10.44395465,10.29357361,0.401368573585257,0.24980630041135,97.5099444563861
"GSM672793",10.45493383,10.50714535,0.0469764320192405,1.67490504291123,283.891913814179
"GSM672794",10.40272268,10.38305279,9.06391862367474e-08,5.21757751035497,747.22140220705
"GSM672795",10.5060777,10.57447881,0.120899474492807,1.17050215113011,217.923429304104
"GSM672796",9.860341264,10.00012416,0.392653040466051,0.27241091507516,100.466295810836
"GSM672801",10.39436654,10.27670223,0.324892799294541,0.45406006072711,124.223334175337
"GSM672803",10.697229,10.64447546,0.0453697684550806,1.6915094896168,286.063531390412
"GSM672805",10.69941338,10.48396914,0.485706763816814,0.0358354983648397,69.5257085005409
"GSM672815",10.5378948,10.37931041,0.413962110036397,0.217364595764569,93.2670463181251
"GSM672816",10.05582602,10.04472379,7.50662996651844e-21,9.29290571673571,1280.21443225645
