"","iseA","walR","pdaC","pval","z","inv_cof_var"
"GSM672549",11.01917918,12.62237993,10.80403717,0.443788195251761,0.141371597887295,71.7263182043628
"GSM672562",12.52835316,12.22177807,12.66787807,0.328916244479886,0.442907712063551,127.693513388234
"GSM672599",12.13388587,13.04265836,12.49265874,0.493445119763382,0.0164313874943897,48.5365481813718
"GSM672625",9.500806691,11.7929974,9.254644238,0.481975618202996,0.0451958069502597,53.8754240318991
"GSM672626",9.243945353,11.80575428,9.25350855,5.25039208494896e-13,7.12377838106688,1367.70946886265
"GSM672634",10.0087881,11.61993123,10.31040186,0.495379391920992,0.0115824058190104,47.6365435347963
"GSM672635",10.29977138,11.84635353,10.09491599,0.446618245857398,0.13421003399772,70.3970822515664
"GSM672638",10.54045279,11.89614238,10.30703643,0.462081384375874,0.0951914403164572,63.1549605099466
"GSM672645",9.358621933,11.89925465,9.197054275,0.423689013175262,0.19246494249552,81.2095975060714
"GSM672657",11.48629777,11.81549405,11.73350112,0.455104650879032,0.11277454243314,66.4185062739113
"GSM672707",14.55987026,12.2758855,14.3805052,0.355832470198994,0.369620948230132,114.090981475716
"GSM672708",14.67824238,12.31318253,14.34949888,0.463618161361489,0.0913225220874553,62.4368624397883
"GSM672709",14.41200297,12.28023792,14.27576691,0.288711338456247,0.557153324541468,148.898291827195
"GSM672716",10.31526468,11.83742714,10.10699257,0.448879729106615,0.128492215598548,69.3358154800998
"GSM672722",11.45005353,12.56166506,11.68098401,0.445702608014944,0.136526323756448,70.8270017037795
"GSM672738",11.6386974,12.42567472,11.86726952,0.441679415321579,0.146712653492188,72.717655186812
"GSM672739",11.81046245,12.2829855,11.61762454,0.413802525845763,0.21777419466313,85.9071703321061
"GSM672744",10.49909703,12.46749591,10.34454164,0.394075229246191,0.26871311509596,95.3617874352949
"GSM672745",10.78990446,12.07309777,10.7487777,0.0400483784530694,1.75012494116993,370.322102036663
"GSM672749",11.29045911,12.97873309,11.05514201,0.453550114385492,0.116696922918996,67.1465273099224
"GSM672752",10.07917026,13.15227509,10.30587918,0.461169644540979,0.0974874640090598,63.5811184396583
"GSM672756",10.87773792,12.68502305,10.80522639,0.185624593254561,0.894135894034479,211.444595084767
"GSM672765",10.41638848,11.68854647,10.24135167,0.418962591156554,0.204548132993703,83.4523215091421
"GSM672766",11.04339219,11.43328625,11.18467807,0.361557812229238,0.354297922574115,111.246921585774
"GSM672767",11.36908829,11.37209145,11.32135353,0.0586920450437904,1.56584849469195,336.119114855517
"GSM672776",10.21271413,11.70220223,10.40149368,0.432136112802093,0.170938370202112,77.2141163131267
"GSM672786",11.31913494,11.67967361,11.26665725,0.0815711795491675,1.3945805652219,304.330598698593
"GSM672787",11.45741599,11.73589108,11.59011673,0.33848540678404,0.416600267617337,122.810669148723
"GSM672788",11.66844684,11.5727223,11.59519071,0.167332553939289,0.964759854699621,224.552892251764
"GSM672791",9.183775093,11.84635353,8.944990335,0.482386185404709,0.0441656397655302,53.6842178539682
"GSM672792",9.242672119,11.67574201,9.136124535,0.340140683909073,0.412079208023493,121.971529115969
"GSM672793",9.461452788,11.78024257,9.329881041,0.382455372103081,0.299038402827828,100.990371268887
"GSM672794",9.503286989,11.60389777,9.469037546,0.0310699764701502,1.86529580432564,391.69861342184
"GSM672796",11.63497546,11.52222045,11.3258513,0.484882578646963,0.0379028292029507,52.5217967552118
"GSM672800",9.173773048,11.82700706,8.93649368,0.481773226512676,0.0457036519405166,53.9696835860838
"GSM672801",9.265559851,11.90698848,9.184917472,0.265472074699482,0.626565407912217,161.781656159001
"GSM672802",9.739531599,11.85151487,9.523559851,0.462265906474701,0.0947268219303728,63.0687241134504
"GSM672803",9.410388104,12.02192007,9.337545725,0.231030371747473,0.735457780442988,181.992836117042
"GSM672804",10.21153717,11.84436245,10.05217361,0.405417826925284,0.239348121664084,89.9114408873711
"GSM672805",10.61900669,11.77082305,10.34454164,0.481689713849577,0.0459132068945458,54.0085784396769
"GSM672807",9.164875465,11.80575428,8.958167286,0.464563499757793,0.0889432647113796,61.9952557608561
"GSM672811",9.258460595,11.82046914,9.059653903,0.457808383931475,0.105956623439912,65.1530531984673
"GSM672812",9.279881413,11.91770855,9.198179926,0.268764967338585,0.616552497887783,159.923190577766
"GSM672813",9.470373234,12.05809554,9.465282156,2.24356613685587e-44,13.9246533530718,2629.99905569741
"GSM672814",9.7712,12.06361859,9.862908178,0.284148652622527,0.570560935427042,151.386837444466
"GSM672815",10.42367732,11.82952268,10.22354126,0.441186864918936,0.147960768184566,72.9493139345247
