"","kipR","tnrA","pucR","pxpA","pxpB","pxpC","ycsG","ycsI","yfiR","yfiS","pval","z","inv_cof_var"
"GSM672549",9.765004461,9.887065428,8.91187026,9.734589219,9.99890223,9.693599628,9.624618587,9.793090335,10.47734089,9.192094796,0.00891686214467894,2.36905244812394,21.7225481734601
"GSM672550",9.918536803,10.22354126,8.894226394,10.29977138,10.04722045,9.728449442,9.970596283,9.975315242,10.48220409,9.177965799,0.0352819046213315,1.80827436722177,19.4097532975916
"GSM672551",9.913620818,9.959482156,8.97135948,10.12925874,10.287729,9.720425279,10.06692714,10.10272007,10.46688848,9.218575465,0.0252429495035938,1.95582392892537,20.0182861234391
"GSM672552",10.03850483,11.33878662,8.956904089,10.6382342,10.45367881,10.05844498,10.57166673,10.41153829,11.91107807,9.48922119,0.446342616594874,0.134907217238859,12.5083512961065
"GSM672553",10.32377435,10.58518067,8.784646468,11.30724907,10.99658662,10.40910855,10.95058736,11.10075985,11.13919257,9.446366171,0.480165728906337,0.0497376442290115,12.1570897922329
"GSM672554",10.19560706,10.01624201,9.036495167,11.19886617,10.59470558,10.35158587,10.92505576,10.8438829,11.11351933,9.587906691,0.2790310583399,0.585722343386694,14.3676303036622
"GSM672555",9.663977323,10.92615725,8.552971004,9.657711524,9.990411896,9.737092193,9.762339033,10.00255502,10.95534349,8.987587732,0.268731400639879,0.616654253386107,14.4952015575749
"GSM672556",9.837497398,10.67985911,8.643419703,9.688352416,10.24892193,9.923634944,9.94911487,10.28045836,10.83640539,9.012932342,0.242423010862553,0.698529650389583,14.8328770215387
"GSM672557",9.985307807,10.73932156,8.833879926,9.414117472,10.34696877,9.885793309,10.11216691,10.31102435,10.9382052,9.078164312,0.241592551572961,0.701188952793595,14.843844677342
"GSM672558",9.914948327,9.815632714,9.052309665,10.1452829,10.17985465,9.917216729,10.19937509,10.22478587,10.61555799,8.993447584,0.0660252948794064,1.50606460494006,18.1633615190147
"GSM672559",9.767536431,9.987192565,8.974035688,10.1611948,10.02628067,9.725816729,9.852501115,9.861586245,10.65467323,9.337545725,0.0180799365244568,2.09512510195604,20.5928004458775
"GSM672560",9.924944238,9.494378067,8.921110409,9.805604833,10.08529814,9.752057249,9.893404089,9.974054275,10.42954089,9.260887361,0.00788580175624918,2.41415841530856,21.9085769312316
"GSM672561",9.491711524,10.09135651,8.817110037,10.29234758,10.02011078,9.677058364,9.682429182,9.959482156,11.39696357,9.844262639,0.286132611525631,0.564718538022871,14.2810051393172
"GSM672562",9.720425279,9.723099628,9.153733829,10.03135093,9.993965056,9.648879926,9.586639777,10.00255502,11.48741822,9.750860223,0.200631822959991,0.83936655474138,15.4137250999693
"GSM672572",9.732179926,11.37209145,8.703616171,9.752057249,9.985307807,9.61009368,9.708602974,10.05844498,10.50502379,8.267149814,0.318407886095843,0.472155539229724,13.8992512216901
"GSM672573",9.990411896,10.85080967,8.813281784,9.82232974,10.28889442,9.916043494,10.20419591,10.39436654,10.66082342,8.439837918,0.369426766531474,0.333371951223648,13.3268715547126
"GSM672574",9.533196654,10.89479591,8.77370316,9.126830483,9.853855762,9.508453903,9.376255762,9.852501115,10.55939517,8.238844238,0.304618949335039,0.511161608885666,14.0601224131656
"GSM672575",8.186486989,10.91926171,8.147725651,8.308172862,8.334871375,8.021720446,8.174248327,8.554138662,9.990411896,8.010395911,0.336116721557973,0.423084729804631,13.6968704217657
"GSM672576",8.207724907,11.08918216,8.175404461,8.539452788,8.47370632,8.109748699,8.443499628,8.471215242,10.05959888,7.940559851,0.339927665353534,0.412660551800656,13.6538783964106
"GSM672577",8.145573978,9.206534201,8.93649368,8.364927881,8.646530112,8.424176208,8.392362082,8.735318587,9.87559145,8.019628996,0.18634926484221,0.891429999428291,15.6284483072284
"GSM672578",8.212000372,10.49189926,8.045720074,8.661983643,8.665247026,8.188528253,8.592207063,8.626248141,9.786729368,8.03609145,0.17323660615031,0.941452125027098,15.83475258285
"GSM672579",8.368715242,10.25195558,8.20314052,8.898016357,8.819794796,8.425394052,8.472410781,8.950156134,9.786729368,7.86312974,0.187458879643688,0.887299342857358,15.6114124035856
"GSM672580",8.003266543,10.09603011,8.138221933,8.731679926,8.5885829,8.073602602,8.453284015,8.60114052,9.707454275,7.692402602,0.268784534087539,0.616493185369532,14.4945372711199
"GSM672581",8.513688848,10.50383271,8.324371375,9.614652602,9.06572974,8.601725651,9.367478067,9.188394796,9.502141264,7.971537918,0.193430682220758,0.865323302361897,15.5207774883122
"GSM672582",8.338381041,10.98158476,8.449340892,9.580311896,9.10509368,8.77573197,9.107285874,9.419314498,9.414117472,7.844722677,0.213652357768169,0.793812292189868,15.2258474553338
"GSM672583",8.304640149,10.53447063,8.12430632,9.617849071,9.133810409,8.540665428,9.145479182,9.239005576,9.575063197,7.795259851,0.36082957953493,0.356242242843031,13.4211945945536
"GSM672584",8.564656134,10.07056989,8.528111524,9.35160855,9.11569145,8.514854647,8.848271747,9.254644238,9.842369888,8.105662082,0.129110158102205,1.13060753132134,16.6148787491872
"GSM672586",7.960021933,9.810822305,8.554138662,9.212445725,8.649103346,8.39658829,8.594514498,8.962276952,9.403698141,7.826556877,0.139241216713103,1.08373472721497,16.4215630957287
"GSM672587",8.312686245,10.26606654,8.251019703,9.267866914,9.182578067,8.339630112,8.611727323,9.304019331,9.368698513,7.900626766,0.185331094745845,0.895233669965367,15.644135635295
