"","kipR","pucR","pxpA","pxpB","pxpC","ycsG","ycsI","yfiR","yfiS","tnrA"
"kipR",1,0.760841584468686,0.802916197339435,0.928307487568296,0.968065686260885,0.884677149607558,0.859585463105565,0.759430669057586,0.804564609971884,0.115182182923561
"pucR",0.760841584468686,1,0.690614830565011,0.692030649672125,0.79863896407789,0.756844582178658,0.650751128456635,0.769513893615771,0.741880338263417,0.0967598336367653
"pxpA",0.802916197339435,0.690614830565011,1,0.870535059542276,0.846791526131405,0.926401671340952,0.881664223962025,0.711298928462065,0.745752251949834,0.204132395458899
"pxpB",0.928307487568296,0.692030649672125,0.870535059542276,1,0.958769486911889,0.941021423602766,0.968427987454364,0.721212460171183,0.768915385724171,0.182415730752072
"pxpC",0.968065686260885,0.79863896407789,0.846791526131405,0.958769486911889,1,0.936387017703984,0.91323613876835,0.799414910171679,0.807799843387953,0.134890770976129
"ycsG",0.884677149607558,0.756844582178658,0.926401671340952,0.941021423602766,0.936387017703984,1,0.940975977399661,0.793822458875002,0.758173510242906,0.248098334416521
"ycsI",0.859585463105565,0.650751128456635,0.881664223962025,0.968427987454364,0.91323613876835,0.940975977399661,1,0.700627740633538,0.724301903007815,0.245186325620964
"yfiR",0.759430669057586,0.769513893615771,0.711298928462065,0.721212460171183,0.799414910171679,0.793822458875002,0.700627740633538,1,0.783304021474379,0.167806465394993
"yfiS",0.804564609971884,0.741880338263417,0.745752251949834,0.768915385724171,0.807799843387953,0.758173510242906,0.724301903007815,0.783304021474379,1,-0.00372209700247311
"tnrA",0.115182182923561,0.0967598336367653,0.204132395458899,0.182415730752072,0.134890770976129,0.248098334416521,0.245186325620964,0.167806465394993,-0.00372209700247311,1
