"","lexA","rocR","pval","z","inv_cof_var"
"GSM672549",12.83102602,10.21896468,0.317121411772816,0.475763573779845,6.23982464755474
"GSM672550",12.72569926,10.65251152,0.0505322513843517,1.63971469163339,7.97365865888558
"GSM672551",12.72569926,10.55470335,0.0842296727614273,1.37717112954024,7.58257096591398
"GSM672552",14.11600446,10.92265688,0.496459878190256,0.00887388588618327,5.54434078402059
"GSM672554",13.36243383,10.57802751,0.35632657040016,0.368295187171605,6.07973859154593
"GSM672558",13.02354647,10.66789145,0.144351274350995,1.06097217043117,7.1115576207301
"GSM672559",13.11002677,10.67029442,0.180426168900827,0.913742174015215,6.89224224626244
"GSM672560",12.93148625,10.36471933,0.275849104259599,0.595217328650833,6.41776423608182
"GSM672569",13.12992751,10.37684833,0.366943148903478,0.339960469135618,6.03753089306211
"GSM672570",13.21777212,10.3081487,0.450254483616932,0.125018420583969,5.71735092284891
"GSM672571",12.71352639,10.41638848,0.143087241073465,1.06655134323704,7.11986841610418
"GSM672573",12.80000632,10.01761338,0.428699823542456,0.179685283979616,5.7987832661787
"GSM672574",12.87134275,10.06692714,0.432686928223429,0.169537528071268,5.78366706064163
"GSM672575",12.42726766,10.1576368,0.156130157403657,1.01049057062145,7.03635969071918
"GSM672576",12.23579331,10.08286914,0.11355288360087,1.20784791474761,7.33034529748837
"GSM672577",11.27385204,10.25008439,1.8413806387469e-10,6.26691284875806,14.8663824330464
"GSM672578",11.76055242,9.347269517,0.330413262442744,0.438772311604835,6.1847220685054
"GSM672579",11.44644647,9.411591822,0.124527998202134,1.15264531280203,7.24811491229514
"GSM672580",11.44888067,9.49563197,0.0842636713206693,1.37695117840903,7.58224332436077
"GSM672581",11.01789926,8.998344981,0.160684895970197,0.991646921264657,7.00828998946519
"GSM672582",11.16154387,9.442413011,0.0240715610610593,1.97610291703921,8.47474615068284
"GSM672583",10.79346208,9.277469145,0.00506238609012232,2.57153862090467,9.36171353194751
"GSM672585",10.74750632,9.35735539,0.000810674994003153,3.15203831126059,10.2264320680336
"GSM672586",10.90512491,8.634157249,0.355283627799732,0.371094354718358,6.08390826140708
"GSM672588",10.73115465,9.494378067,2.56402694455339e-05,4.04971275227502,11.5636174988131
"GSM672591",10.97143346,8.56395316,0.444829325235953,0.13873615035953,5.73778499957111
"GSM672592",11.1655158,8.799050186,0.38530200440352,0.291584917285582,5.9654701545758
"GSM672600",12.80614647,10.13658327,0.357009877691994,0.366462814418182,6.07700906953028
"GSM672601",12.71656803,9.843672491,0.494205265770552,0.0145257554638617,5.55275986928205
"GSM672602",12.55796264,10.26606654,0.15526068781452,1.01412863568712,7.04177899128047
"GSM672604",12.70008885,9.936259851,0.430658172749852,0.174698755760621,5.79135528050822
"GSM672609",13.6106,10.65969257,0.424237870832612,0.191063630082398,5.81573257200701
"GSM672624",12.68944535,10.09255093,0.325907890963287,0.451241112079036,6.20329572680691
"GSM672625",12.73977435,10.14157732,0.320140627573563,0.467305593462052,6.22722554977716
"GSM672626",12.68047472,10.1390197,0.291472934700508,0.549086820499884,6.34904773865744
"GSM672627",12.68944535,9.899647212,0.448098210263539,0.130467683344587,5.72546820283267
"GSM672628",12.72872639,9.932549814,0.446719404146394,0.133954178186269,5.73066172277017
"GSM672629",12.57565725,9.874389219,0.408268397513026,0.232001569175809,5.87671416312815
"GSM672633",12.66355688,9.796913383,0.497552698668989,0.00613451318856157,5.54026018520506
"GSM672634",12.65290223,9.942540149,0.403526689579466,0.244229115012605,5.89492844594618
"GSM672638",12.60364461,9.880541264,0.418271047650398,0.206318542487382,5.83845645238474
"GSM672642",12.54013457,9.908577323,0.368334129989702,0.336268687809204,6.03203157618535
"GSM672657",12.66638996,9.857714498,0.462693216180861,0.0936509535482661,5.67062560907792
"GSM672658",13.05860929,10.36110929,0.341581651399475,0.408150341810578,6.13910725538409
"GSM672659",12.66205019,10.12797993,0.289109405390813,0.555988361906562,6.3593283484167
"GSM672668",12.46536784,9.824150929,0.384819191549624,0.292847939773132,5.9673515663571
"GSM672669",12.56166506,10.05217361,0.286215991800503,0.564473421276195,6.37196778343899
"GSM672670",12.47610223,9.932549814,0.319571107726372,0.468898462351757,6.22959830428051
"GSM672671",12.21705911,9.849930112,0.238210046457893,0.712072159901896,6.59183244023892
"GSM672672",12.37427993,9.862908178,0.312039601866886,0.490077295399219,6.26114652009021
"GSM672673",12.24164052,9.828678067,0.264781981058687,0.628671771859246,6.46759833183994
"GSM672676",12.05292342,9.493057993,0.388865385443195,0.282277455482917,5.95160566010942
"GSM672695",12.94794461,10.71009108,0.0959127743774391,1.30519766599314,7.47535852623579
"GSM672696",13.05512156,10.71478104,0.133903370262678,1.10812753574742,7.18180075632915
"GSM672697",13.12605204,10.87084572,0.0904628787805063,1.3379100594069,7.52408725669777
"GSM672704",12.29983978,10.06807993,0.148128457499026,1.04449395401156,7.08701149363236
"GSM672705",12.42890074,10.17371152,0.14813475662159,1.04446671041613,7.08697091128176
"GSM672706",12.29166617,9.782928996,0.321421957107163,0.463726213049099,6.22189366650107
"GSM672707",12.5494855,10.8927461,0.00133410312583521,3.00358315168196,10.0052916774392
"GSM672708",12.37832454,10.94154387,3.2838406672907e-05,3.99142733309601,11.4767949161572
"GSM672709",12.47040149,10.73234387,0.00434618963668261,2.62392159382563,9.43974376764373
"GSM672713",12.5327658,9.922989777,0.355189838288372,0.371346219866259,6.08428344242027
"GSM672715",12.44358959,9.729136803,0.434730763266061,0.164342499748982,5.77592849099137
"GSM672716",12.66046617,10.01761338,0.359364073635369,0.360159115173464,6.06761901183795
"GSM672717",12.62380409,9.893404089,0.420120440910255,0.20158537211997,5.83140587127479
"GSM672718",12.58323271,9.927572862,0.378046409897354,0.310615661249539,5.99381855395402
"GSM672719",12.93148625,10.30341896,0.314316577506497,0.483651589918899,6.25157472060681
"GSM672720",12.98548327,10.23424796,0.384703456402414,0.293150768447463,5.96780266318334
"GSM672721",12.76461152,10.2294197,0.276825819670023,0.592297127131146,6.41341427272244
"GSM672722",13.04444907,10.28171859,0.384085048659234,0.294769329681807,5.97021368927755
"GSM672723",13.91054387,10.83013309,0.460404800554429,0.0994139575887916,5.67921024142169
"GSM672724",12.96701115,10.23788662,0.37333673574819,0.323028746598326,6.0123092184099
"GSM672726",12.59489368,10.06570037,0.294623651901058,0.539927105920878,6.33540333003274
"GSM672727",13.17966803,10.20783569,0.490998414778995,0.0225655429616431,5.56473602257037
"GSM672737",12.8108052,10.36471933,0.216415575610152,0.784356166195246,6.69950746770724
"GSM672738",12.63599665,10.30341896,0.169747368836849,0.955164059991592,6.953944729827
"GSM672739",12.77884796,10.25749294,0.2663498353256,0.623890239669806,6.46047571044359
"GSM672740",12.97208327,11.14807026,0.00517302002595914,2.56404409207652,9.35054960179459
"GSM672741",12.77166283,10.58402416,0.0877435451540917,1.35478178921601,7.54921956554161
"GSM672742",12.71191784,10.3081487,0.202469790135128,0.832831830406338,6.77171733463537
"GSM672743",11.83742714,9.590351301,0.207976522734593,0.813462312722577,6.74286429430743
"GSM672745",13.31143866,10.38901375,0.445691278224608,0.136554989298564,5.73453591876893
"GSM672746",13.32130186,10.49072788,0.389666848006266,0.280187448242679,5.94849236301174
"GSM672747",13.09676506,10.45256691,0.303452693830862,0.514495812019515,6.2975206031364
"GSM672748",12.85683234,10.18235576,0.353425583552331,0.376088414404249,6.09134746603106
"GSM672758",12.79665613,9.959482156,0.462461245499434,0.0942349892877783,5.67149559495058
"GSM672759",12.91142379,10.09429981,0.435106289079996,0.163388472977636,5.77450736252772
"GSM672761",12.72717732,9.951032342,0.434625979549856,0.164608730396803,5.77632507100661
"GSM672762",12.71816097,10.01140335,0.392418797644403,0.273020320475525,5.93781613297455
"GSM672763",12.73586952,10.07806877,0.358857242897346,0.361515010659885,6.06963876822987
"GSM672764",12.71656803,10.06631375,0.356602619826062,0.367554778066323,6.0786356702382
"GSM672765",12.55561822,10.07806877,0.266502412816618,0.623425681970071,6.45978370033451
