"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB","pval","z","inv_cof_var"
"GSM672549",15.57326431,12.19956989,15.00801022,11.1518223,13.09337732,13.78122565,13.83597807,12.99596394,13.12422305,14.52209926,11.77321896,12.12371933,12.24164052,12.36678959,12.60668736,14.11328476,12.76678439,13.9054052,14.17215799,14.22852825,14.61295725,13.00465167,12.32875093,12.22607175,12.11942565,12.53408699,12.16032193,14.54790446,10.92964758,10.81730223,14.06484089,13.00986097,11.8077974,13.9254487,14.37716803,11.92944684,8.037214126,8.139266914,14.04552862,13.49333755,10.57505242,12.15447286,13.75689926,8.409305576,12.03818364,11.97375353,14.52763662,0.408007878865246,0.23267245786688,7.61439832068135
"GSM672550",15.86194312,13.12992751,15.83335465,11.99779554,13.61981078,14.03726022,13.96540669,13.28644796,15.06617509,14.76273346,11.61762454,11.96415093,12.18563792,12.60212045,13.17595502,14.5706171,13.12063532,14.2410829,14.30353717,14.37000297,14.83115242,14.30992379,12.65748922,12.76461152,12.58602528,12.70469665,12.79503234,14.42564907,12.42432045,11.55933717,15.01592007,13.79624275,12.09219442,14.21067918,14.52939071,12.18422007,8.137154275,8.85546487,14.28505874,13.26519851,10.7218171,12.04223755,13.85341561,8.631756506,12.49718067,12.27143792,14.95582342,0.366338214817099,0.341567459182162,7.76755365920846
"GSM672551",16.07966952,12.9836684,15.60525576,12.09093494,13.51480558,14.11328476,14.26634535,13.30210743,15.11127918,14.58155874,11.58882602,12.03291822,12.15306543,12.47327881,13.0950171,14.53294684,13.11887398,14.22852825,14.60915242,14.57414535,14.88252156,14.37716803,12.73666097,13.02354647,12.8108052,12.83179981,13.11699257,14.56695242,12.60530818,11.75142472,14.83115242,13.94393941,12.02192007,14.24770112,14.40846283,12.05615409,8.120082156,8.367407435,14.03156208,13.10047026,10.78529777,11.96554164,13.67681933,8.758811152,12.38124796,12.45760762,14.8536461,0.385245516249706,0.29173266436785,7.69746352855024
"GSM672558",15.88525911,12.80310595,15.33721524,11.47787249,13.26433011,14.08497249,13.91315353,13.18883978,14.10146097,14.90736059,12.04601524,12.06917695,12.42726766,12.71507175,13.04114164,14.52209926,13.12063532,14.52588253,14.74487584,14.74947249,14.95131636,13.58394275,13.17966803,13.00465167,13.09337732,13.13379517,12.82172268,14.07336952,11.10436394,11.10075985,13.94779572,13.38685874,12.13241078,14.21958662,14.37000297,12.20240781,8.20664052,8.171969145,14.1456342,13.20139963,10.82198364,12.78051896,14.04813494,8.513688848,12.42360186,12.74603086,14.5973803,0.37704950378267,0.313239109182704,7.72771126073582
"GSM672559",15.73282862,12.84223494,15.38340149,11.49097026,14.06780892,13.41777658,13.47812268,12.2903119,12.74293383,14.93051896,11.51009108,11.8064539,11.90309033,12.50635242,12.85165985,14.43247509,12.84668736,14.25402268,14.28199294,14.34949888,14.72338401,12.70631673,12.06224721,11.70990037,11.65469554,12.60530818,11.30483197,14.57414535,11.42134944,11.24960967,14.27893866,13.44939033,11.93608848,14.32986134,14.46736729,12.01371413,8.434796283,8.38036803,14.15794052,13.64620595,10.45615651,12.06917695,13.75689926,8.651625279,11.94133643,12.04866431,14.45026283,0.430983879620077,0.173869835573339,7.53169539203567
"GSM672560",15.86955019,12.65458104,15.28884089,11.50542677,13.56651933,13.85341561,13.88999294,12.61808885,13.93337732,14.78475056,11.91889442,11.99639963,12.2163461,12.56927323,12.80153755,14.42909851,12.88597286,14.42209108,14.54011041,14.53674944,14.86360112,13.40495093,12.9331223,12.39295911,12.52395651,12.98284442,12.15306543,14.29121375,11.24836134,11.13479888,14.41200297,13.25268643,11.96838401,14.18664647,14.3392342,12.07438996,8.246547955,8.292988848,14.09040223,13.17062045,10.59704647,12.18289145,13.58394275,8.62690223,12.18154349,12.08414498,14.5931777,0.388078948749448,0.284329478349753,7.68705132002748
"GSM672566",14.95582342,11.72728216,14.83115242,8.924918587,12.05809554,12.03948625,11.58383606,10.58636245,12.47040149,11.78707844,9.732179926,10.60794572,11.1518223,9.046287732,9.913620818,12.34049442,9.577703346,10.37684833,10.41393086,10.65360335,11.36127584,13.23309777,13.15065688,12.43023309,12.85502825,13.81818216,12.22177807,11.00480892,12.30746208,13.64276654,14.55794833,10.47046803,10.01006208,11.96150149,10.98844647,9.775313755,10.02011078,11.01554164,11.54819108,14.29400892,9.331000743,10.88583123,13.14322714,12.47901264,11.22608885,10.78641524,11.79360967,0.41509534424691,0.214457009472218,7.58877920932076
"GSM672567",14.99943048,12.05551227,14.70664796,9.138475093,12.07172602,12.18422007,11.6089539,10.75600112,13.55356059,11.85551673,10.02628067,10.83472677,11.13479888,9.148971747,9.964272119,12.32160558,9.887065428,10.67870929,10.73825836,10.87889517,11.752071,13.55765056,13.19793569,12.54641822,12.90509033,13.51702342,12.24736022,10.75493755,12.16890595,13.4367223,14.21958662,10.72635353,10.00124461,11.98454572,11.00848364,9.914948327,9.390548699,10.15634833,11.55183606,14.21067918,9.456306691,10.82892454,12.57254721,12.39153123,10.72404349,10.61201561,11.71601041,0.37189526699741,0.326837844755027,7.74683719787677
"GSM672568",14.91891097,12.17460074,14.88755316,9.282447212,12.03291822,12.64499628,11.93608848,10.82410781,13.89249665,11.88637695,9.713857993,10.77706283,11.14367621,8.989582156,10.15011822,12.36217918,9.522955019,10.68432825,10.68715818,11.09961338,12.15105037,13.64276654,13.31340074,12.60288253,12.99247212,13.59734461,12.07855874,10.79227621,12.43023309,13.68176245,14.22263903,10.91080595,9.968082528,12.25706059,11.02835167,9.897079554,10.23892602,10.05336431,11.66706952,14.16637026,9.479197398,11.03410706,12.74146729,12.22466394,10.87208662,10.68536877,11.7644632,0.393404976288462,0.270455363373178,7.66753807561464
"GSM672569",14.8074855,11.39465613,14.43247509,9.750860223,13.06050818,13.10414349,13.40495093,12.00437026,10.17872528,13.02507807,10.24754089,10.59003234,11.07735651,9.509933457,10.41638848,12.62842751,10.04472379,11.19995948,11.45388848,11.97097658,12.66205019,11.83088699,11.69475316,11.07504796,11.30964275,11.92414164,11.03527658,12.52470093,11.4657,11.20930781,14.40846283,10.98396803,10.29002602,13.38058216,13.24083643,10.21518253,7.92102974,11.20221599,12.27423903,13.61745502,8.976527138,11.90309033,13.54925019,7.791298513,10.95418476,11.03990446,12.19107955,0.456154045074825,0.110127712850929,7.44204530464808
"GSM672570",14.77223197,11.57879851,14.44658587,9.899647212,13.00027677,13.28852007,13.45315651,12.00570595,10.75109331,13.36649851,10.30587918,10.64325093,11.38041859,9.608845725,10.71840037,12.87464238,10.06692714,10.99543978,11.50542677,12.00166803,12.84362528,11.68098401,11.49827212,10.9565684,11.25459517,11.85426952,10.8556171,13.06578587,10.98158476,11.61880967,14.30992379,11.32936877,10.33722862,13.64276654,13.68882788,10.28716097,7.989135316,11.28866245,12.60816022,13.82289926,9.156086245,12.01236766,13.60378104,7.827565799,10.99318253,11.21293494,12.26996654,0.4575534159243,0.106599353055224,7.43708284418222
"GSM672571",14.83115242,11.44888067,14.39460335,9.765004461,12.87549108,13.13193197,13.42601599,12.31733383,11.06445836,12.97032825,10.11462639,10.59184312,11.01321561,9.711259851,10.40392714,12.65138587,10.26368476,11.35883048,11.85551673,12.11264312,12.90826059,11.75807658,11.4562539,11.13479888,11.18360929,11.80120297,10.79582193,13.0743855,11.22259814,11.07978216,14.00590855,11.23992454,10.10077323,13.50188959,13.39100595,10.33973569,7.951738662,11.08388067,12.25278848,13.71375353,9.045071375,11.74947844,13.41777658,7.968440892,10.98158476,11.01436617,12.34561375,0.415945818765824,0.212276103141757,7.58571187433474
"GSM672573",15.91022379,11.89151413,15.190129,10.33356431,12.32742639,13.30973011,13.24969777,12.13786729,13.19436877,12.89065985,9.7712,10.48458067,10.93322082,9.654058736,10.62853197,13.10414349,10.35867472,11.12754535,11.33772937,11.51795558,12.61245019,13.54124015,12.33085353,11.72728216,11.88757881,12.55561822,11.72986729,12.74146729,11.03358048,11.38512714,14.46059071,11.86062565,9.893404089,13.53887881,13.7405171,10.22354126,8.430050186,11.61259814,12.29166617,12.91651264,10.10210855,11.74823048,13.64726729,8.573867658,10.97028662,11.05279405,12.58602528,0.415688824189576,0.212935017845482,7.58663860470152
"GSM672598",15.49940186,12.90368476,15.41281338,10.61201561,12.95488401,13.68176245,13.69896357,12.55718141,12.03426766,14.16922491,12.02192007,12.31870483,12.35195651,11.85276729,12.61808885,13.97367398,12.54641822,14.26004424,14.53294684,14.73161599,15.05480706,13.31737249,13.64514461,13.19629331,13.39298996,13.68413234,12.8108052,12.71191784,11.00480892,10.92375167,13.66754238,12.20653755,12.00437026,12.81874535,13.4450803,11.95485762,7.700610409,7.852455762,12.76600149,13.7497,10.82410781,12.61667063,13.61745502,8.696739033,11.82700706,11.92156208,13.3970368,0.399985803472998,0.253383849266126,7.64352785025392
"GSM672599",15.36026208,13.46987881,15.3676855,9.767536431,13.12422305,13.31737249,13.04813494,12.18221747,11.50648104,13.77660149,11.77321896,12.05132193,12.24009331,11.53395353,12.233029,13.29628699,12.08955204,13.78840558,14.05355316,14.11328476,14.69494015,12.98202045,13.41130855,12.76305799,12.86331896,13.65388439,12.52685316,12.40656468,11.22378216,11.38870186,14.10461152,11.61633606,12.12968401,12.93148625,13.14322714,11.83020483,7.809278067,7.850618216,12.64338773,13.99609907,10.85690223,12.41698625,13.57750632,8.179267658,11.45253383,11.7060368,12.69559926,0.409252926660218,0.229467145705757,7.60989021045414
"GSM672600",15.28264684,12.53408699,14.97281599,11.01195019,12.67568848,13.72151636,13.89762082,12.86164312,11.87245242,14.26004424,11.9387881,12.3842197,12.40504387,11.98454572,12.42956691,13.91563829,12.5327658,14.35976208,14.60915242,14.70303309,14.96705799,12.87633978,12.94970781,12.7521803,12.9736632,13.02854461,12.23710446,13.19966617,11.25937026,11.26915056,13.30210743,12.48666022,11.86338253,13.1395539,13.74509665,11.8697881,7.475075093,8.141909294,13.1468632,13.36243383,10.52528401,12.57097026,13.42601599,8.737856134,11.96554164,11.88260409,13.81818216,0.341075409477733,0.409529913535173,7.86313943061987
"GSM672601",15.46632379,12.49802138,15.22313234,10.88583123,13.07616431,13.91315353,14.00869331,12.86008625,12.27279517,14.46736729,12.46005688,12.60065019,12.65290223,12.03818364,12.35069814,13.94912751,12.60530818,14.51143346,14.8030119,14.92148885,15.0717881,12.99596394,13.31550074,12.94052268,13.14143123,13.33142937,12.39912119,13.42815502,11.19886617,11.26048625,13.53679182,12.30598216,11.86062565,13.21045353,13.68668848,11.85551673,7.912741264,7.94874052,13.30973011,13.6744539,10.63199814,12.76305799,13.80583271,8.73846171,12.00844572,11.77446952,13.59271896,0.367356551160643,0.338862782911546,7.76374966816361
"GSM672602",15.70693346,12.24009331,15.10096468,10.86634126,12.53718401,13.64935428,13.87665688,12.79665613,11.44644647,14.01974312,11.79491301,12.18706394,12.35779405,11.4285632,12.14178848,13.57540669,12.15595799,14.04552862,14.38725613,14.42564907,14.73557435,12.9007197,13.23499331,12.76159257,13.11539071,13.02854461,12.08955204,12.00166803,11.59652825,11.30483197,13.07877639,11.97911264,11.60768401,12.56328699,13.24435279,11.76756747,7.650818216,8.08659145,12.74293383,12.63887881,10.35275874,12.37136022,13.10320037,8.556642751,11.77964126,11.75320818,13.29628699,0.350824309826565,0.38309595373811,7.82596139661986
"GSM672603",15.55620743,12.47901264,15.03851413,10.287729,13.52997026,13.38058216,13.53679182,12.20774981,11.74086617,13.98436729,11.62863903,12.14450074,12.3683684,11.25578067,11.84500446,13.53453569,11.81549405,13.5255539,13.8509658,14.08764126,14.39110335,13.0185829,13.38685874,12.74603086,13.20139963,13.25369033,12.50635242,13.18883978,11.15677881,11.6834855,13.50399368,11.76116208,11.51795558,12.83418104,13.40495093,11.72477063,7.846815613,7.609798327,12.89634498,13.77427435,10.50936506,12.42288327,13.35442714,8.70175539,11.580029,11.54228885,12.50924944,0.360381030235156,0.357440501981903,7.78987829499602
"GSM672604",15.49940186,12.21495725,15.08894944,10.18579145,13.42601599,13.32734535,13.39298996,12.21173457,11.55933717,13.83859442,11.63251747,12.1967829,12.29913829,11.20930781,11.81170372,13.33142937,11.79868662,13.30585762,13.45520892,13.94646394,14.12791078,13.01521004,13.48460855,13.02196208,13.26739145,13.46152045,12.54013457,12.91305019,11.22137844,12.67714424,13.53224944,11.6026777,11.62253309,12.59049108,13.26519851,11.67967361,8.107589591,7.682123792,12.63599665,13.57092379,10.53548253,12.20380818,13.15779442,8.80170855,11.50065985,11.43575836,12.03546171,0.295328424984216,0.537884413055282,8.04366357395097
"GSM672605",15.32970632,13.25168253,15.10605167,9.856439033,13.77660149,12.83584424,12.97545799,12.06361859,11.30483197,13.75453086,11.3281881,11.97753792,12.02192007,10.65305743,11.57153606,12.85165985,11.51240149,13.06050818,13.48460855,13.52142082,14.02274981,13.07200688,13.14143123,12.81230186,12.86715762,13.09337732,12.55874387,12.36369665,11.02488141,11.63001524,13.59952639,11.18580558,11.1649145,12.42003234,13.04989703,11.18252342,7.89222119,7.587933086,12.45830409,13.60160558,10.39021747,12.20097844,12.94134015,8.212000372,11.01195019,11.23233476,12.11672937,0.419078869750775,0.204250513124839,7.57442428591402
"GSM672610",16.44384015,14.51807323,16.46627323,10.96807138,13.48236691,14.07618625,13.75453086,12.0179461,13.96283048,12.64499628,9.985307807,10.67507658,11.47656617,12.14299442,12.89381004,14.37716803,12.75695279,12.5494855,12.73666097,12.89724424,13.44724164,14.97813903,14.92148885,14.11871338,14.43247509,14.99403494,13.90805539,14.13102342,16.4191316,16.00569294,15.0717881,13.04444907,11.22137844,13.94646394,13.38472454,11.45066599,9.140726766,9.761700929,13.45721859,13.22356468,10.81430985,12.79137658,14.26160836,9.63347026,12.5312223,12.79503234,13.51702342,0.470603315321733,0.0737533707840062,7.39088662329749
