"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB"
"ahpC",1,0.559904053719417,0.897132097084813,0.352045305206746,0.555141839439531,0.376901446719214,0.36594018865855,0.434276670500984,0.164552643863284,0.385599185435238,0.350893533403905,0.525802054447202,0.543415363675464,0.327281666386083,0.297640668779392,0.283199103772092,0.325064007078493,0.445977068593518,0.424291380892279,0.424178660886318,0.395280040513869,0.437605012103636,0.494716478971328,0.47394197072623,0.516953530846326,0.460441543920882,0.451829213714785,0.490091844614199,0.677353602102959,0.249777355392939,0.119496676487413,0.35465347168671,0.413979122694975,0.236486889959444,0.181085218251476,0.451603374050267,0.00331926121589548,-0.157584570878083,0.324721761963893,-0.0486738168374777,0.367184708696808,0.236298970663611,0.285161073045583,0.0482557385823512,0.448244282245891,0.438281054549974,0.34611940050622
"perR",0.559904053719417,1,0.64409868115401,0.191158462377263,0.482832029271666,0.297402345939654,0.237696479004155,0.212157198804964,0.223172926457905,0.0185459184967553,0.147023353154872,0.372958971400805,0.400709860401714,0.386026295356309,0.358652662995265,0.203119559637426,0.398340556794062,0.419909090507363,0.373392103643127,0.328506153019312,0.277841561916992,0.54817936967455,0.615793680495129,0.648402723424806,0.598963975200184,0.621333046572869,0.603451954874087,0.328407158138546,0.652496884039284,0.531617856840263,0.278451894859466,0.268782002779001,0.352266534134478,0.0245830249522395,-0.135623912530184,0.302000062584554,0.05318059181047,-0.429688029017335,0.144825736719014,0.125300422620936,0.438121407282256,0.347671904154412,0.0883256894900556,0.159805810936056,0.378615256559691,0.409144769085464,0.230642124874905
"ahpF",0.897132097084813,0.64409868115401,1,0.319178069706641,0.51166036030593,0.384316314717511,0.347367314453863,0.401668805049817,0.220927759333589,0.329871082667711,0.345430627986516,0.549537923490194,0.564362021821939,0.327944244260351,0.314771960154009,0.287093737424493,0.322553177089767,0.403910995942599,0.37492576407816,0.384664168363792,0.353754822643267,0.50718250473214,0.602503541278976,0.525599734722779,0.591993075897124,0.585588349123836,0.497874720849403,0.477110279580821,0.759717564746644,0.351692124831324,0.173556025941501,0.342680492632682,0.431671440296529,0.212143729829138,0.0761920405147785,0.440441943576429,0.130307942870041,-0.170194886981701,0.281360630203742,0.0462171394109466,0.380529314453505,0.264595345143021,0.286499847807122,0.197016755890187,0.474699240443786,0.469300862205377,0.336894056861795
"btr",0.352045305206746,0.191158462377263,0.319178069706641,1,0.205288141739491,0.659256918905225,0.711784148729304,0.678116418168922,0.802155572320719,0.705541272666635,0.55758261668192,0.535811255713259,0.494037721640967,0.858502108501941,0.895992306089287,0.915694923777689,0.874057870496573,0.677432879521007,0.654050628216108,0.646147169967818,0.64929892852625,0.20566787995016,-0.00623737167566854,0.0701999905705389,0.0445499072145741,-0.0166653924338024,0.129204866009463,0.83635079959157,0.197443684911141,-0.0224482071803762,0.362283697762585,0.947854652190744,0.643810947349414,0.761714862467318,0.702627861867488,0.665317787222117,-0.0374308287457981,-0.0859164395158723,0.899539183484024,0.156471848541466,0.775523237679913,0.715289458095872,0.806067765438189,-0.0746539748511077,0.81536344102959,0.806626530029145,0.914797445243154
"fur",0.555141839439531,0.482832029271666,0.51166036030593,0.205288141739491,1,0.300783599010234,0.393317836624951,0.482932619023735,-0.0704126583227793,0.462120061183343,0.538917250885569,0.495796007428574,0.50774700138847,0.338259122710983,0.261643254806716,0.207054004973848,0.315523815537533,0.53321101484943,0.544133062130816,0.533289667471882,0.479780010139301,0.162985261483261,0.407507620725051,0.428497309638224,0.446581239958175,0.331351489073029,0.384621911737901,0.36245925897734,0.516159178981527,0.161749616873219,-0.178637287390434,0.155157363503261,0.463221014702136,0.110241637103581,0.155719595746155,0.503576145260844,-0.409783460357212,-0.51242935259106,0.339370169283399,-0.194333986983483,0.331405878062864,0.267996651698425,0.191072660253068,-0.368961482883777,0.247073489768051,0.270340931217287,0.274322492389249
"efeB",0.376901446719214,0.297402345939654,0.384316314717511,0.659256918905225,0.300783599010234,1,0.942470199050633,0.884213788665747,0.599656896494049,0.631573086068983,0.584442775747165,0.524043776708996,0.577291532820532,0.737290798758699,0.761052946338567,0.800378714651998,0.75753491177672,0.762254340404858,0.75090767417078,0.784165106942698,0.759872585861981,0.507432461168548,0.423991836029207,0.47121018368384,0.480402420906693,0.433500390594014,0.493554340916623,0.57229133751875,0.285974227146846,0.0853911274748894,0.217812741769151,0.632051044949158,0.747548966333904,0.445641724262212,0.654658587355066,0.712358013985918,-0.265398069120221,-0.40714560007129,0.727904120388284,0.0631427088600602,0.613781912927072,0.720402977406359,0.559449525330688,-0.139445493137809,0.627887073039163,0.599620134631059,0.793484697306539
"efeO",0.36594018865855,0.237696479004155,0.347367314453863,0.711784148729304,0.393317836624951,0.942470199050633,1,0.941199465008864,0.527372554546782,0.705612183442003,0.63585078003211,0.576636991782304,0.607569689316591,0.753748031041883,0.776169458156561,0.839960368515326,0.77168678000582,0.784611822903925,0.782162927614869,0.812295442432547,0.802472943060389,0.333125886123345,0.309774348211355,0.353790836193973,0.373306465500759,0.293372203169949,0.367846479749714,0.621800896238262,0.317380482483621,0.0431208229285316,0.101297253201568,0.655425582784017,0.766269435198095,0.496215100626115,0.713051384398237,0.751452698167762,-0.343837498671613,-0.405759866549128,0.785485211276362,-0.0431317536798335,0.629648862596314,0.73080088256413,0.598927220072247,-0.234803904402741,0.643499755370451,0.622374188480537,0.830528225812382
"efeU",0.434276670500984,0.212157198804964,0.401668805049817,0.678116418168922,0.482932619023735,0.884213788665747,0.941199465008864,1,0.441790191674757,0.781003843102783,0.72981817734454,0.667608182867874,0.682420021141411,0.699136529573835,0.699203233313919,0.765302308656062,0.703901162486987,0.804656974908032,0.799948233498147,0.821861519580862,0.808274146499846,0.27768086018042,0.271019821269539,0.3108083028065,0.350578720000989,0.245176594093672,0.323604107373874,0.598562407065548,0.297147213514958,-0.0475461093303867,-0.0413860175757126,0.604819041176843,0.819431491949565,0.457753680193254,0.708484194911594,0.823288186545427,-0.380764462212168,-0.380256558827765,0.782196375560856,-0.151757264373928,0.630401078190068,0.64267318897678,0.611616475433976,-0.268200280081764,0.598614916480387,0.566726222584681,0.801374912902135
"fbpB",0.164552643863284,0.223172926457905,0.220927759333589,0.802155572320719,-0.0704126583227793,0.599656896494049,0.527372554546782,0.441790191674757,1,0.402082617220219,0.297028285056302,0.293552108186278,0.271653471537054,0.748491570038068,0.791940996996873,0.793428386958256,0.760475665326003,0.426848114572776,0.379864243858593,0.377298423505255,0.358805125034147,0.457426218713868,0.13625946397346,0.206222089224955,0.155864066780609,0.170569944266837,0.282252749861078,0.652845664368583,0.14261348019836,0.156662383106712,0.564194288739129,0.832018746462743,0.432419002574812,0.586733620615454,0.456460682186773,0.407150539751579,0.170128982876374,-0.0181258588061817,0.697096916461541,0.340513693306981,0.70040179290665,0.638981235887998,0.63617401727667,0.194429183655106,0.705774990373726,0.704920292810907,0.769010036145034
"fecC",0.385599185435238,0.0185459184967553,0.329871082667711,0.705541272666635,0.462120061183343,0.631573086068983,0.705612183442003,0.781003843102783,0.402082617220219,1,0.843844014537853,0.69033968159377,0.710763541144697,0.60969795982949,0.666963652096225,0.681581074721476,0.61985877805448,0.682211652044654,0.694511074799452,0.75019778751248,0.784936163532617,0.0786478560628043,0.056979184453819,0.0409806575901616,0.107196076761006,0.00332239770618591,0.0519713041832109,0.629366270242214,0.0420457488046301,-0.333179354327921,-0.110863382336711,0.601801801477037,0.76989924666111,0.655646648777426,0.782819713197622,0.811359226954389,-0.297508353943058,-0.222765058643644,0.800673163933275,-0.192543976158357,0.63331463222901,0.4418831248191,0.621672634152823,-0.359753454767291,0.506322401532015,0.535010747400351,0.736551898011648
