"","liaF","liaR","liaG","liaH","liaI","liaS","ydhE","yhcY","yhcZ","yhdA","pval","z","inv_cof_var"
"GSM672549",10.94041004,11.13814721,10.82305316,10.15888587,9.964272119,11.30483197,10.44512714,10.15011822,10.68654312,10.00507361,0.0654061759014956,1.51090619685576,21.7415720414798
"GSM672550",10.7487777,10.99896283,10.78119089,9.870642007,9.77656171,11.09151115,11.00305037,10.28045836,10.77818476,10.20419591,0.0622429341978986,1.53621414312208,21.8634448679333
"GSM672551",10.78417695,11.11124164,10.66260372,10.00012416,9.832570632,11.39341227,11.09734126,10.0766881,10.81730223,10.35275874,0.120386443410395,1.17305715404034,20.1146277873221
"GSM672558",11.22378216,11.50542677,11.11013494,10.11026914,9.911007435,11.59397472,10.9382052,10.4894658,10.91210632,10.41518587,0.177082771511473,0.926539762490584,18.9274998014337
"GSM672559",10.86867993,11.11236022,11.12047993,9.801787361,9.683063941,11.18790892,10.33785874,10.3697052,10.68212305,10.07056989,0.176579265571978,0.928480205242619,18.9368441883813
"GSM672560",10.80522639,11.01321561,10.70532379,10.27803457,10.10015874,11.24358141,10.7968855,10.24568606,10.6237948,10.2324013,0.00248230210638306,2.80932149405443,27.994214611321
"GSM672561",10.8312829,11.11991989,10.72635353,10.45007435,10.04345948,11.42728327,11.76959033,10.92735539,11.96554164,11.33772937,0.18587239347312,0.893209882207137,18.766996587433
"GSM672562",10.80032714,10.99780372,10.90736766,10.27553494,9.966738662,11.35290967,11.36494387,11.14584424,11.90440112,11.1661171,0.13275168065999,1.1134776050433,19.8277167927008
"GSM672572",9.837497398,10.78767732,9.900917844,10.49302193,10.14951896,10.71228216,10.93586171,10.48109219,11.45005353,10.49409517,0.0691068282374724,1.48247610701481,21.6046642351813
"GSM672573",9.508453903,10.73115465,9.68006487,10.88470892,10.78186134,10.57917807,10.87208662,10.39292119,11.47546394,10.63199814,0.220176501602181,0.771597250572865,18.1813593731862
"GSM672575",9.650143866,10.63562082,10.13658327,10.61326914,10.50383271,10.32126059,9.985307807,9.805604833,11.1592223,10.3433171,0.0352498750248006,1.80868631618139,23.1755605770161
"GSM672576",9.688352416,10.51419851,9.977751673,10.87543271,10.8015829,10.39292119,9.120642751,10.1353223,10.97143346,10.26606654,0.240474515735153,0.704776988021398,17.8595800325864
"GSM672578",9.130303346,9.445009665,9.324801487,10.46688848,9.955614126,9.365536989,9.195828996,9.608845725,10.31526468,10.33478216,0.169977620800943,0.954253693495589,19.0609588766259
"GSM672579",8.827584758,9.438747212,9.388072677,10.95534349,9.768651673,9.56301487,9.781756506,9.121938662,10.4644316,10.55470335,0.498226353339565,0.00444588751438136,14.4870688942307
"GSM672584",9.39121487,9.899647212,9.564360967,10.59358662,10.03007658,9.688352416,10.697229,9.176684015,10.51167881,11.10610855,0.386328156143783,0.288902079571603,15.8568947885723
"GSM672621",9.487980669,10.18579145,9.282447212,9.757262825,9.352210781,10.33973569,10.63316877,10.02137472,11.27025613,10.87208662,0.446639972698119,0.134155080385871,15.1116958705131
"GSM672622",9.331000743,9.916043494,9.11824461,9.257236803,8.908772305,10.04283792,10.06085762,9.339497584,11.03646654,10.28526989,0.464604412244341,0.0888403063426511,14.8934782587547
"GSM672623",9.175440149,9.477910781,9.200495539,9.075482156,8.538096654,9.785500743,9.720425279,9.736448885,10.80641041,9.912310037,0.402679365398942,0.246417926327424,15.6523083009583
"GSM672626",10.2305684,10.90396134,10.49665279,9.801787361,9.611350558,11.05514201,9.312601859,10.19081859,11.03646654,9.963668216,0.308499290034734,0.500108643843348,16.8739801214736
"GSM672629",9.758434201,10.48335762,10.07311375,9.517847955,9.361120818,10.67379851,9.259670632,10.47617472,11.26177993,10.19877714,0.391345058401209,0.275815058982064,15.7938729940609
"GSM672630",9.121938662,9.596961338,9.560557621,9.936259851,9.205351301,9.805604833,9.324801487,10.49072788,11.26294796,10.15888587,0.456279757056293,0.109810688502799,14.9944631319946
"GSM672631",9.533196654,9.844852788,9.814483271,11.17905353,10.23297993,10.09954424,9.907265799,10.78052045,11.37684758,10.3697052,0.314637981494597,0.482746188860042,16.7903695652981
"GSM672632",9.634097026,9.833729368,10.33356431,11.28154554,10.7487777,10.15196283,9.844852788,10.81843457,11.48383494,10.3979829,0.317092970707514,0.475843409184769,16.7571285721112
"GSM672634",10.36471933,10.8556171,10.43317955,9.620627138,9.319698513,10.95058736,9.55144052,10.34922342,11.10436394,10.2729855,0.316212739971936,0.478315761344545,16.7690344194894
"GSM672635",10.21518253,10.74380595,10.44687732,9.58410632,9.346052788,10.94154387,9.940048699,10.12989164,10.90858253,10.18235576,0.164513560277084,0.976075360440953,19.1660431928549
"GSM672642",9.765004461,10.85440372,9.884420446,9.643798885,9.194586989,10.8312829,10.38173197,9.909817472,11.10315688,10.67507658,0.359989963934307,0.358485619339781,16.1919809538797
"GSM672643",10.11712491,11.05850781,10.37321041,9.493057993,9.062107435,11.05339071,9.895909665,10.00124461,11.04224089,10.74269703,0.474660650288304,0.0635590984355979,14.7717341934177
"GSM672644",10.09255093,10.77706283,10.29722862,9.326156134,9.248775836,10.87084572,10.65846506,9.924944238,10.94389777,10.18235576,0.307050032475792,0.50422956765652,16.8938248227158
"GSM672651",9.418096283,10.52528401,9.904658736,10.38541896,9.685733457,10.45256691,9.646335316,9.260887361,9.940048699,9.675759108,0.046953812612863,1.67513562185966,22.532434484502
"GSM672652",9.498252045,10.58034275,9.602318959,10.0633171,9.739531599,10.541771,9.643798885,9.10020223,10.03493197,9.733342007,0.0747597878035395,1.44123049583842,21.4060420648965
