"","liaF","liaR","liaG","liaH","liaI","liaS","ydhE","yhcY","yhcZ","yhdA"
"liaF",1,0.867222961024008,0.945611702738401,0.164247228070561,0.254763334391951,0.912378461464914,0.289900376340662,0.374279948764022,-0.010451741050175,-0.174427350763159
"liaR",0.867222961024008,1,0.848161956691361,0.0918045695667927,0.188007251508572,0.956994817809007,0.280852337892387,0.2696733875156,0.0124877075558654,-0.103356483566799
"liaG",0.945611702738401,0.848161956691361,1,0.222565090418511,0.293187741940282,0.898784223266397,0.191721331341114,0.410804962614293,0.0033629190696229,-0.215241780812511
"liaH",0.164247228070561,0.0918045695667927,0.222565090418511,1,0.932060700179084,0.0721249115701424,0.274255938669662,0.156635315940102,0.147850042626975,0.116784649682271
"liaI",0.254763334391951,0.188007251508572,0.293187741940282,0.932060700179084,1,0.150769834907116,0.302049459191339,0.226298930256273,0.194752234143046,0.104334438757186
"liaS",0.912378461464914,0.956994817809007,0.898784223266397,0.0721249115701424,0.150769834907116,1,0.305436427030469,0.343268173570253,0.0610107659980929,-0.129216526866722
"ydhE",0.289900376340662,0.280852337892387,0.191721331341114,0.274255938669662,0.302049459191339,0.305436427030469,1,0.102708992040534,0.232413138694159,0.4185753553617
"yhcY",0.374279948764022,0.2696733875156,0.410804962614293,0.156635315940102,0.226298930256273,0.343268173570253,0.102708992040534,1,0.76094818928368,0.35474582964455
"yhcZ",-0.010451741050175,0.0124877075558654,0.0033629190696229,0.147850042626975,0.194752234143046,0.0610107659980929,0.232413138694159,0.76094818928368,1,0.711576559661764
"yhdA",-0.174427350763159,-0.103356483566799,-0.215241780812511,0.116784649682271,0.104334438757186,-0.129216526866722,0.4185753553617,0.35474582964455,0.711576559661764,1
