"","ligD","spoVT","lysA","spoIVB","spoVAA","spoVAB","spoVAC","spoVAD","spoVAEA","spoVAEB","spoVAF","sspA","sspB","sspD","ykoV","ylyA","yteA","pval","z","inv_cof_var"
"GSM672553",8.176004089,11.92156208,11.49590892,7.439755019,7.252905576,7.123569888,7.241677695,7.356145725,8.168757621,7.449311524,8.424176208,11.59519071,8.012508922,7.719055204,8.262543494,7.984951301,7.255019703,0.452749061661599,0.118718823117109,5.94043783029168
"GSM672555",9.354954647,10.72997732,10.67258401,7.48490632,7.43247658,6.988712639,7.166906691,7.450236803,8.057889591,7.412663011,8.541937546,11.45127844,7.411239405,8.200952045,9.543722677,7.452518773,7.16059777,0.412202973411176,0.221881738451248,6.13705397370277
"GSM672556",9.373756506,11.01321561,10.49409517,7.433513383,7.314648699,7.055417844,7.239541264,7.35522119,8.032024535,7.48490632,8.720079182,11.68608067,7.458304089,7.832513011,9.61657658,7.694331227,7.143272862,0.432001821074055,0.171279953722747,6.04061304111754
"GSM672557",9.279881413,10.9612197,10.65969257,7.527495539,7.34906803,6.978382528,7.341880669,7.40575539,8.369905204,7.389852788,8.835132714,11.56554647,7.562736059,7.994171375,9.385126394,7.754774349,7.18144684,0.395718904310569,0.264444002723386,6.21817254454701
"GSM672563",8.869685688,11.48383494,10.67985911,8.000223048,7.589358178,7.225685502,7.360777323,7.379622677,9.421905204,8.388984758,9.884420446,12.55718141,8.176603717,8.113799628,8.022753532,8.100899257,7.391549442,0.451371137984886,0.122197917147324,5.9470685662356
"GSM672565",8.43369145,11.46694833,10.97806617,7.736437361,7.312733086,7.239541264,7.408899257,7.403137175,8.319688104,7.423972305,9.550201487,12.13522082,8.507581413,8.184210409,8.255571375,8.257328996,7.440665428,0.426778281465791,0.184582436409488,6.0659659776373
"GSM672572",8.183118216,10.52767361,12.36067658,7.516815242,8.517363569,7.761926022,8.18960632,7.900626766,7.983840149,7.832513011,8.593413755,11.00960112,8.147725651,7.823384758,8.289634201,7.730965428,7.108245353,0.383747497318243,0.295653129881113,6.27765339773058
"GSM672573",7.856371375,10.4894658,12.34708587,7.627140892,8.179828996,7.908544238,8.257919703,7.898386617,7.969496654,7.866197398,8.495408178,10.73234387,7.984951301,7.539566543,8.110748699,7.664118587,7.085886989,0.375680826359377,0.316844425704877,6.31804146591629
"GSM672574",8.152988104,10.68896989,12.17875688,7.896279926,8.067376208,7.745915242,8.014537175,8.023273234,8.253332714,7.815310781,8.576081413,11.65836766,8.605266543,7.825569888,8.219970632,7.814337918,7.151679554,0.407958800244358,0.232798857047234,6.15786069236278
"GSM672577",10.37931041,14.40126208,12.09369554,12.40042639,11.97375353,11.30368922,12.46166171,12.04352379,12.26289851,11.45253383,12.13388587,16.19371115,15.80265167,11.39341227,10.55749665,10.03007658,11.26915056,0.220062187189805,0.771983205760781,7.1854813919941
"GSM672578",9.685733457,13.7522145,11.87429182,12.61541041,12.16733941,11.7644632,12.33317249,11.42134944,11.63251747,11.19207175,11.77964126,16.40455576,15.32246357,10.8252368,9.794347955,10.04106729,9.977751673,0.360601103404343,0.356852532266952,6.39429211850725
"GSM672579",10.19817918,14.32986134,11.86852528,12.70778104,12.30886543,11.91377249,12.28023792,11.82952268,12.13114796,11.38041859,12.09768922,16.38425465,15.99737658,11.4562539,10.48458067,10.48689405,11.3224881,0.237333135340585,0.714907389402769,7.07670173160932
"GSM672580",9.694850186,14.18951673,11.7631513,12.4073119,12.19544498,11.42134944,12.01236766,11.35999851,11.60582361,11.05060483,11.6834855,16.32106729,16.05834275,11.82952268,9.960652788,10.55470335,11.11460186,0.3277226022297,0.446210492409097,6.56459767306942
"GSM672581",12.47610223,14.85846468,12.61107732,14.97281599,14.10748848,13.45520892,14.39777584,13.39100595,13.62914721,12.97545799,13.68413234,16.44384015,16.39776617,13.90030558,12.34786914,13.33719963,13.72616989,0.00131535717414599,3.0078864237578,11.4468447543915
"GSM672582",12.31318253,14.75366506,12.50924944,15.15962193,13.97636729,12.95315316,13.73114758,13.25572045,13.53887881,12.65214405,13.43348216,16.41206468,16.3698197,13.53224944,12.60530818,13.53679182,13.74295651,0.00261079982975276,2.7930352804992,11.0373642442863
"GSM672583",12.29465353,14.61673569,12.47040149,14.71898885,13.99478104,13.61981078,14.13102342,13.44724164,13.61745502,12.9736632,13.57540669,16.29536729,16.1452197,13.78122565,12.39750149,13.31143866,13.27106394,0.000615985885522039,3.23137272226043,11.8727828347034
"GSM672584",12.67875353,14.39460335,12.76305799,15.11720743,13.98971487,13.4345881,14.00869331,13.29628699,13.39496283,12.98548327,13.50622305,16.340529,16.20058401,13.79859108,12.54327509,13.42184944,13.36243383,0.000417711327948992,3.34078374852184,12.0813071281522
"GSM672585",13.83859442,14.5076632,12.5494855,14.34949888,14.29703011,13.98155204,14.21381301,13.8692948,13.90293309,13.58394275,13.75962305,16.20750632,16.17336691,13.84343978,13.93337732,13.57750632,13.94912751,8.79517132787323e-08,5.22315142666591,15.6688741541481
"GSM672586",12.28434275,14.16637026,12.36678959,14.5439829,13.82567398,12.90213346,13.59952639,13.01695428,13.18166543,12.6938881,13.18693197,16.40455576,16.3698197,13.53887881,12.32875093,13.21045353,12.67875353,0.00492977692595947,2.58071640824221,10.632709938993
"GSM672587",12.66937435,14.31325613,12.70085093,14.84428699,14.03459963,13.56203011,14.02859517,13.38472454,13.65857993,13.2139171,13.61520669,16.32825874,16.13048996,14.47979796,12.69237249,13.51256134,13.37626729,0.000124898989054702,3.66246696117908,12.6943967492423
"GSM672588",13.79624275,14.66993086,12.73823494,14.19545279,14.16068439,13.83360706,14.11600446,13.95989033,13.9254487,13.60378104,13.82289926,16.3629342,16.32106729,14.23157435,13.88486654,13.55136803,14.05925799,2.14702357432722e-07,5.05543773357208,15.349231970457
"GSM672589",12.1154171,14.19217844,12.39590892,14.47804424,13.54438086,13.08627212,13.49333755,13.0185829,13.20863941,12.72569926,13.09337732,16.35571933,16.27558253,14.00014721,12.10844647,13.19793569,12.9632026,0.00426859847737665,2.63005135925895,10.7267364384659
"GSM672590",12.25859294,14.30992379,12.55561822,14.27227695,13.55136803,12.79665613,13.72369888,13.19072825,13.50188959,12.63150967,13.47196803,16.41206468,16.3698197,13.90805539,12.21173457,12.5494855,12.90368476,0.00488489732490022,2.58387234827576,10.6387247821779
"GSM672591",12.41567323,14.47455279,12.76934647,14.39777584,13.52997026,13.15779442,13.90293309,13.32734535,13.6246145,13.12992751,13.46152045,16.22890372,16.12363346,14.21381301,12.12968401,12.719671,12.96507435,0.000824305688129699,3.14716635268436,11.7122955938856
"GSM672592",12.45414126,14.64878104,13.06050818,14.28199294,13.6561342,13.07797286,13.91315353,13.59271896,13.81311004,13.14508736,13.6106,16.23596914,16.17336691,14.03726022,12.26005576,12.87304684,13.12605204,0.000310766442043915,3.42203947829426,12.2361708033999
"GSM672593",12.19956989,14.45026283,12.52257955,14.22564647,13.59271896,12.88900186,13.90805539,13.17780409,13.24083643,12.83102602,13.22356468,16.29536729,16.15247212,14.26317249,12.28154684,12.90971413,12.9397052,0.00203600665894449,2.87252851279274,11.1888688107306
"GSM672594",12.50329219,14.5706171,12.49265874,14.50030743,13.7417368,13.28644796,13.97082379,13.37237472,13.40705576,13.0185829,13.40495093,16.37624089,16.33439926,14.45389294,12.50189554,12.96154498,13.05331524,0.00135635550084159,2.99854611473739,11.4290432456622
"GSM672595",12.37568327,14.60551747,12.61541041,14.32986134,13.62914721,13.25268643,14.12176357,13.42184944,13.45721859,13.00295056,13.54736245,16.39776617,16.35571933,13.55558736,12.08006543,12.719671,13.06405353,0.0023669081568307,2.82461022409816,11.0975422997313
"GSM672596",12.27727844,14.2572026,12.37832454,14.18664647,13.59271896,13.08980112,13.69524554,13.21045353,13.17780409,12.59489368,13.26165428,16.4191316,16.26199628,14.36693011,12.233029,12.77412974,12.94290967,0.00422906880762886,2.6332126354195,10.7327614516689
"GSM672597",13.71904721,14.86360112,12.93148625,15.01087881,14.51807323,13.97082379,14.70303309,14.09866691,14.28505874,13.69896357,14.07336952,16.25512491,16.29536729,14.90736059,13.91315353,14.21958662,14.34210483,8.53200216863072e-09,5.63940370752113,16.4622010767417
