"","ligD","lysA","spoIVB","spoVAA","spoVAB","spoVAC","spoVAD","spoVAEA","spoVAEB","spoVAF","sspA","sspB","sspD","ykoV","ylyA","yteA","spoVT"
"ligD",1,0.735762370008503,0.874198749698253,0.930192177056078,0.934722261969366,0.933065180428561,0.951079619468789,0.948508358525058,0.953719700469024,0.950859094149043,0.869424074081184,0.875098057574832,0.958025486631393,0.992330469853323,0.949349976981564,0.957227467495714,0.848209310085115
"lysA",0.735762370008503,1,0.736545720601897,0.776729096613663,0.789021249739906,0.783711126570246,0.79212113945689,0.767702466770022,0.786171798071934,0.762309293100083,0.700636097262407,0.736256932961884,0.761784976052509,0.738977768521645,0.762142148280245,0.775264730694664,0.745383742326687
"spoIVB",0.874198749698253,0.736545720601897,1,0.977801186591049,0.975769106986488,0.974458892060634,0.9618684984551,0.943992490124863,0.959139844555574,0.941116654771818,0.940438145835538,0.97495578039794,0.957636443331024,0.878073989408161,0.961726078725365,0.961453898949638,0.891800653612657
"spoVAA",0.930192177056078,0.776729096613663,0.977801186591049,1,0.996808183874907,0.997910663264121,0.993977475778192,0.978092921305704,0.991284196116725,0.976139517765637,0.949407869171263,0.977520502177086,0.981093674089012,0.93104554490672,0.973362912197399,0.985964891157016,0.908533058308673
"spoVAB",0.934722261969366,0.789021249739906,0.975769106986488,0.996808183874907,1,0.997203359232691,0.994667689575142,0.981846779222379,0.99322100646563,0.978349229307777,0.94942008342384,0.975342012002329,0.982032271042605,0.934069870311047,0.977711772474918,0.987169261021885,0.900481631691793
"spoVAC",0.933065180428561,0.783711126570246,0.974458892060634,0.997910663264121,0.997203359232691,1,0.996296615681778,0.980997362969153,0.992237201745147,0.97895597926223,0.94947888633446,0.976779246439987,0.981974579414916,0.933254243044642,0.973039687007237,0.985934371584175,0.909530441401579
"spoVAD",0.951079619468789,0.79212113945689,0.9618684984551,0.993977475778192,0.994667689575142,0.996296615681778,1,0.987299081372588,0.995968884598345,0.984756135233144,0.941786044897245,0.968160733707394,0.985431616108284,0.948667658618541,0.971073443043951,0.991470495093763,0.913189589138297
"spoVAEA",0.948508358525058,0.767702466770022,0.943992490124863,0.978092921305704,0.981846779222379,0.980997362969153,0.987299081372588,1,0.991221132368619,0.995415975296441,0.936431676217451,0.953304480665596,0.97545416384229,0.936840043285152,0.963792121351263,0.985573654855913,0.883425953396521
"spoVAEB",0.953719700469024,0.786171798071934,0.959139844555574,0.991284196116725,0.99322100646563,0.992237201745147,0.995968884598345,0.991221132368619,1,0.989544183294961,0.946042065682961,0.966266592171668,0.985816537758915,0.944522849113096,0.972706069718938,0.99062602591394,0.904605247370005
"spoVAF",0.950859094149043,0.762309293100083,0.941116654771818,0.976139517765637,0.978349229307777,0.97895597926223,0.984756135233144,0.995415975296441,0.989544183294961,1,0.930476897138072,0.94854807397195,0.972864560887533,0.93839837123877,0.96128223436208,0.982540061230905,0.897765801106325
"sspA",0.869424074081184,0.700636097262407,0.940438145835538,0.949407869171263,0.94942008342384,0.94947888633446,0.941786044897245,0.936431676217451,0.946042065682961,0.930476897138072,1,0.984143074634271,0.949658364921448,0.860837714056963,0.921822781147541,0.93844237063924,0.850805321746992
"sspB",0.875098057574832,0.736256932961884,0.97495578039794,0.977520502177086,0.975342012002329,0.976779246439987,0.968160733707394,0.953304480665596,0.966266592171668,0.94854807397195,0.984143074634271,1,0.963948937229955,0.87386363104433,0.942410953334785,0.963138778234633,0.894382649298961
"sspD",0.958025486631393,0.761784976052509,0.957636443331024,0.981093674089012,0.982032271042605,0.981974579414916,0.985431616108284,0.97545416384229,0.985816537758915,0.972864560887533,0.949658364921448,0.963948937229955,1,0.952066353050333,0.979820748896661,0.989563787656197,0.88728205107969
"ykoV",0.992330469853323,0.738977768521645,0.878073989408161,0.93104554490672,0.934069870311047,0.933254243044642,0.948667658618541,0.936840043285152,0.944522849113096,0.93839837123877,0.860837714056963,0.87386363104433,0.952066353050333,1,0.949973592917805,0.951948677353795,0.854855381586672
"ylyA",0.949349976981564,0.762142148280245,0.961726078725365,0.973362912197399,0.977711772474918,0.973039687007237,0.971073443043951,0.963792121351263,0.972706069718938,0.96128223436208,0.921822781147541,0.942410953334785,0.979820748896661,0.949973592917805,1,0.976632656681421,0.864344779823821
"yteA",0.957227467495714,0.775264730694664,0.961453898949638,0.985964891157016,0.987169261021885,0.985934371584175,0.991470495093763,0.985573654855913,0.99062602591394,0.982540061230905,0.93844237063924,0.963138778234633,0.989563787656197,0.951948677353795,0.976632656681421,1,0.902870586969364
"spoVT",0.848209310085115,0.745383742326687,0.891800653612657,0.908533058308673,0.900481631691793,0.909530441401579,0.913189589138297,0.883425953396521,0.904605247370005,0.897765801106325,0.850805321746992,0.894382649298961,0.88728205107969,0.854855381586672,0.864344779823821,0.902870586969364,1
