"","maeA","malR","maeN","yflS","ywkB","pval","z","inv_cof_var"
"GSM672551",9.267866914,11.51478885,10.09368364,9.054672491,8.750019703,0.385694360018186,0.290558870519276,16.1472726540906
"GSM672555",7.58419145,11.99510037,8.560181041,8.220548327,7.595456877,0.368224654292657,0.336559078802192,16.5575881754943
"GSM672556",7.522116729,11.99907435,8.339630112,8.142416357,7.481363197,0.30486214509298,0.510467054202899,18.1088233604293
"GSM672557",7.526127138,11.83344498,8.408137918,8.657271933,7.590320818,0.477573273647451,0.0562451076625333,14.057226165881
"GSM672559",10.89814201,11.47898253,11.27490967,10.04722045,9.897079554,0.398539306062129,0.257129750178817,15.8490895054796
"GSM672598",10.70275725,11.98045539,10.76314907,9.601017844,9.887065428,0.327020287397486,0.448156055813406,17.553017838069
"GSM672599",10.82065651,12.12079071,11.15801487,10.02511822,10.53330372,0.167108505772576,0.965654665340624,22.1690341501669
"GSM672603",10.76186208,11.88390743,10.83579108,9.971773978,9.740756506,0.28314445984795,0.573525527725792,18.6712962580156
"GSM672604",10.60737249,12.03148699,10.83579108,9.940048699,9.585373606,0.322474185351577,0.460791262985544,17.6657221455581
"GSM672605",10.50714535,11.97097658,11.29045911,9.883156134,9.763730112,0.44452083393059,0.139516943551302,14.7999994714017
"GSM672608",7.862260595,12.43612565,8.089684015,8.035083271,8.183118216,1.18727266997892e-07,5.16733570805956,59.6474502741094
"GSM672609",8.331278067,12.48520074,8.478445725,8.403292565,8.107589591,8.00846962426807e-06,4.31421723518197,52.0377510122068
"GSM672610",7.970501487,11.78955725,9.02775539,8.667276208,7.869126394,0.433404512708666,0.167713054806021,15.0515048998093
"GSM672612",7.389852788,11.2363461,8.088671747,8.373463569,8.262543494,0.302185776324559,0.518124291774008,18.1771248647873
"GSM672613",7.318360967,11.24703346,8.213257249,8.371118216,8.381562454,0.396428786593847,0.2626017213263,15.897898734357
"GSM672614",7.310779182,11.06917918,7.716571004,8.189067286,8.669790335,0.499713156638297,0.000719009742787148,13.561941021098
"GSM672615",7.343718587,11.33658364,8.316217472,8.377036059,7.954822677,0.355407711209045,0.370761173601855,16.862666149805
"GSM672623",8.583566914,10.89157584,8.721894796,9.766249071,8.284689219,0.492851092305378,0.0179206133098537,13.7153769554136
"GSM672636",7.937469888,11.32364052,8.398508922,8.624420074,7.595456877,0.323721758003232,0.457316577504571,17.6347284297021
"GSM672637",8.377036059,11.35503383,8.659134201,8.788060595,7.884095539,0.200868967388033,0.838521398596979,21.0350229232863
"GSM672638",8.287225279,11.24703346,8.748798513,8.399660595,7.481363197,0.420057558600361,0.201746232689914,15.3550761584995
"GSM672639",7.730020074,11.33162788,8.788727138,8.567003903,7.944688476,0.371912494068723,0.326792294116665,16.4704698014637
"GSM672645",7.891732156,11.40160372,8.707036803,8.576081413,7.781533457,0.327873478707982,0.44579275261351,17.5319374990685
"GSM672646",7.475075093,10.3865855,8.589718216,8.768963569,8.364927881,0.459694519218238,0.101203348768538,14.4582474835965
"GSM672647",7.353526766,10.49302193,8.352986617,8.526891822,8.622026766,0.477525465585849,0.0563651348098911,14.0582967915018
"GSM672648",7.169377323,10.84853383,8.359057249,8.070405204,8.43369145,0.489492622763856,0.0263411347116497,13.7904868463997
"GSM672650",7.282736059,10.87543271,8.281063941,7.971537918,8.42662342,0.404492207130843,0.241736410951316,15.7117830399865
"GSM672654",7.35522119,11.38815688,8.525611524,7.585147955,7.447595539,0.465988462994781,0.0853578193765355,14.3169075441247
"GSM672657",8.169930112,11.10436394,8.032024535,8.848271747,7.632326208,0.385717366667426,0.290498715475352,16.1467360793851
"GSM672669",7.993102602,11.08918216,8.713237546,8.895476208,7.630925279,0.483189968339589,0.0421489771970092,13.9314906238555
"GSM672670",8.809375836,11.28675688,8.56752974,8.921110409,8.105662082,0.125786640750913,1.14653638429502,23.782474166975
"GSM672671",9.167288104,11.36244796,8.519863197,8.908124535,8.459275093,0.0783010368106533,1.41659259894285,26.1913384016763
"GSM672672",9.176684015,11.55682342,8.554138662,8.787394052,8.438575465,0.068379764106848,1.48796725945481,26.8279905416592
"GSM672673",8.61233197,11.34937286,8.628068773,8.514854647,8.129672119,0.00532914861772158,2.55370677598266,36.3342402245988
"GSM672682",7.151679554,10.41267844,8.209816357,8.488292565,7.827061338,0.494603808039971,0.0135266598277026,13.6761834956152
"GSM672683",8.534192193,11.52813271,8.202600743,8.267149814,8.38646803,4.88052359095637e-07,4.89639559140874,57.2307017552981
"GSM672684",8.525611524,11.63132268,8.204286617,8.287225279,8.271674721,1.44788640356038e-07,5.13010716097076,59.3153767622702
"GSM672685",8.44044368,11.59898848,8.146702602,8.174826394,8.231637918,2.62042431286977e-08,5.44293937878051,62.1057970528268
