"","mleA","ansR","ccpA","mleN","pval","z","inv_cof_var"
"GSM672549",14.16637026,11.62372862,13.46152045,14.3392342,0.476265621105747,0.0595284043194595,116.603302085372
"GSM672550",14.30661041,11.39810297,12.87714387,14.34210483,0.0789403798032837,1.41223506285493,570.729168654844
"GSM672551",14.19849442,11.05279405,12.64667732,14.26946022,0.288719524916108,0.557129358849088,283.656124111264
"GSM672552",11.69730632,9.861586245,12.8811052,11.77196952,0.354100220089785,0.374274045071125,222.268588755923
"GSM672553",11.58755948,9.425710781,12.68798067,11.42920204,0.492683696451926,0.0183402814617981,102.775772024009
"GSM672554",11.56434796,9.121938662,12.6418026,11.51118996,0.265488234532252,0.626516116794277,306.950399615474
"GSM672560",12.76934647,11.18737082,13.30210743,12.89381004,0.441766490537963,0.146492030139789,145.798421135379
"GSM672561",12.1703171,9.680681413,12.78510967,12.11117286,0.281996351305398,0.576921179253327,290.300563639486
"GSM672563",13.80343717,9.744597026,12.07040112,13.74743383,0.227116008400469,0.748378284885903,347.86153311027
"GSM672564",13.47410706,9.026469888,11.88133755,13.46987881,1.05002375704108e-39,13.1340885500585,4505.94811585805
"GSM672565",12.61245019,9.748265056,12.07309777,12.48819219,0.445248443658919,0.137675494727968,142.838565235528
"GSM672566",14.94641301,12.09219442,12.72717732,14.93051896,0.000120584532454639,3.67145974826372,1329.18804187958
"GSM672568",14.85846468,11.3084513,12.41861375,14.73557435,0.413159642223492,0.21942463138042,170.283094534877
"GSM672599",13.42601599,11.12637026,13.6106,13.33925093,0.358698100334858,0.361940892746177,218.12814673787
"GSM672601",13.11539071,11.40038773,13.37237472,13.26519851,0.466883447854858,0.0831064519150314,124.518840335141
"GSM672602",13.98971487,11.17010335,13.66292007,14.14266803,0.460329994375871,0.0996023995301566,130.056801177083
"GSM672603",12.57725279,11.40038773,13.43237621,12.62380409,0.19698227768172,0.852449682108422,382.800012307187
"GSM672604",12.61245019,11.36371152,13.44724164,12.67875353,0.303056858427229,0.515628763719759,269.72369197061
"GSM672610",11.52469963,11.28217807,13.18693197,11.39588067,0.465349289565991,0.0869659479406743,125.814536609058
"GSM672611",11.52583048,11.20329851,12.94970781,11.41400037,0.442647013225281,0.144261439639653,145.049575228956
"GSM672657",10.27181115,9.263217472,13.05331524,10.1390197,0.485662481535063,0.035946569100155,108.686492268039
"GSM672659",10.45131152,9.725816729,12.6482026,10.51055874,0.323690205405117,0.457404388240813,250.176811793004
"GSM672688",11.47064201,9.812004461,13.12063532,11.37447026,0.415845414395327,0.212533521386908,167.969635605934
"GSM672700",9.675067286,9.160485874,11.03410706,9.602318959,0.3934514901954,0.270334429175656,187.374350717255
"GSM672704",10.27428959,9.316182528,12.86877063,10.20419591,0.371620435319508,0.32756462758147,206.587469305081
"GSM672705",10.29861822,9.409023792,12.82942007,10.287729,0.000110314600763363,3.69414348383676,1336.80334487905
"GSM672710",9.670372119,12.0542368,12.00570595,9.648879926,0.0541905115049434,1.60551268881124,635.615645572855
"GSM672711",9.491711524,12.2163461,11.9506539,9.541005576,0.299638147162517,0.525441523261487,273.017996690859
"GSM672723",11.62494535,9.089297398,13.04444907,11.50178625,0.457111247452315,0.107714086768827,132.780027956043
"GSM672724",14.46409554,11.49708959,13.61520669,14.48155167,0.000675799866009201,3.20479230358889,1172.52010772292
"GSM672726",13.66754238,10.47046803,12.84514201,13.84720539,0.486132310889776,0.0347681451184162,108.290875961638
"GSM672732",11.64603123,9.161527881,13.12800297,11.58882602,0.285120925287873,0.567695348496339,287.203300562599
"GSM672737",14.25402268,11.46037844,13.32734535,14.36337323,0.396114483214645,0.263417288878669,185.052152987444
"GSM672739",13.89762082,11.36849442,13.08980112,13.88738959,2.78333800355433e-08,5.43218950170306,1920.29397015304
"GSM672741",13.88486654,11.14367621,12.6322829,13.98711561,0.387306674184197,0.286345714180697,192.749602352135
"GSM672742",13.65388439,11.18032528,12.88436691,13.77175465,0.419849187325328,0.202279309002232,164.527127907909
"GSM672744",11.86726952,11.3952684,13.07797286,11.90309033,0.133521551075987,1.10989772222058,469.229552351831
"GSM672748",12.35132732,10.66082342,13.88486654,12.42288327,0.329449089818616,0.441434901872962,244.815592647885
"GSM672755",13.44724164,11.7195487,13.7497,13.46569219,0.00268047338970579,2.78450516172745,1031.42280380894
"GSM672756",13.48023494,11.77196952,13.94112825,13.40705576,0.313455730148818,0.486078569997857,259.80320607178
"GSM672757",13.48460855,11.58383606,13.83099145,13.59032751,0.400666807674725,0.251621530089545,181.09212281523
