"","mntA","mntR","mntB","mntC","mntD","mntH","pval","z","inv_cof_var"
"GSM672550",13.82289926,13.35045167,13.7497,13.78840558,13.31143866,14.75366506,0.41661332812625,0.210565089242606,26.2988482435358
"GSM672551",13.68413234,13.31058439,13.73590855,13.8692948,13.20505651,14.55602639,0.36818263136557,0.336670554727768,28.3771498606117
"GSM672553",14.2572026,12.93890353,14.34949888,14.73557435,14.31970743,15.32970632,0.279728461853943,0.583648349789879,32.4475075480017
"GSM672554",14.53294684,13.10225725,14.79863755,14.87297918,14.5076632,15.1469052,0.0221205753004001,2.01179879909171,55.9843731136016
"GSM672555",14.6741539,12.82483383,14.82416673,14.72338401,14.24770112,15.06617509,0.053681166528114,1.61016274092044,49.3651447878352
"GSM672556",14.63204387,12.69237249,14.85846468,14.89277844,14.42909851,14.96705799,0.00390975539124103,2.65976535042672,66.6632911626302
"GSM672557",14.4894368,12.80614647,14.96705799,14.98879926,14.45026283,15.03851413,0.0445826374514156,1.69981741418302,50.8427132001413
"GSM672559",14.34210483,13.92820372,14.16068439,14.01388922,13.21581859,14.43607286,0.356029974827395,0.369090929435705,28.9114591145563
"GSM672561",14.65334089,13.44939033,14.90230818,14.79863755,14.04280037,15.09480297,0.199497799486388,0.843416407197377,36.7286572324948
"GSM672562",14.78475056,13.84114201,14.92148885,14.86847249,14.16068439,14.961471,0.0928506861674554,1.32340306720651,44.6391553844502
"GSM672563",14.40469851,13.90030558,14.60915242,14.62074498,13.94393941,14.33275836,0.0372687405736557,1.78330000165276,52.2185615495251
"GSM672564",13.19254647,13.6722223,13.55356059,13.7086368,13.05163569,14.07067323,0.266332934668833,0.623941705936991,33.1115687519771
"GSM672565",14.72779442,14.01974312,14.71080558,14.94641301,13.85909405,14.69494015,0.23515197069026,0.72198460707667,34.7273807169659
"GSM672572",9.403110409,12.39912119,9.305324535,9.296919703,8.727996283,9.780388104,0.455420693819625,0.111977322312826,24.6740565293481
"GSM672573",9.612678067,12.16032193,9.409023792,9.519147584,8.96372119,9.884420446,0.373967842196212,0.321362517720029,28.1248632690271
"GSM672575",9.224525279,12.78051896,9.198830669,9.429528625,8.859812268,9.55144052,0.228956201774403,0.742288754852593,35.0620065239735
"GSM672576",9.054074907,12.74830651,8.75945316,9.188394796,8.526891822,9.450021561,0.450253074486124,0.125021980463214,24.889041137857
"GSM672578",8.720728996,13.02507807,8.554138662,9.266752045,8.552971004,9.036495167,0.377365555937804,0.31240715700256,27.977272991405
"GSM672579",8.725552788,12.86008625,9.009944424,9.516484387,8.956904089,8.935267286,0.31462833435667,0.482773359264689,30.7850208736577
"GSM672580",9.145479182,13.11002677,8.91457658,9.772573978,8.900716729,8.848271747,0.478293914567771,0.054435960305747,23.7257367618585
"GSM672606",15.47494981,13.29824572,15.67325911,15.74199963,15.36026208,14.84014647,0.108745839785819,1.23322540488122,43.1529677659062
"GSM672607",15.57326431,13.12992751,15.66939442,15.78401747,15.47494981,15.07704164,0.01816248553757,2.09327098655637,57.3270887389957
"GSM672608",14.84911041,13.03222825,14.91167472,15.15962193,14.62074498,15.91022379,0.323649634363311,0.457517302448036,30.3687843249795
"GSM672609",15.24909405,12.94134015,15.17796914,15.12307993,14.55987026,16.13048996,0.399365602780084,0.254989504489222,27.0309920383307
"GSM672610",15.63036543,12.91488662,15.65681413,16.03633346,15.53897138,15.60525576,0.00027057165372431,3.45951790031449,79.8437430272473
"GSM672611",15.29518476,12.88900186,15.51052528,15.95731301,15.38340149,15.68112788,0.0135714602378596,2.20945627546812,59.2418992739453
"GSM672612",16.22890372,12.93473197,16.340529,16.28856134,16.18018922,15.97278996,1.44270379186139e-08,5.54825141608441,114.267455169811
"GSM672613",16.06489257,12.89544572,16.1452197,16.30918699,16.02851524,15.94142974,8.37074413031982e-09,5.64268870469662,115.8238442516
"GSM672614",16.24893309,12.96003271,16.30243048,16.18697584,15.97278996,15.85358848,0.00010019078555551,3.71853495012677,84.1125156090227
"GSM672615",15.59743048,12.96154498,16.02135874,16.19371115,15.83757435,15.5469539,0.0174976089445528,2.10841372939331,57.5766511731367
"GSM672616",15.82913494,12.16173569,16.15247212,16.18697584,16.18018922,16.26861673,6.35846584288772e-06,4.36491995459527,94.7653687179037
"GSM672617",15.92557398,11.94133643,16.20058401,16.30918699,15.83757435,15.98922119,0.00017387006046643,3.57686464215538,81.7776950759412
"GSM672626",9.675759108,13.34708364,9.63347026,9.59425316,8.97785948,10.03493197,0.44447771078744,0.139626095229197,25.1297266245433
"GSM672627",9.954214126,13.19254647,9.815632714,9.814483271,9.234037918,9.835013011,0.243014686798039,0.696637991803109,34.3096517049221
"GSM672628",9.952976208,13.11002677,9.832570632,9.639908922,9.02275948,9.750860223,0.411270383304725,0.224278291808319,26.5248509069252
"GSM672629",9.666511896,13.17966803,9.630962082,9.550201487,8.962276952,9.871837546,0.379750416072285,0.306136350328303,27.8739259429536
"GSM672630",8.171969145,13.4302974,8.101442751,8.224694424,7.593509294,8.483455019,0.448803997063164,0.128683623608492,24.9493874427591
"GSM672642",10.07193197,12.86639294,10.06448922,10.11953383,9.521692565,10.13052454,0.169592269667857,0.955777735048548,38.5804463557613
"GSM672646",10.33356431,12.8811052,9.92234461,10.30527026,9.639908922,10.06210632,0.230269947213395,0.737958127519538,34.9906349164495
"GSM672647",9.902143123,12.96701115,9.850568773,9.856439033,9.159348327,10.09491599,0.391375931246908,0.275734672868906,27.372886157068
"GSM672648",9.080512639,13.00715743,8.879577695,9.211330855,8.62324461,9.659504647,0.485024123874749,0.0375477753648249,23.4474082854744
"GSM672650",9.952976208,12.75695279,9.907265799,10.0087881,9.277469145,10.1083052,0.333494404992468,0.430284349902622,29.919967224982
"GSM672667",14.24448885,13.21222714,13.9974171,14.03459963,13.32938104,12.84668736,0.484662176739346,0.038455697662647,23.4623714464483
"GSM672668",14.72779442,13.17780409,14.5076632,14.54011041,13.99478104,13.25369033,0.476806619567993,0.0581699719291716,23.7872757472251
"GSM672669",15.21045093,13.01151115,15.09480297,15.21679294,14.53294684,13.84591078,0.449857971986724,0.126020188360743,24.905492265329
"GSM672670",15.62225242,13.04444907,15.3676855,15.71599665,14.9356,14.49691561,0.332524101558013,0.432953979911135,29.9639644961735
"GSM672671",15.32246357,12.99944721,15.55620743,15.5469539,15.10605167,14.5706171,0.189524028213109,0.879651637045393,37.32583782652
"GSM672672",15.49114684,13.06405353,15.5469539,15.4060026,14.69077807,14.54011041,0.298593102743741,0.528451205280801,31.5378220379419
"GSM672673",15.24909405,12.86480892,15.47494981,15.65681413,14.86847249,14.40469851,0.327692826876333,0.446292942224832,30.1837994322726
"GSM672674",14.33589145,13.23891599,14.37716803,14.77223197,14.36693011,13.29628699,0.428630574884188,0.179861692343661,25.7928359213949
"GSM672683",8.375895167,13.80104535,8.232792937,8.246547955,7.958960223,8.944990335,0.498255055736206,0.0043739405758094,22.9006815102203
"GSM672685",8.228271004,14.16357621,8.051954647,8.177703717,7.876136059,8.740119703,0.438246898036173,0.155415461091173,25.38994583453
"GSM672688",8.402105204,13.88212491,8.39470223,8.357856506,8.033117472,8.937742751,0.425470016413828,0.18791914720954,25.9256281157129
"GSM672693",10.68536877,13.11887398,10.60271673,10.49072788,9.832570632,10.93189145,0.434400724122178,0.165181090706248,25.5508898803942
"GSM672694",10.99137361,13.24969777,10.78417695,10.78186134,9.970596283,10.81730223,0.407632448992025,0.23363945073251,26.6791290078386
"GSM672700",8.7627,13.52997026,8.60055539,9.086720446,8.428883643,9.396359108,0.499888787846147,0.000278767532941273,22.8331903453889
"GSM672701",11.9506539,13.72369888,11.73589108,11.68734461,11.04454907,11.18467807,0.33655155707744,0.421893007508663,29.781672342998
"GSM672702",11.66514257,13.69896357,11.58882602,11.74823048,11.14807026,11.51852045,0.0513955108924351,1.63147077413897,49.7163152920192
"GSM672703",11.81549405,13.6722223,11.84372045,11.75807658,10.99196914,11.43328625,0.28930873378713,0.555405300957597,31.9820433919997
"GSM672710",10.6261316,13.80827249,10.49409517,10.37802602,9.658863569,10.83237323,0.488619412840612,0.028530771781244,23.2988020925799
"GSM672711",10.34454164,13.94646394,10.25371375,10.11712491,9.584739963,10.75245725,0.467566866315653,0.0813875717456949,24.1699171740472
"GSM672712",10.25257509,14.03459963,9.789263569,10.08286914,9.543722677,10.54389442,0.430491328901682,0.175123417871174,25.7147460189436
"GSM672716",10.53918104,13.35045167,10.33722862,10.41029554,9.870642007,11.02488141,0.443412952756122,0.142321701721807,25.1741520054024
"GSM672717",10.47046803,13.33142937,10.3261487,10.39915502,9.819645353,10.97806617,0.442915396738252,0.143581698371879,25.1949175849535
"GSM672719",13.83859442,13.63154052,13.71644461,13.60378104,12.82640149,14.25115204,0.417946137973255,0.207150561569286,26.2425745653275
"GSM672720",13.7405171,13.6722223,13.72616989,13.46152045,12.77562007,14.26317249,0.445403615429143,0.13728284360146,25.0911082852953
"GSM672721",13.83597807,13.60160558,13.76423197,13.7109197,12.92150372,14.25402268,0.36948298292534,0.333222989325514,28.3203316987428
"GSM672725",14.82197844,13.22453216,14.93051896,14.9356,14.24448885,14.97281599,0.0601487896952741,1.55352576260128,48.431729862684
"GSM672726",13.94112825,13.27671636,14.09866691,14.20299201,13.64061375,14.12469963,0.00770040486293128,2.42281400035229,62.7581759312371
"GSM672727",14.86360112,13.34507323,14.88755316,14.91633309,14.43607286,14.97813903,0.00288368308714711,2.76072247675863,68.3271314894844
"GSM672728",14.74487584,13.06405353,14.7149948,14.67824238,13.82056989,14.58946431,0.190884114371043,0.87464291653157,37.2432907941348
"GSM672729",14.7149948,13.29238922,14.55173829,14.66993086,14.22564647,15.02109257,0.0444392632815219,1.70134338025611,50.8678621319905
"GSM672730",14.3837368,12.64499628,14.40469851,14.34210483,13.70977825,14.99943048,0.300196153564927,0.523836438127396,31.4617676179336
"GSM672731",14.90736059,13.29628699,15.15316729,15.17188364,14.54790446,15.04395688,0.0152098127628741,2.164583111145,58.5023597970696
"GSM672733",14.82197844,13.46569219,14.8030119,14.95582342,14.73161599,15.1469052,1.85948589335333e-05,4.1242794333971,90.7994535022862
"GSM672734",14.55602639,12.38714758,14.8030119,14.73161599,13.89249665,14.8466987,0.193018439701659,0.86682686610389,37.1144771048906
"GSM672735",14.55987026,12.74445799,14.73557435,14.63204387,14.13993457,14.94641301,0.0549106479401134,1.59899687988734,49.1811240005374
"GSM672736",14.05355316,12.44727286,14.02859517,14.04023532,13.41992007,14.88755316,0.401222503154042,0.250184066898427,26.9517952431936
"GSM672737",12.88597286,13.37430892,12.9397052,12.84075093,12.10981524,13.54124015,0.440446656312882,0.149836878915766,25.2980071044239
"GSM672738",13.69645948,13.38685874,13.66987732,13.66754238,13.01695428,13.85627844,0.125065851114758,1.15002954615912,41.7818448962435
"GSM672739",14.51143346,13.40705576,14.49691561,14.382121,13.77427435,14.04023532,0.0981605476957951,1.29210410242445,44.123327709027
"GSM672745",14.63629591,14.31640743,14.3837368,14.26946022,13.30210743,14.26634535,0.380236263193428,0.304860335324485,27.8528963703205
"GSM672765",10.09135651,13.49133829,10.03135093,9.94515539,9.406495911,10.60519108,0.484905622426122,0.0378450255716545,23.4523071658136
"GSM672767",10.73407844,13.32130186,10.3433171,10.48109219,9.715221933,10.25985874,0.391008251688558,0.276692145642435,27.3886659427092
"GSM672777",10.46318996,12.87549108,10.40149368,10.38541896,9.555390335,10.3563777,0.402553265151996,0.246743769694226,26.8950968660439
"GSM672785",10.27181115,13.32523234,10.25314442,10.12423866,9.575063197,10.52022342,0.356595353068685,0.367574266098377,28.8864634979555
