"","mstX","sinR","yugO","yvgN","ywbD","pval","z","inv_cof_var"
"GSM672563",9.197054275,13.04444907,9.067066543,12.51217212,10.71597138,0.418301127393702,0.206241522402953,6.440539310179
"GSM672575",10.64325093,13.23109554,10.70654424,11.33991747,9.874389219,0.00148362167328333,2.97111118509114,17.7311122265836
"GSM672576",10.87208662,12.92503755,10.7487777,10.81962416,9.703587361,0.000558814114589495,3.25910873647003,18.9071739402587
"GSM672577",11.29894126,13.2786855,11.41145911,11.92156208,9.851207435,0.0451841355767355,1.69345827198991,12.5137113588693
"GSM672578",11.14584424,13.25369033,10.98789777,11.60768401,9.611350558,0.0428678264568864,1.71833431952436,12.6152947471751
"GSM672579",11.13001301,13.66987732,11.24473197,12.05938885,9.692330112,0.0846765240091642,1.37428555813044,11.2103433023609
"GSM672580",11.11013494,13.80827249,10.83366729,12.03291822,9.648879926,0.0890181112381475,1.34682617514403,11.0982106510351
"GSM672581",10.73348922,13.77543792,11.22666394,11.63750186,9.924944238,0.0123354821151935,2.24651618189225,14.7721688706334
"GSM672582",11.25937026,13.60378104,11.13599963,11.83606431,9.908577323,0.0248307742909018,1.96286770168236,13.6138669471628
"GSM672583",11.33658364,13.24969777,11.15065874,11.47489554,9.582884758,0.048270484574975,1.66185939853698,12.3846747573936
"GSM672584",10.67807119,13.06578587,11.17010335,11.11460186,10.1611948,9.83228077845123e-06,4.26866582117872,23.0297834187445
"GSM672585",11.85151487,12.719671,12.15180074,11.49352602,11.03757584,2.49071068652162e-06,4.56556865078459,24.2422105692861
"GSM672586",10.72878178,12.91816022,10.80887472,11.09961338,9.772573978,0.000848620128912666,3.13865693331,18.4152990845128
"GSM672587",11.24473197,12.71507175,11.10672639,11.11351933,10.18235576,2.27724026261791e-05,4.07738621768965,22.2486774086642
"GSM672588",11.8697881,12.68502305,12.19250186,11.92279405,11.22608885,6.53151117321027e-09,5.68523850423712,28.8144746052026
"GSM672589",10.73878996,13.05512156,10.69610112,11.55567323,9.989074349,0.00310355356593976,2.7366352618845,16.7736104883165
"GSM672590",11.07137844,13.20690632,11.28217807,11.82046914,10.03850483,0.0120438481848846,2.25572759345684,14.8097844281898
"GSM672591",10.82198364,13.15065688,11.32936877,11.78200855,10.30216766,0.00206928368695349,2.86740216658562,17.3076079105114
"GSM672592",10.92041933,13.38884164,11.51795558,11.83088699,10.33848885,0.00287785003274942,2.7613837627104,16.8746730291362
"GSM672593",11.28091301,13.24257695,11.37077807,12.01111041,9.917216729,0.0420042222887501,1.72788722800738,12.6543048355155
"GSM672594",11.38041859,12.93473197,11.34212082,11.92544981,9.738382528,0.0657675950474784,1.5080755577016,11.7566857813677
"GSM672595",11.2284513,13.3970368,11.49468773,11.82298996,9.859710967,0.0375462758306319,1.77989863180745,12.8666976853536
"GSM672596",10.93087398,13.01324461,11.00605204,12.11672937,9.822942565,0.0673244677075322,1.49601811193393,11.7074482088114
