"","mta","ydfK","ymfD","ymfF","ymfH","pval","z","inv_cof_var"
"GSM672549",9.01662119,8.639073606,9.257236803,12.57880929,12.45830409,0.427037538676006,0.183921449788815,5.31185009933057
"GSM672558",9.06446803,8.938842007,9.575063197,12.39750149,12.2344052,0.169246403052913,0.957147510510549,6.04249623777392
"GSM672559",9.277469145,8.787394052,9.749528253,12.63451004,12.36678959,0.223473369898468,0.760515111713577,5.85669196891656
"GSM672560",9.166081041,8.830134572,9.313763941,12.29611413,12.26222751,0.199957734698527,0.841772211201836,5.9334744119537
"GSM672563",11.02258996,10.09491599,9.467850558,11.42471599,11.99907435,3.59906384672985e-09,5.78623551362459,10.6056565875234
"GSM672564",11.173071,9.717949814,9.223396654,11.89681338,12.20774981,0.000566026688839519,3.25546879020437,8.21425383004006
"GSM672565",10.4475026,9.61009368,8.927639405,12.99247212,13.02431227,0.255901878678945,0.656031654454852,5.75796219446219
"GSM672566",9.321043123,8.332564684,8.864891078,11.57506468,11.98183086,0.16549393044426,0.972126016063165,6.05664990873459
"GSM672567",9.167288104,8.302290706,8.70936803,11.8141171,11.98045539,0.288833884284038,0.556794607604602,5.66418992170152
"GSM672568",9.332309294,8.106679554,8.461734572,11.81923755,11.97502342,0.393874969207485,0.269233583191565,5.39246427414887
"GSM672569",8.641617844,8.005370632,9.06572974,11.80381487,11.7148948,0.346916362704874,0.393659121812661,5.51003796176149
"GSM672570",8.592207063,8.009399628,8.968894424,11.78707844,11.7975223,0.393436398610864,0.27037366622598,5.39354157522408
"GSM672571",8.705665428,7.976128996,8.792524907,11.88011524,11.72728216,0.420440911958546,0.20076564927232,5.32776672440695
"GSM672598",8.97135948,8.761433086,9.827327509,12.42003234,12.26996654,0.215069155275364,0.788954995800683,5.88356572879297
"GSM672599",8.840472491,8.983715799,9.981542379,12.13241078,12.14178848,0.0935913437256587,1.31895939571243,6.38438390839758
"GSM672600",8.893053903,8.966948885,9.539726022,12.49886208,12.28882454,0.247483989647673,0.682428595432656,5.78290551178151
"GSM672601",8.700556506,8.981802602,9.968082528,12.2829855,12.10844647,0.148082990324844,1.0446906217457,6.12521853519827
