"","nadA","nadR","nadB","nadC","niaP","nifS","pval","z","inv_cof_var"
"GSM672566",13.98971487,11.84827862,12.59637175,13.56651933,12.18706394,10.97028662,0.421018708362264,0.199288062382869,11.2268353602806
"GSM672567",14.14860818,12.24872342,13.05860929,14.01120595,12.35562974,11.61378959,0.310303515886368,0.494990209094554,12.6632954408638
"GSM672568",13.86533216,12.21173457,12.90368476,13.90293309,11.99907435,11.20329851,0.378672035234254,0.308970364274046,11.7596493758879
"GSM672569",13.17423792,12.66355688,13.57313309,13.44308773,10.80522639,12.26289851,0.338689672113986,0.416041898663311,12.2797808210848
"GSM672570",12.89897175,12.56166506,13.24969777,12.95315316,10.45131152,12.02735651,0.353533178992737,0.375798964095742,12.0842889395591
"GSM672571",12.22743866,12.12968401,12.88436691,12.51800186,10.27553494,11.54940074,0.292265024269532,0.546779762008215,12.9148784144032
"GSM672616",9.024053532,10.14402862,8.7329829,8.790155019,9.951659108,8.489474349,0.263889116154625,0.63140119890565,13.3259519132482
"GSM672617",9.112786617,9.980197026,8.876988848,8.91457658,9.874389219,8.424176208,0.160262934422035,0.993377814936216,15.0843597057337
"GSM672624",13.93848699,12.83022305,14.07067323,14.1456342,11.1778052,12.65290223,0.411199631878466,0.224460159963912,11.3491162220255
"GSM672625",13.93848699,12.8811052,14.05925799,14.1456342,11.09626803,12.72122491,0.425184764898619,0.18864695363127,11.1751430472393
"GSM672626",14.1456342,12.85165985,14.1880816,14.31325613,11.34454126,12.99247212,0.396142726388538,0.263343995152727,11.5380058788975
"GSM672627",14.19545279,13.33822528,14.49691561,14.47455279,11.03873829,13.25970781,0.4973394980105,0.00666893894449201,10.2911313599781
"GSM672628",14.09866691,13.33519294,14.3002197,14.28826431,10.8927461,13.25168253,0.495472827346383,0.0113481825451704,10.3138621609359
"GSM672629",14.29121375,13.20315836,14.43607286,14.42209108,11.26915056,13.30973011,0.435446445418389,0.162524431048394,11.0482452167307
"GSM672634",13.85909405,12.69711524,13.88738959,14.00157509,11.13121933,12.68502305,0.382334172261238,0.299356112760558,11.7129453236604
"GSM672635",14.09866691,12.74445799,14.02859517,14.32280074,11.43575836,12.88276766,0.364624887673794,0.346123670195591,11.9401324782646
"GSM672636",14.07618625,12.91651264,14.25115204,14.39110335,11.23992454,13.08807955,0.426322872839828,0.185743714366386,11.1610397092866
"GSM672637",14.15158996,12.77709554,14.26634535,14.42909851,11.65105948,12.82026617,0.356581182717776,0.367612268629118,12.044519660369
"GSM672638",14.21381301,12.88597286,14.37361413,14.39777584,11.56687732,12.79503234,0.387575417032063,0.28564395517997,11.6463344883918
