"","nasB","resD","tnrA","fur","nsrR","nasC","nasD","nasE","nasF","pval","z","inv_cof_var"
"GSM672549",7.362719331,12.73666097,9.887065428,13.09337732,12.25706059,7.312733086,9.053477323,10.7968855,9.666511896,0.49270771456151,0.0182800668962073,5.86856262614841
"GSM672569",7.291402602,11.87367249,11.1661171,13.06050818,13.19629331,7.422534201,8.192473234,10.18716803,9.874389219,0.436079220996845,0.160917419921484,6.3147674757206
"GSM672570",7.27630855,12.11816134,11.44644647,13.00027677,13.28071041,7.343718587,8.135997026,10.24135167,9.844852788,0.457897953459008,0.105730844777171,6.14213024614225
"GSM672571",7.370159108,12.17600892,11.19995948,12.87549108,13.04114164,7.462750558,8.146702602,10.11953383,9.559210037,0.370735906184712,0.329904911335521,6.84340206257123
"GSM672576",7.377762825,11.94797546,11.08918216,13.28644796,13.00465167,7.448477695,8.590889591,10.00627323,8.944990335,0.272384093355634,0.605618391507411,7.70590188702692
"GSM672578",7.425346468,11.82372305,10.49189926,12.70310595,13.31143866,7.482289963,9.153733829,10.15634833,8.705665428,0.304603152963927,0.511206731042052,7.41055890805042
"GSM672580",7.47327658,11.94402528,10.09603011,12.49265874,13.32734535,7.490282156,9.623286617,10.62200112,8.995851673,0.418468876130758,0.205812019155328,6.45520886412881
"GSM672581",7.467078439,12.12665576,10.50383271,12.18422007,13.24083643,7.537504833,10.03493197,10.86575855,9.520383643,0.480270596627056,0.0494744562122342,5.96614637610616
"GSM672582",7.586030483,12.14178848,10.98158476,12.41698625,13.0393197,7.66315539,10.04722045,10.68896989,9.595648699,0.420759859853262,0.199949956373707,6.43687088472736
"GSM672583",7.522116729,12.26005576,10.53447063,12.22607175,13.21222714,7.564085874,9.879227881,10.60167435,9.255978439,0.414750768530767,0.21534090882116,6.48501758316175
"GSM672584",7.445059851,11.94402528,10.07056989,11.84758067,13.23404554,7.688649814,9.498252045,10.98499331,10.33478216,0.497116271023329,0.00722849953843929,5.83399059542981
"GSM672586",7.553907435,12.17169294,9.810822305,11.73846877,13.29143606,7.848711896,10.09491599,11.08671896,10.1128145,0.473608992899018,0.0662007674274319,6.01847040639262
"GSM672597",6.948236803,11.30602491,10.87672565,12.37289182,13.00465167,7.039841264,7.587933086,9.914948327,8.071515242,0.406294127080017,0.237088344761193,6.55304893102674
"GSM672618",13.65274554,13.20690632,12.27877435,11.24241227,11.93482268,14.00014721,14.71080558,14.98879926,14.08209294,4.43202180523384e-11,6.48515529548153,26.0985446566039
"GSM672619",13.85909405,13.22262807,12.13645688,11.11823309,11.91889442,14.2410829,14.82197844,15.03851413,14.27893866,2.20682879447192e-15,7.84258471821452,30.3449189654998
"GSM672624",7.470616357,11.7111632,10.24510112,12.57565725,13.16149219,7.515874349,9.769912639,11.02835167,9.791836059,0.498791833281021,0.00302842948740317,5.82085173954412
"GSM672626",7.674563941,11.8387684,10.33356431,12.6482026,13.1376223,7.735995539,10.30466134,11.22259814,10.13658327,0.497487102793409,0.00629894084251993,5.83108270637211
"GSM672637",7.464571004,11.93357212,10.17985465,12.42890074,12.9331223,7.551989219,9.874389219,10.77135019,9.893404089,0.470491361257899,0.0740347652126994,6.04297708524767
"GSM672640",7.360777323,12.06073494,10.26853903,12.56626989,13.08133792,7.46360223,9.167288104,10.60167435,9.942540149,0.461310520613938,0.0971326641861145,6.11523301483604
"GSM672641",7.532095911,11.86062565,10.35518699,12.45691115,13.12800297,7.656668401,9.703587361,10.40642565,9.868152788,0.383016921099921,0.297566767009734,6.74224036461281
"GSM672646",7.075526766,12.25010112,9.004359108,12.27423903,13.08300781,7.164477323,8.448307063,10.08906357,8.894226394,0.3992211199005,0.255363654607322,6.61021861139323
"GSM672647",7.091472119,12.39153123,9.661409665,12.4688316,13.01324461,7.180258364,9.537186989,10.39364387,9.086720446,0.4884165155258,0.0290395706810644,5.90222100991653
"GSM672648",6.983714126,12.01517881,10.70593401,12.70912007,13.47410706,7.111310409,8.579221747,10.06570037,9.018973606,0.427311692515466,0.183222571013666,6.38454349425068
"GSM672649",7.047502974,11.60768401,9.80762342,12.31733383,13.31923978,7.166906691,8.323040892,9.975315242,8.635448699,0.368081277457346,0.33693943757495,6.86540779708538
"GSM672650",7.001856877,12.03546171,10.11953383,12.23579331,13.33142937,7.077814498,8.56395316,9.794347955,8.606457249,0.354483028668261,0.373245066672419,6.97898076676317
"GSM672655",7.114518587,12.20240781,10.72760855,12.50487918,13.13574721,7.123569888,8.214330483,10.27073271,9.27505948,0.463099774893451,0.0926274320760676,6.10113953670205
"GSM672666",7.672643866,11.65165279,10.45909944,12.55413048,13.50622305,7.6393,8.214330483,9.996260595,9.003780297,0.194520267350957,0.861358664425248,8.50592058890674
"GSM672667",7.800219703,11.63750186,10.62915149,12.8108052,13.63843383,7.757776208,8.359057249,10.39021747,9.42066803,0.274543819204901,0.599127839198353,7.68559783724418
