"","nrdE","resD","nrdR","perR","nrdF","nrdI","ymaB","pval","z","inv_cof_var"
"GSM672549",13.40495093,12.73666097,11.74274888,12.19956989,13.25369033,13.24606989,12.11744535,0.364858667677168,0.345501563106466,21.8006563927976
"GSM672550",12.46166171,12.89897175,11.87881301,13.12992751,12.71191784,12.37289182,11.62494535,0.157372774003444,1.00531426565285,26.2758503285114
"GSM672551",12.59637175,12.96858699,11.65469554,12.9836684,12.78208439,12.01920743,11.5136026,0.397780898163448,0.259095189500707,21.2146032936754
"GSM672553",11.3281881,13.97367398,11.51240149,14.05925799,12.09898662,10.94725613,11.01554164,0.381502666713807,0.301536615388488,21.5024631833426
"GSM672558",13.68668848,12.97208327,12.00707993,12.80310595,13.6081974,13.67938253,12.61945911,0.177125612046896,0.926374821985402,25.7404418433067
"GSM672559",13.4367223,11.76571784,12.29611413,12.84223494,13.29238922,13.26346171,12.06073494,0.447812378447728,0.131190315450895,20.3470857171163
"GSM672562",12.50036468,13.19629331,12.73666097,13.68668848,12.56927323,12.26584201,11.4102803,0.308835099198858,0.499154993037028,22.8428141069082
"GSM672563",12.72426729,13.06050818,12.42726766,13.01695428,12.82796729,12.56328699,11.98045539,0.0221386857007787,2.01145545032523,33.1000246900246
"GSM672564",12.78984721,13.02025465,12.15447286,13.62914721,12.92673643,12.60967212,11.96296022,0.0697491630469823,1.47766179173371,29.4795576474348
"GSM672565",12.69864721,13.87665688,12.00980706,13.31340074,12.86639294,12.48055799,11.52692491,0.427278783443367,0.183306458784344,20.700564587254
"GSM672570",13.77175465,12.11816134,11.13001301,11.57879851,13.98971487,13.7109197,12.55413048,0.415648491071082,0.2130384373046,20.9022223750734
"GSM672585",7.367472119,11.67184201,11.93087695,13.1468632,7.901559108,7.540397398,7.908,0.0918947900931018,1.3291770033797,28.472456356685
"GSM672586",10.46563457,12.17169294,10.61440372,10.83943569,10.21271413,10.4428803,9.487980669,0.343144714035042,0.403895687005659,22.1967158020003
"GSM672596",10.61555799,12.67092974,11.06673011,11.82046914,10.7088684,10.3563777,10.1897539,0.000146840626016151,3.62081077640982,44.0155120213649
"GSM672598",14.18664647,13.86400483,12.09705074,12.90368476,14.32645576,14.07336952,13.2692461,0.0708189536565006,1.46971887946203,29.4256846730393
"GSM672599",14.09313569,13.26346171,12.33601004,13.46987881,14.39110335,13.76919963,13.28255242,0.0743436058385273,1.44418404506782,29.252494106096
"GSM672600",13.82567398,13.40495093,11.70422732,12.53408699,13.68413234,13.75689926,12.66046617,0.229219964741834,0.741418172222488,24.4859693631702
"GSM672601",14.10461152,13.20315836,11.90765539,12.49802138,13.98295967,14.03156208,12.78984721,0.359587388425903,0.359561904025744,21.8960209593984
"GSM672602",14.21655688,13.36020558,11.61762454,12.24009331,14.01120595,14.03156208,13.12063532,0.0997350251230882,1.28306287144472,28.1596862587622
"GSM672603",14.2572026,13.06578587,12.30746208,12.47901264,14.19849442,14.13993457,13.34303457,0.0273302708616761,1.92156479691574,32.4903393877214
"GSM672604",14.3002197,13.20139963,12.43541914,12.21495725,14.16922491,14.2077948,13.45721859,0.00691690300697048,2.46155013957243,36.1528016614932
"GSM672605",14.30353717,13.08473941,12.11264312,13.25168253,14.32986134,13.95989033,13.24435279,0.114726161383237,1.20177084872913,27.6083213552453
"GSM672606",14.2410829,11.85551673,11.58755948,13.92820372,14.47455279,13.69896357,13.32734535,0.13874861874534,1.08595876153358,26.8228233672561
"GSM672607",14.26946022,11.89925465,11.67702007,14.07336952,14.66993086,13.86138401,13.56651933,0.073741981453883,1.4484760373002,29.281604636306
"GSM672612",14.03156208,13.40275985,11.31557286,15.02109257,14.177971,13.9254487,12.66713401,0.487733222220075,0.0307530988071943,19.6658681214119
"GSM672613",13.94393941,13.47612974,11.68223941,15.01087881,14.18664647,13.51480558,12.67568848,0.441604233186098,0.146903148970285,20.4536583505431
"GSM672637",13.36649851,11.93357212,11.37684758,12.12819442,13.12244907,12.99076729,11.97375353,0.411256663971464,0.224313557087564,20.978696119035
"GSM672645",13.23499331,12.42150967,11.59397472,12.34049442,12.96858699,13.14508736,11.84306357,0.479428605232891,0.051587712302035,19.8071793383757
"GSM672656",13.20505651,12.96154498,11.22497212,12.73350074,12.72569926,13.23499331,11.94133643,0.400983455637073,0.250802367235654,21.1583570471765
"GSM672657",13.51256134,11.43214164,11.45741599,12.08145093,13.53679182,13.55765056,12.41861375,0.2647622060433,0.628732171968259,23.7216741275202
"GSM672659",12.9736632,12.17875688,10.91817807,12.42567472,13.21045353,12.57880929,12.06771041,0.189647391590154,0.879196423730628,25.4204533360354
"GSM672664",13.38884164,14.48566134,10.97260186,12.76461152,13.34708364,13.08717584,12.10715093,0.371254199058329,0.328533395708833,21.6855694301717
"GSM672665",13.1633513,14.41200297,10.57917807,12.57565725,13.47812268,12.99856338,12.14450074,0.316158629068281,0.478467840873903,22.7025030496183
"GSM672683",13.48460855,11.4285632,11.35625651,12.47040149,13.71904721,13.44091413,12.39445725,0.327524367897152,0.446759472837725,22.4874403571311
"GSM672684",13.23499331,11.50759814,11.39810297,12.38281004,13.66292007,13.12422305,12.77709554,0.00694137603993772,2.46028293944926,36.1442068492311
"GSM672685",12.98028141,11.47656617,11.14584424,12.55413048,13.68413234,13.08300781,12.35341599,0.256105010537407,0.65540035798068,23.9025516763438
"GSM672686",13.48706506,11.42064888,11.48629777,12.56009368,13.74295651,13.19254647,12.61808885,0.120089216885457,1.17454091471966,27.4236337384735
"GSM672687",13.56651933,11.70353494,11.47898253,12.54170929,13.76680818,13.32318773,12.78510967,0.0380144646866748,1.77420692378916,31.490881423892
"GSM672688",13.58176394,11.76822193,11.35883048,12.70631673,13.80343717,13.11539071,12.70912007,0.125944235961654,1.14577449256546,27.2285248576049
"GSM672689",11.9387881,12.74146729,12.25553011,14.8074855,12.49265874,11.70353494,11.25459517,0.301334426576715,0.520566411155889,22.9880375137186
"GSM672690",11.8281881,12.91142379,12.20240781,14.90230818,12.51075985,11.67069814,11.27143494,0.306715254227219,0.505182716498887,22.8836972717496
"GSM672691",11.9387881,13.19793569,12.40504387,14.94886468,12.56927323,11.76691301,11.4285632,0.210011765036089,0.806380425400925,24.9265772513671
"GSM672698",11.92279405,11.53286245,10.3697052,11.74338513,11.7445632,12.35640037,11.01195019,0.41091683933233,0.225187158867453,20.984621342015
