"","pamR","ydcF","ydcG","pval","z","inv_cof_var"
"GSM672549",10.30341896,9.476631227,10.67258401,0.275399798216491,0.596562376956241,16.5757109436147
"GSM672551",9.82355539,9.18085223,10.45069294,0.344040107752594,0.401461720922703,15.4635473662882
"GSM672558",10.80887472,9.800424907,10.92265688,0.250231591629093,0.67376114158374,17.0157794496814
"GSM672559",10.62853197,9.904658736,11.10075985,0.223854246804562,0.759240850210416,17.503053149667
"GSM672560",10.34696877,9.82355539,10.66670855,0.0271110892190049,1.92505739351731,24.1487442696793
"GSM672563",11.00848364,10.11346208,11.08555204,0.120183685070321,1.17406904745189,19.8677648897479
"GSM672564",10.77818476,10.23546394,10.97143346,0.00479162779120242,2.59051460211816,27.9421567815676
"GSM672566",8.934030483,8.334871375,9.416856134,0.285137070211687,0.56764780382455,16.4108845624801
"GSM672567",8.756268401,8.357856506,9.42066803,0.281429098871518,0.578601343886557,16.4733247846065
"GSM672568",9.009402602,8.230542007,9.292084387,0.304729485891877,0.510845891567643,16.0870875070577
"GSM672577",8.009399628,7.706968401,8.205537918,0.00056077314699635,3.25811580089953,31.7477910247274
"GSM672578",8.484050743,7.76787026,8.97135948,0.450174844545856,0.125219614808812,13.8888401603266
"GSM672579",8.245420446,7.620645725,8.540665428,0.233615444541066,0.72699194680842,17.3192195506336
"GSM672580",7.755745725,7.734865799,8.545669888,0.232801814964183,0.729650852436938,17.3343765370615
"GSM672581",8.089684015,7.625234944,8.561458364,0.235373725774439,0.721263431443224,17.2865643752444
"GSM672582",8.170942379,7.544768401,8.377599071,0.174259767251439,0.937464775805228,18.5190115922702
"GSM672583",8.001702602,7.618860967,8.415459851,0.111868872320695,1.21664912171042,20.1104909198544
"GSM672584",7.792295911,7.750881041,8.134901115,1.03303589378282e-05,4.2576282056087,37.4454719767203
"GSM672585",8.953657807,7.912741264,8.243787175,0.326469427019293,0.449683245343967,15.738432260039
"GSM672586",7.533066543,7.707991078,8.131836431,0.0166761125132435,2.12781741334874,25.3045697475585
"GSM672587",9.356207435,8.313920074,9.078164312,0.278668246861874,0.586802297330205,16.5200739955257
"GSM672589",7.889139777,7.847688476,8.304077881,0.000559357224125374,3.25883313936524,31.7518801842945
"GSM672590",9.190962082,8.002232714,8.499108178,0.41871543435318,0.205180801273868,14.3446557428789
"GSM672591",8.574934572,7.793164312,8.377036059,0.10587918039325,1.24874498746898,20.293452133851
"GSM672592",8.49786803,7.724405948,8.455178253,0.1567568263789,1.00787671204605,18.9203920514042
"GSM672593",9.273874721,8.174248327,8.624420074,0.327567259523185,0.446640679464766,15.7210882335182
"GSM672594",9.587906691,8.382162268,8.806852788,0.401693961174038,0.248964913004689,14.5942453410002
"GSM672595",9.560557621,8.545669888,8.387723048,0.451088073702843,0.122912802711071,13.8756902691525
"GSM672597",10.44512714,9.88378829,9.307318216,0.231216524935617,0.734846391843838,17.3639935040692
"GSM672598",10.95534349,10.0766881,11.01554164,0.104804734989222,1.25464001613858,20.3270565117497
"GSM672599",10.90858253,9.963064312,11.04117175,0.194112253892522,0.862841701111242,18.0936257048517
"GSM672600",10.58636245,10.03493197,10.80278067,0.00990470169187981,2.32993847020805,26.4567528422736
"GSM672601",10.74269703,9.928841264,10.8370197,0.0840155556443085,1.37855787779166,21.0334453835895
"GSM672602",10.71597138,9.917216729,10.77255948,0.0632528243242882,1.52802774831766,21.8854924719302
