"","alsT","glnR","tnrA","glnA","pval","z","inv_cof_var"
"GSM672549",12.55561822,14.42564907,9.887065428,14.24770112,0.00429242638508592,2.62815840992831,13.3150986230453
"GSM672550",12.12819442,14.40846283,10.22354126,14.54011041,0.0813052879962005,1.3963451756983,10.0966745886127
"GSM672551",12.10981524,14.45737881,9.959482156,14.42209108,0.0779306653130859,1.41912927440519,10.1562038166186
"GSM672558",13.28255242,15.00514164,9.815632714,14.94641301,0.000757808058482672,3.17167673988176,14.7351779075241
"GSM672559",12.90971413,14.42209108,9.987192565,14.5706171,0.000405960266711559,3.3486986485326,15.1976924751477
"GSM672560",13.24788216,14.3805052,9.494378067,14.69906245,1.9917052704644e-06,4.61224605591564,18.4990300737071
"GSM672563",11.13599963,14.03459963,8.848271747,12.80000632,0.194263904443611,0.862290264197549,8.70132088147771
"GSM672564",11.50890743,14.58543234,9.035304089,13.57750632,0.223946126463772,0.758933642245835,8.43127553128702
"GSM672567",11.86062565,15.61343941,12.1703171,14.9356,0.406194767051774,0.237344510398242,7.06849183048805
"GSM672598",13.34708364,15.4277855,10.20237528,14.97813903,0.00426322284389168,2.6304797189815,13.3211636308245
"GSM672599",13.82289926,15.34516989,10.4224948,15.03851413,2.85083787091313e-06,4.5371603384442,18.3028496211536
"GSM672600",12.5312223,14.78475056,9.723099628,14.32280074,0.023035625112846,1.99473994596504,11.6601324710157
"GSM672601",12.98028141,15.27586766,10.10015874,14.69494015,0.0168741309004466,2.1230667140852,11.9954186518279
"GSM672602",12.68798067,15.21679294,9.809530483,14.52209926,0.0469700301522449,1.67497029357997,10.8246532716373
"GSM672603",13.48460855,15.33721524,10.41699888,14.75811599,0.000338890733882957,3.39841247381846,15.3275824338667
"GSM672604",13.4345881,15.56470372,10.45131152,14.88755316,0.00371978393407381,2.67649949143045,13.4414019409782
"GSM672605",13.52764833,15.47494981,10.38173197,14.86847249,0.000819475053803337,3.14888440597555,14.6756271629744
"GSM672611",10.87328067,14.20152714,10.17371152,14.23481264,0.44876403075117,0.128784637866062,6.78485167041873
"GSM672635",11.2112526,14.42564907,9.970596283,14.99403494,0.470815739656916,0.0732194622567823,6.63967357710968
"GSM672636",11.35058922,15.06041338,10.5828145,14.77223197,0.468944737244177,0.0779227852741762,6.65196219962179
"GSM672637",11.43697807,14.93051896,10.17985465,14.97813903,0.448567323147287,0.129281832572651,6.78615071750559
"GSM672638",11.56299777,14.86847249,10.41393086,15.02109257,0.405743910822366,0.238507083984771,7.07152934840774
"GSM672639",11.64984052,14.26946022,10.36110929,15.06617509,0.323688782338444,0.457408348711972,7.64346433984019
"GSM672645",11.41637175,14.46409554,10.61326914,14.89277844,0.391178671248404,0.276248325306399,7.17013789943112
"GSM672655",11.21839238,14.61484647,10.72760855,14.69494015,0.445327120619175,0.137476405627738,6.80756111490962
"GSM672657",12.67265651,15.87744201,10.10964312,15.39060186,0.218273292327058,0.778038045518766,8.48119062307894
"GSM672658",12.12968401,14.22263903,9.61657658,14.76273346,0.0961814191079394,1.30362099629681,9.85440918727908
"GSM672659",11.97239591,14.12791078,9.801787361,14.95131636,0.174484506828906,0.936590940920146,8.89545021626123
"GSM672660",10.21655725,13.20690632,9.477910781,13.38685874,0.432796024271932,0.169260112902129,6.89060409947311
"GSM672661",10.11953383,13.05860929,10.0633171,13.29824572,0.436059425045693,0.160967687847283,6.86893803893843
"GSM672662",9.911007435,13.05331524,9.656692193,13.20315836,0.494378210547501,0.0140922028106104,6.48518863766945
"GSM672664",10.24754089,13.2291658,9.89214461,13.78840558,0.488207017536283,0.0295649297650909,6.52561505534765
"GSM672683",12.24164052,14.49293792,9.499448699,14.53674944,0.061377170289374,1.54331510443315,10.4806707479613
"GSM672684",12.39295911,14.95131636,9.791836059,14.47120892,0.0728212135180849,1.45509693700549,10.2501784440689
"GSM672685",12.43696729,15.08293978,9.853855762,14.5076632,0.0830451145782732,1.38487651543992,10.0667098092187
"GSM672686",12.1967829,14.85846468,9.490528996,14.45737881,0.110738722712332,1.2226089120461,9.64274460064639
"GSM672687",12.56927323,14.76762156,9.526674721,14.6741539,0.032627369671242,1.84350892838395,11.2650031379241
"GSM672688",12.52835316,14.75811599,9.647648327,14.37000297,0.0231126587890973,1.9933300534403,11.6564487697358
"GSM672698",12.14044424,14.01692193,11.30368922,13.33925093,0.00229215392678268,2.83487876791511,13.8552079107711
"GSM672699",11.66571561,14.29703011,11.1661171,13.30210743,0.0964041562297467,1.30231621029318,9.85100010340403
"GSM672700",11.63374164,14.31640743,10.94614238,13.4302974,0.113582666153986,1.20769310203364,9.60377326951993
"GSM672704",10.94389777,14.5706171,10.0326223,14.24448885,0.476032658856458,0.0601133998679572,6.6054306699734
"GSM672705",11.04821115,14.53294684,10.11346208,14.31640743,0.444703353156264,0.139054976142507,6.81168553015667
"GSM672710",13.36243383,16.4320948,13.46152045,15.74199963,0.127280036322158,1.13934311375443,9.42519161532258
"GSM672711",13.19793569,16.39776617,13.35045167,15.83757435,0.177748675054514,0.923978806826148,8.86249782188386
"GSM672712",13.35250967,16.45100446,12.79327175,15.89411301,0.144230580731449,1.0615034597059,9.22181580601954
"GSM672722",11.97911264,14.5706171,9.632133457,14.43977026,0.13263987761374,1.11399867466318,9.35897284964948
"GSM672724",12.59782974,14.52209926,9.735805576,14.37361413,0.00663995604325038,2.47617324596645,12.9179988915444
"GSM672726",12.06361859,14.56695242,9.890813011,14.63204387,0.129943740313046,1.12665711540968,9.39204623188379
"GSM672737",12.14592454,14.11328476,9.591734201,14.34591822,0.0345207066917543,1.81814866678899,11.198743031953
"GSM672738",12.1466684,14.5439829,9.778504089,14.3002197,0.0673679486857993,1.49568447691552,10.3562236709873
"GSM672739",11.9506539,14.5931777,9.930198141,14.73557435,0.18678333012493,0.88981233846857,8.7732292705499
"GSM672740",10.79346208,12.86248104,9.475285502,14.16922491,0.356807124653652,0.367006393041486,7.4072663361132
"GSM672741",10.32731338,13.16149219,9.890813011,14.00869331,0.494711905921811,0.0132556743239,6.48300299514484
"GSM672744",10.70275725,14.5149171,9.617849071,12.81725688,0.471025624110234,0.0726919579817991,6.63829533859941
