"","phrC","comA","ccpA","codY","rapC","pval","z","inv_cof_var"
"GSM672568",14.21655688,12.08006543,12.41861375,13.95989033,14.04552862,0.49430056418494,0.0142868529734441,116.84801276423
"GSM672600",12.41414164,11.9097197,13.5115052,13.8509658,12.38281004,0.268148107760032,0.618423493060651,559.629660971139
"GSM672601",12.66355688,11.89925465,13.37237472,14.16922491,12.58323271,0.437188686253218,0.158100797113553,222.251610222417
"GSM672602",12.47610223,11.8281881,13.66292007,14.16637026,12.4776539,1.29271279359984e-53,15.3704063393679,11371.5997445355
"GSM672603",11.80381487,12.17460074,13.43237621,14.24448885,11.68967509,0.47869044686863,0.0534405542552219,145.544402349943
"GSM672604",11.9588368,12.1703171,13.44724164,14.26317249,11.85151487,0.47253285930262,0.0689043969186527,156.878106164262
"GSM672626",13.05512156,12.39590892,12.93810186,13.00624349,13.08627212,0.253184923430273,0.664500784715726,593.40046345218
"GSM672628",13.8692948,12.28154684,12.44648699,13.55136803,13.78840558,0.426717265903004,0.184738009738933,241.774460066786
"GSM672636",13.43859219,12.33911152,12.75389331,12.9331223,13.27106394,0.49653830042826,0.00867730291733954,112.736681560774
"GSM672637",13.03040297,12.31733383,12.66205019,13.04114164,12.98810762,0.326947592421164,0.448357533349582,434.985530904988
"GSM672656",13.58822193,12.86164312,12.94628513,12.90673086,13.59734461,0.00316752939445797,2.72991536119452,2107.17666857002
"GSM672740",12.93473197,11.8064539,12.59922416,12.24164052,13.03570706,0.458982540392173,0.102997341656834,181.865384309187
"GSM672745",12.51075985,12.33753643,12.47040149,13.90805539,12.44072714,0.421289845613116,0.198594838814807,251.93035727615
"GSM672746",12.95655428,10.80995428,13.7109197,13.24435279,13.08300781,0.478655425991254,0.0535284642241129,145.608833007408
"GSM672747",13.21968216,10.91637751,13.55989331,13.19436877,13.30585762,0.439661670469832,0.151827057230442,217.653483405503
"GSM672748",13.21222714,10.83366729,13.88486654,13.43237621,13.21777212,4.2244747555624e-06,4.4534802195861,3370.405610751
"GSM672749",12.71058885,11.91645465,13.86665948,14.09866691,12.56849424,0.489430726665012,0.0264963393763298,125.796545520742
"GSM672751",12.75389331,11.83742714,13.83597807,14.39460335,12.8108052,0.386582519160337,0.288237378621728,317.630844370316
"GSM672755",12.63002937,12.233029,13.7497,14.22564647,12.47253067,0.496557965794665,0.00862800730856582,112.700552000914
"GSM672759",13.17595502,12.51664089,12.53577732,13.01324461,13.04114164,0.483058298611736,0.0424793198660727,137.510733959115
"GSM672768",12.89897175,12.42150967,12.79829665,13.11539071,12.74146729,0.495245864473139,0.0119171326017027,115.111205852738
"GSM672776",13.93093309,12.11942565,13.38472454,13.22169145,13.97367398,0.313928477929864,0.484745402453714,461.654796742497
"GSM672787",13.73590855,12.06073494,13.28163141,13.39100595,13.8485,0.463656471745501,0.0912260913488869,173.238041971439
