"","phrF","comA","ccpA","rapF","pval","z","inv_cof_var"
"GSM672594",16.0724342,11.75807658,11.83742714,16.15247212,0.413763277028492,0.217874938760789,284.695676523997
"GSM672596",16.1452197,12.15243309,11.72728216,16.19371115,0.275205047226947,0.597145721319291,471.56926221752
"GSM672599",10.5523197,11.86661506,13.6106,10.61667584,0.455360942327027,0.112128040322767,232.59226388099
"GSM672600",11.07273717,11.9097197,13.5115052,11.15429703,0.487566232195476,0.0311718814177628,192.703697731767
"GSM672621",14.45026283,9.683063941,10.96915539,14.39110335,0.367035997387303,0.339713897601801,344.727938862248
"GSM672623",14.78045019,11.18360929,10.33973569,14.8357223,0.341255711415333,0.409038479266253,378.885416179502
"GSM672640",15.61343941,12.40349591,12.60212045,15.68968439,0.409330015931083,0.229268761124581,290.309619220858
"GSM672645",15.47494981,12.62544387,12.82640149,15.44358327,0.145784682994414,1.05468510557367,697.007205933719
"GSM672648",15.71599665,12.53718401,12.21777212,15.76791375,0.304899640511148,0.510359991115891,428.808360677106
"GSM672650",15.34516989,12.29913829,12.00036022,15.25573643,0.447842994916101,0.13111290847128,241.946452360522
"GSM672651",14.78045019,11.52100074,11.99971729,14.88755316,0.485002653805184,0.0376016308530051,195.871751764216
"GSM672652",15.09480297,11.71235911,11.98320223,15.12831859,0.175100260965378,0.934200414560827,637.642215889242
"GSM672656",15.70693346,12.86164312,12.94628513,15.75899182,0.305901085901342,0.507502658098184,427.400500933897
"GSM672659",14.56330743,12.06978903,12.6482026,14.56695242,5.65182137648523e-29,11.1093045317949,5651.10035354355
"GSM672660",14.67824238,12.37973866,11.74086617,14.78927807,0.491650590082462,0.0209303950782972,187.657531870594
"GSM672661",15.04395688,12.72426729,11.77574349,15.15962193,0.49408809743227,0.0148194845506923,184.646575544239
"GSM672665",14.98346506,12.59563271,11.44184461,15.08293978,0.470571121955436,0.0738342876040326,213.724238160852
"GSM672673",14.53294684,12.02449777,12.31870483,14.64878104,0.499356848583691,0.0016121422233161,178.139078706362
"GSM672675",14.31640743,12.21031896,12.11942565,14.42564907,0.492957145492131,0.017654735333794,186.043554970401
"GSM672677",14.44658587,12.43925799,12.10021896,14.4894368,0.271208979109096,0.609160652610258,477.48923653523
"GSM672679",14.6242052,12.43471264,11.92684275,14.68655279,0.376478641178559,0.314742355508145,332.424007671296
"GSM672680",14.66993086,12.45247361,11.79491301,14.72779442,0.35599607476398,0.369181895476979,359.2473552776
"GSM672686",14.03459963,11.92156208,13.09337732,13.98155204,0.345315502347161,0.397998889003633,373.446010056399
"GSM672688",13.92820372,12.10151896,13.12063532,14.01692193,0.463304698982217,0.0921115675326287,222.729785105281
"GSM672693",15.63036543,12.30338885,12.49265874,15.73282862,0.468378720641829,0.0793459718591767,216.439944846775
"GSM672695",15.12307993,12.14299442,12.88276766,15.17796914,0.332758329322217,0.432309258953345,390.351350920574
"GSM672696",15.15962193,12.76007472,12.79665613,15.21045093,0.30940340699665,0.497542111836749,422.49275933887
"GSM672697",15.22313234,12.82942007,12.67413941,15.30189331,0.422199754190614,0.196269147587428,274.050111787704
"GSM672701",14.94641301,12.44287862,12.07309777,14.8357223,0.489550343067702,0.0261964014380316,190.252188606581
"GSM672703",14.91633309,12.40194684,12.24467361,14.95131636,0.193430126225077,0.865325328916001,603.706213404232
"GSM672707",14.42564907,12.05292342,13.00110632,14.44320929,0.0227833767450253,1.99938463140259,1162.4777771275
"GSM672708",14.40846283,11.98584164,12.77166283,14.34210483,0.396717526578503,0.261852640658593,306.364286978946
"GSM672713",14.05355316,11.38636171,10.99658662,14.08497249,0.177397594977988,0.925328246801416,633.270738099966
"GSM672714",14.85846468,11.61025167,11.06789331,14.77594758,0.438228584395876,0.155461924508579,253.943653685402
"GSM672715",14.42909851,11.63001524,11.12404238,14.41536729,0.00396848948683642,2.65473901158884,1485.38275309008
"GSM672717",15.3676855,12.16890595,12.53577732,15.46632379,0.464667875853161,0.088680598782245,221.039284644208
"GSM672721",12.99944721,11.46338662,11.96415093,13.08473941,0.468533292219712,0.0789573027717357,216.248440545999
"GSM672726",12.88597286,12.33152714,12.84514201,12.92673643,0.291562530026564,0.548825716660128,447.761120523946
"GSM672747",12.38124796,10.91637751,13.55989331,12.44507026,0.421399123933099,0.198315471129467,275.058372469452
"GSM672748",11.92684275,10.83366729,13.88486654,11.96296022,0.277822986837914,0.589320979895389,467.713870359636
"GSM672758",15.6989948,12.56166506,12.55874387,15.66552974,0.162286616010939,0.985103504745744,662.723090618285
"GSM672759",15.53070669,12.51664089,12.53577732,15.58944684,0.344437282758197,0.400382834267101,374.62062307688
"GSM672761",15.70693346,12.49575204,13.34118773,15.60525576,0.467315556256956,0.0820196187459522,217.757299105491
"GSM672766",15.4277855,12.23010929,13.32734535,15.48368625,0.332273293587515,0.433644538115125,391.009267154406
"GSM672772",15.42020595,12.4661171,13.41359628,15.41281338,9.23999368126576e-09,5.62566013949848,2949.20941603499
"GSM672776",15.52257435,12.11942565,13.38472454,15.63036543,0.478135315019604,0.0548341042040539,204.362503579462
