"","phrH","comK","abrB","rghR","rapH","pval","z","inv_cof_var"
"GSM672563",10.88912007,10.67743309,11.13479888,11.51478885,10.89029628,2.19586593476587e-44,13.9261887467797,13093.2171902858
"GSM672571",13.87172416,12.94463234,14.8030119,10.47617472,13.91831896,0.433840791993629,0.166604078994127,421.732209165359
"GSM672574",14.8030119,13.50188959,12.95488401,10.68536877,14.77223197,0.327642594557258,0.446432045535271,679.431548275879
"GSM672577",12.72266468,11.66706952,11.07273717,9.411591822,12.6866171,0.401338414585403,0.24988429451667,498.426675291873
"GSM672580",13.36020558,12.54327509,11.98993309,9.418096283,13.42184944,0.483149416323391,0.0422507165772506,307.212635917886
"GSM672582",12.35195651,11.92944684,11.37801599,9.808316357,12.3683684,0.193466786598932,0.865191712767261,1065.07595267803
"GSM672584",12.19816729,11.94935167,11.53634684,8.955711524,12.14178848,0.483988804312123,0.0401448962197255,305.273342568735
"GSM672586",12.36217918,12.31945409,11.70220223,8.927639405,12.38124796,0.24041139230399,0.70497983610787,917.53353494506
"GSM672588",11.00363941,11.6089539,10.49189926,8.391205576,11.05060483,0.472408399244819,0.0692171168728094,332.046549483611
"GSM672591",12.23710446,12.01987993,10.92505576,9.367478067,12.25424572,0.210201044377605,0.805723859881968,1010.31078186152
"GSM672592",12.158871,11.93482268,11.0609684,9.548863197,12.09768922,0.49478379351467,0.0130754632332854,280.344544075407
"GSM672593",11.66456952,11.89547138,11.15301375,9.098998885,11.72211413,0.491738643656053,0.0207096296578745,287.375005206914
"GSM672600",9.940048699,8.466633086,13.29628699,11.27385204,9.907265799,0.431124334137363,0.17351241736144,428.094240286171
"GSM672603",9.847455762,8.669790335,15.24909405,11.90186766,9.809530483,0.457541923301341,0.106628324976709,366.49930173303
"GSM672626",11.98045539,11.40524758,13.20777286,11.37447026,11.99639963,0.19398352243999,0.863310004789512,1063.34304903634
"GSM672628",14.28505874,12.90368476,12.75065836,11.13599963,14.33275836,0.432771732985246,0.169321880935274,424.235088962272
"GSM672629",13.76680818,12.7318948,13.02025465,11.10672639,13.82289926,0.465601689252918,0.0863308962395391,347.806981462596
"GSM672633",13.53453569,12.86961896,12.48208364,10.91574907,13.51480558,0.223232290167932,0.761322306408167,969.420476553185
"GSM672640",13.07116617,11.70866914,12.90971413,10.60851896,13.00465167,0.496142218976585,0.0096701737018115,277.208542793663
"GSM672647",14.2077948,13.32421004,13.82848513,9.835013011,14.18383309,0.268144159067119,0.618435476799837,837.833051562017
"GSM672650",14.54011041,13.37838364,12.66638996,9.921168401,14.47120892,0.487254067152974,0.0319547530276811,297.730870978427
"GSM672658",11.98183086,11.75077844,11.62122007,11.65836766,11.9447316,0.419233561696734,0.203854600732082,456.036982030089
"GSM672665",13.05163569,11.7148948,11.32936877,10.0087881,13.00624349,0.440604606756772,0.14943649837507,405.922230504749
"GSM672666",14.02859517,12.92314349,13.37838364,10.86057249,14.01974312,0.0161141295984852,2.14156802327909,2240.51719159672
"GSM672670",13.86400483,12.48356283,11.89411264,11.2785487,13.8692948,9.42023235787693e-05,3.73407727280454,3707.09176669287
"GSM672671",13.73361487,12.29611413,11.99392119,11.34454126,13.75962305,0.301418068991904,0.520326343327693,747.482329405874
"GSM672681",14.02274981,11.63990818,10.00124461,10.30216766,14.07336952,0.446371462441294,0.134834250799409,392.474719892107
"GSM672688",11.24358141,10.83819963,14.84911041,11.06334126,11.19761078,0.466733938109742,0.0834825195848679,345.183852722036
"GSM672698",11.41278104,10.68212305,11.05744312,9.307943123,11.4235684,0.0910838399664547,1.33411039396053,1496.91282636061
"GSM672706",11.00246134,10.89479591,13.77875762,10.39695242,10.97028662,0.407872472225757,0.233021198947015,482.897103185938
"GSM672709",10.6408119,10.64325093,13.21045353,10.62261115,10.61201561,0.391525822660482,0.275344413845404,521.873423684425
"GSM672712",10.09603011,9.158375465,13.31737249,10.9382052,10.12256059,0.384451697365239,0.293809605532281,538.878399109415
"GSM672715",9.737737361,9.338898513,15.56470372,8.946330112,9.712572491,0.381279487249415,0.302122114842119,546.533560178459
"GSM672747",10.1323658,9.74521487,13.95159331,10.81364758,10.11216691,0.316247249314979,0.478218778080852,708.704605114087
"GSM672748",10.09716097,9.727094424,13.78598662,10.96004981,10.12013364,0.350344859709586,0.384389584006527,622.295367320225
"GSM672749",10.1897539,10.01376952,14.35301933,11.72085651,10.21035353,0.319518095959973,0.469046789469874,700.257931850531
"GSM672759",11.69730632,10.69023643,14.16068439,11.10905242,11.74586245,0.4683698016381,0.0793683989931837,341.395074314349
"GSM672775",11.39341227,11.24960967,13.34118773,11.67574201,11.4235684,0.386054778356814,0.289616612234677,535.016985201994
"GSM672776",11.73118327,12.26155651,12.15447286,11.61259814,11.79238513,0.498492153293941,0.00377962018617567,271.783810710098
"GSM672782",12.3683684,12.74830651,14.19545279,11.36724349,12.40504387,0.410092886078071,0.227306045955336,477.633901058304
"GSM672787",13.15779442,12.39912119,12.23010929,11.36668494,13.20505651,0.445534360042059,0.136952020090577,394.425017260408
"GSM672789",10.68322677,10.27073271,14.37361413,11.12637026,10.67203011,0.120373206892593,1.17312317605955,1348.65638090549
"GSM672800",10.45853197,10.0693658,14.19849442,11.26915056,10.48164814,0.343030571318952,0.404206135083688,640.54483744702
"GSM672802",10.51293717,10.18109182,14.5973803,11.35176059,10.51542156,2.68852410858136e-10,6.20768590772212,5985.08891728364
"GSM672804",10.6408119,10.14274461,14.01388922,11.3353487,10.61667584,0.350152249755536,0.384909456382185,622.774128500836
"GSM672805",10.90965465,10.6382342,13.44724164,11.25685576,10.96575651,0.496788212912163,0.00805084329630322,275.717268063481
"GSM672806",11.97618699,11.32477955,11.91770855,11.22378216,11.9427,0.398552366087452,0.257095913408168,505.068003695275
