"","phrI","comA","rapI","ycxA","ywhH","pval","z","inv_cof_var"
"GSM672558",11.17430409,12.20380818,9.074196283,9.876702974,8.64275539,0.16694819145397,0.966295408570845,8.71076597349838
"GSM672559",11.5763197,12.40805911,9.127393123,9.870642007,8.730405576,0.33829599558208,0.417118148192347,7.80578586700255
"GSM672560",11.34937286,12.31733383,9.09787026,9.742029368,8.721894796,0.221169405262448,0.768249769346136,8.38440984660214
"GSM672566",12.40042639,12.12371933,9.883156134,12.14592454,10.44625204,0.123725435741737,1.15656318308147,9.02430508602586
"GSM672567",12.51876784,12.09641227,9.438747212,11.76177175,9.732179926,0.483792044677457,0.0406385019803693,7.18539129697318
"GSM672569",13.35631375,12.96858699,11.48142862,10.97806617,11.86338253,0.00303419975815572,2.74406243449531,11.640318794635
"GSM672570",13.00807138,13.13379517,10.97927509,11.05398736,11.85939182,0.000637653584526765,3.22147920467828,12.4270459785415
"GSM672571",13.24606989,13.19966617,11.23406803,10.88349665,11.63251747,0.00603051332004673,2.51035376198707,11.2551941461931
"GSM672572",13.20315836,13.79624275,10.98036283,10.94269926,12.56927323,0.0216065237350103,2.02164492412823,10.449858951094
"GSM672573",12.97545799,13.73361487,11.31439294,11.24703346,12.6482026,5.83338623993773e-05,3.85302447220884,13.4677589590331
"GSM672574",13.17423792,13.6744539,10.97694387,11.2329223,12.73507807,0.00841307447050657,2.3904847275436,11.0576639507851
"GSM672575",13.32938104,13.45520892,10.25863271,10.71350892,12.55260149,0.296361627178232,0.534893859944247,7.99986651063735
"GSM672576",13.25773792,13.28852007,10.43819554,10.75950632,11.83214907,0.115011664803982,1.20029876407539,9.09637622516636
"GSM672600",10.66314126,11.9097197,8.944990335,9.424471375,8.39470223,0.0604492676757958,1.55101313870955,9.67431263114079
"GSM672601",10.61440372,11.89925465,8.660651673,10.12073346,8.066166171,0.337605726574321,0.419006402579871,7.80889749011589
"GSM672602",10.62734349,11.8281881,8.9752171,9.51122342,8.795147584,0.0039941580507159,2.65256324454749,11.4895387958306
"GSM672604",10.56517138,12.1703171,8.419263569,8.331278067,7.80720632,0.480798839223942,0.0481487699540735,7.19776734310803
