"","phrK","phoP","abrB","rapK","yjdB","yurI","pval","z","inv_cof_var"
"GSM672549",10.03614498,11.60009591,14.13440409,10.18579145,8.521008922,8.543130112,0.339463538086002,0.413927673715066,10.2023140452112
"GSM672558",9.924944238,11.3258513,14.35976208,9.693599628,8.319688104,8.710594424,0.239908419410371,0.706597184962067,11.9015184394804
"GSM672559",10.09491599,11.49942454,14.3392342,10.18349442,8.184210409,8.874475465,0.377942966742528,0.310887781505271,9.60407667883194
"GSM672560",9.784247584,11.21533234,14.60165465,9.906015985,8.299976952,8.705665428,0.258925981667657,0.646660082235391,11.5535307454463
"GSM672563",10.7748487,11.83214907,11.13479888,10.80278067,11.98584164,9.334962454,0.359622213715785,0.359468782253271,9.88613219461585
"GSM672564",11.30724907,11.63497546,11.34097472,10.69138996,12.14741227,9.208952416,0.435389188371345,0.162669862983546,8.74354106175155
"GSM672573",14.42209108,12.31169033,13.03748513,13.47196803,14.50400372,11.14807026,0.44795575107744,0.130827836186574,8.55867003905664
"GSM672576",13.19072825,13.70401115,12.11264312,12.70008885,13.12063532,10.56574944,0.351647186817468,0.380877196965856,10.0104269057355
"GSM672577",13.44308773,13.11002677,11.07273717,12.17169294,14.03459963,11.33991747,0.323205695279176,0.458753221195651,10.4625658457148
"GSM672578",13.04114164,13.77175465,11.74086617,11.97911264,12.72569926,10.42834387,0.331107447624097,0.43685722466656,10.3354402925247
"GSM672579",14.19545279,13.64514461,11.76055242,11.52222045,12.91142379,10.64447546,0.493690004945974,0.0158174715589964,7.8909335326846
"GSM672580",14.05645093,13.53679182,11.98993309,11.97753792,13.14508736,10.75493755,0.437342311401559,0.157710885063816,8.7147498253963
"GSM672581",12.99767955,13.51044907,11.61880967,10.78529777,12.59205613,10.67870929,0.366709529683921,0.34058096761335,9.77647178790813
"GSM672582",13.01521004,13.65160669,11.37801599,10.91329926,12.2344052,10.80032714,0.29253795167635,0.545985501588071,10.9690260968471
"GSM672583",13.20139963,13.54925019,11.55308104,10.8623052,12.233029,10.39915502,0.410882973414634,0.225274228841709,9.10701456848403
"GSM672587",11.63990818,13.04114164,11.54940074,9.162560223,11.93482268,10.74508104,0.436688760832082,0.159369811718435,8.72438135636544
"GSM672590",12.97032825,12.59350818,11.00480892,10.38775948,12.17169294,10.39695242,0.429128089453859,0.178594416605154,8.83599712721365
"GSM672591",12.52685316,12.60668736,10.92505576,9.853855762,12.65911338,10.50383271,0.484892618666857,0.037877644533255,8.01901227480053
"GSM672592",12.66787807,12.65290223,11.0609684,10.44687732,12.25553011,10.61090149,0.341622096514303,0.408040157417223,10.1681318254029
"GSM672598",8.357856506,11.23992454,13.92068736,8.952978439,8.488292565,7.855413383,0.03092919112069,1.86730948050677,18.6404760598639
