"","pnbA","abh","abrB","sinR","slrR","pval","z","inv_cof_var"
"GSM672577",11.21293494,9.190962082,11.07273717,13.2786855,10.44512714,0.492614064070834,0.0185148535949669,19.9458283233476
"GSM672579",10.89157584,9.739531599,11.76055242,13.66987732,10.17872528,0.48969551763933,0.0258323795952408,20.9005275994937
"GSM672580",10.50502379,10.11590446,11.98993309,13.80827249,9.963064312,0.471968075115477,0.0703235355336526,26.7051771993328
"GSM672581",10.2214171,9.410388104,11.61880967,13.77543792,9.548863197,0.49004563417321,0.0249544845645177,20.7859908352468
"GSM672597",8.20664052,12.78984721,10.40029442,12.78510967,8.707036803,0.480528487911798,0.0488272373092595,23.9006090496769
"GSM672606",7.970501487,12.06917695,13.98711561,11.47189517,7.875115242,0.221845824860518,0.765974206709143,117.464976644786
"GSM672683",9.950405576,13.3702461,14.82197844,12.73823494,9.650143866,0.413157709874635,0.219429593083025,46.1586707989522
"GSM672684",9.628471004,13.69896357,14.96705799,12.92673643,9.535849814,0.161809401497105,0.987048622202632,146.308001519333
"GSM672685",9.125550186,14.15158996,15.19678141,13.35250967,9.119518959,9.32505199894537e-60,16.2610542607637,2139.06923344923
"GSM672686",9.67242026,13.10414349,14.88755316,12.42150967,9.012932342,0.492342839145924,0.019194834531242,20.0345437317562
"GSM672687",9.693599628,13.02854461,14.63629591,12.27143792,9.074196283,0.4880918257566,0.0298538001951432,21.4251922656202
"GSM672688",9.543722677,13.00110632,14.84911041,12.48208364,9.014144981,0.47784628056117,0.0555597106763705,24.778977975187
"GSM672698",10.22354126,12.95655428,11.05744312,14.16922491,9.627257249,0.481629357741658,0.04606465729412,23.5401821594068
"GSM672699",10.1489197,12.78364684,11.20930781,13.84343978,9.441220446,0.493751666857375,0.0156628889202656,19.5737396405839
"GSM672704",10.87436729,11.46931636,12.91305019,11.33991747,10.35518699,0.465235070503467,0.0872533409895938,28.913966483235
"GSM672705",10.86752045,11.59519071,13.18522751,11.33878662,10.33593941,0.467395968926369,0.0818173766249275,28.2047498376216
"GSM672706",10.59934572,11.77964126,13.77875762,11.33991747,9.871837546,0.492762999640588,0.0181414647731706,19.8971132196532
"GSM672710",10.11712491,12.43328327,12.66787807,12.92150372,9.637282528,0.464636283920623,0.0887601002888307,29.1105495923697
"GSM672711",10.24135167,13.0649197,12.78678773,13.11699257,9.897079554,0.427528620805686,0.182669636251916,41.3626913686767
"GSM672712",9.861586245,12.96858699,13.31737249,13.28255242,10.03721264,0.315717579071042,0.479707831875123,80.1165202363278
"GSM672714",11.45005353,12.71507175,16.1452197,11.78835316,10.6237948,0.495840219418706,0.010427212571093,18.8906540703375
