"","psdA","psdR","psdB","psdS","pval","z","inv_cof_var"
"GSM672549",11.00246134,11.03527658,11.04454907,10.97806617,0.0457778509421299,1.68724786124621,360.194550927314
"GSM672550",11.03873829,11.18467807,11.12754535,11.19267138,0.374015720819014,0.321236146434946,156.898320621233
"GSM672551",11.23750149,11.29171004,11.23992454,11.30724907,0.0822612256499044,1.39002116220828,315.959888218671
"GSM672552",10.78880818,10.8617461,10.66550706,10.88470892,0.498987074366623,0.00253903076077042,109.468330436315
"GSM672553",10.7701803,10.72635353,10.92844275,10.79103494,0.460479939776316,0.0992246802419886,123.857539438775
"GSM672560",10.94499814,10.99719517,11.01917918,10.9612197,0.0726336706249728,1.45645333326414,325.846633552016
"GSM672561",11.66956506,11.59397472,11.68286245,11.62122007,0.124710661621079,1.15175607298517,280.500167099593
"GSM672562",11.4235684,11.37209145,11.36612639,11.40274498,0.0174394307502054,2.10976199551922,423.075073705706
"GSM672566",10.63444684,10.74038885,10.62915149,10.75005539,0.358996528067509,0.361142322828388,162.837343792669
"GSM672598",11.00960112,11.06445836,11.13182026,11.12871487,0.293206620459688,0.54404102674046,190.057181389984
"GSM672600",10.92735539,11.00017212,10.95881636,10.96575651,0.0415660996087798,1.73279450878961,366.973015305222
"GSM672601",10.95881636,11.13121933,11.01436617,10.98619703,0.403826649799301,0.243454537419091,145.322499031556
"GSM672602",11.01078959,11.04821115,10.97143346,11.11582156,0.317737171687593,0.474035849050885,179.638684555815
"GSM672603",10.88349665,10.99896283,10.89479591,10.97314981,0.289925684825529,0.553601835410004,191.480065498605
"GSM672605",10.75428662,10.81242528,10.8556171,10.84732714,0.199029344276475,0.84509340799139,234.861199956866
"GSM672609",11.13711487,11.14142193,11.28217807,11.18683271,0.351086902371053,0.382387710368952,165.999181390075
"GSM672627",10.51903086,10.35757398,10.44625204,10.40512788,0.385271325028239,0.291665159659533,152.497428540522
"GSM672628",10.44045019,10.37802602,10.37205093,10.38901375,0.0658786554656363,1.50720815370688,333.40020249582
"GSM672629",10.4224948,10.52528401,10.36729665,10.49665279,0.402415070553945,0.247100894986857,145.865166960269
"GSM672634",10.65846506,10.52138327,10.59470558,10.5722368,0.302000489552261,0.518655528289133,186.279193190001
"GSM672635",10.45615651,10.60794572,10.49909703,10.5523197,0.365919624719751,0.342679948092956,160.089687132396
"GSM672637",10.45853197,10.44105465,10.31773494,10.48220409,0.412392953158889,0.22139368855055,142.039300678497
"GSM672640",10.58764238,10.64264182,10.46563457,10.6408119,0.45091097078318,0.12336011226334,127.449486926156
"GSM672646",9.398832714,9.284888476,9.383746097,9.475285502,0.470890952533644,0.073030426797478,119.959188551142
"GSM672657",10.81730223,10.72698104,10.80762305,10.72698104,0.23312580073846,0.728591464083934,217.522837655201
"GSM672659",10.76898067,10.7252513,10.74155985,10.88695465,0.398262415466257,0.257847205861052,147.464483032549
"GSM672661",10.21035353,10.06570037,10.20419591,10.2203197,0.420662965144935,0.200197745531992,138.884821645314
"GSM672663",9.763730112,9.720425279,9.795699628,9.728449442,0.123247222343814,1.15890614293182,281.564273835149
"GSM672664",10.2203197,10.18579145,10.20419591,10.21153717,4.08498553791549e-05,3.93935867671948,695.364179454643
"GSM672666",10.41518587,10.4978948,10.3563777,10.41887398,0.318260509467614,0.472568557941211,179.420315453908
"GSM672667",10.46812714,10.39436654,10.32377435,10.46318996,0.383563787799151,0.296134227830407,153.1625360958
"GSM672668",10.42730372,10.39560743,10.30869108,10.43017082,0.309182530099536,0.498168815684304,183.230265132673
"GSM672669",10.5722368,10.44165911,10.47617472,10.52649517,0.308377756815937,0.500453893169969,183.570341014714
"GSM672670",10.38600223,10.40272268,10.44105465,10.45367881,0.0706928955354712,1.47065001301942,327.959449603166
"GSM672672",10.1611948,10.17617398,10.12733141,10.07542639,0.214436495898517,0.791121675236341,226.828875128887
"GSM672673",10.160029,10.1897539,10.25371375,10.24267955,0.206873237517398,0.817318433742937,230.727598831536
"GSM672686",10.46812714,10.5523197,10.58518067,10.5722368,0.27009577747551,0.61252334857107,200.249039717271
"GSM672687",10.78767732,10.83366729,10.86867993,10.86752045,0.119333271810351,1.178326307928,284.454473306236
"GSM672688",10.67985911,10.71119851,10.79346208,10.80995428,0.339557219229863,0.413671859722602,170.65503431064
"GSM672690",10.57447881,10.66314126,10.75712379,10.62261115,0.424447540190454,0.190528413276705,137.445786550839
"GSM672694",10.10210855,10.19081859,10.11590446,10.22252528,0.329534979509218,0.441197588301089,174.751541533646
"GSM672696",10.32731338,10.28526989,10.3433171,10.31164684,0.0192059677575197,2.07043170358683,417.221756343931
"GSM672697",10.05336431,9.985307807,10.11953383,9.961820446,0.415448462642464,0.213551370391211,140.872170337397
"GSM672701",9.627257249,9.643798885,9.595648699,9.623286617,0.00616302479943085,2.50266976276053,481.549438948741
"GSM672702",9.45124052,9.569909294,9.565031227,9.59425316,0.393137743684563,0.271150233586344,149.444301623331
"GSM672704",10.51658141,10.6237948,10.40149368,10.56183123,0.491864441980457,0.0203942334179185,112.125624917901
"GSM672708",10.0693658,10.17751747,10.13658327,10.137871,0.216491144722001,0.784098544442912,225.783660069771
"GSM672709",10.11830706,10.06448922,10.14274461,10.1033316,0.0904443477994018,1.33802374767767,308.221390631045
"GSM672719",9.528605204,9.612678067,9.657711524,9.502141264,0.438110289164219,0.155762058659905,132.271695612639
"GSM672720",9.460818587,9.446366171,9.485410037,9.48922119,0.00852205293123788,2.38575490702768,464.149625184661
"GSM672721",9.703587361,9.70122342,9.753242379,9.576361338,0.448352176246575,0.129825670723922,128.411721471883
"GSM672723",11.01554164,11.02712677,10.93927732,11.173071,0.489424834182927,0.0265111148271101,113.035967719676
"GSM672724",11.0330539,11.10731784,11.11236022,11.06445836,0.106029138811849,1.24792567370825,294.812575320592
