"","pucJ","pucR","tnrA","pucK","pucL","pucM","pval","z","inv_cof_var"
"GSM672566",7.893216357,9.768651673,12.24009331,7.558524535,7.703069517,8.113799628,0.289089791039597,0.556045746595173,32.4880451302799
"GSM672569",8.572614126,9.192094796,11.1661171,8.179828996,8.633024164,8.65536171,0.14873432235614,1.04187713824068,38.1609293105401
"GSM672570",8.534192193,9.174298141,11.44644647,8.169930112,8.710594424,8.875758736,0.420533306884593,0.200529340263435,28.3368037078774
"GSM672571",8.507581413,9.011796654,11.19995948,8.214330483,8.551803346,8.7627,0.158581404357173,1.00030524703901,37.6755087963517
"GSM672572",8.508939033,8.703616171,11.37209145,8.230542007,8.700556506,8.796410037,0.238440391964854,0.711328355902056,34.3012261493634
"GSM672573",8.555434201,8.813281784,10.85080967,8.311623048,8.774426022,8.870406691,0.228206612244291,0.744765946684466,34.6916652667969
"GSM672575",7.779686989,8.147725651,10.91926171,7.593509294,7.975606691,8.143390706,0.273473978356024,0.602339824674742,33.028604978189
"GSM672576",7.849694796,8.175404461,11.08918216,7.733788104,7.978735688,8.199758736,0.119232762983447,1.17883087855943,39.7600905015252
"GSM672578",7.905511896,8.045720074,10.49189926,7.758294981,8.053842379,8.385220818,0.368707171775959,0.335279384356958,29.9102331045214
"GSM672593",7.352536803,7.636548699,10.28171859,7.132457993,7.415719331,7.813247212,0.493816105851514,0.0155013447049236,26.1762961594582
"GSM672594",7.308666914,7.529364684,10.43080074,7.111310409,7.387064312,7.691536431,0.346737102697121,0.394144707230347,30.5975830054064
"GSM672595",7.237405204,7.417417844,9.766249071,7.013033457,7.325028996,7.674563941,0.479041054180361,0.0525604768008876,26.6090227551796
"GSM672596",7.395085502,7.587933086,10.35981673,7.068984758,7.509637546,7.621939777,0.334023659953362,0.428829484801708,31.0025850891828
"GSM672601",8.377036059,9.070645725,10.10015874,8.099323048,8.259020818,8.513688848,0.0345271415295234,1.81806444776032,47.2241985533511
"GSM672602",7.741947584,8.697324721,9.809530483,7.357145725,7.608422677,7.915737175,0.288617879902696,0.55742694521473,32.5041729061574
"GSM672604",8.284689219,9.034102602,10.45131152,7.981871747,8.43369145,8.523357993,0.220598411329434,0.770173767271324,34.9883435505403
"GSM672606",7.137790335,7.422534201,10.27239833,6.8905,7.066749814,7.273359108,0.0565909409736747,1.58405201870965,44.4917168126189
"GSM672607",7.593509294,7.388077695,9.92234461,7.193781413,7.126487361,7.393342379,0.226756337154477,0.749571743481795,34.7477808844658
"GSM672618",12.57725279,11.74397416,12.27877435,12.99076729,13.44724164,13.48916357,0.348829660084798,0.38848207016009,30.5314623618934
"GSM672619",12.64338773,11.96003271,12.13645688,13.04989703,13.6106,13.63642639,0.443059876065557,0.143215799652183,27.6675734287325
"GSM672624",8.08659145,8.436023792,10.24510112,7.732870632,8.058956134,8.356741636,0.317237133297843,0.475438769289741,31.5468254926896
"GSM672625",8.03609145,8.467777323,10.31773494,7.752718959,8.050431784,8.388984758,0.335602017047006,0.424496120398841,30.9519859002645
"GSM672626",8.236467658,8.694099628,10.33356431,7.934310781,8.270647955,8.584775836,0.332651256930446,0.432603957529864,31.0466582944071
"GSM672627",8.067376208,8.479710781,10.14274461,7.737766543,7.979769517,8.368061338,0.337987498080117,0.417961869413313,30.8756877242243
"GSM672628",8.151339033,8.471215242,10.40029442,7.754774349,8.096637361,8.325435688,0.251489763105107,0.669809046047034,33.8164196092711
"GSM672629",8.089684015,8.467777323,10.41638848,7.757776208,8.069449814,8.248820818,0.130003834232591,1.12637300433024,39.1475581498446
"GSM672633",7.193237918,7.730965428,9.091027881,6.978382528,7.264314126,7.378700743,0.0756386955778319,1.43503406321598,42.7516859771648
"GSM672634",7.903645725,8.477389963,10.31406059,7.66687881,7.832513011,8.147725651,0.12386803387855,1.15586576509582,39.491934859247
"GSM672635",7.899507435,8.467777323,9.970596283,7.61607658,7.879058736,8.207724907,0.284594108924985,0.56924745838022,32.6421969270259
"GSM672636",7.783582528,8.442299257,10.5828145,7.389022677,7.665011524,8.018659851,0.38328099161325,0.296874947682421,29.4617978551546
"GSM672637",8.144518587,8.49786803,10.17985465,7.784062454,7.965228625,8.188528253,0.068305654213332,1.48852949966338,43.3763335819866
"GSM672638",8.177703717,8.644675093,10.41393086,7.821365799,8.123189219,8.260122677,0.0810300846754496,1.39817617519613,42.3213092385243
"GSM672639",8.338381041,8.730405576,10.36110929,7.952201487,8.291892937,8.449340892,0.141333282874561,1.07434838719798,38.5400847905911
"GSM672640",7.956737175,8.452681784,10.26853903,7.618860967,7.853407063,8.128590706,0.17249293995425,0.944359676576698,37.022251828834
"GSM672641",8.198600743,8.593413755,10.35518699,7.818830483,8.129672119,8.352986617,0.191146829195262,0.873677957252697,36.1969259765282
"GSM672642",7.707991078,8.478445725,10.09075093,7.600063197,7.942710037,8.039165056,0.142512693680708,1.06909827834386,38.478781095574
"GSM672643",7.70747974,8.246547955,10.21518253,7.495428625,7.691536431,7.822368401,0.00438223255033572,2.62110738066174,56.6010515695726
"GSM672644",7.8193171,8.462952416,9.839937175,7.643674721,7.89425539,8.077768773,0.0647798846232331,1.51584018054929,43.6952309035966
"GSM672645",8.399660595,8.866158364,10.61326914,8.099323048,8.377036059,8.633024164,0.145051192191696,1.05789704095761,38.3479881425856
"GSM672646",7.376822677,7.644156134,9.004359108,7.283749814,7.451171004,7.572286989,0.00140920044217085,2.98688025927542,60.872054251445
"GSM672647",7.470616357,7.657518959,9.661409665,7.318360967,7.480480297,7.71755316,0.0476164276358725,1.66841760791747,45.4768244540877
"GSM672648",7.382328253,7.54200855,10.70593401,7.186222677,7.43247658,7.563633457,0.0346180587083054,1.81687590141098,47.2103203110254
"GSM672649",7.489437175,7.618860967,9.80762342,7.283749814,7.481363197,7.628094052,0.0109904639522937,2.29069728265134,52.7429677770598
"GSM672650",7.294394796,7.541188476,10.11953383,7.174337918,7.326832714,7.423486245,5.68080865137872e-05,3.85950663381319,71.0614089134123
"GSM672654",7.322290706,7.608422677,10.5733777,7.104448699,7.310779182,7.461993309,0.0218051307415562,2.01781759735811,49.5566466038412
"GSM672655",7.495428625,7.963007807,10.72760855,7.249794424,7.513250186,7.680215613,0.0825002491000139,1.38844856020738,42.2077232617218
"GSM672656",8.252212268,8.792524907,10.57109665,8.008369145,8.330175836,8.571306691,0.202156577686596,0.833942910093805,35.7329536513433
"GSM672660",7.340501673,7.577777323,9.477910781,7.275465799,7.353526766,7.730020074,0.195884418311795,0.856413976348805,35.9953404762041
"GSM672661",7.37402119,7.757776208,10.0633171,7.272425279,7.332467658,7.873057621,0.466154777807635,0.0849394159345305,26.9871003655265
"GSM672663",7.352536803,7.594366171,9.636028996,7.273359108,7.325943494,7.703069517,0.154241332855261,1.01841102337789,37.8869236491802
"GSM672665",7.281887361,7.58419145,9.681794424,7.247768401,7.422115613,7.826556877,0.430822025348479,0.174281737839093,28.0303195837073
"GSM672666",8.145573978,8.478445725,10.45909944,7.944688476,8.087730855,8.267149814,0.00152796611147717,2.96205496824112,60.5821779626736
"GSM672667",8.12374777,8.543130112,10.62915149,7.911683643,8.026884387,8.208248327,0.000722957019959494,3.18532524245284,63.1892272976459
"GSM672668",8.174248327,8.62690223,11.53286245,7.882130855,8.080995167,8.222346097,0.00868352210353317,2.37884357061691,53.7722213229349
"GSM672669",8.251019703,8.552971004,11.57569219,7.933356506,8.020653532,8.345705204,0.0826166398851528,1.3876840343097,42.198796158729
"GSM672670",8.208771747,8.65536171,12.99944721,7.826556877,7.983840149,8.344507435,0.218173507718263,0.778376623965614,35.0841254550739
"GSM672671",8.126315242,8.628068773,13.10047026,7.759936803,7.919,8.317332714,0.272772711955383,0.604448612955462,33.0532285654724
"GSM672672",8.262543494,8.823094796,14.16922491,7.842649442,7.991175093,8.472410781,0.397597744032378,0.259569989320203,29.0262008316245
"GSM672673",8.221736059,8.599350558,13.8485,7.814337918,8.000223048,8.430050186,0.353805511576119,0.375066483046097,30.3748132173207
"GSM672692",7.618860967,7.978735688,10.1576368,7.417417844,7.601456134,7.895319331,0.137562894943169,1.09133434629864,38.7384239270193
"GSM672693",7.630925279,8.143390706,9.913620818,7.434428625,7.678274349,7.906473978,0.123395019929048,1.15818134420444,39.5189730711026
"GSM672694",7.662205576,8.137154275,9.880541264,7.406658364,7.653142937,7.910605948,0.168264358975848,0.961046639128164,37.217099686553
"GSM672696",8.108623048,8.689369888,9.933119331,7.895319331,8.197505948,8.530658364,0.334867662330612,0.426511287802355,30.9755163091277
"GSM672697",8.089684015,8.661983643,10.53548253,7.882130855,8.175404461,8.402105204,0.155805870843122,1.01184589581589,37.8102649380958
"GSM672698",7.575992937,7.941649071,11.30368922,7.416600743,7.6393,7.821365799,0.0475488851958729,1.66909895493074,45.4847803061781
"GSM672699",7.560428996,7.930322305,11.1661171,7.407572119,7.699220446,7.80720632,0.0616603456883363,1.54098395371261,43.9888259974153
"GSM672700",7.668779182,7.986987732,10.94614238,7.500678067,7.750881041,7.853407063,0.014117464001927,2.19400669839876,51.6139454552853
"GSM672701",8.113799628,8.393543866,10.54747175,7.847688476,8.168757621,8.428883643,0.242404823116638,0.698587838366946,34.1524595574632
"GSM672703",8.082105948,8.460543123,10.37802602,7.695330483,8.076719703,8.363136059,0.386067634739669,0.289583005954275,29.3766523878499
"GSM672704",7.933356506,8.566478067,10.0326223,7.692402602,7.850618216,8.282275836,0.308208423533453,0.50093503152607,31.8445364788125
"GSM672705",7.832513011,8.507581413,10.11346208,7.619773234,7.821365799,8.225892565,0.332495799357366,0.433031894992905,31.0516551713195
"GSM672710",9.519147584,10.74750632,13.46152045,9.02775539,9.124426394,9.09434684,0.0940015531107987,1.31650945750108,41.3677153809991
"GSM672716",8.017719703,8.570050929,10.28889442,7.72153197,8.021720446,8.218820074,0.1328013548301,1.11324619042819,38.9942809096277
"GSM672717",8.000223048,8.536673606,10.47153086,7.643193309,7.982855019,8.205537918,0.242108015871335,0.699537747061426,34.1635513108951
"GSM672718",8.020653532,8.611122677,10.54986357,7.665922677,7.935463197,8.200952045,0.202261343885919,0.833571151343794,35.7286127537231
"GSM672758",8.291892937,8.729233829,10.63703123,8.107589591,8.230542007,8.724922677,0.332766581284562,0.43228654838677,31.0429520182432
"GSM672759",8.408137918,8.926239777,10.69497435,8.276495167,8.491805204,8.871863197,0.26612294184352,0.6245813188222,33.2883111693989
"GSM672760",8.143954647,8.683216729,10.70593401,7.953687361,8.146702602,8.447001487,0.113780657610511,1.20666465745933,40.0850958567026
"GSM672761",8.130766914,8.697910409,10.39915502,7.903645725,8.101442751,8.624420074,0.475606193119821,0.0611843588293304,26.7097208261007
"GSM672762",8.261359108,8.70822974,10.47263569,7.816307063,8.187467286,8.536673606,0.444734499906743,0.138976144764332,27.6180684532274
"GSM672763",8.144518587,8.720728996,10.50714535,7.885181041,8.133879926,8.479710781,0.261843860442735,0.637671224507504,33.4411574452061
"GSM672764",8.187467286,8.736597398,10.25613717,7.884095539,8.135997026,8.355411152,0.088868280114139,1.34775697531773,41.7325817781541
"GSM672765",8.173079926,8.739067286,10.45007435,7.869126394,8.055976952,8.374791822,0.145916523090472,1.05410893435897,38.3037557393977
"GSM672766",8.289634201,8.930201115,10.53120149,8.196510409,8.309239405,8.690523792,0.14507072423537,1.05781136924685,38.346987783817
"GSM672767",7.826556877,8.325435688,10.09491599,7.58000948,7.841605948,8.212000372,0.359814733803951,0.358954045575216,30.1866738891385
"GSM672768",8.501655019,8.843784201,10.60271673,8.041408922,8.41797881,8.723092565,0.376885359167139,0.313671276776023,29.6579227479468
"GSM672769",8.344507435,8.835132714,10.79103494,8.174248327,8.411830112,8.734165056,0.197950133248054,0.848965901328009,35.9083718947468
"GSM672770",8.466633086,8.760095167,10.54862454,8.154679926,8.408137918,8.71195948,0.17578678291531,0.931541426643785,36.8725775827611
"GSM672771",8.373463569,8.863658364,10.68896989,7.9902,8.326605204,8.684418216,0.386505875880234,0.288437649276848,29.363278456301
"GSM672774",8.200952045,8.876988848,10.54986357,7.904584015,8.265997026,8.628068773,0.439847784996899,0.151355146095482,27.7626137461551
"GSM672776",7.97259145,8.6819829,9.963064312,7.664118587,8.055976952,8.397209294,0.478639720313971,0.0535678890018124,26.6207859570556
