"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA","pval","z","inv_cof_var"
"GSM672569",13.15227509,13.00295056,13.32938104,13.02025465,9.310286617,12.63887881,13.2749487,12.72872639,14.68241227,14.77223197,13.72989257,14.37716803,14.42209108,14.00994963,14.4894368,10.2991948,12.40656468,13.8509658,12.91488662,12.50635242,12.43328327,10.24510112,11.94006097,11.89014201,12.40194684,13.64276654,13.6561342,14.09313569,13.86400483,12.76530651,13.22169145,10.30216766,14.52588253,0.104623007740401,1.25564139634676,9.51790664506779
"GSM672570",13.24788216,12.98548327,13.47196803,12.93473197,9.377654647,12.53718401,13.24083643,12.59782974,14.8169052,14.79863755,13.64935428,14.69494015,14.51807323,14.05645093,14.60165465,10.68654312,12.40940483,13.81582714,12.52544535,12.3046145,12.29682528,10.0742026,11.90186766,12.07589257,12.61245019,13.97636729,13.79859108,14.21067918,14.07067323,12.53577732,13.30210743,10.23546394,14.82635502,0.133000075351457,1.1123210166195,9.23345796723355
"GSM672571",13.02025465,12.88900186,13.36438513,12.74905093,9.406495911,12.85683234,13.52142082,12.76600149,14.74027026,14.48566134,13.92068736,14.49861152,14.51143346,13.94393941,14.61295725,10.06807993,12.05615409,13.67938253,12.71058885,12.18289145,12.07855874,10.3563777,11.85939182,11.78084387,12.13786729,13.84343978,13.85341561,14.12791078,13.87933941,12.44648699,12.92673643,10.08658401,14.55173829,0.145349142857004,1.05659100883063,9.12285034072989
"GSM672572",12.25424572,13.30973011,12.80614647,10.07861952,8.99140223,13.27671636,13.7405171,13.2139171,15.03851413,15.04970037,14.23797286,14.85846468,14.58543234,13.78374796,13.54336506,12.13786729,12.38124796,12.86331896,11.50648104,11.19886617,10.92615725,9.972934944,12.29465353,11.3876119,10.84973011,13.4270855,13.46569219,13.71375353,13.6081974,11.88511933,13.28255242,10.55470335,13.85627844,0.275691278803394,0.59568967414179,8.20809714572885
"GSM672573",12.8679223,12.98202045,12.91305019,10.80887472,9.392488104,12.98724424,13.47410706,12.84668736,15.63961115,15.55620743,14.81200037,15.47494981,15.05480706,13.84591078,13.8692948,12.36369665,12.48666022,13.28071041,11.89014201,11.59268067,11.4645171,10.02391561,11.99907435,12.11264312,11.38636171,13.77427435,13.85341561,14.22852825,14.00300297,12.20380818,13.52997026,10.64203271,13.98155204,0.256619151938103,0.653803666700079,8.32343627878397
"GSM672574",12.8811052,13.4450803,12.9397052,10.23546394,9.52794684,13.36243383,14.10748848,13.20139963,15.19678141,14.99403494,14.27227695,14.83115242,14.97281599,13.61280632,13.64061375,12.37427993,12.60364461,13.33340483,11.90059108,11.32477955,11.35564517,10.1897539,12.27143792,11.97097658,10.94041004,13.53887881,13.73361487,13.90293309,13.63843383,11.92018364,13.41359628,10.64919294,14.05076654,0.202335550416277,0.833307902064591,8.67969923672651
"GSM672575",12.83102602,14.39777584,12.15595799,13.31143866,9.580934387,13.17062045,13.82567398,13.10414349,15.58944684,15.32246357,14.29862491,15.190129,14.86847249,13.93621227,12.86639294,12.54641822,13.67681933,12.83257361,11.06212491,10.88115093,10.76552491,11.96963309,13.66409981,13.88212491,10.43080074,14.01692193,13.88486654,14.21067918,14.13993457,11.73656022,13.7522145,13.75689926,13.64276654,0.150130992078862,1.03587173804781,9.08172869989222
"GSM672576",12.89381004,13.95159331,12.27279517,12.81230186,9.569909294,12.94628513,13.46367286,13.06578587,15.55620743,15.31526691,14.64447732,15.190129,14.94641301,13.87415316,13.19436877,12.0407881,13.72863755,12.83733197,11.21785428,10.91329926,10.76128123,11.96003271,13.17966803,13.40275985,10.67029442,13.93337732,13.91563829,14.09866691,13.7417368,11.78330967,13.62670483,13.54336506,14.03726022,0.13095807276834,1.12187369742661,9.25241722083397
"GSM672577",12.58745911,14.44658587,11.31439294,12.81230186,9.493057993,13.5191461,14.43607286,13.46367286,14.51807323,14.46736729,13.70641859,14.77594758,14.60915242,12.78364684,12.12665576,13.30781115,15.75899182,13.38884164,11.83151803,11.0330539,11.08671896,12.94970781,15.41281338,13.83986822,8.988291822,14.13102342,14.3002197,14.18951673,13.33519294,10.97806617,12.34492491,13.65160669,13.50188959,0.260851204990441,0.640723397251861,8.29747580228132
"GSM672578",11.89014201,14.07618625,11.33414907,12.69864721,9.244618216,13.06405353,13.65388439,13.39879777,14.65737807,14.69077807,13.86665948,14.57775836,14.37716803,12.92409052,11.82570149,12.07722007,14.97281599,12.82326543,10.95179145,10.49302193,10.31040186,12.55092639,15.01592007,13.42815502,9.256607621,13.82056989,13.6744539,14.01120595,12.95655428,11.16270446,12.95315316,13.50943309,13.32938104,0.273763114488706,0.60147113905935,8.21957164820278
"GSM672579",12.18154349,14.1456342,10.82770632,12.75841524,9.777935316,13.2904829,13.89249665,13.36832156,14.45389294,14.54790446,13.65388439,14.60551747,14.38725613,12.8811052,11.44420669,12.51953383,15.09480297,13.04813494,11.13242119,10.67258401,10.41029554,12.44432993,15.55620743,13.98436729,8.78030855,13.85341561,13.93337732,14.12176357,13.23891599,10.52397398,12.64338773,13.78374796,12.9331223,0.33117295246858,0.436676595648726,7.8925030897978
"GSM672580",12.09093494,14.35301933,11.17542156,12.79665613,9.38253829,13.13193197,13.97636729,13.30781115,14.66569628,14.43977026,13.60378104,14.46736729,14.45026283,13.04114164,11.53860669,12.1703171,15.32970632,12.988971,11.06334126,10.31343922,10.47046803,12.20653755,14.79444089,13.9254487,8.959613011,13.65388439,13.57959368,13.73361487,12.98724424,10.93984368,13.00807138,13.73590855,12.93810186,0.304289883161993,0.512101797891202,8.04219986770252
"GSM672581",11.82570149,13.82289926,10.58034275,13.30683439,9.533196654,12.65605019,13.45721859,13.02507807,14.00869331,14.32645576,13.00465167,14.16068439,14.11871338,12.89724424,11.37569814,12.3046145,15.63036543,13.01151115,10.61498086,10.33356431,10.45966691,12.09369554,15.75092528,14.37716803,8.605266543,13.45315651,13.34507323,13.54124015,12.74146729,10.31892639,12.94628513,13.41578699,13.00807138,0.387284019950183,0.286404876846925,7.59425805437162
"GSM672582",12.09219442,13.7935658,10.65138476,13.02025465,9.479197398,12.85165985,13.65857993,12.68502305,13.82056989,13.47410706,12.80924201,13.94912751,13.84343978,12.42567472,11.4645171,12.98202045,15.49940186,12.94970781,10.72760855,10.02391561,9.934946097,12.07855874,15.94142974,14.37716803,8.42776171,13.56426171,13.58176394,13.34708364,12.42003234,10.12423866,12.46680651,13.16499442,13.02854461,0.411803420866042,0.222908344596361,7.4682361677418
"GSM672583",11.70220223,13.78374796,10.70220297,13.12244907,9.374982156,13.02196208,13.51480558,13.01695428,14.25402268,13.98155204,13.29824572,14.3002197,14.04280037,12.61808885,11.3750842,12.21330186,15.67325911,12.95834721,10.72404349,10.1390197,10.00627323,12.27143792,15.32970632,14.23797286,8.760095167,13.59032751,13.46152045,13.59952639,12.56166506,10.23182268,12.22811784,13.48023494,13.03040297,0.39772627553591,0.259236784414213,7.54033740479988
"GSM672584",11.56299777,13.49133829,9.723099628,12.81402342,9.702426022,12.06917695,12.73977435,12.39001859,12.86164312,12.94134015,12.21173457,13.49333755,13.46367286,12.26289851,10.79461747,12.70631673,15.08894944,12.6482026,10.04980929,9.868152788,10.0326223,11.83088699,14.961471,13.92297026,7.877147584,12.61245019,12.69711524,12.90509033,12.32875093,8.761433086,12.37568327,12.67413941,12.32584796,0.439979906186142,0.151020160680753,7.32555932788404
"GSM672586",11.6998658,13.4450803,9.972934944,12.42288327,9.791836059,12.60065019,13.11887398,12.78829182,13.25773792,13.41130855,12.55874387,13.65160669,13.49333755,12.29913829,10.91700595,12.30598216,15.08293978,12.52835316,10.32126059,9.917216729,9.894642379,12.10308439,14.81200037,13.79092788,7.97259145,13.00110632,13.15065688,13.33340483,12.26289851,8.894226394,12.26440558,11.52469963,12.50189554,0.423096729657382,0.19397755154435,7.4108170773933
"GSM672587",11.60768401,13.31143866,9.326156134,12.74603086,9.60756803,12.1703171,12.65138587,12.49265874,12.96858699,13.08807955,12.51953383,13.68413234,13.52997026,12.17600892,11.00017212,12.61245019,14.90736059,12.76159257,10.29357361,9.866851301,10.01761338,11.91889442,14.64878104,13.72369888,7.891243123,12.71058885,12.8679223,13.02025465,12.32020335,8.484646468,12.72569926,12.92992751,12.28023792,0.449452531628565,0.127044644938542,7.27797500131274
"GSM672589",11.61993123,13.45520892,9.647648327,12.7521803,9.831281413,12.39001859,13.04444907,12.65058866,13.26346171,13.17256729,12.55092639,13.57959368,13.62670483,12.26005576,11.00246134,12.13388587,14.86360112,12.77089368,10.33848885,10.09255093,10.0693658,11.94006097,15.00514164,13.83859442,8.044633086,12.98202045,13.07116617,13.16865353,12.30746208,8.992026022,12.59782974,12.76305799,12.41698625,0.398943014128111,0.256083932716574,7.53407992419239
"GSM672590",11.90566059,13.59499257,9.22933197,12.57097026,9.322251301,12.38281004,13.00110632,12.46461859,13.06405353,13.24435279,12.48055799,13.61520669,13.5084171,12.16308104,11.59519071,12.04929591,14.55173829,12.9836684,10.57917807,9.946295911,9.902143123,11.81609387,14.26317249,13.59271896,8.098244981,12.81230186,12.99432751,13.01324461,12.11942565,9.153155204,12.58894312,12.46005688,12.84223494,0.371176137328378,0.32873992442938,7.6782806360435
"GSM672591",11.76177175,13.41992007,9.469037546,12.51518699,9.358621933,12.42890074,13.01324461,12.70161301,13.30973011,13.27106394,12.75065836,13.66292007,13.57313309,12.39153123,11.58755948,11.73118327,14.60915242,12.84824535,10.46197286,10.01006208,9.997590706,11.76631543,14.51143346,13.52354052,8.158015613,12.82718439,13.00295056,13.03222825,12.26726022,9.089297398,12.57565725,13.04444907,12.55718141,0.373234234047624,0.323299453161898,7.66748290538039
"GSM672592",11.89799851,13.57750632,9.400000372,12.76600149,9.557981784,12.2344052,13.04989703,12.70161301,13.34118773,13.37430892,12.70778104,13.65388439,13.51256134,12.25278848,11.43271394,11.87752714,14.41200297,12.99767955,10.53447063,10.1897539,10.2203197,11.71356952,14.0958948,13.74295651,8.319688104,12.82326543,12.89544572,13.01695428,12.31027584,9.266752045,12.79327175,13.19436877,12.76159257,0.316451836510345,0.477643909191512,7.97381112284824
"GSM672593",11.67314796,13.36832156,8.994675465,12.67568848,8.68994684,11.95349405,12.72426729,12.18289145,13.20863941,13.19254647,12.36528178,13.3283632,13.27671636,12.20240781,11.47189517,12.12079071,14.11600446,12.65605019,9.816794796,9.295815242,9.595648699,11.28802677,13.75453086,13.5255539,7.993102602,12.55413048,12.70310595,12.86008625,11.94797546,8.900716729,12.61394312,13.05331524,12.61245019,0.46279289317899,0.0934000052379416,7.21120031583355
"GSM672618",12.30054126,13.98971487,10.98844647,12.48520074,8.774426022,12.90368476,13.81818216,13.12244907,13.64935428,13.51480558,13.24083643,13.89249665,13.76919963,12.39750149,12.9397052,15.80265167,14.84428699,13.4593829,12.41256617,12.27423903,12.35779405,11.53286245,14.9261052,12.50329219,8.615913383,13.13193197,13.2786855,13.54336506,13.28644796,9.02908513,13.06929071,11.75320818,12.33457361,0.309097451575168,0.498410264960399,8.01502621349436
"GSM672619",12.4688316,14.04023532,11.18912454,12.39153123,8.791343494,12.77487491,13.66987732,12.79665613,13.72863755,13.74743383,13.20863941,13.91563829,13.87665688,12.49886208,13.02854461,15.70693346,15.12307993,13.56203011,12.57725279,12.33017993,12.62544387,11.62253309,14.87297918,12.37568327,8.704960781,13.13193197,13.34864684,13.40705576,13.07616431,9.272632342,13.25572045,11.43697807,12.41414164,0.28665092844711,0.563195367679093,8.14360553240739
