"","amhX","codY","bacG","bcaP","bkdR","clpQ","clpY","codV","dppA","dppB","dppC","dppD","dppE","ilvA","ilvD","ispA","mpr","nupN","nupO","nupP","nupQ","trmFO","ybfJ","ybgE","ycgA","ykfA","ykfB","ykfC","ykfD","ylmA","ypmP","yuiC","ywaA"
"amhX",1,-0.198657329985513,0.121534285314542,0.648289280409668,-0.268543272767941,-0.204734759839502,-0.232132498349564,-0.233309388359295,0.837731962259839,0.793540461805469,0.781485850971632,0.771512335354487,0.786337500257283,0.158747576564571,0.0219632687839878,0.570778498770713,0.442483305187876,0.75511954771841,0.728611890921789,0.713159327921542,0.714768008720404,-0.25749985521694,0.388630563859197,0.702740879864268,0.47285657433188,0.754060008543992,0.772405814670833,0.776260686397057,0.813533008720755,0.0261365330750055,0.281244603907288,0.414354455094838,-0.0933254425966525
"codY",-0.198657329985513,1,-0.52097551973747,-0.00689489011258255,-0.113652335250985,0.588533269998945,0.752284671382418,0.45916453101171,-0.103889660384034,-0.0642678859490909,-0.0482848689130306,-0.0122852869778011,-0.0177753424551496,-0.0835797514930426,-0.238486419972535,0.163635448745667,0.285155547915822,-0.12227573732162,-0.159222441876982,-0.158975275869074,-0.151047465786368,0.590311508653962,0.352585638547045,-0.0484878542423536,-0.233853484523098,0.0999593800942504,0.086982571192907,0.0761470793767869,0.0503701409726877,-0.207197407891927,0.114833817766598,0.444719921497446,-0.104068573640753
"bacG",0.121534285314542,-0.52097551973747,1,-0.269031345075928,0.0501829132809582,0.02243419600653,-0.0444660294004622,-0.00554812453039603,0.174781989133676,0.0878305356523863,0.0576471819397421,-0.00914048957219897,0.000884630992888897,0.492037169270024,0.605564732757536,-0.295082043917905,-0.415415298035072,0.00085640447783981,0.238520647243595,0.252277733459941,0.225281028869233,-0.642423741784968,-0.451998850430992,-0.34697357629078,0.509585419707043,-0.0928291547483983,-0.0953954490743611,-0.0709367688318293,0.0136005998103073,0.661271219078167,0.178620266637367,-0.512281170338478,0.519673720415551
"bcaP",0.648289280409668,-0.00689489011258255,-0.269031345075928,1,-0.0791673511725792,-0.291722674703686,-0.316995515125501,-0.251539147342091,0.478756616007544,0.441500217143208,0.427591854886332,0.432940391699233,0.443243466455307,0.0516919499207534,-0.0468036738902589,0.322588028250104,0.353746079778007,0.440090949737261,0.381191981454899,0.397522336089789,0.417176333346587,0.0871768160875815,0.342636926037485,0.800144693523663,0.297019617099199,0.446853270213423,0.456794249084224,0.462271147381221,0.451075713852029,-0.0836744282601096,0.0813551233118699,0.500620525418776,-0.107054206788523
"bkdR",-0.268543272767941,-0.113652335250985,0.0501829132809582,-0.0791673511725792,1,0.268387408539946,0.108119004413773,0.246954002956807,-0.594764334239804,-0.68261490678452,-0.701941690635808,-0.709767111210772,-0.691694717965593,0.102511334101044,0.354660032122183,-0.555602816795573,-0.638733669969526,-0.585975251070879,-0.411942376754538,-0.36249147459431,-0.402962691278463,4.63131566976798e-05,-0.625675686084247,-0.169272546571157,0.244226346570116,-0.693079729564607,-0.681336046449105,-0.688024561067337,-0.663381534976175,0.286404296259592,-0.35512910454817,-0.41634209658691,0.390926127956982
"clpQ",-0.204734759839502,0.588533269998945,0.02243419600653,-0.291722674703686,0.268387408539946,1,0.868274966434908,0.768263708690298,-0.230169635155692,-0.282431687870575,-0.290773861914975,-0.290226938222834,-0.294686216698861,0.261866033078939,0.236909724841295,-0.17378504619278,-0.0808483421240773,-0.261642187237355,-0.0802171532670507,-0.0849743091265816,-0.137740300901613,0.38401467771151,-0.0388790623954469,-0.297019609225884,0.0915210669729381,-0.159585873304314,-0.173174214958676,-0.192576773694859,-0.191138452503979,0.268436480698046,-0.00477627885634954,0.103262256043678,0.325228259672972
"clpY",-0.232132498349564,0.752284671382418,-0.0444660294004622,-0.316995515125501,0.108119004413773,0.868274966434908,1,0.653918742787301,-0.196304694272009,-0.207356201747042,-0.202630217586256,-0.191102466545368,-0.189775030998712,0.134979158308151,0.120888661510389,-0.0555271413448402,-0.00622445356776495,-0.242935374415443,-0.112806476395995,-0.119228218651198,-0.144517937146568,0.344931854467248,0.0380505012990388,-0.33434602806628,-0.0120176298201965,-0.0814829249940049,-0.095290319451875,-0.106833235191728,-0.104940723209542,0.13803386420615,0.062666550396123,0.10776637694332,0.21594669803915
"codV",-0.233309388359295,0.45916453101171,-0.00554812453039603,-0.251539147342091,0.246954002956807,0.768263708690298,0.653918742787301,1,-0.19508871590692,-0.251999648825648,-0.286902003395553,-0.303873567661033,-0.312255119619815,0.30289632424617,0.266990569836865,-0.306679294500375,-0.131779237153471,-0.234480962938118,-0.0226457924567404,-0.00846518716446439,-0.0667220804283836,0.413527620014829,-0.106495870991154,-0.336518585422713,0.0909096179216924,-0.197462223665979,-0.21606234231265,-0.229069621033945,-0.219618357233475,0.313802388631849,-0.0362628762984809,0.0440600988977211,0.337625986118509
"dppA",0.837731962259839,-0.103889660384034,0.174781989133676,0.478756616007544,-0.594764334239804,-0.230169635155692,-0.196304694272009,-0.19508871590692,1,0.977161870063897,0.957948229195626,0.938304448383465,0.940680947807041,0.209752781619324,-0.0722629531665692,0.60806437554505,0.554957728798204,0.836147151789141,0.766835720275488,0.724066967427543,0.709053752341112,-0.230492551536205,0.505947111642931,0.572518289230597,0.279005100345365,0.910298995035323,0.909957798448036,0.919358183417884,0.938335299058084,0.0303750814763026,0.417538264589824,0.488902751044884,-0.176977487826962
"dppB",0.793540461805469,-0.0642678859490909,0.0878305356523863,0.441500217143208,-0.68261490678452,-0.282431687870575,-0.207356201747042,-0.251999648825648,0.977161870063897,1,0.991930644948744,0.983280133531942,0.981989449079166,0.0735517589418084,-0.212351580669682,0.680768230609513,0.641133551333384,0.861856299798716,0.732549992407168,0.686701661035516,0.68843633556982,-0.191553371051848,0.595272549892954,0.558089733084166,0.146512330043415,0.950086400764142,0.949272210049347,0.958204007551736,0.966082076553279,-0.11011169027737,0.387489847965736,0.52359926948236,-0.300014836072612
