"","putB","putR","spo0A","codY","putC","putP","pval","z","inv_cof_var"
"GSM672552",9.531951673,12.58894312,14.03156208,11.49286375,9.373756506,10.0087881,0.342617783654706,0.405329170323239,29.1560974655492
"GSM672555",13.85627844,11.45741599,13.31550074,14.43607286,14.14860818,13.05679517,0.414708389470122,0.215449630420709,24.2167377156413
"GSM672556",14.17513717,11.46098476,13.20139963,14.69906245,14.6281855,13.39986357,0.438364120590578,0.155118064455063,22.6473252937838
"GSM672557",13.91054387,11.34937286,13.24969777,14.69906245,14.45389294,13.06405353,0.483071742572331,0.0424455904599486,19.7163624145832
"GSM672567",10.99196914,10.8312829,11.9588368,13.94646394,11.00363941,10.89585316,7.27633136719364e-11,6.40999267597375,185.356145384222
"GSM672568",11.20569219,10.69941338,12.09511747,13.95989033,11.28802677,10.62021264,0.326421501002075,0.449816163616357,30.3133430759991
"GSM672569",14.84911041,12.81725688,13.55356059,13.00295056,15.05480706,14.41200297,0.155201530728412,1.01437665066213,44.9993242382332
"GSM672570",15.4277855,13.01151115,13.39879777,12.98548327,15.65681413,14.86847249,0.230708860941049,0.736514376194581,37.7712588277769
"GSM672571",15.11720743,12.71816097,13.15417807,12.88900186,15.30855836,14.5973803,0.197055979971052,0.852184028189139,40.7801876657183
"GSM672578",11.16389888,10.23788662,13.41359628,14.07618625,11.4886,11.64111115,0.138409173870811,1.08749445516847,46.9013466507884
"GSM672579",11.19026506,10.29722862,13.4367223,14.1456342,11.60831896,11.71836989,0.191609860583199,0.871979206730406,41.2951220719169
"GSM672580",10.85811264,10.19560706,13.46569219,14.35301933,11.7195487,11.72602565,0.434472209661343,0.164999444456571,22.9043708431782
"GSM672581",11.92279405,10.1353223,13.44939033,13.82289926,12.1154171,12.00101413,2.5445431305801e-05,4.05149753396322,124.004322113637
"GSM672582",12.03818364,10.57917807,13.39298996,13.7935658,12.44648699,11.79090335,0.245554767927672,0.688545169582259,36.52342997535
"GSM672583",12.02055242,10.23788662,13.08473941,13.78374796,12.04601524,11.7975223,0.00407155393736603,2.64607782835419,87.4449670131555
"GSM672584",11.86338253,10.36471933,12.99596394,13.49133829,12.21777212,12.11816134,0.0341921739184707,1.82246573800306,66.0202447355152
"GSM672585",13.29238922,11.61259814,13.38265911,12.99944721,13.67810093,12.82483383,0.316346303070528,0.477940427534594,31.0449430012192
"GSM672586",11.70990037,10.20304461,12.8156342,13.4450803,12.06073494,11.73973234,0.0522077212836254,1.62381432155939,60.8527010857478
"GSM672587",11.72477063,10.14026543,12.76461152,13.31143866,12.31169033,12.03685651,0.195278890216214,0.858606265063518,40.9472501008704
"GSM672588",13.08627212,11.5471777,13.33519294,13.2904829,13.86665948,12.93810186,0.3785960188148,0.309170230869555,26.6547031848638
"GSM672589",11.56918327,9.82232974,12.90826059,13.45520892,12.10151896,11.95551989,0.172535370972546,0.944193567051535,43.1736430801236
"GSM672593",10.46197286,10.39915502,12.76461152,13.36832156,11.47656617,10.58034275,0.48579110961217,0.0356239398128686,19.5389099799954
"GSM672597",12.27143792,10.92375167,12.66937435,13.19436877,13.15597175,12.16733941,0.431991850735327,0.171305315004603,23.068406226817
"GSM672608",10.57917807,10.77360446,13.28071041,12.8679223,10.93586171,11.65592045,0.47629583209843,0.0594525424677187,20.1587663421412
"GSM672609",10.80403717,10.84732714,13.2291658,12.70550669,11.06673011,11.60009591,0.366221844291518,0.341876695204702,27.5055004512873
"GSM672612",13.7497,11.64227658,14.35976208,12.48971413,13.94912751,13.03222825,0.356867521317497,0.366844458929344,28.154989949998
"GSM672613",13.78486729,11.6362881,14.39460335,12.96154498,14.32986134,13.49777063,0.292492882263822,0.54611663670528,32.8184190884893
"GSM672614",13.62670483,11.45741599,14.19217844,12.56626989,13.94393941,13.00295056,0.355504619868945,0.370500989069467,28.250107716808
"GSM672615",13.80827249,11.76631543,14.28666152,12.75065836,14.21381301,13.20863941,0.370979440418855,0.329260389671828,27.1773109487553
"GSM672616",13.3970368,11.08451636,13.80104535,12.54327509,14.47804424,13.18357249,0.483003358310848,0.0426171594905194,19.7208254608091
"GSM672618",10.32126059,9.35100632,13.66987732,13.98971487,11.16154387,10.3979829,0.4349249730921,0.163849089285844,22.8744465130934
"GSM672619",10.541771,9.503286989,13.87415316,14.04023532,11.4102803,10.93586171,0.399907369727153,0.25358687245742,25.2088064682058
"GSM672622",10.93322082,11.7111632,13.88486654,13.04626283,11.28675688,10.2203197,0.480161785675398,0.049747540679127,19.9063089408227
"GSM672630",10.23892602,11.65346208,14.61673569,13.15971115,10.52138327,10.90736766,0.310715956829748,0.493821972980315,31.4580715899086
"GSM672631",11.24647937,12.06073494,14.61673569,12.31592825,11.37077807,11.0330539,0.0352320639206523,1.80891552672975,65.6677614284644
"GSM672632",11.24358141,11.97753792,14.64878104,12.21330186,11.29645688,11.1419881,8.66384153149519e-07,4.78232777358781,143.015498733668
"GSM672657",12.67413941,10.78990446,12.35341599,13.55989331,12.81316264,12.94970781,0.00212400814676189,2.85913226107782,92.9871780911619
"GSM672658",14.66175056,11.73910056,12.71507175,13.25572045,14.63629591,14.15332565,0.109705462806406,1.22809601816236,50.5588323461015
"GSM672659",13.57645651,10.73234387,12.59782974,13.3702461,13.61745502,13.20690632,0.0577522317355021,1.57392640994617,59.5549607249078
"GSM672660",9.984120446,8.965011896,12.3683684,13.78840558,10.20842546,9.921168401,0.0328752321158643,1.84012107232131,66.4795151116047
"GSM672661",10.75600112,9.430920818,12.80310595,13.64935428,10.87084572,10.39292119,0.176401016086235,0.929167992666703,42.7827809715795
"GSM672662",10.45131152,9.2522,12.77089368,13.71904721,10.43317955,10.06692714,0.132805040420932,1.11322902292299,47.5707831167351
"GSM672663",9.561186059,9.727094424,12.50924944,13.85627844,9.637282528,9.403698141,0.00911281438975157,2.36100207208637,80.0292564162866
"GSM672664",9.931396283,9.813261338,12.67015204,13.91054387,10.14465576,9.830095911,0.0473434679193496,1.67117591613285,62.0847240517172
"GSM672665",9.894642379,9.353508178,12.67568848,13.82056989,10.0484855,10.02391561,4.23365236878663e-05,3.93077340009615,120.863910419088
"GSM672674",9.912310037,10.62500372,13.37626729,11.56050372,10.09547305,10.3081487,0.106481618100101,1.24545856790024,51.0104864810076
"GSM672675",10.287729,10.09834833,13.10592714,11.73350112,10.43819554,10.40029442,5.90615703888446e-06,4.38102347848603,132.576320906987
"GSM672676",12.44648699,11.0405381,13.45520892,11.78955725,12.44963011,12.21705911,0.00218515567394868,2.85011726218204,92.7526698196854
"GSM672677",13.50399368,11.49468773,13.6561342,12.03818364,13.61520669,13.6722223,3.44680861750329e-08,5.39392194827318,158.9249729786
"GSM672678",12.95571914,11.29526506,13.6940316,12.10715093,12.92992751,13.29444201,0.0398332679659328,1.75262419180768,64.2034480320586
"GSM672679",11.77020669,11.19638364,13.82056989,12.29611413,11.99639963,12.60668736,0.358787973895134,0.361700373667086,28.0211762294279
"GSM672680",11.64111115,11.26426877,13.88212491,12.37427993,11.77446952,12.21031896,0.206685273313231,0.817976604109213,39.8903457494426
"GSM672681",11.87109368,11.27143494,14.16357621,12.82326543,12.10981524,12.4661171,0.199281975408824,0.844188730731723,40.5722050127691
"GSM672682",12.05062472,11.25578067,14.16357621,12.90290911,12.29315279,12.40805911,0.0310660333418976,1.86535210067203,67.1358529453087
"GSM672683",12.78984721,11.04224089,12.04866431,13.61633086,13.38472454,13.1395539,0.166132911808442,0.969560071484231,43.8335050697568
"GSM672684",13.02354647,11.05172937,12.03546171,13.60378104,13.44939033,13.08627212,0.0681899640966939,1.48940813308492,57.356376427335
"GSM672685",12.70912007,11.02368327,12.18972751,13.7522145,13.3794829,13.05679517,0.217490761526597,0.780695644276584,38.9205515708294
"GSM672686",12.76232528,10.9214461,12.17309703,13.80104535,13.56426171,12.88436691,0.327320910573218,0.447323057610964,30.2484896038366
"GSM672687",13.06224758,10.99658662,12.05938885,13.62670483,13.63843383,13.13379517,0.181451373524633,0.909847866229782,42.2802041540106
"GSM672688",13.12422305,11.00720223,12.08145093,13.91054387,13.72863755,13.01521004,0.269668324279869,0.613816415354283,34.5795017301905
"GSM672698",10.4978948,11.65165279,13.95989033,13.69896357,10.59704647,10.96359368,0.168749867889615,0.959117141771411,43.5618518588785
"GSM672699",10.51055874,11.61993123,13.85341561,13.48916357,10.697229,11.0609684,0.223109140287471,0.761734834197576,38.4273216937296
"GSM672700",11.89681338,11.76822193,13.66069851,13.63389182,11.87367249,11.59011673,0.0263333269141595,1.93764413602058,69.0163945235263
"GSM672701",12.73666097,10.45853197,13.52997026,12.85840781,12.90673086,13.23109554,0.102476897346484,1.26756372049512,51.5855105254558
"GSM672702",13.06224758,10.4644316,13.58176394,13.0393197,13.303,13.57855,0.102805347467089,1.26572740035783,51.5377421045996
"GSM672703",12.47901264,10.27670223,13.55030911,13.0393197,12.74756208,13.15065688,0.229899164067796,0.739178971506449,37.8405732722925
"GSM672713",9.321647212,10.02628067,12.00437026,12.57880929,9.174298141,8.786026394,0.291856179278099,0.547970209253848,32.8666362984353
"GSM672714",9.381207807,10.11462639,11.96003271,12.74445799,9.446366171,8.574401115,0.497038810463451,0.00742266957822271,18.8053068800258
"GSM672715",9.387413383,10.02884981,12.03426766,12.74293383,9.290828625,8.739067286,0.386330061663437,0.288897099597078,26.1273357356733
"GSM672723",9.282447212,12.62380409,13.94393941,12.02449777,9.247679926,9.681794424,0.216774635402842,0.783132563151362,38.9839434402749
"GSM672732",9.002004089,12.5479145,13.91563829,11.9151855,9.035304089,9.873116357,0.496383790294432,0.00906461762929012,18.8480190759741
