"","qdoI","lmrA","qdoR","yxaH","pval","z","inv_cof_var"
"GSM672572",7.683959851,9.788014126,7.909552788,7.529364684,0.146423535752459,1.05189642676041,40.3127514668708
"GSM672573",7.740816729,9.383746097,7.754774349,7.537504833,0.00931935546376664,2.35267911016007,63.1328407559925
"GSM672574",7.798363941,9.367478067,7.952664312,7.575992937,0.136828138361027,1.0946813163914,41.0633418722202
"GSM672575",7.526581784,10.03493197,8.038151301,7.624310781,0.353307114702949,0.376407152511667,28.462404941721
"GSM672576",7.487576952,10.00012416,7.867135316,7.553907435,0.183749599385171,0.90116763038033,37.6684630428847
"GSM672580",7.575073978,10.8617461,8.130766914,7.585147955,0.442034536117244,0.14581292506605,24.4170090988796
"GSM672581",7.542924907,11.21415576,7.866197398,7.635680297,0.0831023865804051,1.38450207504345,46.1477696361227
"GSM672582",7.714724907,11.58755948,7.779686989,7.594366171,0.00031366043691776,3.41951841042316,81.8487787830271
"GSM672583",7.543907063,11.31335911,7.74390632,7.614147955,0.00117241511887204,3.04267808888389,75.2377361430741
"GSM672584",8.024810037,11.68098401,7.577777323,8.109748699,0.370505017821646,0.330516091847008,27.6573218826484
"GSM672586",7.891243123,11.53567602,7.621493309,7.903645725,0.0612303938090976,1.5445267021729,48.9551380967853
"GSM672587",7.784542379,11.65346208,7.455511152,7.643193309,0.0825400305652678,1.38818715992602,46.2124183796303
"GSM672589",7.809278067,11.34097472,7.676433829,7.80720632,2.44746841681654e-06,4.56924098943115,102.018767394891
"GSM672594",7.214778439,11.12277175,7.499016357,7.39422342,0.0468375721939629,1.67632196699657,51.2672689004483
"GSM672595",7.195415613,10.96861338,7.608422677,7.419142751,0.212902643412012,0.796390175442851,35.8303152049145
"GSM672596",7.227946097,11.10848086,7.573260223,7.385176952,0.116566642088917,1.19232640670041,42.7763641225413
"GSM672597",7.22019777,11.36494387,7.881148327,7.408428625,0.496013352909828,0.00999320864203754,22.0342759217138
"GSM672614",8.71195948,9.739531599,8.174248327,8.34082119,0.310181211882432,0.495336764171087,30.5488290553134
"GSM672624",9.885793309,11.32936877,9.355581041,9.34135316,0.307072628745144,0.504165250213718,30.7037102990074
