"","rapD","rghR","yvaM","pval","z","inv_cof_var"
"GSM672572",11.77196952,10.4475026,9.83625948,0.497880674366521,0.00531238654313178,7.89339567373005
"GSM672573",11.72854535,10.54045279,10.07311375,0.479398156136845,0.0516641386464375,9.31243609867505
"GSM672574",11.9466974,10.68536877,10.10964312,0.490110118108397,0.0247927972990816,8.48978068838098
"GSM672577",9.907265799,9.411591822,10.46812714,0.278746910705299,0.586568086447198,25.6883073645601
"GSM672578",10.49665279,9.562414684,10.52649517,4.72867436140584e-58,16.0187224149991,498.137564242672
"GSM672579",10.3979829,9.321043123,10.89925799,0.233066471463344,0.728785401364801,30.0422338039627
"GSM672580",10.18850149,9.418096283,10.3660829,0.00774098787298192,2.42090375396509,81.8457630595463
"GSM672581",10.21153717,9.339497584,11.78142621,0.471677589323209,0.0710534969334116,9.90603357826195
"GSM672582",10.51055874,9.808316357,11.61139071,0.416197174648555,0.211631734765098,14.2097803256577
"GSM672583",10.2214171,9.143151301,11.65592045,0.460279372022534,0.09972992274816,10.7839509304123
"GSM672584",10.18235576,8.955711524,12.04352379,0.490703947865491,0.0233038562207519,8.44419735043505
"GSM672585",11.81046245,8.761433086,12.23010929,0.142162039602406,1.07065612116366,40.5084696955079
"GSM672586",10.41760929,8.927639405,11.63374164,0.433966239944982,0.166285241550409,12.8215155011108
"GSM672587",10.00012416,9.046287732,11.99907435,0.499332586593944,0.00167295809486431,7.78197602166865
"GSM672588",11.66081524,8.391205576,12.2344052,0.238950522781194,0.709682501755043,29.4574061426588
"GSM672589",10.23660632,8.814584758,11.59011673,0.452263566845889,0.119944473890493,11.4028113605242
"GSM672591",9.828678067,9.367478067,11.80381487,0.499820706422657,0.00044942236555672,7.74451796275035
"GSM672596",9.974054275,9.266752045,11.73237063,0.486991028924354,0.0326144358032657,8.7292370351876
"GSM672618",10.57447881,8.392362082,9.775313755,0.368578647738992,0.33562019184362,18.0056375443632
"GSM672619",10.74269703,8.319688104,9.961820446,0.359465879268452,0.359886840265884,18.7485513184181
"GSM672620",9.688352416,8.523357993,8.179828996,0.491598288259096,0.0210615252075413,8.37554927976962
"GSM672660",11.25578067,10.02137472,10.3865855,0.373505944890982,0.322581917735978,17.6064759767698
"GSM672662",11.81046245,10.26107435,10.10699257,0.482190688080947,0.0446561623871325,9.09788969734712
"GSM672663",11.92614628,10.09716097,9.993965056,0.496205528018923,0.00951147416734776,8.02194906850504
"GSM672665",11.59954219,10.0087881,10.44165911,0.425770955873234,0.187151421583678,13.4603252901215
"GSM672695",11.01554164,11.98584164,9.479197398,0.477832435503721,0.0555944687279661,9.4327615883488
