"","resA","phoP","resD","ccpA","resB","resC","resE","pval","z","inv_cof_var"
"GSM672549",13.22549963,11.60009591,12.73666097,13.46152045,13.27671636,12.44216766,13.21045353,0.0427245431124281,1.71990843940572,35.0036089550917
"GSM672550",13.63843383,11.72728216,12.89897175,12.87714387,13.58822193,12.46391784,13.25572045,0.298001082039333,0.530158323533165,26.6915514179436
"GSM672551",13.68176245,11.56434796,12.96858699,12.64667732,13.67938253,12.73507807,13.31058439,0.114701875762809,1.20189618807916,31.3845736799271
"GSM672552",12.47040149,14.66175056,13.2291658,12.8811052,12.8679223,12.60065019,13.59734461,0.236335841638752,0.718138841058972,28.0048565033493
"GSM672555",14.22263903,13.59271896,14.9356,12.39001859,14.8074855,14.6242052,15.59743048,0.175453357848438,0.932832001121952,29.5047865100523
"GSM672558",13.37626729,11.3258513,12.97208327,13.25572045,13.40495093,12.50189554,13.42404535,0.0803272497982776,1.40287371729309,32.7886809493556
"GSM672559",12.10452751,11.49942454,11.76571784,13.11192862,11.87618959,11.12871487,12.32584796,0.324364926235673,0.45552741040353,26.1701508013709
"GSM672560",13.24969777,11.21533234,12.43176617,13.30210743,13.04444907,11.99779554,13.13092974,0.450584035782127,0.124185918213236,23.8552701295498
"GSM672561",13.42601599,12.33601004,13.48916357,12.78510967,13.82848513,12.84362528,14.19849442,0.287666329729396,0.560215201433055,26.9015404695586
"GSM672562",13.64514461,12.36067658,13.19629331,12.83257361,13.60618996,12.57565725,13.85341561,0.312265035094434,0.489440215949835,26.4070788648242
"GSM672566",13.64935428,11.99907435,14.25115204,12.72717732,13.96823197,13.67938253,14.98346506,0.346335981115069,0.395231615533258,25.7489009023177
"GSM672567",14.04023532,11.92745725,14.21381301,12.59922416,14.15506134,13.81582714,14.79863755,0.0114077862401973,2.27650883396635,38.892236023133
"GSM672568",14.03726022,12.42150967,14.64045799,12.41861375,14.33589145,13.70401115,15.1469052,0.338545148562704,0.416436947204368,25.8970496056405
"GSM672572",14.35976208,12.09219442,14.24770112,11.99907435,14.64447732,13.88999294,15.09480297,0.0989658034844875,1.28746687828167,31.9824038385189
"GSM672573",14.15794052,12.31169033,14.07336952,12.08217398,14.37361413,13.73114758,14.41869665,2.43130715179773e-05,4.06213403202347,51.3673088876118
"GSM672574",13.97082379,12.42726766,14.46059071,12.11117286,14.76273346,13.89516245,15.12307993,0.250422279961615,0.673161486913063,27.6906271954115
"GSM672575",13.18883978,13.60618996,13.16865353,11.4657,13.54124015,12.77884796,13.84114201,0.0769890376642057,1.42561994689004,32.9475949655348
"GSM672576",12.65138587,13.70401115,11.94797546,11.67638104,12.34942305,11.39931487,12.2829855,0.363943782989045,0.347936908566828,25.4184816653175
"GSM672577",12.23849145,13.11002677,12.9632026,12.22607175,12.99247212,12.08812974,13.21222714,0.368165935850821,0.336714844759118,25.3400799582609
"GSM672579",13.05679517,13.64514461,12.41256617,11.7195487,13.01068606,11.79090335,12.9632026,0.487549091249338,0.0312148683066174,23.2057381767447
"GSM672580",12.66046617,13.53679182,11.94402528,11.83474164,12.41094461,11.31214572,12.17600892,0.471424884304823,0.0716885498538376,23.4885030744089
"GSM672581",11.83606431,13.51044907,12.12665576,11.84635353,12.48971413,11.79426134,12.63741822,0.0956847411321305,1.30653853830689,32.1156458809811
"GSM672582",11.94543792,13.65160669,12.14178848,11.97030483,12.55718141,11.51009108,12.73350074,0.390096723487027,0.279066948735274,24.9373293115049
"GSM672583",12.69864721,13.54925019,12.26005576,11.61880967,12.72872639,11.64111115,12.3046145,0.236308921946531,0.718226170675982,28.0054666220554
"GSM672586",12.03426766,12.95655428,12.17169294,11.31089517,12.72872639,11.98993309,12.51664089,0.0145650145427115,2.18172236769516,38.2300208647749
"GSM672587",11.19638364,13.04114164,11.90186766,11.57506468,11.89547138,11.63001524,12.32742639,0.220170529134149,0.7716174123324,28.3784786240777
"GSM672589",12.18706394,12.9397052,12.25079164,11.51852045,12.72872639,12.09641227,12.52257955,0.000258449824458091,3.47184242258347,47.2433018747925
"GSM672595",11.68483494,12.66355688,12.52980595,11.8646974,12.69711524,11.87491115,12.86961896,0.463323518726123,0.0920641929833856,23.6308552505421
"GSM672596",11.69867212,12.67491394,12.67092974,11.72728216,12.64338773,12.21777212,13.12422305,0.488560458568885,0.0286786086956029,23.1880188796127
"GSM672598",13.53453569,11.23992454,13.86400483,13.2749487,13.88999294,13.30210743,14.31640743,0.0342230290428263,1.82205884051375,35.7172714293584
"GSM672599",13.0185829,10.96915539,13.26346171,13.6106,13.39298996,12.81402342,13.80104535,0.0402804737251804,1.74744055756564,35.1959590521514
"GSM672600",13.24969777,11.47126859,13.40495093,13.5115052,13.43237621,12.83418104,13.80827249,0.0163724996075286,2.13519605265796,37.9049699129647
"GSM672601",13.24257695,11.284429,13.20315836,13.37237472,13.39298996,12.65748922,13.54336506,0.00964141605231674,2.34001758181983,39.3359328626859
"GSM672602",13.2692461,11.49827212,13.36020558,13.66292007,13.68176245,12.82942007,13.95159331,0.111734230349241,1.21735688228768,31.492588109269
"GSM672603",13.10225725,11.29171004,13.06578587,13.43237621,13.41578699,12.43780892,13.63843383,0.197502345304272,0.850576423696987,28.9301170200592
"GSM672604",13.11002677,11.29765019,13.20139963,13.44724164,13.52880929,12.68502305,13.79092788,0.112418297653242,1.21376730334663,31.4675099131889
"GSM672605",13.2692461,11.15365539,13.08473941,13.53887881,13.32734535,12.42432045,13.71644461,0.245049940761461,0.690149970118118,27.8093153535259
"GSM672623",11.64738439,12.59637175,12.05551227,10.33973569,12.56771524,11.56802119,12.33601004,0.240021382243866,0.706233783270225,27.9216831344183
"GSM672630",12.32584796,14.57414535,12.48666022,11.55433086,12.4688316,11.77836766,12.64033755,0.0221344686692413,2.01153537837776,37.0410282953203
"GSM672631",12.02602751,14.52939071,12.73028625,11.7111632,12.25424572,11.73350112,12.77243197,0.263728038353869,0.631894103384133,27.4023171866762
"GSM672632",12.14592454,14.66993086,12.66355688,11.63374164,12.36217918,11.79090335,12.86331896,0.185191082961578,0.895757737943816,29.2457712726736
"GSM672633",13.11699257,10.72760855,12.79327175,13.06752156,13.41992007,12.18706394,13.58394275,0.473305919190735,0.0669621463339686,23.4554825792
"GSM672634",12.95488401,11.32028439,12.33457361,12.87794796,12.75695279,11.77964126,12.85502825,0.339545854361424,0.413702892191403,25.8779484328191
"GSM672636",12.06224721,11.51118996,11.8387684,12.75389331,12.13241078,11.12404238,12.49265874,0.47210401883692,0.0699819356134311,23.4765800028574
"GSM672637",11.9151855,11.44644647,11.93357212,12.66205019,12.32441041,11.27260967,12.59637175,0.442288146350999,0.145170454475918,24.0018762701829
"GSM672638",11.85426952,11.57750409,11.91645465,12.55718141,12.02449777,11.01917918,12.382029,0.465716928373094,0.0860409597726604,23.5887745981939
"GSM672639",13.23013067,11.67069814,12.32020335,12.81725688,13.15065688,12.19956989,13.07116617,0.335580437281145,0.424555313540539,25.9537676737403
"GSM672640",11.73350112,11.40160372,12.06073494,12.60212045,12.04472491,11.22723903,12.59205613,0.450833455829419,0.123555899852716,23.8508685759864
"GSM672642",12.84992788,12.32020335,13.39298996,13.22356468,13.6081974,12.95128178,13.94393941,0.183135078404101,0.903481963060371,29.2997357167549
"GSM672643",12.92673643,11.74947844,13.18166543,13.4302974,13.36832156,12.57097026,13.84114201,0.251615974449708,0.66941317603825,27.6644400362401
"GSM672644",13.65857993,12.18289145,13.31830613,13.19163736,13.97367398,12.91903699,13.76194498,0.0826419218873331,1.38751807383744,32.6814004454745
"GSM672645",13.29238922,11.75559182,12.42150967,12.82640149,13.11002677,12.05551227,12.95128178,0.393322796710425,0.270669036481469,24.8786582267836
"GSM672647",12.14178848,12.51953383,12.39153123,12.37289182,12.70631673,11.73722937,12.92673643,0.309359414797447,0.497666917269606,26.4645538032996
"GSM672651",12.60967212,11.52934052,12.48520074,11.99971729,12.47040149,11.51240149,12.9139684,0.467610796960321,0.0812770891348703,23.5554923431115
"GSM672652",12.35195651,11.59011673,12.44216766,11.98320223,12.3046145,11.58120632,12.89724424,0.331398585609354,0.436054523297401,26.0341056303042
"GSM672656",12.79137658,11.7060368,12.96154498,12.94628513,13.13193197,12.5479145,13.70641859,0.162997299949409,0.982213658876464,29.8497859978096
"GSM672657",11.78200855,10.8252368,11.43214164,13.05331524,11.8387684,11.18912454,12.41698625,0.376377095007935,0.315009830370895,25.1884402769256
"GSM672659",12.6938881,10.8880052,12.17875688,12.6482026,12.70161301,11.82952268,12.61245019,0.0958133816813702,1.30578182247195,32.1103591695319
"GSM672660",13.82567398,12.11744535,14.18104015,11.74086617,14.04280037,13.75689926,14.71898885,0.0235616539133635,1.98519025757082,36.8569710239245
"GSM672661",14.46736729,12.02192007,14.22564647,11.77574349,14.46059071,13.84720539,14.66569628,0.000559548062131544,3.25873635870304,45.7544599399546
"GSM672662",14.31640743,12.03685651,14.27576691,11.7543855,14.29121375,13.7497,14.65737807,0.00140563629587223,2.98765439400953,43.8605757891949
"GSM672663",14.50400372,12.38049331,14.21381301,11.58383606,14.43977026,13.53224944,14.8169052,0.167026611022954,0.965981932195563,29.7363848354151
"GSM672664",14.39777584,12.10151896,14.48566134,11.84897658,14.43247509,13.95989033,14.79863755,0.000166462385028879,3.58823451279737,48.056462334136
"GSM672665",13.97082379,11.98993309,14.41200297,11.44184461,13.99347658,13.73114758,14.94091933,0.164147832747179,0.977552569626038,29.8172218135171
"GSM672666",11.6998658,11.52692491,11.65165279,12.30746208,11.5435829,10.77135019,12.11264312,0.462612906833549,0.0938531458589026,23.6433535718569
"GSM672668",11.67439108,11.24176691,11.51009108,12.3842197,11.57506468,10.95418476,12.18422007,0.313487582575788,0.485988717764981,26.3829653546684
"GSM672669",11.82445613,11.25331078,11.74586245,12.38852714,11.66956506,10.93698327,12.2903119,0.441970962909195,0.145973984444756,24.0074900433985
"GSM672670",11.72986729,11.35768476,11.70866914,12.26289851,11.56918327,10.80995428,12.18422007,0.484583364202926,0.0386533982769168,23.2577066432992
"GSM672674",12.32301375,13.89249665,12.48971413,12.13786729,12.24164052,11.5727223,12.78364684,0.261806672517133,0.637785461066936,27.4434765052407
"GSM672675",11.75077844,14.62074498,12.28434275,12.11942565,12.00036022,11.27490967,12.5312223,0.408092848436531,0.232453632384595,24.6116705346448
"GSM672676",11.96415093,14.69077807,12.47327881,12.08955204,12.25706059,11.46338662,12.58602528,0.284672345943757,0.569016869320039,26.963032348335
"GSM672677",12.17460074,14.31640743,12.63305613,12.10021896,12.40805911,11.49220149,12.72569926,0.390220778275315,0.278743656738307,24.9350706677407
"GSM672678",12.03685651,14.26946022,12.52685316,12.10981524,12.43023309,11.67702007,12.69711524,0.165894022894602,0.970518624960208,29.7680799374244
"GSM672680",11.76822193,14.01254758,12.45691115,11.79491301,12.1703171,11.4039948,12.69711524,0.485088901046867,0.0373852890691376,23.2488471386369
"GSM672692",11.91238699,11.39223755,12.02735651,12.40656468,11.85025242,11.10436394,12.44432993,0.417514436815343,0.20825627110461,24.4426183475317
"GSM672696",12.72044796,12.05132193,12.57880929,12.79665613,12.47327881,11.64474981,13.07797286,0.464497894700576,0.0891083651680428,23.6102046865764
"GSM672700",11.48383494,12.75695279,11.50287249,11.03410706,11.37447026,10.59470558,11.85939182,0.422625999306126,0.195180047300999,24.3512627568289
"GSM672705",11.69346877,11.61880967,11.4039948,12.82942007,11.60454684,10.74038885,11.96003271,0.387293989677577,0.286378840281239,24.9884130327205
"GSM672710",11.01436617,10.24754089,11.59151078,12.00570595,11.19509517,10.95418476,12.11816134,0.471868312735307,0.0705742240551228,23.4807179605178
"GSM672712",10.93447918,9.727094424,11.1695632,12.04352379,11.06445836,10.69380223,11.94402528,0.463151932942125,0.0924961299620152,23.6338729304489
