"","resD","fur","kre","nsrR","ykoP","ykuN","ykuO","ykuP","pval","z","inv_cof_var"
"GSM672554",14.48566134,13.4450803,10.78186134,12.94134015,7.575073978,8.704256134,8.645266171,8.80799777,0.389470421265556,0.280699564858529,14.6411099858756
"GSM672555",14.9356,13.8485,11.52100074,13.1136368,7.777772862,7.781065799,7.586030483,7.891243123,2.35311825674044e-05,4.06975617757485,61.1839104487727
"GSM672556",15.06617509,13.34708364,11.37209145,12.83584424,7.963007807,7.757776208,7.618860967,7.826556877,0.00021912215980227,3.51591314859377,54.3807907753632
"GSM672557",15.01592007,13.22549963,11.24473197,12.45691115,7.568297584,7.558524535,7.429003346,7.983347584,0.0475557709255776,1.66902945836711,31.6946322249964
"GSM672561",13.48916357,14.16068439,10.73581636,12.43999257,7.349563197,7.702029368,7.598236431,7.984395725,0.0719641735904357,1.46131743548385,29.143205782236
"GSM672562",13.19629331,14.21655688,11.20118141,13.05595836,7.457263941,7.821365799,7.8041171,8.164482156,0.0983901961875477,1.2907787961848,27.0483978468065
"GSM672563",13.06050818,15.00514164,11.04117175,12.12215242,7.365495911,7.369321561,7.3937829,8.034003346,0.170071393059478,0.953883164805264,22.9101471551974
"GSM672564",13.02025465,14.86360112,11.25086022,11.98454572,7.971537918,7.59084052,7.440665428,7.772822305,0.0345624373495051,1.8176027259672,33.5196289602851
"GSM672565",13.87665688,14.89745725,11.18912454,12.63002937,7.65925316,7.380567286,7.477835316,8.029918216,0.103828322483466,1.26003525385626,26.6707601648258
"GSM672575",13.16865353,13.46569219,12.17530483,13.1136368,9.611350558,8.94315316,9.162560223,9.937569888,0.210326057695226,0.805290408481554,21.0849110305652
"GSM672576",11.94797546,13.28644796,11.84372045,13.00465167,9.418096283,9.442413011,9.821001487,9.854495539,0.00789169076438051,2.41388642179422,40.8440677087102
"GSM672578",11.82372305,12.70310595,12.05132193,13.31143866,11.21065762,12.32301375,12.40805911,12.56247602,0.2465209961424,0.685478549017722,19.6132044718933
