"","sdpI","sdpR","ycbC","ycbG","ycbD","ycbE","ycbF","ycbH","ycbJ","ycnI","ycnK","ycnJ","abrB"
"sdpI",1,0.923083839791264,0.55927195600253,0.165114218381694,0.576144165403133,0.51847719610153,0.404239712588761,0.189160709498262,0.0637610506026968,0.00287850367518676,-0.115054314247842,-0.0489150081898597,0.263787630319545
"sdpR",0.923083839791264,1,0.481592736562903,0.157525044291365,0.46805626820562,0.392464636684979,0.277810101917052,0.0614338652794973,0.039178905188807,-0.093122345228402,-0.200996609470249,-0.134398144295996,0.243414919286591
"ycbC",0.55927195600253,0.481592736562903,1,0.30024860135926,0.957431428762206,0.856991573756104,0.77305358240464,0.54688808345086,0.209560663759996,0.365188888582304,0.26715321401466,0.306370064529899,0.00529357294573935
"ycbG",0.165114218381694,0.157525044291365,0.30024860135926,1,0.317275822846555,0.387469806416949,0.249445192254021,0.406752288098661,-0.0771175082773378,0.544975061581327,0.356165059337256,0.521260127364139,0.434400689422434
"ycbD",0.576144165403133,0.46805626820562,0.957431428762206,0.317275822846555,1,0.90458193276106,0.823236271291075,0.593295748261143,0.238276458517943,0.434341858730879,0.312895687081716,0.359576584901382,0.0338683319680697
"ycbE",0.51847719610153,0.392464636684979,0.856991573756104,0.387469806416949,0.90458193276106,1,0.866561342041964,0.670875975076128,0.357042113115488,0.517654147499065,0.455706236639952,0.48716612343945,-0.0150053374488129
"ycbF",0.404239712588761,0.277810101917052,0.77305358240464,0.249445192254021,0.823236271291075,0.866561342041964,1,0.828645947658456,0.448087509244743,0.42985244993149,0.369110956132668,0.401202874444777,-0.0655358525227772
"ycbH",0.189160709498262,0.0614338652794973,0.54688808345086,0.406752288098661,0.593295748261143,0.670875975076128,0.828645947658456,1,0.54441014896391,0.473718999178073,0.429937667963082,0.452338974203613,-0.0659543389657331
"ycbJ",0.0637610506026968,0.039178905188807,0.209560663759996,-0.0771175082773378,0.238276458517943,0.357042113115488,0.448087509244743,0.54441014896391,1,0.241992822937004,0.352111440246081,0.244303746995696,-0.576823343677814
"ycnI",0.00287850367518676,-0.093122345228402,0.365188888582304,0.544975061581327,0.434341858730879,0.517654147499065,0.42985244993149,0.473718999178073,0.241992822937004,1,0.84305293387102,0.958379420023987,0.0629890147842948
"ycnK",-0.115054314247842,-0.200996609470249,0.26715321401466,0.356165059337256,0.312895687081716,0.455706236639952,0.369110956132668,0.429937667963082,0.352111440246081,0.84305293387102,1,0.903773033698482,-0.184575520227854
"ycnJ",-0.0489150081898597,-0.134398144295996,0.306370064529899,0.521260127364139,0.359576584901382,0.48716612343945,0.401202874444777,0.452338974203613,0.244303746995696,0.958379420023987,0.903773033698482,1,0.00318696115840227
"abrB",0.263787630319545,0.243414919286591,0.00529357294573935,0.434400689422434,0.0338683319680697,-0.0150053374488129,-0.0655358525227772,-0.0659543389657331,-0.576823343677814,0.0629890147842948,-0.184575520227854,0.00318696115840227,1
