"","sinI","spo0A","abrB","scoC","sinR","pval","z","inv_cof_var"
"GSM672572",12.33753643,14.61673569,13.15065688,13.44939033,12.46005688,0.447568009796989,0.131808175839426,143.115262689675
"GSM672574",12.75389331,14.79863755,12.95488401,13.66754238,12.88436691,0.451445613060783,0.122009838966681,138.947554596388
"GSM672575",13.22169145,14.05215985,13.12605204,13.87665688,13.23109554,3.88255096908502e-06,4.47156013002649,1989.02233622941
"GSM672579",13.78840558,13.4367223,11.76055242,12.83902974,13.66987732,0.428396401605747,0.180458281505561,163.808513162419
"GSM672580",13.78840558,13.46569219,11.98993309,13.69645948,13.80827249,0.0176644239849871,2.10456893679225,982.226133883832
"GSM672582",13.63154052,13.39298996,11.37801599,13.15417807,13.60378104,0.0768808279627509,1.42636969713912,693.755090616682
"GSM672583",13.28071041,13.08473941,11.55308104,13.36649851,13.24969777,0.111708566971812,1.21749185391006,604.909209010421
"GSM672584",12.89544572,12.99596394,11.53634684,12.99944721,13.06578587,0.480575879293947,0.0487083033847731,107.768854877981
"GSM672586",13.06224758,12.8156342,11.70220223,12.80614647,12.91816022,0.462120493160037,0.0950929644356189,127.498501835082
"GSM672587",12.82326543,12.76461152,11.54940074,12.86164312,12.71507175,0.425538697022087,0.187743926606302,166.907451527729
"GSM672589",12.90509033,12.90826059,11.68483494,12.75389331,13.05512156,0.466928236054403,0.0829937967070874,122.352138741105
"GSM672591",13.1468632,12.988971,10.92505576,12.80470855,13.15065688,5.27740497213276e-30,11.3191015318608,4901.61394133416
"GSM672592",13.36649851,12.9736632,11.0609684,12.9836684,13.38884164,0.0370459363378262,1.7860456153092,846.742710310358
"GSM672593",13.23707546,12.76461152,11.15301375,12.89381004,13.24257695,3.17348793947337e-15,7.7968536862455,3403.43103097026
"GSM672595",13.36020558,12.94463234,10.84913197,12.87304684,13.3970368,0.157916028721978,1.00305970007595,513.70080960528
"GSM672619",12.32020335,13.87415316,13.41777658,11.73722937,12.12371933,0.499139038263857,0.00215811270640726,87.9688001386966
"GSM672620",12.82172268,13.77660149,13.98711561,13.13193197,13.00624349,0.488816653896103,0.0280361639772725,98.9759909630999
"GSM672621",12.96701115,13.77427435,13.4367223,13.09337732,13.08473941,0.435175011233357,0.163213899839133,156.473640931722
"GSM672622",13.21777212,13.88486654,13.59032751,13.5084171,13.1395539,0.361096322708337,0.355529904999222,238.27496921672
"GSM672623",13.24257695,13.7109197,13.20315836,13.57540669,13.24969777,1.11435749969486e-09,5.98019438493592,2630.71768470085
"GSM672630",13.81818216,14.61673569,10.45730818,13.76194498,13.61981078,0.489915133911808,0.025281703419012,97.8043852395577
"GSM672631",13.30973011,14.61673569,12.93148625,14.08209294,13.47812268,0.476157744854321,0.0597992917024712,112.486390351047
"GSM672663",12.09219442,12.50924944,11.11351933,12.06224721,12.18422007,0.407535624360182,0.233888876862931,186.535137853135
"GSM672680",12.52544535,13.88212491,10.71597138,13.91315353,12.60816022,0.381904861103557,0.300481740588025,214.86031392197
"GSM672698",14.19217844,13.95989033,11.05744312,13.68413234,14.16922491,0.0321981037261982,1.84942680779803,873.701806770154
"GSM672699",13.97367398,13.85341561,11.20930781,13.63642639,13.84343978,0.440215439247246,0.150423022624132,151.033060230983
"GSM672700",14.14860818,13.66069851,11.29765019,13.73114758,14.01388922,0.443198608881402,0.142864472209522,147.818041994151
