"","spo0E","abrB","rok","yydF","yydG","yydH","yydI","yydJ","pval","z","inv_cof_var"
"GSM672549",10.5523197,14.13440409,13.27297993,9.482872862,9.654058736,10.68484851,11.15552937,11.10790929,0.14223983097031,1.07031029502667,14.5771157399306
"GSM672550",10.48335762,13.84343978,13.21968216,9.438747212,9.781756506,11.39588067,11.63251747,11.54474833,0.491985473368673,0.0200907905540379,11.2334186227999
"GSM672559",11.20453309,14.3392342,13.42404535,9.621913755,9.866851301,11.3084513,11.28802677,10.8927461,0.175905164499535,0.931083585078082,14.1338446459354
"GSM672560",10.55114572,14.60165465,13.42404535,9.717949814,9.917216729,11.284429,11.48629777,11.42599665,0.216063789393613,0.785556122331706,13.6705131656343
"GSM672562",10.13296468,13.49977695,13.58176394,9.581556877,9.862908178,10.97028662,10.98396803,10.78186134,0.0308531349640235,1.86840048215474,17.1180815537873
"GSM672566",11.90059108,15.32970632,12.9007197,13.44724164,11.88872416,12.21031896,12.69474368,12.233029,0.00111583632197035,3.05753273566097,20.9040501736831
"GSM672567",11.7195487,15.08894944,12.60364461,13.61745502,11.15065874,12.2163461,12.60530818,12.24009331,0.13517519880582,1.10225598786416,14.6788246880035
"GSM672568",12.05132193,15.22313234,12.80924201,13.41359628,10.86401599,11.81669368,12.18972751,11.55055688,0.170799930670972,0.951008893283845,14.197282998891
"GSM672569",12.61667063,14.961471,13.80827249,15.90234647,14.44320929,14.55987026,14.46736729,14.21655688,0.213066931591774,0.795824820251104,13.7032067268218
"GSM672570",12.65290223,14.99403494,13.82567398,15.44358327,13.8485,13.95716766,13.99478104,13.95989033,0.0737388133305858,1.44849870941533,15.7811949876862
"GSM672571",12.2758855,14.8030119,13.88999294,15.97278996,14.26475892,14.23481264,14.29703011,13.66527955,0.416219527322547,0.211574436381043,11.8430657601867
"GSM672572",12.85502825,13.15065688,13.80343717,16.16017398,13.70521487,13.93848699,13.90030558,13.75453086,0.315389286686057,0.480631289204206,12.6996910840334
"GSM672573",12.34942305,13.03748513,13.81582714,16.08663829,13.57540669,13.81311004,13.72369888,13.6106,0.472408694965267,0.0692163738337678,11.3898250411632
"GSM672574",12.85326877,12.95488401,14.15794052,15.98922119,13.46987881,13.52142082,13.57313309,13.29915037,0.349294035067102,0.387227125743651,12.4023101738894
"GSM672575",12.05679591,13.12605204,12.86961896,15.38340149,12.6836,12.92673643,13.06929071,13.02854461,0.445718111664919,0.136487098099261,11.604002102088
"GSM672598",10.46142714,13.92068736,13.39879777,9.126830483,9.481560223,10.80762305,11.173071,10.95236822,0.35749003395002,0.365175952268488,12.3321034743716
"GSM672599",10.7218171,14.77223197,13.69645948,9.190962082,9.425710781,10.73702082,11.09029926,11.04339219,0.353035023682429,0.377139352905773,12.3701926433992
"GSM672600",10.48458067,13.29628699,13.47410706,9.156086245,9.656692193,10.80403717,11.26785613,11.2785487,0.397016026559492,0.261078393976139,12.0006768496707
"GSM672602",10.34922342,13.12605204,13.27969796,9.284888476,9.429528625,10.80641041,11.23750149,11.04578699,0.343745023663561,0.402263590294023,12.4501833879697
