"","spoIIAA","spo0A","abrB","sinR","spoIIGA","pval","z","inv_cof_var"
"GSM672598",7.969496654,12.08541747,13.92068736,10.92505576,7.955817844,0.11202237454157,1.21584296288812,823.236661234728
"GSM672599",7.678755019,12.35341599,14.77223197,11.47546394,7.490282156,0.499324142470098,0.00169412440444697,56.9107344143934
"GSM672601",8.046743123,11.87618959,13.2291658,10.86634126,8.009399628,0.347079107393949,0.393218354011662,304.026375113827
"GSM672603",7.735995539,12.23579331,15.24909405,11.90566059,7.583702974,0.490337063591537,0.0242237584540257,71.1306077501274
"GSM672604",7.982855019,12.28366413,15.26197249,11.74947844,7.927261338,0.408212065267275,0.232146627347702,202.363847170001
"GSM672745",8.592207063,12.95315316,13.32734535,12.11672937,8.752569145,0.486956766578836,0.0327003645768747,76.4807286228663
"GSM672749",7.942710037,12.58011896,14.35301933,11.43328625,7.954822677,0.0834978034207219,1.38192214734772,928.059711689985
"GSM672751",7.869126394,12.51217212,14.61673569,11.24703346,8.062582156,0.498488669836904,0.00378835198059119,58.232533552517
"GSM672752",7.962027881,11.92807175,13.90293309,10.7016487,8.137154275,0.494209067870681,0.0145162240073297,65.0035703588178
"GSM672753",8.080995167,11.7148948,13.7824868,10.64806134,8.082105948,2.0248683011283e-59,16.2134799321648,10289.1914818557
"GSM672754",8.013526394,11.60519591,13.81090595,10.78880818,8.130766914,0.473769626869036,0.0657972398734728,97.3702545463914
