"","tagA","walR","phoP","tagB","tagD","tagE","tagF","tagG","tagH","pval","z","inv_cof_var"
"GSM672549",13.14049257,12.62237993,11.60009591,12.76678439,14.18664647,13.6246145,13.92068736,13.64726729,13.24435279,0.0143280903928604,2.18818429270582,27.7812390694084
"GSM672550",13.16865353,12.5312223,11.72728216,12.48055799,13.92068736,12.85683234,13.28452677,12.96701115,12.51664089,0.0282167732707033,1.90767258996749,26.2606309557434
"GSM672551",13.25773792,12.49420967,11.56434796,12.66502602,13.77875762,13.08807955,13.35250967,12.9736632,12.59350818,0.0015862886587777,2.9505022519088,31.9136401872253
"GSM672556",13.44939033,11.75807658,13.31737249,12.58472156,13.48460855,12.67568848,13.2749487,11.92944684,11.68967509,0.377024410144902,0.313305173091541,17.6178256588596
"GSM672557",13.24606989,11.61378959,13.70641859,12.16308104,12.99339981,12.55260149,13.05679517,11.72211413,11.73237063,0.244360047953435,0.692345956818814,19.6725438239812
"GSM672558",13.37430892,12.48666022,11.3258513,13.00986097,14.30353717,13.62914721,13.88486654,13.58822193,13.5255539,0.000521295062616213,3.27877422489605,33.6931489233684
"GSM672559",13.0419,11.75320818,11.49942454,12.30598216,14.23157435,13.20505651,13.22169145,13.47196803,12.93638178,0.106036639870683,1.24788471287157,22.6840286628053
"GSM672560",12.6938881,12.58091004,11.21533234,12.44507026,13.91054387,13.44308773,14.07477788,13.66069851,13.38884164,0.126026295670966,1.14537803930005,22.1283567317733
"GSM672561",12.55092639,12.6836,12.33601004,11.37447026,13.59499257,12.80924201,13.2291658,11.99510037,12.56166506,0.422969776316436,0.194301830225154,16.9727279786224
"GSM672562",12.62237993,12.22177807,12.36067658,11.52934052,14.12469963,12.70912007,12.92503755,12.6866171,12.51368253,0.442588362925405,0.144409993504944,16.7022724825351
"GSM672563",13.93093309,13.33519294,11.83214907,12.88760223,14.29400892,13.43859219,13.25369033,14.44658587,14.43607286,0.127211653086823,1.13967120918553,22.0974209380409
"GSM672564",13.72151636,13.06752156,11.63497546,12.61541041,13.96540669,12.9632026,12.80470855,14.5706171,14.39110335,0.403594353056401,0.244054377017564,17.2424284067668
"GSM672565",13.76680818,12.99944721,12.30054126,12.33017993,14.6242052,13.14779926,13.17780409,13.52354052,13.57540669,0.267639615857071,0.61996742769667,19.2801916420085
"GSM672566",12.92150372,11.64227658,11.99907435,11.88072639,13.60378104,12.32020335,13.76919963,12.16032193,12.16240836,0.432145273740188,0.170915069229785,16.8459521679352
"GSM672567",12.83257361,11.60389777,11.92745725,11.90698848,13.53887881,12.64499628,14.19545279,12.58745911,12.4776539,0.415659416913059,0.213010421773351,17.0741441970038
"GSM672568",12.70008885,11.62253309,12.42150967,11.80317193,13.57750632,12.38563941,13.82056989,12.11816134,12.20097844,0.452699564179295,0.118843773264636,16.5636821793368
"GSM672577",11.8179803,10.62139108,13.11002677,11.13711487,12.06496617,11.55183606,11.94797546,10.28045836,10.64203271,0.453174204396289,0.117645680056228,16.5571875117852
"GSM672598",13.1633513,13.10225725,11.23992454,13.12244907,14.05925799,14.25402268,14.53674944,13.78374796,13.66527955,0.0323995468462847,1.84664164928738,25.9297921968722
"GSM672599",13.35442714,13.04265836,10.96915539,13.20139963,14.09866691,14.10748848,14.63629591,13.67938253,13.75453086,0.0120295793215915,2.25618322555148,28.149850175456
"GSM672600",12.89221561,13.07797286,11.47126859,12.73977435,13.95716766,13.86138401,13.95159331,13.57959368,13.24083643,0.0259864284713529,1.94335850711264,26.4540784826193
"GSM672601",12.96003271,13.15227509,11.284429,12.83418104,14.05925799,14.13691599,14.39460335,13.77427435,13.54736245,0.0962354736785913,1.30330414265509,22.9844483378522
"GSM672602",12.85502825,13.15779442,11.49827212,12.89897175,13.79859108,14.17215799,14.58155874,13.38058216,13.26739145,0.17897162028422,0.919291274360665,20.9027773145759
"GSM672603",13.26739145,13.02854461,11.29171004,12.87633978,14.38725613,14.31640743,14.49691561,13.65857993,13.62670483,0.116888010467265,1.19068817720628,22.3739755870971
"GSM672604",13.07284758,13.21968216,11.29765019,12.89221561,14.44658587,14.29703011,14.42564907,13.52142082,13.51044907,0.169698783069041,0.955356258774476,21.0982797031875
"GSM672605",13.31923978,13.11192862,11.15365539,13.27106394,14.53674944,14.42737379,14.58946431,13.94112825,13.65857993,0.0534252201692022,1.61251259990078,24.6606168695453
"GSM672606",13.55558736,12.21777212,10.7106448,13.0185829,14.19545279,13.38058216,13.87665688,12.9632026,13.01695428,0.0117815252863689,2.26417992825136,28.1931989943797
"GSM672607",13.47612974,12.22811784,10.68777323,12.81402342,14.05645093,13.20505651,13.67681933,12.89897175,13.00986097,0.00670212358907242,2.47284444889456,29.3243352714999
"GSM672624",12.52685316,11.74885446,11.4235684,11.73589108,13.89762082,12.79327175,12.92673643,12.08541747,11.9506539,0.417247800977663,0.208939328504213,17.0520754654817
"GSM672625",12.49886208,11.7929974,11.48383494,11.8179803,14.00157509,12.69099182,13.26739145,12.16812268,11.96415093,0.475690869928842,0.0609717092675431,16.2499671749022
"GSM672626",12.71058885,11.80575428,11.5435829,11.97911264,14.02859517,12.86008625,12.97032825,12.25424572,11.93222788,0.389155221407975,0.281521496335706,17.4455315396296
"GSM672633",12.71352639,11.85025242,10.72760855,12.06496617,13.72369888,12.70912007,13.24969777,11.89014201,11.9427,0.347271771728757,0.392696652389545,18.048193898038
"GSM672634",12.93148625,11.61993123,11.32028439,12.1703171,14.08209294,12.98028141,12.91305019,12.46005688,11.88511933,0.356408244553115,0.368076102900349,17.9147299214884
"GSM672635",12.96701115,11.84635353,11.1778052,11.92156208,14.06186803,12.61667063,12.77243197,12.03546171,11.9506539,0.455860939005971,0.110866919812061,16.5204409599399
"GSM672636",12.8679223,11.64111115,11.51118996,11.88390743,14.03156208,12.64667732,12.90213346,12.18289145,11.81351859,0.458819633460194,0.103407869189348,16.4800066650909
