"","ureA","pucR","tnrA","codY","glnR","ureB","ureC","pval","z","inv_cof_var"
"GSM672550",8.282275836,8.894226394,10.22354126,13.61280632,14.40846283,8.374791822,8.623832342,0.45143739058149,0.122030603673982,47.7030505691223
"GSM672551",8.208771747,8.97135948,9.959482156,13.59499257,14.45737881,8.330175836,8.579858364,0.465521360171376,0.0865330049033663,44.2538221108357
"GSM672554",10.0766881,9.036495167,10.01624201,13.46569219,14.14266803,9.936259851,9.582884758,0.487984246733599,0.0301235820998494,38.7726348421781
"GSM672562",9.462750186,9.153733829,9.723099628,13.59499257,14.52209926,9.475285502,9.27505948,0.310641014202624,0.494034197307088,83.849872500254
"GSM672564",8.880969888,8.416739033,9.035304089,14.13102342,14.58543234,9.09434684,9.323555762,0.47839034030607,0.0541939000339292,41.1114979904923
"GSM672565",9.513952416,8.323040892,9.708602974,14.49293792,14.84428699,9.415497026,9.312601859,0.276470145615792,0.593359941924329,93.5011502440853
"GSM672588",11.7543855,8.926239777,10.76070037,13.2904829,14.26317249,11.55245855,11.27025613,0.452683085630209,0.118885371693809,47.3974348646903
"GSM672608",8.556642751,8.208771747,10.94953011,12.8679223,13.7086368,8.599350558,8.447654275,0.225445003249037,0.75393207989617,109.103613708709
"GSM672609",9.198179926,8.823742007,11.13919257,12.70550669,13.83360706,9.063291822,8.930201115,0.371731532820119,0.327270813286536,67.6458184266017
"GSM672616",11.66571561,8.452079554,10.72404349,12.54327509,12.46005688,11.74947844,11.35768476,0.417117615466366,0.209272868124927,56.1802014675279
"GSM672618",14.75811599,11.74397416,12.27877435,13.98971487,14.08764126,14.53294684,14.13102342,0.460169753501282,0.100006069295778,45.5629719894777
"GSM672619",14.77223197,11.96003271,12.13645688,14.04023532,14.51807323,14.35976208,14.15506134,0.458794553661305,0.103471072146623,45.8996591698813
"GSM672657",8.765206691,8.363724164,10.10964312,13.55989331,15.87744201,8.678208922,8.517363569,0.367169976103442,0.339358135646001,68.8203186100131
"GSM672683",8.546823048,8.265997026,9.499448699,13.61633086,14.49293792,8.557764684,8.533185874,6.29089502402644e-12,6.77336854172574,693.999839539553
"GSM672684",8.502789963,8.183118216,9.791836059,13.60378104,14.95131636,8.491805204,8.501655019,1.66523667675818e-45,14.1092615123179,1406.81342911837
"GSM672685",8.760095167,8.145573978,9.853855762,13.7522145,15.08293978,8.357856506,8.412957249,0.486949040710769,0.0327197408192279,39.0248982303293
"GSM672686",8.490633829,8.209816357,9.490528996,13.80104535,14.85846468,8.431884758,8.460543123,0.00472750996259984,2.59514798691502,288.010765862238
"GSM672687",8.489474349,8.248820818,9.526674721,13.62670483,14.76762156,8.456971375,8.569449628,0.126462521820753,1.14327352491211,146.935118899169
"GSM672688",8.484646468,8.304640149,9.647648327,13.91054387,14.75811599,8.459275093,8.583566914,0.167384249233553,0.964553502060794,129.569262891053
"GSM672696",9.958141264,8.689369888,9.933119331,13.40928959,14.10461152,9.804423792,9.436229368,0.498176233859441,0.00457151969739694,36.2897936399892
"GSM672710",9.494378067,10.74750632,13.46152045,12.72426729,16.4320948,9.458850929,9.032881413,0.498027223572018,0.00494503732765597,36.3260875777365
"GSM672711",9.348395911,10.43198662,13.35045167,12.79829665,16.39776617,9.226846097,8.915866543,0.478520537899745,0.053867066349225,41.0797402354482
"GSM672725",9.045071375,8.814584758,9.986601859,13.82567398,14.1456342,8.932741636,9.018973606,0.113812748344388,1.20649808587381,153.078519086347
"GSM672726",8.554138662,8.844527881,9.890813011,13.94646394,14.56695242,8.500448327,8.669790335,0.257579045615801,0.650827120370674,99.0851174469218
"GSM672727",9.051007063,8.871863197,10.1897539,13.93848699,14.28199294,9.024053532,8.899360595,0.219204418381832,0.774882934982375,111.139365086027
"GSM672731",8.980534201,8.675730855,9.34135316,13.79224684,14.09313569,8.909420074,8.758811152,0.330477699921232,0.438594476717182,78.4629091956697
"GSM672733",8.691702974,8.672866357,10.25863271,13.7935658,13.97367398,8.7627,8.784646468,0.068913486890663,1.4839319535011,180.03619579277
"GSM672738",8.143390706,8.864891078,9.778504089,13.43859219,14.5439829,8.198600743,8.561458364,0.497107880026136,0.00724953320036593,36.5500106886354
"GSM672739",8.502789963,8.942527509,9.930198141,13.56651933,14.5931777,8.478445725,8.79387881,0.446348965974738,0.134891156229152,48.9526839358531
"GSM672740",8.704256134,8.853779182,9.475285502,12.24164052,12.86248104,8.787394052,8.818431227,0.123035631721161,1.15994484337555,148.555036529453
"GSM672741",8.369905204,8.640388476,9.890813011,12.02798086,13.16149219,8.707036803,8.665247026,0.455558217516114,0.111630440254558,46.6924881401277
"GSM672742",8.395967286,8.729819703,9.750860223,11.97375353,13.33340483,8.62690223,8.65536171,0.40117402230715,0.250309455667717,60.1676420405711
"GSM672766",10.39364387,8.930201115,10.53120149,12.98548327,15.1410658,10.32923996,9.894642379,0.492792683637834,0.0180670458314238,37.6011260797363
"GSM672774",10.25257509,8.876988848,10.54986357,13.14049257,15.49114684,10.09368364,9.884420446,0.423585420869089,0.192729470848542,54.5727136751512
"GSM672784",10.15888587,9.112163197,10.71119851,12.96237379,15.76791375,10.08044907,9.809530483,0.423299958016317,0.193458484971169,54.6435504738459
"GSM672803",10.59003234,8.886296654,10.21153717,13.34303457,14.98346506,10.50141338,10.09954424,0.48386460885961,0.0404564609642416,39.7766593697355
"GSM672804",10.47734089,8.827584758,10.17617398,13.21222714,15.32246357,10.22599703,9.992781041,0.47383727998218,0.0656272921369964,42.222457119629
