"","amyE","abrB","ccpA","glpD","rbsA","rbsB","rbsC","rbsD","rbsK","rbsR","pval","z","inv_cof_var"
"GSM672558",10.29119926,14.35976208,13.25572045,11.01195019,9.643798885,9.694850186,9.638676208,9.772573978,10.96463569,10.98499331,0.267352801803324,0.62083893366685,15.8965438697623
"GSM672560",9.851207435,14.60165465,13.30210743,10.86867993,9.568403717,9.769912639,9.529263569,10.07806877,10.83013309,10.97578959,0.217745469555441,0.779830010879695,16.6643392666825
"GSM672572",11.65105948,13.15065688,11.99907435,9.881884387,11.4657,11.82445613,11.23406803,11.5136026,11.7148948,11.82046914,0.155384087790951,1.01361148427282,17.793310415901
"GSM672573",12.08812974,13.03748513,12.08217398,10.09547305,12.24164052,12.3046145,12.10021896,12.32160558,12.44648699,12.80614647,0.357472928219785,0.365221786771538,14.6621244784315
"GSM672574",11.81292007,12.95488401,12.11117286,10.22716952,11.93357212,11.96963309,11.44184461,11.94006097,12.34049442,12.47541729,0.205770132653639,0.821186113143485,16.8640550338145
"GSM672575",10.62853197,13.12605204,11.4657,9.613957249,10.90037918,10.85192937,10.43198662,11.19886617,11.35399554,11.19393717,0.095324465078267,1.30866181984854,19.2181594922523
"GSM672584",10.28659294,11.53634684,11.53395353,11.580029,12.92503755,12.96003271,12.719671,12.72426729,12.94794461,12.37289182,0.482677058763732,0.0434358286260731,13.1081644588581
"GSM672586",10.33356431,11.70220223,11.31089517,11.49827212,12.92503755,12.77562007,12.46749591,13.02354647,13.03040297,12.56166506,0.489923871400615,0.0252597947880913,13.0203892493324
"GSM672589",10.27428959,11.68483494,11.51852045,11.53860669,12.76461152,12.76600149,12.65290223,12.90213346,12.78364684,12.30886543,0.45556108014641,0.111623219859318,13.4374531587944
"GSM672590",10.46812714,11.00480892,11.95618216,11.10905242,12.70985446,12.58602528,12.05809554,12.77884796,12.81874535,12.24317175,0.412662166748268,0.220702180547886,13.964214316626
"GSM672591",10.67258401,10.92505576,11.80120297,11.16389888,12.72266468,12.53648067,12.31027584,12.77709554,12.72122491,12.1967829,0.306092240878452,0.506957724323271,15.3465918230027
"GSM672592",10.65717695,11.0609684,12.11744535,10.95118941,12.84824535,12.58323271,12.39912119,12.92150372,12.8679223,12.31318253,0.432187464577155,0.170807757451964,13.7232655221615
