"","amyE","glpD","rbsA","rbsB","rbsC","rbsD","rbsK","rbsR","abrB","ccpA"
"amyE",1,0.777567244317637,0.895437058623535,0.900132145839321,0.894970315108607,0.897565404778009,0.907433257424738,0.881489554423504,0.177122745317609,-0.0782485611441868
"glpD",0.777567244317637,1,0.829626172388205,0.831219190357571,0.830625155259248,0.8258283349177,0.838984055259235,0.811845603737619,0.0634553310305748,-0.105681740269092
"rbsA",0.895437058623535,0.829626172388205,1,0.994653806911873,0.995218274558688,0.995599823547895,0.99030378824112,0.963260479431505,-0.105428782813682,-0.234890700460481
"rbsB",0.900132145839321,0.831219190357571,0.994653806911873,1,0.996704499834449,0.989010991035613,0.984850364090412,0.952694508293838,-0.0851578467818021,-0.227584700418603
"rbsC",0.894970315108607,0.830625155259248,0.995218274558688,0.996704499834449,1,0.990541551055916,0.98700068500745,0.958362778589362,-0.0987010754744488,-0.236225976761919
"rbsD",0.897565404778009,0.8258283349177,0.995599823547895,0.989010991035613,0.990541551055916,1,0.992926146898289,0.971164708257392,-0.0761256850026879,-0.20421734007882
"rbsK",0.907433257424738,0.838984055259235,0.99030378824112,0.984850364090412,0.98700068500745,0.992926146898289,1,0.978931538205972,-0.0360105959288902,-0.160525526111441
"rbsR",0.881489554423504,0.811845603737619,0.963260479431505,0.952694508293838,0.958362778589362,0.971164708257392,0.978931538205972,1,0.00887764794924547,-0.0864127625991172
"abrB",0.177122745317609,0.0634553310305748,-0.105428782813682,-0.0851578467818021,-0.0987010754744488,-0.0761256850026879,-0.0360105959288902,0.00887764794924547,1,0.571523322915152
"ccpA",-0.0782485611441868,-0.105681740269092,-0.234890700460481,-0.227584700418603,-0.236225976761919,-0.20421734007882,-0.160525526111441,-0.0864127625991172,0.571523322915152,1
